feature,fold,n_train,n_test,n_bins,rho_hit,rho_pnl
consensus,0,27228,6850,9,0.9833333333333333,0.7
consensus,1,27261,6851,9,0.9333333333333332,0.8666666666666667
consensus,2,27290,6800,9,0.9,0.6666666666666667
consensus,3,27223,6857,9,0.7166666666666667,0.6
consensus,4,27358,6789,9,0.8333333333333333,0.9666666666666667
age,0,27228,6850,10,0.01818181818181818,-0.19999999999999998
age,1,27261,6851,10,-0.3696969696969697,-0.3939393939393939
age,2,27290,6800,10,-0.5515151515151515,-0.4666666666666666
age,3,27223,6857,10,-0.07878787878787878,0.11515151515151514
age,4,27358,6789,10,0.006060606060606061,-0.34545454545454546
prev_os,0,27228,6837,10,-0.9272727272727272,-0.8424242424242423
prev_os,1,27248,6851,10,-0.7696969696969697,-0.7818181818181817
prev_os,2,27277,6800,10,-0.5030303030303029,-0.5030303030303029
prev_os,3,27210,6857,10,-0.5393939393939393,-0.38181818181818183
prev_os,4,27345,6789,10,-0.7454545454545454,-0.8060606060606059
eff120,0,27228,6836,10,0.2606060606060606,0.5393939393939393
eff120,1,27247,6851,10,0.34545454545454546,0.33333333333333326
eff120,2,27276,6800,10,-0.4787878787878787,-0.5515151515151515
eff120,3,27209,6857,10,0.3696969696969697,0.23636363636363633
eff120,4,27344,6789,10,0.19999999999999998,-0.19999999999999998
sig460,0,27228,6850,10,-0.5636363636363636,-0.7696969696969697
sig460,1,27261,6851,9,-0.39999999999999997,-0.8499999999999999
sig460,2,27290,6800,10,0.41818181818181815,0.2121212121212121
sig460,3,27223,6857,10,0.4424242424242424,-0.6
sig460,4,27358,6789,10,0.4666666666666666,-0.12727272727272726
volvol,0,27228,6850,10,0.7696969696969697,0.8666666666666665
volvol,1,27261,6851,10,0.309090909090909,0.3696969696969697
volvol,2,27290,6800,10,0.32121212121212117,0.6606060606060605
volvol,3,27223,6857,10,0.6363636363636362,0.406060606060606
volvol,4,27358,6789,10,-0.5272727272727272,-0.22424242424242422
sessbkt,0,27228,6850,6,0.7142857142857143,0.028571428571428574
sessbkt,1,27261,6851,6,1.0,0.942857142857143
sessbkt,2,27290,6800,6,0.8857142857142858,-0.5428571428571429
sessbkt,3,27223,6857,6,0.942857142857143,0.028571428571428574
sessbkt,4,27358,6789,6,0.3714285714285715,0.3714285714285715
gap_atr,0,27228,6365,10,-0.41818181818181815,-0.38181818181818183
gap_atr,1,26776,6851,10,-0.4424242424242424,-0.5272727272727272
gap_atr,2,26805,6800,10,0.2727272727272727,0.33333333333333326
gap_atr,3,26738,6857,10,0.29696969696969694,-0.2727272727272727
gap_atr,4,26873,6789,10,0.01818181818181818,-0.11515151515151514
