statistic,real,surr_p2.5,surr_p50,surr_p97.5,real_vs_band,frac_surr_ge_real
flips_per_year,3189.850060718801,2039.4340135002708,4073.6000638357827,7843.221166050335,INSIDE,0.766
interflip_median_bars,16.0,7.0,13.0,25.0,INSIDE,0.302
interflip_p90_bars,91.0,34.0,70.0,153.04999999999995,INSIDE,0.236
drift_20b_ticks,1.8068937161652847,-2.54846097050386,0.11769764985298067,3.0047836834712007,INSIDE,0.146
drift_80b_ticks,0.9928027966275962,-2.6966473997385787,0.24272552771651357,3.2227512968440757,INSIDE,0.342
drift_460b_ticks,2.8832292167227296,-2.1153981424622232,0.8420908611236997,3.7667752650169457,INSIDE,0.09
mean_omega_ticks,231.54313712053724,217.85408824437388,235.48453021828243,265.9901882380921,INSIDE,0.622
r_omega_over_theta,1.2935370788856828,1.2170619454992955,1.315556034739008,1.4859787052407378,INSIDE,0.622
omega_minus_theta_ticks,52.54313712053724,38.85408824437388,56.484530218282444,86.99018823809209,INSIDE,0.622
mean_excess_ticks,47.48859042006441,37.75127766627593,53.698406777512844,87.75850790532947,INSIDE,0.748
gross_usd_per_cycle,25.272733502364147,-14.524416114127401,8.190260019927722,28.576671290142876,INSIDE,0.054
net_usd_per_cycle,10.912733502364148,-28.8844161141274,-6.169739980072277,14.216671290142875,INSIDE,0.054
