# TM=90 SM=240 SS=5 WWS=10 EST=1 TF=False start=180000 end=163000 slip=1 instrument=NQU6 period=3 execs=19434 execmode=1
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T06:03:00,239,Long,Buy,Long,19795,1,2.18,-2,0
1,2022-01-03T09:00:00,298,Close position,Sell,Short,19753.75,1,2.18,2,0
2,2022-01-03T09:00:00,298,Short,SellShort,Short,19753.75,1,2.18,2,0
3,2022-01-03T09:33:00,309,Close position,BuyToCover,Long,19801.75,1,2.18,-1,0
4,2022-01-03T09:33:00,309,Long,Buy,Long,19801.75,1,2.18,-1,0
5,2022-01-03T09:48:00,314,Close position,Sell,Short,19777.75,1,2.18,1,0
6,2022-01-03T09:48:00,314,Short,SellShort,Short,19777.75,1,2.18,1,0
7,2022-01-03T10:06:00,320,Close position,BuyToCover,Long,19730.75,1,2.18,-1,0
8,2022-01-03T10:06:00,320,Long,Buy,Long,19730.75,1,2.18,-1,0
9,2022-01-03T11:39:00,351,Close position,Sell,Short,19741.25,1,2.18,2,0
10,2022-01-03T11:39:00,351,Short,SellShort,Short,19741.25,1,2.18,2,0
11,2022-01-03T17:00:00,459,Exit on session close,BuyToCover,Long,19860.25,1,2.18,5,0
12,2022-01-04T07:30:00,728,Short,SellShort,Short,19865,1,2.18,11,0
13,2022-01-04T11:39:00,811,Close position,BuyToCover,Long,19594,1,2.18,-4,0
14,2022-01-04T11:39:00,811,Long,Buy,Long,19594,1,2.18,-4,0
15,2022-01-04T12:06:00,820,Close position,Sell,Short,19546.75,1,2.18,1,0
16,2022-01-04T12:06:00,820,Short,SellShort,Short,19546.75,1,2.18,1,0
17,2022-01-04T14:33:00,869,Close position,BuyToCover,Long,19570.25,1,2.18,-2,0
18,2022-01-04T14:33:00,869,Long,Buy,Long,19570.25,1,2.18,-2,0
19,2022-01-04T16:03:00,899,Close position,Sell,Short,19624.25,1,2.18,1,0
20,2022-01-04T16:03:00,899,Short,SellShort,Short,19624.25,1,2.18,1,0
21,2022-01-04T17:00:00,919,Exit on session close,BuyToCover,Long,19626,1,2.18,-1,0
22,2022-01-05T04:09:00,1121,Long,Buy,Long,19602.25,1,2.18,-5,0
23,2022-01-05T08:18:00,1204,Close position,Sell,Short,19554.25,1,2.18,2,0
24,2022-01-05T08:18:00,1204,Short,SellShort,Short,19554.25,1,2.18,2,0
25,2022-01-05T09:42:00,1232,Close position,BuyToCover,Long,19550.75,1,2.18,-1,0
26,2022-01-05T09:42:00,1232,Long,Buy,Long,19550.75,1,2.18,-1,0
27,2022-01-05T10:18:00,1244,Close position,Sell,Short,19536,1,2.18,1,0
28,2022-01-05T10:18:00,1244,Short,SellShort,Short,19536,1,2.18,1,0
29,2022-01-05T14:03:00,1319,Close position,BuyToCover,Long,19454.25,1,2.18,-3,0
30,2022-01-05T14:03:00,1319,Long,Buy,Long,19454.25,1,2.18,-3,0
31,2022-01-05T14:06:00,1320,Close position,Sell,Short,19399.75,1,2.18,1,1
32,2022-01-05T14:06:00,1320,Short,SellShort,Short,19399.75,1,2.18,1,1
33,2022-01-05T17:00:00,1379,Exit on session close,BuyToCover,Long,19119,1,2.18,-4,0
34,2022-01-05T18:57:00,1397,Long,Buy,Long,19147.25,1,2.18,-4,0
35,2022-01-05T22:18:00,1464,Close position,Sell,Short,19109,1,2.18,2,0
36,2022-01-05T22:18:00,1464,Short,SellShort,Short,19109,1,2.18,2,0
37,2022-01-06T02:03:00,1539,Close position,BuyToCover,Long,19062.75,1,2.18,-2,0
38,2022-01-06T02:03:00,1539,Long,Buy,Long,19062.75,1,2.18,-2,0
39,2022-01-06T03:24:00,1566,Close position,Sell,Short,19082,1,2.18,1,0
40,2022-01-06T03:24:00,1566,Short,SellShort,Short,19082,1,2.18,1,0
41,2022-01-06T04:00:00,1578,Close position,BuyToCover,Long,19123.75,1,2.18,-1,0
42,2022-01-06T04:00:00,1578,Long,Buy,Long,19123.75,1,2.18,-1,0
43,2022-01-06T06:24:00,1626,Close position,Sell,Short,19066.5,1,2.18,1,0
44,2022-01-06T06:24:00,1626,Short,SellShort,Short,19066.5,1,2.18,1,0
45,2022-01-06T09:24:00,1686,Close position,BuyToCover,Long,19089,1,2.18,-2,0
46,2022-01-06T09:24:00,1686,Long,Buy,Long,19089,1,2.18,-2,0
47,2022-01-06T09:51:00,1695,Close position,Sell,Short,19142,1,2.18,1,0
48,2022-01-06T09:51:00,1695,Short,SellShort,Short,19142,1,2.18,1,0
49,2022-01-06T10:18:00,1704,Close position,BuyToCover,Long,19032.25,1,2.18,-1,0
50,2022-01-06T10:18:00,1704,Long,Buy,Long,19032.25,1,2.18,-1,0
51,2022-01-06T10:24:00,1706,Close position,Sell,Short,19040.25,1,2.18,1,0
52,2022-01-06T10:24:00,1706,Short,SellShort,Short,19040.25,1,2.18,1,0
53,2022-01-06T11:57:00,1737,Close position,BuyToCover,Long,19206,1,2.18,-1,0
54,2022-01-06T11:57:00,1737,Long,Buy,Long,19206,1,2.18,-1,0
55,2022-01-06T13:03:00,1759,Close position,Sell,Short,19181.75,1,2.18,1,0
56,2022-01-06T13:03:00,1759,Short,SellShort,Short,19181.75,1,2.18,1,0
57,2022-01-06T14:12:00,1782,Close position,BuyToCover,Long,19200.5,1,2.18,-1,0
58,2022-01-06T14:12:00,1782,Long,Buy,Long,19200.5,1,2.18,-1,0
59,2022-01-06T15:21:00,1805,Close position,Sell,Short,19165,1,2.18,1,0
60,2022-01-06T15:21:00,1805,Short,SellShort,Short,19165,1,2.18,1,0
61,2022-01-06T16:57:00,1837,Close position,BuyToCover,Long,19157.25,1,2.18,-1,0
62,2022-01-06T16:57:00,1837,Long,Buy,Long,19157.25,1,2.18,-1,0
