# TM=90 SM=179 SS=5 WWS=10 anchor=2 thresh=1 volperiod=460 volmult=30 smin=40 smax=1200 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=NQU6 period=3 execs=1870
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-02T19:54:00,36,Long,Buy,Long,19778.75,1,2.18,1,1
1,2022-01-03T09:54:00,316,L-SolarExit,Sell,Short,19683.25,1,2.18,-1,-1
2,2022-01-03T10:30:00,328,Long,Buy,Long,19767.25,1,2.18,1,1
3,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,19860,1,2.18,4,0
4,2022-01-04T10:06:00,780,Short,SellShort,Short,19777,1,2.18,-1,-1
5,2022-01-04T15:24:00,886,S-SolarExit,BuyToCover,Long,19647,1,2.18,1,1
6,2022-01-05T09:36:00,1230,Short,SellShort,Short,19490.25,1,2.18,-1,-1
7,2022-01-05T17:00:00,1379,Exit on session close,BuyToCover,Long,19119,1,2.18,-6,0
8,2022-01-06T09:42:00,1692,Long,Buy,Long,19176.75,1,2.18,1,1
9,2022-01-06T17:00:00,1839,Exit on session close,Sell,Short,19158.25,1,2.18,2,0
10,2022-01-07T10:42:00,2172,Short,SellShort,Short,18984.25,1,2.18,-1,-1
11,2022-01-07T17:00:00,2299,Exit on session close,BuyToCover,Long,18935,1,2.18,-1,0
12,2022-01-10T13:48:00,2694,Long,Buy,Long,18749,1,2.18,1,1
13,2022-01-10T17:00:00,2759,Exit on session close,Sell,Short,18979.75,1,2.18,3,0
14,2022-01-13T10:54:00,4016,Short,SellShort,Short,19126.25,1,2.18,-1,-1
15,2022-01-13T17:00:00,4139,Exit on session close,BuyToCover,Long,18866.5,1,2.18,-3,0
16,2022-01-14T09:42:00,4452,Long,Buy,Long,18877.75,1,2.18,1,1
17,2022-01-14T17:00:00,4599,Exit on session close,Sell,Short,18981,1,2.18,4,0
18,2022-01-18T03:15:00,5163,Short,SellShort,Short,18735.5,1,2.18,-1,-1
19,2022-01-18T10:12:00,5302,S-SolarExit,BuyToCover,Long,18764.25,1,2.18,1,1
20,2022-01-18T12:57:00,5357,Short,SellShort,Short,18618,1,2.18,-1,-1
21,2022-01-18T17:00:00,5439,Exit on session close,BuyToCover,Long,18604.25,1,2.18,-2,0
22,2022-01-19T06:09:00,5681,Long,Buy,Long,18634.5,1,2.18,1,1
23,2022-01-19T15:54:00,5876,L-SolarExit,Sell,Short,18454.75,1,2.18,-1,-1
24,2022-01-20T09:48:00,6214,Long,Buy,Long,18623,1,2.18,1,1
25,2022-01-20T14:51:00,6315,L-SolarExit,Sell,Short,18451.75,1,2.18,-1,-1
26,2022-01-21T10:54:00,6696,Long,Buy,Long,18175.5,1,2.18,1,1
27,2022-01-21T14:39:00,6771,L-SolarExit,Sell,Short,17912.75,1,2.18,-1,-1
28,2022-01-24T13:12:00,7202,Long,Buy,Long,17395.25,1,2.18,1,1
29,2022-01-24T17:00:00,7279,Exit on session close,Sell,Short,17867.25,1,2.18,4,0
