# TM=90 SM=680 SS=5 WWS=10 anchor=0 thresh=0 volperiod=460 volmult=14 smin=40 smax=1200 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=NQU6 period=3 execs=2400
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T14:48:00,414,Long,Buy,Long,19854.75,1,2.18,1,1
1,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,19860,1,2.18,2,0
2,2022-01-04T10:18:00,784,Short,SellShort,Short,19753.75,1,2.18,-1,-1
3,2022-01-04T15:54:00,896,S-SolarExit,BuyToCover,Long,19684.75,1,2.18,1,1
4,2022-01-05T09:36:00,1230,Short,SellShort,Short,19490.25,1,2.18,-1,-1
5,2022-01-05T17:00:00,1379,Exit on session close,BuyToCover,Long,19119,1,2.18,-6,0
6,2022-01-06T09:42:00,1692,Long,Buy,Long,19176.75,1,2.18,1,1
7,2022-01-06T10:09:00,1701,L-SolarExit,Sell,Short,18997.75,1,2.18,-1,-1
8,2022-01-06T10:30:00,1708,Long,Buy,Long,19143.5,1,2.18,1,1
9,2022-01-06T17:00:00,1839,Exit on session close,Sell,Short,19158.25,1,2.18,2,0
10,2022-01-07T03:36:00,2030,Short,SellShort,Short,19059.25,1,2.18,-1,-1
11,2022-01-07T17:00:00,2299,Exit on session close,BuyToCover,Long,18935,1,2.18,-3,0
12,2022-01-10T13:24:00,2686,Long,Buy,Long,18700.5,1,2.18,1,1
13,2022-01-10T17:00:00,2759,Exit on session close,Sell,Short,18979.75,1,2.18,3,0
14,2022-01-11T09:21:00,3065,Short,SellShort,Short,18921,1,2.18,-1,-1
15,2022-01-11T11:18:00,3104,S-SolarExit,BuyToCover,Long,19067.75,1,2.18,1,1
16,2022-01-12T11:12:00,3562,Short,SellShort,Short,19184.25,1,2.18,-1,-1
17,2022-01-12T17:00:00,3679,Exit on session close,BuyToCover,Long,19260,1,2.18,-1,0
18,2022-01-14T09:42:00,4452,Long,Buy,Long,18877.75,1,2.18,1,1
19,2022-01-14T17:00:00,4599,Exit on session close,Sell,Short,18981,1,2.18,2,0
20,2022-01-17T22:57:00,5077,Short,SellShort,Short,18822.75,1,2.18,-1,-1
21,2022-01-18T17:00:00,5439,Exit on session close,BuyToCover,Long,18604.25,1,2.18,-6,0
22,2022-01-19T04:45:00,5653,Long,Buy,Long,18590.75,1,2.18,1,1
23,2022-01-19T10:51:00,5775,L-SolarExit,Sell,Short,18534.25,1,2.18,-1,-1
24,2022-01-19T12:30:00,5808,Long,Buy,Long,18656.75,1,2.18,1,1
25,2022-01-19T15:33:00,5869,L-SolarExit,Sell,Short,18498.25,1,2.18,-1,-1
26,2022-01-20T06:33:00,6149,Long,Buy,Long,18539.75,1,2.18,1,1
27,2022-01-20T14:18:00,6304,L-SolarExit,Sell,Short,18518.25,1,2.18,-1,-1
28,2022-01-21T03:09:00,6541,Long,Buy,Long,18151.5,1,2.18,1,1
29,2022-01-21T10:06:00,6680,L-SolarExit,Sell,Short,17984.75,1,2.18,-1,-1
30,2022-01-21T10:39:00,6691,Long,Buy,Long,18104.25,1,2.18,1,1
31,2022-01-21T11:51:00,6715,L-SolarExit,Sell,Short,18047.25,1,2.18,-1,-1
32,2022-01-24T12:51:00,7195,Long,Buy,Long,17250.75,1,2.18,1,1
33,2022-01-24T14:27:00,7227,L-SolarExit,Sell,Short,17432,1,2.18,-1,-1
34,2022-01-24T15:06:00,7240,Long,Buy,Long,17570,1,2.18,1,1
35,2022-01-24T17:00:00,7279,Exit on session close,Sell,Short,17867.25,1,2.18,2,0
36,2022-01-24T20:03:00,7319,Short,SellShort,Short,17703.5,1,2.18,-1,-1
37,2022-01-25T04:51:00,7495,S-SolarExit,BuyToCover,Long,17700.5,1,2.18,1,1
38,2022-01-25T07:45:00,7553,Short,SellShort,Short,17550.25,1,2.18,-1,-1
39,2022-01-25T13:51:00,7675,S-SolarExit,BuyToCover,Long,17566.75,1,2.18,1,1
40,2022-01-25T15:33:00,7709,Short,SellShort,Short,17582.25,1,2.18,-1,-1
41,2022-01-25T17:00:00,7739,Exit on session close,BuyToCover,Long,17287,1,2.18,-1,0
42,2022-01-25T18:12:00,7742,Long,Buy,Long,17438.5,1,2.18,1,1
43,2022-01-26T10:51:00,8075,L-SolarExit,Sell,Short,17693.25,1,2.18,-1,-1
44,2022-01-26T12:42:00,8112,Long,Buy,Long,17881.75,1,2.18,1,1
