# TM=90 SM=230 SS=5 WWS=10 anchor=0 thresh=0 volperiod=460 volmult=14 smin=40 smax=1200 exitmult=196 EST=1 TF=False end=163000 slip=1 instrument=NQU6 period=3 execs=14850
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T06:06:00,240,Long,Buy,Long,19799,1,2.18,1,1
1,2022-01-03T09:03:00,299,L-SolarExit,Sell,Short,19751.25,1,2.18,-1,-1
2,2022-01-03T09:42:00,312,Long,Buy,Long,19838,1,2.18,1,1
3,2022-01-03T09:51:00,315,L-SolarExit,Sell,Short,19743.5,1,2.18,-1,-1
4,2022-01-03T10:18:00,324,Long,Buy,Long,19751.5,1,2.18,1,1
5,2022-01-03T11:42:00,352,L-SolarExit,Sell,Short,19742.5,1,2.18,-1,-1
6,2022-01-03T13:45:00,393,Long,Buy,Long,19812,1,2.18,1,1
7,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,19860,1,2.18,3,0
8,2022-01-04T07:33:00,729,Short,SellShort,Short,19861.5,1,2.18,-1,-1
9,2022-01-04T11:39:00,811,S-SolarExit,BuyToCover,Long,19583.25,1,2.18,-4,0
10,2022-01-04T11:48:00,814,Long,Buy,Long,19596.5,1,2.18,1,1
11,2022-01-04T12:09:00,821,L-SolarExit,Sell,Short,19547,1,2.18,-1,-1
12,2022-01-04T14:36:00,870,Long,Buy,Long,19570.75,1,2.18,1,1
13,2022-01-04T16:06:00,900,L-SolarExit,Sell,Short,19630.75,1,2.18,1,0
14,2022-01-04T16:09:00,901,Short,SellShort,Short,19624.5,1,2.18,-1,-1
15,2022-01-04T17:00:00,919,Exit on session close,BuyToCover,Long,19626,1,2.18,-1,0
16,2022-01-05T04:21:00,1125,Long,Buy,Long,19599.5,1,2.18,1,1
17,2022-01-05T06:39:00,1171,L-SolarExit,Sell,Short,19565,1,2.18,2,0
18,2022-01-05T09:12:00,1222,Short,SellShort,Short,19556.5,1,2.18,-1,-1
19,2022-01-05T09:45:00,1233,S-SolarExit,BuyToCover,Long,19549.25,1,2.18,1,1
20,2022-01-05T10:21:00,1245,Short,SellShort,Short,19530.5,1,2.18,-1,-1
21,2022-01-05T13:36:00,1310,S-SolarExit,BuyToCover,Long,19444.5,1,2.18,-3,0
22,2022-01-05T14:06:00,1320,Long,Buy,Long,19460,1,2.18,1,1
23,2022-01-05T14:09:00,1321,L-SolarExit,Sell,Short,19380.25,1,2.18,-1,-1
24,2022-01-05T19:00:00,1398,Long,Buy,Long,19147.5,1,2.18,1,1
25,2022-01-05T22:15:00,1463,L-SolarExit,Sell,Short,19119.25,1,2.18,2,0
26,2022-01-05T22:45:00,1473,Short,SellShort,Short,19101,1,2.18,-1,-1
27,2022-01-06T02:06:00,1540,S-SolarExit,BuyToCover,Long,19066.25,1,2.18,1,1
28,2022-01-06T03:27:00,1567,Short,SellShort,Short,19082,1,2.18,-1,-1
29,2022-01-06T04:00:00,1578,S-SolarExit,BuyToCover,Long,19117.25,1,2.18,-1,0
30,2022-01-06T05:18:00,1604,Long,Buy,Long,19123,1,2.18,1,1
31,2022-01-06T06:24:00,1626,L-SolarExit,Sell,Short,19074,1,2.18,1,0
32,2022-01-06T06:27:00,1627,Short,SellShort,Short,19066.25,1,2.18,-1,-1
33,2022-01-06T09:18:00,1684,S-SolarExit,BuyToCover,Long,19077.75,1,2.18,-2,0
34,2022-01-06T09:27:00,1687,Long,Buy,Long,19091.25,1,2.18,1,1
35,2022-01-06T09:54:00,1696,L-SolarExit,Sell,Short,19112.5,1,2.18,-1,-1
36,2022-01-06T10:21:00,1705,Long,Buy,Long,19100.75,1,2.18,1,1
37,2022-01-06T11:30:00,1728,L-SolarExit,Sell,Short,19174.5,1,2.18,-1,-1
38,2022-01-06T12:00:00,1738,Long,Buy,Long,19202.75,1,2.18,1,1
39,2022-01-06T13:03:00,1759,L-SolarExit,Sell,Short,19186,1,2.18,2,0
40,2022-01-06T13:09:00,1761,Short,SellShort,Short,19183.5,1,2.18,-1,-1
41,2022-01-06T14:51:00,1795,S-SolarExit,BuyToCover,Long,19188.5,1,2.18,-1,0
42,2022-01-06T15:06:00,1800,Long,Buy,Long,19200,1,2.18,1,1
43,2022-01-06T15:24:00,1806,L-SolarExit,Sell,Short,19175.5,1,2.18,1,0
44,2022-01-06T15:27:00,1807,Short,SellShort,Short,19154.5,1,2.18,-1,-1
45,2022-01-06T16:18:00,1824,S-SolarExit,BuyToCover,Long,19147,1,2.18,-1,0
46,2022-01-06T16:57:00,1837,Long,Buy,Long,19155.75,1,2.18,1,1
47,2022-01-06T17:00:00,1839,Exit on session close,Sell,Short,19158.25,1,2.18,1,0
48,2022-01-06T21:45:00,1913,Short,SellShort,Short,19156.5,1,2.18,-1,-1
49,2022-01-07T04:15:00,2043,S-SolarExit,BuyToCover,Long,19088.25,1,2.18,-6,0
50,2022-01-07T04:24:00,2046,Long,Buy,Long,19099.5,1,2.18,1,1
51,2022-01-07T08:18:00,2124,L-SolarExit,Sell,Short,19131,1,2.18,4,0
52,2022-01-07T08:27:00,2127,Short,SellShort,Short,19122.75,1,2.18,-1,-1
53,2022-01-07T09:06:00,2140,S-SolarExit,BuyToCover,Long,19070.25,1,2.18,1,1
54,2022-01-07T09:39:00,2151,Short,SellShort,Short,19065,1,2.18,-1,-1
55,2022-01-07T09:45:00,2153,S-SolarExit,BuyToCover,Long,19127.25,1,2.18,1,1
56,2022-01-07T10:09:00,2161,Short,SellShort,Short,19094.5,1,2.18,-1,-1
57,2022-01-07T11:12:00,2182,S-SolarExit,BuyToCover,Long,18950.5,1,2.18,-1,0
58,2022-01-07T11:30:00,2188,Long,Buy,Long,18970.75,1,2.18,1,1
59,2022-01-07T12:24:00,2206,L-SolarExit,Sell,Short,18973,1,2.18,1,0
60,2022-01-07T12:42:00,2212,Short,SellShort,Short,18962.75,1,2.18,-1,-1
61,2022-01-07T14:45:00,2253,S-SolarExit,BuyToCover,Long,18985.75,1,2.18,-2,0
62,2022-01-07T14:51:00,2255,Long,Buy,Long,18998.25,1,2.18,1,1
63,2022-01-07T15:48:00,2274,L-SolarExit,Sell,Short,18967.5,1,2.18,1,0
64,2022-01-07T16:03:00,2279,Short,SellShort,Short,18949.25,1,2.18,-1,-1
65,2022-01-07T17:00:00,2299,Exit on session close,BuyToCover,Long,18935,1,2.18,-2,0
66,2022-01-09T19:42:00,2332,Long,Buy,Long,18949.25,1,2.18,1,1
67,2022-01-10T03:15:00,2483,L-SolarExit,Sell,Short,18972,1,2.18,-1,-1
68,2022-01-10T04:15:00,2503,Long,Buy,Long,18952.75,1,2.18,1,1
69,2022-01-10T05:45:00,2533,L-SolarExit,Sell,Short,18914.5,1,2.18,2,0
70,2022-01-10T05:48:00,2534,Short,SellShort,Short,18911,1,2.18,-1,-1
71,2022-01-10T11:09:00,2641,S-SolarExit,BuyToCover,Long,18581.75,1,2.18,-4,0
72,2022-01-10T11:12:00,2642,Long,Buy,Long,18586.5,1,2.18,1,1
73,2022-01-10T11:45:00,2653,L-SolarExit,Sell,Short,18629.5,1,2.18,1,0
74,2022-01-10T12:09:00,2661,Short,SellShort,Short,18613.75,1,2.18,-1,-1
75,2022-01-10T12:51:00,2675,S-SolarExit,BuyToCover,Long,18623,1,2.18,-1,0
76,2022-01-10T12:57:00,2677,Long,Buy,Long,18673,1,2.18,1,1
77,2022-01-10T14:57:00,2717,L-SolarExit,Sell,Short,18800.5,1,2.18,-1,-1
78,2022-01-10T15:30:00,2728,Long,Buy,Long,18847.25,1,2.18,1,1
79,2022-01-10T17:00:00,2759,Exit on session close,Sell,Short,18979.75,1,2.18,2,0
80,2022-01-11T01:33:00,2909,Short,SellShort,Short,18942.75,1,2.18,-1,-1
81,2022-01-11T02:24:00,2926,S-SolarExit,BuyToCover,Long,18985.5,1,2.18,-1,0
82,2022-01-11T02:33:00,2929,Long,Buy,Long,18990,1,2.18,1,1
83,2022-01-11T06:18:00,3004,L-SolarExit,Sell,Short,19041,1,2.18,2,0
84,2022-01-11T07:51:00,3035,Short,SellShort,Short,19030.5,1,2.18,-1,-1
85,2022-01-11T09:57:00,3077,S-SolarExit,BuyToCover,Long,18918.5,1,2.18,1,1
86,2022-01-11T10:39:00,3091,Short,SellShort,Short,18926.75,1,2.18,-1,-1
87,2022-01-11T11:03:00,3099,S-SolarExit,BuyToCover,Long,18929.25,1,2.18,-1,0
88,2022-01-11T11:06:00,3100,Long,Buy,Long,18953,1,2.18,1,1
89,2022-01-11T12:30:00,3128,L-SolarExit,Sell,Short,19123.5,1,2.18,-1,-1
90,2022-01-11T13:24:00,3146,Long,Buy,Long,19167.75,1,2.18,1,1
91,2022-01-11T15:57:00,3197,L-SolarExit,Sell,Short,19148.75,1,2.18,2,0
92,2022-01-12T03:30:00,3408,Short,SellShort,Short,19173.25,1,2.18,-1,-1
93,2022-01-12T04:30:00,3428,S-SolarExit,BuyToCover,Long,19191.75,1,2.18,-1,0
94,2022-01-12T04:33:00,3429,Long,Buy,Long,19202.75,1,2.18,1,1
95,2022-01-12T09:45:00,3533,L-SolarExit,Sell,Short,19269.25,1,2.18,-1,-1
96,2022-01-12T09:57:00,3537,Long,Buy,Long,19315.5,1,2.18,1,1
