# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=2 volperiod=460 volmult=18 pricebp=16 smin=10 smax=2000 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=ESU6 tick=0.25 pointvalue=50 period=3 execs=17248
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-02T19:54:00,36,Long,Buy,Long,5599.75,1,2.18,1,1
1,2022-01-03T01:15:00,143,L-SolarExit,Sell,Short,5590.75,1,2.18,-1,-1
2,2022-01-03T04:57:00,217,Long,Buy,Long,5598,1,2.18,1,1
3,2022-01-03T09:00:00,298,L-SolarExit,Sell,Short,5597.25,1,2.18,-1,-1
4,2022-01-03T09:42:00,312,Long,Buy,Long,5599.5,1,2.18,1,1
5,2022-01-03T09:51:00,315,L-SolarExit,Sell,Short,5580.5,1,2.18,-1,-1
6,2022-01-03T10:00:00,318,Long,Buy,Long,5580,1,2.18,1,1
7,2022-01-03T11:12:00,342,L-SolarExit,Sell,Short,5582.25,1,2.18,-1,-1
8,2022-01-03T11:51:00,355,Long,Buy,Long,5582.25,1,2.18,1,1
9,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,5600.5,1,2.18,5,0
10,2022-01-04T07:33:00,729,Short,SellShort,Short,5612.75,1,2.18,-1,-1
11,2022-01-04T09:45:00,773,S-SolarExit,BuyToCover,Long,5623.5,1,2.18,1,1
12,2022-01-04T10:21:00,785,Short,SellShort,Short,5614.25,1,2.18,-1,-1
13,2022-01-04T11:39:00,811,S-SolarExit,BuyToCover,Long,5598.75,1,2.18,1,1
14,2022-01-04T12:57:00,837,Short,SellShort,Short,5594.25,1,2.18,-1,-1
15,2022-01-04T14:24:00,866,S-SolarExit,BuyToCover,Long,5591,1,2.18,1,1
16,2022-01-04T16:00:00,898,Short,SellShort,Short,5603.25,1,2.18,-1,-1
17,2022-01-04T17:00:00,919,Exit on session close,BuyToCover,Long,5600.25,1,2.18,-1,0
18,2022-01-05T02:51:00,1095,Long,Buy,Long,5595.5,1,2.18,1,1
19,2022-01-05T07:54:00,1196,L-SolarExit,Sell,Short,5593.75,1,2.18,-1,-1
20,2022-01-05T10:30:00,1248,Long,Buy,Long,5602.5,1,2.18,1,1
21,2022-01-05T11:12:00,1262,L-SolarExit,Sell,Short,5591.5,1,2.18,-1,-1
22,2022-01-05T18:30:00,1388,Long,Buy,Long,5510.5,1,2.18,1,1
23,2022-01-05T20:15:00,1423,L-SolarExit,Sell,Short,5507.25,1,2.18,-1,-1
24,2022-01-05T20:39:00,1431,Long,Buy,Long,5517.25,1,2.18,1,1
25,2022-01-05T21:30:00,1448,L-SolarExit,Sell,Short,5507.75,1,2.18,-1,-1
26,2022-01-06T01:48:00,1534,Long,Buy,Long,5494.25,1,2.18,1,1
27,2022-01-06T02:57:00,1557,L-SolarExit,Sell,Short,5503.5,1,2.18,-1,-1
28,2022-01-06T04:00:00,1578,Long,Buy,Long,5508,1,2.18,1,1
29,2022-01-06T06:42:00,1632,L-SolarExit,Sell,Short,5507.25,1,2.18,-1,-1
30,2022-01-06T09:42:00,1692,Long,Buy,Long,5521.75,1,2.18,1,1
31,2022-01-06T09:51:00,1695,L-SolarExit,Sell,Short,5514,1,2.18,-1,-1
32,2022-01-06T10:21:00,1705,Long,Buy,Long,5497.25,1,2.18,1,1
33,2022-01-06T11:06:00,1720,L-SolarExit,Sell,Short,5507.25,1,2.18,-1,-1
34,2022-01-06T11:18:00,1724,Long,Buy,Long,5516.25,1,2.18,1,1
35,2022-01-06T11:30:00,1728,L-SolarExit,Sell,Short,5509.25,1,2.18,-1,-1
36,2022-01-06T12:03:00,1739,Long,Buy,Long,5516.25,1,2.18,1,1
37,2022-01-06T13:03:00,1759,L-SolarExit,Sell,Short,5519.25,1,2.18,-1,-1
38,2022-01-06T15:00:00,1798,Long,Buy,Long,5520,1,2.18,1,1
39,2022-01-06T15:21:00,1805,L-SolarExit,Sell,Short,5513.5,1,2.18,-1,-1
40,2022-01-06T16:09:00,1821,Long,Buy,Long,5508,1,2.18,1,1
41,2022-01-06T17:00:00,1839,Exit on session close,Sell,Short,5510,1,2.18,2,0
42,2022-01-06T21:12:00,1902,Short,SellShort,Short,5511,1,2.18,-1,-1
43,2022-01-07T04:15:00,2043,S-SolarExit,BuyToCover,Long,5504.75,1,2.18,-3,0
44,2022-01-07T04:18:00,2044,Long,Buy,Long,5505,1,2.18,1,1
45,2022-01-07T07:45:00,2113,L-SolarExit,Sell,Short,5507.5,1,2.18,3,0
46,2022-01-07T08:03:00,2119,Short,SellShort,Short,5506.5,1,2.18,-1,-1
47,2022-01-07T09:15:00,2143,S-SolarExit,BuyToCover,Long,5499.25,1,2.18,-1,0
48,2022-01-07T09:18:00,2144,Long,Buy,Long,5501,1,2.18,1,1
49,2022-01-07T09:39:00,2151,L-SolarExit,Sell,Short,5494.25,1,2.18,1,0
50,2022-01-07T10:09:00,2161,Short,SellShort,Short,5501.25,1,2.18,-1,-1
51,2022-01-07T11:27:00,2187,S-SolarExit,BuyToCover,Long,5482,1,2.18,1,1
