# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=1 volperiod=460 volmult=6 pricebp=25 smin=10 smax=2000 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=ESU6 tick=0.25 pointvalue=50 period=3 execs=17852
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-04T00:48:00,594,Long,Buy,Long,5613.75,1,2.18,1,1
1,2022-01-04T04:00:00,658,L-SolarExit,Sell,Short,5609,1,2.18,1,0
2,2022-01-04T07:27:00,727,Short,SellShort,Short,5616.5,1,2.18,-1,-1
3,2022-01-04T08:24:00,746,S-SolarExit,BuyToCover,Long,5620.25,1,2.18,1,1
4,2022-01-04T10:09:00,781,Short,SellShort,Short,5616.75,1,2.18,-1,-1
5,2022-01-04T10:33:00,789,S-SolarExit,BuyToCover,Long,5621,1,2.18,1,1
6,2022-01-04T10:42:00,792,Short,SellShort,Short,5611.5,1,2.18,-1,-1
7,2022-01-04T11:33:00,809,S-SolarExit,BuyToCover,Long,5595,1,2.18,-2,0
8,2022-01-04T11:39:00,811,Long,Buy,Long,5598.75,1,2.18,1,1
9,2022-01-04T12:06:00,820,L-SolarExit,Sell,Short,5597.75,1,2.18,-1,-1
10,2022-01-04T12:21:00,825,Long,Buy,Long,5603.75,1,2.18,1,1
11,2022-01-04T12:36:00,830,L-SolarExit,Sell,Short,5597.75,1,2.18,-1,-1
12,2022-01-04T14:09:00,861,Long,Buy,Long,5587.75,1,2.18,1,1
13,2022-01-04T16:00:00,898,L-SolarExit,Sell,Short,5603.25,1,2.18,-1,-1
14,2022-01-05T01:48:00,1074,Long,Buy,Long,5590.25,1,2.18,1,1
15,2022-01-05T06:09:00,1161,L-SolarExit,Sell,Short,5596.5,1,2.18,-1,-1
16,2022-01-05T10:03:00,1239,Long,Buy,Long,5597,1,2.18,1,1
17,2022-01-05T10:42:00,1252,L-SolarExit,Sell,Short,5595.25,1,2.18,-1,-1
18,2022-01-05T11:33:00,1269,Long,Buy,Long,5597.25,1,2.18,1,1
19,2022-01-05T11:48:00,1274,L-SolarExit,Sell,Short,5588.5,1,2.18,-1,-1
20,2022-01-05T12:27:00,1287,Long,Buy,Long,5595.5,1,2.18,1,1
21,2022-01-05T12:42:00,1292,L-SolarExit,Sell,Short,5587.25,1,2.18,-1,-1
22,2022-01-05T13:36:00,1310,Long,Buy,Long,5584.25,1,2.18,1,1
23,2022-01-05T14:09:00,1321,L-SolarExit,Sell,Short,5573.25,1,2.18,-1,-1
24,2022-01-05T14:54:00,1336,Long,Buy,Long,5544.75,1,2.18,1,1
25,2022-01-05T15:06:00,1340,L-SolarExit,Sell,Short,5535.25,1,2.18,-1,-1
26,2022-01-05T15:18:00,1344,Long,Buy,Long,5533,1,2.18,1,1
27,2022-01-05T15:36:00,1350,L-SolarExit,Sell,Short,5526,1,2.18,-1,-1
28,2022-01-05T15:42:00,1352,Long,Buy,Long,5534.25,1,2.18,1,1
29,2022-01-05T15:48:00,1354,L-SolarExit,Sell,Short,5527.25,1,2.18,-1,-1
30,2022-01-05T16:18:00,1364,Long,Buy,Long,5514.75,1,2.18,1,1
31,2022-01-05T17:00:00,1378,L-SolarExit,Sell,Short,5506.75,1,2.18,-1,-1
32,2022-01-05T18:27:00,1387,Long,Buy,Long,5508.25,1,2.18,1,1
33,2022-01-05T19:45:00,1413,L-SolarExit,Sell,Short,5511,1,2.18,3,0
34,2022-01-05T19:48:00,1414,Short,SellShort,Short,5510,1,2.18,-1,-1
