# TM=90 SM=210 SS=5 WWS=10 PS=10 PE=True thresh=0 volmult=18 mask=7 reentries=1 minwave=1 maxwave=0 slip=1 instrument=NQU6 period=3 execs=22916
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-02T19:09:00,21,Short,SellShort,Short,19753.5,1,2.18,-2,-2
1,2022-01-02T20:21:00,45,S-SolarExit,BuyToCover,Long,19788,1,2.18,1,1
2,2022-01-02T20:51:00,55,Long,Buy,Long,19769,1,2.18,1,2
3,2022-01-03T09:03:00,299,L-SolarExit,Sell,Short,19751.25,1,2.18,-1,-1
4,2022-01-03T09:36:00,310,Long,Buy,Long,19794.75,1,2.18,1,1
5,2022-01-03T09:51:00,315,L-SolarExit,Sell,Short,19743.5,1,2.18,-1,-1
6,2022-01-03T09:54:00,316,Short,SellShort,Short,19683.25,1,2.18,-1,-2
7,2022-01-03T10:18:00,324,S-SolarExit,BuyToCover,Long,19751.5,1,2.18,1,1
8,2022-01-03T10:24:00,326,Long,Buy,Long,19732.25,1,2.18,1,2
9,2022-01-03T11:42:00,352,L-SolarExit,Sell,Short,19742.5,1,2.18,-1,-1
10,2022-01-03T11:45:00,353,Short,SellShort,Short,19760.75,1,2.18,-1,-2
11,2022-01-03T13:39:00,391,S-SolarExit,BuyToCover,Long,19796.75,1,2.18,1,1
12,2022-01-03T14:45:00,413,Long,Buy,Long,19840.75,1,2.18,2,3
13,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,19860,1,2.18,3,0
14,2022-01-04T03:48:00,654,Short,SellShort,Short,19851,1,2.18,-1,-1
15,2022-01-04T05:24:00,686,S-SolarExit,BuyToCover,Long,19904.25,1,2.18,1,1
16,2022-01-04T06:06:00,700,Long,Buy,Long,19922,1,2.18,2,3
17,2022-01-04T07:33:00,729,L-SolarExit,Sell,Short,19861.5,1,2.18,-1,-1
18,2022-01-04T08:18:00,744,Short,SellShort,Short,19884.75,1,2.18,-1,-2
19,2022-01-04T11:42:00,812,S-SolarExit,BuyToCover,Long,19588.75,1,2.18,1,1
20,2022-01-04T11:48:00,814,Long,Buy,Long,19596.5,1,2.18,1,2
21,2022-01-04T12:09:00,821,L-SolarExit,Sell,Short,19547,1,2.18,-1,-1
22,2022-01-04T12:15:00,823,Short,SellShort,Short,19573.25,1,2.18,-1,-2
23,2022-01-04T14:36:00,870,S-SolarExit,BuyToCover,Long,19570.75,1,2.18,1,1
24,2022-01-04T14:45:00,873,Long,Buy,Long,19576.25,1,2.18,1,2
25,2022-01-04T16:06:00,900,L-SolarExit,Sell,Short,19630.75,1,2.18,-1,-1
26,2022-01-04T18:24:00,926,Short,SellShort,Short,19607.5,1,2.18,-2,-3
27,2022-01-05T04:09:00,1121,S-SolarExit,BuyToCover,Long,19596.25,1,2.18,1,1
28,2022-01-05T05:06:00,1140,Long,Buy,Long,19608.25,1,2.18,2,3
29,2022-01-05T07:57:00,1197,L-SolarExit,Sell,Short,19562.25,1,2.18,-1,-1
30,2022-01-05T08:42:00,1212,Short,SellShort,Short,19574.5,1,2.18,-1,-2
31,2022-01-05T09:45:00,1233,S-SolarExit,BuyToCover,Long,19549.25,1,2.18,1,1
32,2022-01-05T09:48:00,1234,Long,Buy,Long,19542.25,1,2.18,1,2
33,2022-01-05T10:21:00,1245,L-SolarExit,Sell,Short,19530.5,1,2.18,-1,-1
34,2022-01-05T10:27:00,1247,Short,SellShort,Short,19544.5,1,2.18,-1,-2
35,2022-01-05T14:06:00,1320,S-SolarExit,BuyToCover,Long,19460,1,2.18,1,1
36,2022-01-05T14:09:00,1321,Short,SellShort,Short,19380.25,1,2.18,-1,-1
37,2022-01-05T15:42:00,1352,S-SolarExit,BuyToCover,Long,19244,1,2.18,1,1
38,2022-01-05T15:48:00,1354,Long,Buy,Long,19211.75,1,2.18,1,2
39,2022-01-05T15:54:00,1356,L-SolarExit,Sell,Short,19189.5,1,2.18,-1,-1
40,2022-01-05T16:00:00,1358,Short,SellShort,Short,19159.75,1,2.18,-1,-2
41,2022-01-05T17:00:00,1379,Exit on session close,BuyToCover,Long,19119,1,2.18,-2,0
42,2022-01-05T18:36:00,1390,Long,Buy,Long,19142,1,2.18,1,1
