vm,v3_fills,v4_fills,common_fills,common_pct_of_v3,v3_net,v4_net,net_ratio
6,16984,17188,14563,85.75,166144.88,83955.16,0.5053
8,11076,11250,10067,90.89,170549.32,189650.0,1.112
10,8072,8174,7515,93.1,150033.04,98880.68,0.6591
12,6166,6268,5839,94.7,138883.12,164100.76,1.1816
14,4918,4980,4721,95.99,241923.76,209333.6,0.8653
16,4066,4126,3947,97.07,228891.12,225530.32,0.9853
18,3360,3410,3269,97.29,246515.2,271506.2,1.1014
20,2938,2952,2878,97.96,245125.16,237104.64,0.9673
22,2598,2614,2536,97.61,245446.36,242191.48,0.9867
24,2320,2346,2275,98.06,193737.4,197810.72,1.021
26,2108,2138,2059,97.68,132859.56,130889.16,0.9852
28,1904,1920,1884,98.95,165399.28,183154.4,1.1073
30,1786,1794,1769,99.05,249256.52,255254.08,1.0241
