root,sector,cycle,contracts,first_bar,last_bar,tick_size,point_value,usable_start,usable_end,usable_days,roll_overlap_frac,median_overlap_days,min_overlap_days,rows,ohlc_bad,vol_neg,vol_zero,dup_contract_dates
ES,equity_index,4,43,2009-03-30,2019-12-20,0.25,50,2018-12-31,2019-12-20,253,0.302,101,-14,4959,0,0,0,0
NQ,equity_index,4,43,2009-03-30,2019-12-13,0.25,20,2016-01-04,2019-12-13,1020,0.033,100,-18,4631,0,0,0,0
YM,equity_index,4,43,2009-03-30,2019-12-20,1.0,5,2019-01-02,2019-12-20,252,0.3043,98,-72,4923,0,0,0,0
ZT,rates,4,43,2009-03-30,2019-12-31,0.00390625,2000,2019-12-27,2019-12-31,3,0.0,77,-5,4517,0,0,0,0
ZF,rates,4,43,2009-03-30,2019-12-31,0.0078125,1000,2015-10-19,2019-12-31,1080,0.4594,80,-4,4598,0,0,0,0
ZN,rates,4,43,2009-03-30,2019-12-19,0.015625,1000,2019-01-02,2019-12-19,251,0.2778,91,-30,4929,0,0,0,0
ZB,rates,4,43,2009-03-30,2019-12-19,0.03125,1000,2019-01-02,2019-12-19,251,0.3016,99,-14,5183,0,0,0,0
6E,fx,4,43,2009-03-30,2019-12-16,5e-05,125000,2019-01-02,2019-12-16,248,0.2932,3,-21,3145,0,0,0,0
6J,fx,4,43,2009-03-30,2019-12-16,5e-07,12500000,2019-01-02,2019-12-16,248,0.2932,3,-21,3110,0,0,0,0
6B,fx,4,43,2009-03-30,2019-12-16,0.0001,62500,2019-01-02,2019-12-16,248,0.2932,3,-21,3091,0,0,0,0
6A,fx,4,43,2009-03-30,2019-12-16,5e-05,100000,2019-01-02,2019-12-16,248,0.2892,3,-79,3012,0,0,2,0
6C,fx,4,43,2009-03-30,2019-12-17,5e-05,100000,2019-01-02,2019-12-17,249,0.296,3,-21,3156,0,0,0,0
6S,fx,4,43,2009-03-30,2019-12-16,5e-05,125000,2019-01-02,2019-12-16,248,0.2088,3,-21,3012,0,0,0,0
CL,energy,12,128,2009-03-30,2019-11-18,0.01,1000,2016-01-04,2019-11-18,999,0.1157,140,-14,10772,0,0,0,0
NG,energy,12,128,2009-03-30,2019-11-26,0.001,10000,2009-03-30,2019-11-26,2747,0.8879,147,-6,13729,0,0,0,0
GC,metals,6,56,2009-03-30,2019-12-26,0.1,100,2016-01-04,2019-12-26,1023,0.5813,135,-7,6807,0,0,0,0
SI,metals,5,54,2009-03-30,2019-12-27,0.005,5000,2019-01-02,2019-12-27,256,0.3217,121,-7,6728,0,0,0,0
ZC,ags,5,54,2009-03-30,2019-12-13,0.25,50,2019-01-02,2019-12-13,241,0.2903,108,-21,6163,0,0,0,0
ZW,ags,5,54,2009-03-30,2019-12-12,0.25,50,2019-01-02,2019-12-12,240,0.2874,108,-21,6154,0,0,0,0
ZM,ags,8,84,2009-03-30,2019-12-12,0.1,100,2015-10-19,2019-12-12,1047,0.6651,137,-4,9653,0,0,0,0
ZL,ags,8,84,2009-03-30,2019-12-12,0.01,600,2015-10-19,2019-12-12,1047,0.6614,137,-4,9631,0,0,0,0
