window_start,window_end,source,image_id,net,trades,commission_included,note,overlap_flag
2/3/2025,2/3/2025,TRADE_PERFORMANCE(EXECUTION),OTRIMG-0005,616.3,35.0,YES(real),live/sim execution report,
2/4/2025,2/5/2025,STRATEGY_ANALYZER,OTRIMG-0007,3805.4,30.0,YES,,
2/6/2025,2/8/2025,STRATEGY_ANALYZER,OTRIMG-0010,6864.84,4.0,YES,,
2/9/2025,2/11/2025,STRATEGY_ANALYZER,OTRIMG-0012,891.8,10.0,YES,,
2/12/2025,2/13/2025,STRATEGY_ANALYZER,OTRIMG-0014,5956.4,20.0,YES,,
2/15/2025,2/18/2025,STRATEGY_ANALYZER,OTRIMG-0016,2555.0,4.0,NO($0),,
2/19/2025,2/20/2025,STRATEGY_ANALYZER,OTRIMG-0018,1848.2,10.0,YES,,
2/21/2025,2/21/2025,STRATEGY_ANALYZER,OTRIMG-0020,3517.46,3.0,YES,,
2/23/2025,2/24/2025,STRATEGY_ANALYZER,OTRIMG-0022,8229.56,8.0,YES,,
2/25/2025,2/26/2025,STRATEGY_ANALYZER,OTRIMG-0024,4582.76,18.0,YES,,
2/28/2025,2/28/2025,STRATEGY_ANALYZER,OTRIMG-0029,9455.0,21.0,NO($0),,
3/2/2025,3/3/2025,STRATEGY_ANALYZER,OTRIMG-0031,4322.32,26.0,YES,,
3/4/2025,3/5/2025,STRATEGY_ANALYZER,OTRIMG-0035,1130.0,70.0,NO($0),,
3/6/2025,3/7/2025,STRATEGY_ANALYZER,OTRIMG-0037,2280.0,47.0,NO($0),,
3/9/2025,3/10/2025,STRATEGY_ANALYZER,OTRIMG-0039,3160.0,33.0,NO($0),,
3/12/2025,3/14/2025,STRATEGY_ANALYZER,OTRIMG-0041,290.0,60.0,NO($0),,
3/15/2025,4/30/2025,STRATEGY_ANALYZER,OTRIMG-0043,45610.1,555.0,YES,,
5/1/2025,6/27/2025,STRATEGY_ANALYZER,OTRIMG-0045,46598.8,340.0,YES,,
6/28/2025,7/4/2025,STRATEGY_ANALYZER,OTRIMG-0047,8323.12,16.0,YES,,
7/6/2025,7/11/2025,STRATEGY_ANALYZER,OTRIMG-0049,-7475.0,29.0,NO($0),,
7/13/2025,7/18/2025,STRATEGY_ANALYZER,OTRIMG-0051,4805.0,22.0,NO($0),,
7/20/2025,7/25/2025,STRATEGY_ANALYZER,OTRIMG-0053,-3615.0,24.0,NO($0),,
7/27/2025,8/1/2025,STRATEGY_ANALYZER,OTRIMG-0056,14345.0,37.0,NO($0),,
8/3/2025,8/8/2025,STRATEGY_ANALYZER,OTRIMG-0058,14465.0,34.0,NO($0),,
8/10/2025,8/15/2025,STRATEGY_ANALYZER,OTRIMG-0060,-1430.0,30.0,NO($0),,
8/17/2025,8/22/2025,STRATEGY_ANALYZER,OTRIMG-0062,-5315.0,48.0,NO($0),,
8/24/2025,8/29/2025,STRATEGY_ANALYZER,OTRIMG-0064,-4590.0,27.0,NO($0),,
8/31/2025,9/5/2025,STRATEGY_ANALYZER,OTRIMG-0066,12400.0,29.0,NO($0),,
9/7/2025,9/12/2025,STRATEGY_ANALYZER,OTRIMG-0068,-4475.0,21.0,NO($0),,
9/21/2025,9/26/2025,STRATEGY_ANALYZER,OTRIMG-0071,-815.0,27.0,NO($0),,
9/28/2025,10/3/2025,STRATEGY_ANALYZER,OTRIMG-0073,-2205.0,29.0,NO($0),,
10/5/2025,10/10/2025,STRATEGY_ANALYZER,OTRIMG-0075,5790.0,38.0,NO($0),,
10/12/2025,10/17/2025,STRATEGY_ANALYZER,OTRIMG-0077,11105.0,83.0,NO($0),,
10/19/2025,10/24/2025,STRATEGY_ANALYZER,OTRIMG-0079,-1765.0,43.0,NO($0),,
10/26/2025,10/31/2025,STRATEGY_ANALYZER,OTRIMG-0081,-3330.0,50.0,NO($0),,
11/2/2025,11/7/2025,STRATEGY_ANALYZER,OTRIMG-0083,18545.0,62.0,NO($0),,
11/9/2025,11/14/2025,STRATEGY_ANALYZER,OTRIMG-0087,12665.0,76.0,NO($0),,
11/16/2025,11/21/2025,STRATEGY_ANALYZER,OTRIMG-0089,18605.0,114.0,NO($0),,
11/23/2025,11/28/2025,STRATEGY_ANALYZER,OTRIMG-0091,-15365.0,64.0,NO($0),,
11/30/2025,12/5/2025,STRATEGY_ANALYZER,OTRIMG-0093,3650.0,60.0,NO($0),,
12/7/2025,12/12/2025,STRATEGY_ANALYZER,OTRIMG-0095,4870.0,60.0,NO($0),,
12/14/2025,12/19/2025,STRATEGY_ANALYZER,OTRIMG-0097,1245.0,77.0,NO($0),,
12/21/2025,12/26/2025,STRATEGY_ANALYZER,OTRIMG-0100,-90.0,9.0,NO($0),,
12/28/2025,1/2/2026,STRATEGY_ANALYZER,OTRIMG-0104,14940.0,31.0,NO($0),,
1/4/2026,1/9/2026,STRATEGY_ANALYZER,OTRIMG-0106,-13235.0,52.0,NO($0),,
1/11/2026,1/16/2026,STRATEGY_ANALYZER,OTRIMG-0109,-2185.0,54.0,NO($0),,
1/18/2026,1/23/2026,STRATEGY_ANALYZER,OTRIMG-0111,3515.0,76.0,NO($0),,
1/25/2026,1/30/2026,STRATEGY_ANALYZER,OTRIMG-0113,5805.0,73.0,NO($0),,
2/1/2026,2/6/2026,STRATEGY_ANALYZER,OTRIMG-0115,6680.0,111.0,NO($0),,
2/8/2026,2/13/2026,STRATEGY_ANALYZER,OTRIMG-0117,7860.0,62.0,NO($0),,
2/15/2026,2/20/2026,STRATEGY_ANALYZER,OTRIMG-0119,9785.0,62.0,NO($0),,
2/22/2026,2/27/2026,STRATEGY_ANALYZER,OTRIMG-0121,5260.0,53.0,NO($0),,
3/1/2026,3/6/2026,STRATEGY_ANALYZER,OTRIMG-0123,4090.0,94.0,NO($0),,
3/8/2026,3/13/2026,STRATEGY_ANALYZER,OTRIMG-0125,9325.0,76.0,NO($0),,
3/15/2026,3/20/2026,STRATEGY_ANALYZER,OTRIMG-0127,9285.0,67.0,NO($0),,
3/22/2026,3/27/2026,STRATEGY_ANALYZER,OTRIMG-0129,-42235.0,92.0,NO($0),,
3/29/2026,4/2/2026,STRATEGY_ANALYZER,OTRIMG-0132,26385.0,58.0,NO($0),,
4/5/2026,4/10/2026,STRATEGY_ANALYZER,OTRIMG-0134,-8455.0,58.0,NO($0),,
4/12/2026,4/17/2026,STRATEGY_ANALYZER,OTRIMG-0136,11370.0,33.0,NO($0),,
4/19/2026,4/24/2026,STRATEGY_ANALYZER,OTRIMG-0138,9215.0,47.0,NO($0),,
4/26/2026,5/1/2026,STRATEGY_ANALYZER,OTRIMG-0140,-1135.0,44.0,NO($0),,
5/3/2026,5/8/2026,STRATEGY_ANALYZER,OTRIMG-0142,-2205.0,56.0,NO($0),,
5/10/2026,5/22/2026,STRATEGY_ANALYZER,OTRIMG-0146,-4055.0,183.0,NO($0),,
5/24/2026,5/29/2026,STRATEGY_ANALYZER,OTRIMG-0148,17400.0,45.0,NO($0),,
5/31/2026,6/5/2026,STRATEGY_ANALYZER,OTRIMG-0150,14540.0,82.0,NO($0),,
6/7/2026,6/12/2026,TRADE_PERFORMANCE(EXECUTION),OTRIMG-0152,11860.3,136.0,YES(real),live/sim execution report,
6/14/2026,6/18/2026,TRADE_PERFORMANCE(EXECUTION),OTRIMG-0154,8503.24,78.0,YES(real),live/sim execution report,
6/21/2026,6/26/2026,STRATEGY_ANALYZER,OTRIMG-0156,42765.0,71.0,NO($0),,
6/28/2026,7/10/2026,STRATEGY_ANALYZER,OTRIMG-0159,8630.0,162.0,NO($0),,
7/12/2026,7/31/2026,STRATEGY_ANALYZER,OTRIMG-0162,49940.0,223.0,NO($0),,
8/2/2026,8/14/2026,STRATEGY_ANALYZER,OTRIMG-0164,24145.0,102.0,NO($0),,
