image_id,original_relative_path,filename,extension,byte_size,width,height,sha256,perceptual_hash,exif_datetime_original,filesystem_mtime,image_type_initial,duplicate_group,near_duplicate_group,reviewed,forensic_status,notes
OTRIMG-0001,original_screenshot/20260824_171440739_iOS.jpg,20260824_171440739_iOS.jpg,jpg,187804,1200,1600,e6ba48325f2b054c6ecfea3e76352939489928e53c086614da5905485ef03163,d15d5f436717f0b0,,2026-08-24T13:37:50,,,,NO,PENDING,
OTRIMG-0002,original_screenshot/20260824_171442460_iOS.jpg,20260824_171442460_iOS.jpg,jpg,211784,1440,900,e7656e1cc8dc77a08d8a89d3f51f50d679aceed8be895632bf8e6206dc7d15ba,2555555515551514,,2026-08-24T13:37:50,,,NEAR-004,NO,PENDING,
OTRIMG-0003,original_screenshot/20260824_171444674_iOS.jpg,20260824_171444674_iOS.jpg,jpg,398420,1440,900,e384024bad59df446569001f395dc87fd596e796869c9592433a47dd1fccec47,25696961477e7905,,2026-08-24T13:37:29,,,,NO,PENDING,
OTRIMG-0004,original_screenshot/20260824_171448000_iOS.png,20260824_171448000_iOS.png,png,402322,1290,2796,c7ed1b1d7b1947d34dc2579f141b16c1b3a88c1a69000ff6555ae18460779728,7159e5d83f6e2e2a,2026:08:24 13:14:48,2026-08-24T13:37:23,,,,NO,PENDING,
OTRIMG-0005,original_screenshot/20260824_171457853_iOS.jpg,20260824_171457853_iOS.jpg,jpg,185420,1440,900,254f9b25a66010cfb0137d37c90dbe7206e02709e6514f6b4ff419e35d73a8d4,355555555555559c,,2026-08-24T13:37:49,,,NEAR-004,NO,PENDING,
OTRIMG-0006,original_screenshot/20260824_171502989_iOS.jpg,20260824_171502989_iOS.jpg,jpg,193292,1200,1600,4445d24cd79eef6921bd24217dd4c557177a4eff6485cf2f975869bd16af2b42,420cf253d1e992a2,,2026-08-24T13:37:46,,,,NO,PENDING,
OTRIMG-0007,original_screenshot/20260824_171511211_iOS.jpg,20260824_171511211_iOS.jpg,jpg,226848,1440,900,cf7e8322e348694782ebdc7503548f5a764c724b2f4573db6695c0aa65224844,310b0b072f030d14,,2026-08-24T13:37:34,,,,NO,PENDING,
OTRIMG-0008,original_screenshot/20260824_171516967_iOS.jpg,20260824_171516967_iOS.jpg,jpg,184026,1200,1600,91ea8fef4262064f1d72a5f4775ffd2eef9c718308503a7b6e96131d047cea64,8c2c92d0b9a88892,,2026-08-24T13:37:29,,,,NO,PENDING,
OTRIMG-0009,original_screenshot/20260824_171522199_iOS.jpg,20260824_171522199_iOS.jpg,jpg,170224,1200,1600,0348f3c20784d18728871c4d03d6e9f3f87c7ea2d5ef35eb3f02db315aecdbd4,11e68cc49d706130,,2026-08-24T13:37:32,,,,NO,PENDING,
OTRIMG-0010,original_screenshot/20260824_171524160_iOS.jpg,20260824_171524160_iOS.jpg,jpg,133523,1440,914,5d1898be90148c18c333316d7bf053c31d2b179e1a5df90817ca8b156a593156,5454555555555455,,2026-08-24T13:37:30,,,,NO,PENDING,
