session,H,M,dir,raw,episodes,dec_secs,0930_1030,1030_1200,1200_1400,1400_1600
s20250814,5,8,up,5939,1841,23400,1677,1727,1551,984
s20250814,5,8,dn,6064,1851,23400,1661,1727,1518,1158
s20250814,5,12,up,2906,956,23400,1042,833,664,367
s20250814,5,12,dn,2994,981,23400,1040,908,667,379
s20250814,5,16,up,1481,518,23400,640,420,298,123
s20250814,5,16,dn,1515,510,23400,605,486,291,133
s20250814,5,20,up,776,295,23400,396,196,139,45
s20250814,5,20,dn,807,288,23400,371,236,133,67
s20250814,5,24,up,411,165,23400,247,81,56,27
s20250814,5,24,dn,440,177,23400,233,114,51,42
s20250814,5,32,up,142,54,23400,99,25,6,12
s20250814,5,32,dn,121,55,23400,77,14,11,19
s20250814,10,8,up,9221,1431,23400,2213,2569,2572,1867
s20250814,10,8,dn,9446,1465,23400,2160,2618,2493,2175
s20250814,10,12,up,5528,952,23400,1605,1632,1404,887
s20250814,10,12,dn,5747,956,23400,1589,1700,1398,1060
s20250814,10,16,up,3304,612,23400,1136,1002,768,398
s20250814,10,16,dn,3454,604,23400,1108,1092,782,472
s20250814,10,20,up,1991,390,23400,809,568,422,192
s20250814,10,20,dn,2141,388,23400,779,675,462,225
s20250814,10,24,up,1199,254,23400,576,291,217,115
s20250814,10,24,dn,1331,269,23400,546,429,244,112
s20250814,10,32,up,506,104,23400,303,91,71,41
s20250814,10,32,dn,481,107,23400,232,132,70,47
s20250814,20,8,up,12380,937,23400,2591,3249,3643,2897
s20250814,20,8,dn,12921,941,23400,2568,3384,3611,3358
s20250814,20,12,up,8645,740,23400,2136,2434,2356,1719
s20250814,20,12,dn,9236,733,23400,2109,2552,2436,2139
s20250814,20,16,up,6056,545,23400,1719,1796,1532,1009
s20250814,20,16,dn,6421,548,23400,1679,1912,1575,1255
s20250814,20,20,up,4170,406,23400,1359,1266,946,599
s20250814,20,20,dn,4518,410,23400,1318,1411,1031,758
s20250814,20,24,up,2854,296,23400,1042,846,604,362
s20250814,20,24,dn,3153,301,23400,1014,1047,667,425
s20250814,20,32,up,1414,163,23400,644,329,295,146
s20250814,20,32,dn,1466,170,23400,579,506,269,112
s20250814,30,8,up,14230,681,23400,2822,3598,4264,3546
s20250814,30,8,dn,14723,688,23400,2714,3772,4173,4064
s20250814,30,12,up,10719,582,23400,2400,2876,3054,2389
s20250814,30,12,dn,11312,583,23400,2320,3090,3055,2847
s20250814,30,16,up,7971,466,23400,2006,2313,2121,1531
s20250814,30,16,dn,8543,475,23400,1950,2485,2200,1908
s20250814,30,20,up,5872,371,23400,1669,1782,1436,985
s20250814,30,20,dn,6392,369,23400,1646,1924,1564,1258
s20250814,30,24,up,4236,295,23400,1348,1331,934,623
s20250814,30,24,dn,4768,291,23400,1349,1487,1091,841
s20250814,30,32,up,2344,175,23400,923,613,529,279
s20250814,30,32,dn,2385,185,23400,819,818,484,264
s20250814,45,8,up,15795,480,23400,3011,3922,4786,4076
s20250814,45,8,dn,16300,486,23400,2871,4114,4617,4698
s20250814,45,12,up,12767,434,23400,2674,3252,3773,3068
s20250814,45,12,dn,13251,436,23400,2523,3488,3561,3679
s20250814,45,16,up,10071,378,23400,2327,2710,2835,2199
s20250814,45,16,dn,10559,380,23400,2165,2948,2746,2700
s20250814,45,20,up,7906,321,23400,2019,2234,2096,1557
s20250814,45,20,dn,8356,316,23400,1847,2458,2092,1959
s20250814,45,24,up,5986,265,23400,1710,1766,1463,1047
s20250814,45,24,dn,6548,270,23400,1567,2027,1550,1404
s20250814,45,32,up,3609,169,23400,1252,1052,844,461
s20250814,45,32,dn,3754,189,23400,1067,1279,849,559
s20250814,60,8,up,16812,369,23400,3121,4132,5106,4453
s20250814,60,8,dn,17257,371,23400,2968,4287,4915,5087
s20250814,60,12,up,14058,345,23400,2822,3536,4234,3466
s20250814,60,12,dn,14489,344,23400,2652,3721,3964,4152
s20250814,60,16,up,11536,310,23400,2506,3016,3376,2638
s20250814,60,16,dn,11940,316,23400,2320,3227,3153,3240
s20250814,60,20,up,9420,274,23400,2241,2509,2621,2049
s20250814,60,20,dn,9825,273,23400,2029,2780,2492,2524
s20250814,60,24,up,7389,235,23400,1965,2052,1912,1460
s20250814,60,24,dn,7949,240,23400,1759,2370,1882,1938
s20250814,60,32,up,4685,164,23400,1502,1307,1192,684
s20250814,60,32,dn,4956,173,23400,1255,1658,1127,916
s20250814,90,8,up,18190,253,23400,3268,4335,5600,4987
s20250814,90,8,dn,18329,253,23400,3052,4490,5248,5539
s20250814,90,12,up,15816,246,23400,3053,3819,4869,4075
