sess,side,entry_time,exit_time,entry_px,exit_px,exit_reason,pts,gross_ticks,net_c1_ticks,net_c2_ticks
2006-01-25,-1,2006-01-25 09:36:00,2006-01-25 15:57:00,5275.5,5260.0,closeout,15.5,62.0,59.128,57.128
2006-01-26,-1,2006-01-26 09:45:00,2006-01-26 15:57:00,5269.5,5272.0,closeout,-2.5,-10.0,-12.872,-14.872
2006-01-27,1,2006-01-27 09:45:00,2006-01-27 15:57:00,5288.5,5293.5,closeout,5.0,20.0,17.128,15.128
2006-01-30,1,2006-01-30 09:36:00,2006-01-30 15:57:00,5300.0,5297.5,closeout,-2.5,-10.0,-12.872,-14.872
2006-01-31,-1,2006-01-31 09:51:00,2006-01-31 15:57:00,5293.5,5292.0,closeout,1.5,6.0,3.128,1.1280000000000001
2006-02-01,1,2006-02-01 09:36:00,2006-02-01 15:57:00,5283.5,5295.0,closeout,11.5,46.0,43.128,41.128
2006-02-03,-1,2006-02-03 10:39:00,2006-02-03 15:57:00,5245.5,5247.0,closeout,-1.5,-6.0,-8.872,-10.872
2006-02-07,-1,2006-02-07 09:36:00,2006-02-07 09:45:00,5235.5,5242.0,flip,-6.5,-26.0,-28.872,-30.872
2006-02-07,1,2006-02-07 09:45:00,2006-02-07 13:12:00,5242.0,5228.5,flip,-13.5,-54.0,-56.872,-58.872
2006-02-07,-1,2006-02-07 13:12:00,2006-02-07 15:57:00,5228.5,5232.0,closeout,-3.5,-14.0,-16.872,-18.872
2006-02-09,-1,2006-02-09 09:39:00,2006-02-09 10:00:00,5254.5,5261.0,flip,-6.5,-26.0,-28.872,-30.872
2006-02-09,1,2006-02-09 10:00:00,2006-02-09 14:39:00,5261.0,5246.5,flip,-14.5,-58.0,-60.872,-62.872
2006-02-09,-1,2006-02-09 14:39:00,2006-02-09 15:57:00,5246.5,5237.0,closeout,9.5,38.0,35.128,33.128
2006-02-10,-1,2006-02-10 09:39:00,2006-02-10 15:15:00,5230.5,5246.5,flip,-16.0,-64.0,-66.872,-68.872
2006-02-10,1,2006-02-10 15:15:00,2006-02-10 15:57:00,5246.5,5244.5,closeout,-2.0,-8.0,-10.872,-12.872
2006-02-13,-1,2006-02-13 09:42:00,2006-02-13 15:57:00,5232.5,5226.5,closeout,6.0,24.0,21.128,19.128
2006-02-14,-1,2006-02-14 09:39:00,2006-02-14 10:00:00,5226.5,5235.5,flip,-9.0,-36.0,-38.872,-40.872
2006-02-14,1,2006-02-14 10:00:00,2006-02-14 15:57:00,5235.5,5244.0,closeout,8.5,34.0,31.128,29.128
2006-02-15,1,2006-02-15 09:54:00,2006-02-15 15:57:00,5241.5,5251.5,closeout,10.0,40.0,37.128,35.128
2006-02-16,1,2006-02-16 09:36:00,2006-02-16 15:57:00,5263.5,5268.5,closeout,5.0,20.0,17.128,15.128
2006-02-17,-1,2006-02-17 09:36:00,2006-02-17 15:57:00,5261.0,5256.5,closeout,4.5,18.0,15.128,13.128
2006-02-21,-1,2006-02-21 09:54:00,2006-02-21 15:57:00,5249.0,5237.0,closeout,12.0,48.0,45.128,43.128
2006-02-22,-1,2006-02-22 09:54:00,2006-02-22 11:12:00,5234.0,5243.5,flip,-9.5,-38.0,-40.872,-42.872
2006-02-22,1,2006-02-22 11:12:00,2006-02-22 15:57:00,5243.5,5259.0,closeout,15.5,62.0,59.128,57.128
2006-02-23,-1,2006-02-23 09:45:00,2006-02-23 11:27:00,5252.0,5261.0,flip,-9.0,-36.0,-38.872,-40.872
2006-02-23,1,2006-02-23 11:27:00,2006-02-23 15:57:00,5261.0,5251.0,closeout,-10.0,-40.0,-42.872,-44.872
2006-02-24,-1,2006-02-24 09:39:00,2006-02-24 15:57:00,5249.0,5254.0,closeout,-5.0,-20.0,-22.872,-24.872
2006-02-27,1,2006-02-27 09:45:00,2006-02-27 15:57:00,5265.0,5274.5,closeout,9.5,38.0,35.128,33.128
2006-02-28,1,2006-02-28 09:39:00,2006-02-28 10:33:00,5271.0,5261.5,flip,-9.5,-38.0,-40.872,-42.872
2006-02-28,-1,2006-02-28 10:33:00,2006-02-28 15:57:00,5261.5,5253.5,closeout,8.0,32.0,29.128,27.128
2006-03-01,1,2006-03-01 09:48:00,2006-03-01 15:57:00,5255.5,5270.5,closeout,15.0,60.0,57.128,55.128
2006-03-02,1,2006-03-02 09:36:00,2006-03-02 15:57:00,5268.0,5272.0,closeout,4.0,16.0,13.128,11.128
2006-03-03,1,2006-03-03 09:39:00,2006-03-03 15:57:00,5266.5,5264.5,closeout,-2.0,-8.0,-10.872,-12.872
2006-03-07,-1,2006-03-07 09:39:00,2006-03-07 15:57:00,5241.5,5238.5,closeout,3.0,12.0,9.128,7.128
2006-03-08,-1,2006-03-08 09:36:00,2006-03-08 09:54:00,5231.5,5237.5,flip,-6.0,-24.0,-26.872,-28.872
2006-03-08,1,2006-03-08 09:54:00,2006-03-08 11:48:00,5237.5,5224.5,flip,-13.0,-52.0,-54.872,-56.872
2006-03-08,-1,2006-03-08 11:48:00,2006-03-08 15:57:00,5224.5,5240.0,closeout,-15.5,-62.0,-64.872,-66.872
2006-03-09,1,2006-03-09 09:51:00,2006-03-09 12:36:00,5246.0,5230.5,flip,-15.5,-62.0,-64.872,-66.872
2006-03-09,-1,2006-03-09 12:36:00,2006-03-09 15:57:00,5230.5,5222.0,closeout,8.5,34.0,31.128,29.128
2006-03-10,-1,2006-03-10 09:36:00,2006-03-10 11:09:00,5219.0,5230.0,flip,-11.0,-44.0,-46.872,-48.872
2006-03-10,1,2006-03-10 11:09:00,2006-03-10 15:57:00,5230.0,5224.5,closeout,-5.5,-22.0,-24.872,-26.872
2006-03-13,1,2006-03-13 09:36:00,2006-03-13 15:57:00,5238.0,5228.0,closeout,-10.0,-40.0,-42.872,-44.872
2006-03-14,1,2006-03-14 09:36:00,2006-03-14 15:57:00,5229.5,5256.0,closeout,26.5,106.0,103.128,101.128
2006-03-15,1,2006-03-15 09:36:00,2006-03-15 10:24:00,5265.0,5258.0,flip,-7.0,-28.0,-30.872,-32.872
2006-03-15,-1,2006-03-15 10:24:00,2006-03-15 15:57:00,5258.0,5268.5,closeout,-10.5,-42.0,-44.872,-46.872
2006-03-16,-1,2006-03-16 10:27:00,2006-03-16 15:57:00,5272.0,5257.5,closeout,14.5,58.0,55.128,53.128
2006-03-20,-1,2006-03-20 09:36:00,2006-03-20 15:57:00,5263.5,5265.0,closeout,-1.5,-6.0,-8.872,-10.872
2006-03-21,-1,2006-03-21 09:36:00,2006-03-21 11:33:00,5259.5,5271.0,flip,-11.5,-46.0,-48.872,-50.872
2006-03-21,1,2006-03-21 11:33:00,2006-03-21 15:06:00,5271.0,5250.5,flip,-20.5,-82.0,-84.872,-86.872
2006-03-21,-1,2006-03-21 15:06:00,2006-03-21 15:57:00,5250.5,5247.0,closeout,3.5,14.0,11.128,9.128
2006-03-22,1,2006-03-22 09:36:00,2006-03-22 15:57:00,5239.5,5251.0,closeout,11.5,46.0,43.128,41.128
2006-03-24,-1,2006-03-24 09:48:00,2006-03-24 10:12:00,5247.0,5256.0,flip,-9.0,-36.0,-38.872,-40.872
2006-03-24,1,2006-03-24 10:12:00,2006-03-24 15:57:00,5256.0,5252.0,closeout,-4.0,-16.0,-18.872,-20.872
2006-03-27,1,2006-03-27 09:39:00,2006-03-27 15:57:00,5255.5,5253.5,closeout,-2.0,-8.0,-10.872,-12.872
2006-03-28,1,2006-03-28 12:21:00,2006-03-28 15:09:00,5263.0,5245.0,flip,-18.0,-72.0,-74.872,-76.872
2006-03-28,-1,2006-03-28 15:09:00,2006-03-28 15:57:00,5245.0,5245.0,closeout,-0.0,-0.0,-2.872,-4.872
2006-03-29,1,2006-03-29 09:36:00,2006-03-29 15:57:00,5250.5,5276.5,closeout,26.0,104.0,101.128,99.128
2006-03-30,1,2006-03-30 09:36:00,2006-03-30 11:12:00,5283.0,5274.5,flip,-8.5,-34.0,-36.872,-38.872
2006-03-30,-1,2006-03-30 11:12:00,2006-03-30 15:57:00,5274.5,5281.0,closeout,-6.5,-26.0,-28.872,-30.872
2006-03-31,-1,2006-03-31 10:30:00,2006-03-31 15:57:00,5278.5,5276.5,closeout,2.0,8.0,5.128,3.128
