dir,M,K,clean_raw,clean_epi,epi_per_day,unique_days,plain_raw,plain_epi,cleanfrac_raw,cleanfrac_epi,blk_0930_1030,blk_1030_1200,blk_1200_1400,blk_1400_1600
up,16,6,214132,10796,299.889,36,478330,11532,0.4477,0.9362,1952,2680,3191,2973
up,16,8,257176,10944,304.0,36,478330,11532,0.5377,0.949,1976,2714,3242,3012
up,20,6,175261,9829,273.028,36,413152,10574,0.4242,0.9295,1865,2469,2887,2608
up,20,8,212183,9969,276.917,36,413152,10574,0.5136,0.9428,1893,2499,2923,2654
up,24,6,145846,8920,247.778,36,356918,9632,0.4086,0.9261,1790,2307,2565,2258
up,24,8,177290,9052,251.444,36,356918,9632,0.4967,0.9398,1817,2336,2597,2302
up,32,6,102836,7274,202.056,36,266289,7884,0.3862,0.9226,1622,1932,2001,1719
up,32,8,125669,7363,204.528,36,266289,7884,0.4719,0.9339,1643,1953,2022,1745
dn,16,6,212933,10717,297.694,36,474629,11449,0.4486,0.9361,1932,2653,3206,2926
dn,16,8,256542,10866,301.833,36,474629,11449,0.5405,0.9491,1959,2680,3257,2970
dn,20,6,174269,9756,271.0,36,410939,10511,0.4241,0.9282,1861,2456,2861,2578
dn,20,8,211441,9895,274.861,36,410939,10511,0.5145,0.9414,1889,2495,2895,2616
dn,24,6,144920,8771,243.639,36,356092,9497,0.407,0.9236,1778,2265,2500,2228
dn,24,8,176781,8896,247.111,36,356092,9497,0.4964,0.9367,1803,2297,2536,2260
dn,32,6,103150,7125,197.917,36,268134,7775,0.3847,0.9164,1599,1877,1939,1710
dn,32,8,126531,7232,200.889,36,268134,7775,0.4719,0.9302,1622,1910,1964,1736
