variant,w,I,dir,A,B,sessions,n_imp,n_pb,unique_days,episodes,epi_per_day,entry_rate,p_tgt,n_tgt,n_adv,n_cap,gross_per_trade,net_main,ci_lo,ci_hi,net_sec,passes
market,30,12,long,24,8,37,2465,1704,36,778,21.61111111111111,0.4565727699530516,0.2210796915167095,172,606,0,-0.9254498714652957,-3.797449871465296,-4.751176081283983,-2.7915186104218366,-5.797449871465296,False
market,30,12,long,32,10,37,2432,1678,36,768,21.333333333333332,0.4576877234803337,0.2073976221928666,157,600,11,-1.0729166666666667,-3.944916666666667,-5.223415482195157,-2.7035369992778553,-5.944916666666667,False
market,30,12,short,24,8,37,2303,1489,36,675,18.75,0.45332437877770315,0.23328380386329867,157,516,2,-0.49777777777777776,-3.3697777777777778,-4.1397827932611335,-2.5474588917947045,-5.369777777777777,False
market,30,12,short,32,10,37,2292,1481,36,670,18.61111111111111,0.4523970290344362,0.21921921921921922,146,520,4,-0.6932835820895522,-3.565283582089552,-4.491430641482571,-2.6697513271400135,-5.5652835820895525,False
market,30,8,long,24,8,37,2958,1208,36,460,12.777777777777779,0.38079470198675497,0.22270742358078602,102,356,2,-0.8358695652173913,-3.707869565217391,-4.831234053258437,-2.6519895591647327,-5.707869565217392,False
market,30,8,long,32,10,37,2917,1193,36,454,12.61111111111111,0.38055322715842416,0.2054176072234763,91,352,11,-1.0231277533039647,-3.8951277533039645,-5.375908213229859,-2.4789621200078553,-5.8951277533039645,False
market,30,8,short,24,8,37,2775,1041,36,375,10.416666666666666,0.36023054755043227,0.23513513513513515,87,283,5,-0.32266666666666666,-3.1946666666666665,-4.220283911717311,-2.11870148654078,-5.1946666666666665,False
market,30,8,short,32,10,37,2766,1038,36,374,10.38888888888889,0.3603082851637765,0.21195652173913043,78,290,6,-0.8609625668449198,-3.7329625668449196,-4.985024193548387,-2.483251263122439,-5.73296256684492,False
market,30,16,long,24,8,37,2211,1833,36,935,25.97222222222222,0.5100927441352974,0.2259100642398287,211,723,1,-0.7711229946524064,-3.643122994652406,-4.517675955893381,-2.7738686291759125,-5.643122994652407,False
market,30,16,long,32,10,37,2175,1800,36,917,25.47222222222222,0.5094444444444445,0.2127894156560088,193,714,10,-0.9193020719738277,-3.7913020719738277,-5.018955617708755,-2.639734509683632,-5.791302071973828,False
market,30,16,short,24,8,37,2069,1608,36,809,22.47222222222222,0.5031094527363185,0.22896039603960397,185,623,1,-0.65389369592089,-3.5258936959208897,-4.28388205955699,-2.7413626365692836,-5.52589369592089,False
market,30,16,short,32,10,37,2056,1596,36,805,22.36111111111111,0.5043859649122807,0.21473158551810237,172,629,4,-0.9142857142857143,-3.786285714285714,-4.858456916099772,-2.7319835028017447,-5.7862857142857145,False
market,15,12,long,24,8,37,9705,6504,36,2880,80.0,0.44280442804428044,0.24565670604586518,707,2171,2,-0.12621527777777777,-2.9982152777777777,-3.544709769575276,-2.4393626920591234,-4.998215277777778,False
market,15,12,long,32,10,37,9410,6271,36,2788,77.44444444444444,0.44458619040025515,0.23510292524377033,651,2118,19,-0.02080344332855093,-2.892803443328551,-3.5284557378568784,-2.171272096294768,-4.8928034433285506,False
market,15,12,short,24,8,37,9525,6294,36,2805,77.91666666666667,0.44566253574833176,0.25098179221706535,703,2098,4,0.03725490196078431,-2.8347450980392157,-3.3159526738639213,-2.403241598480421,-4.834745098039216,False
market,15,12,short,32,10,37,9256,6088,36,2721,75.58333333333333,0.4469448094612352,0.2394678492239468,648,2058,15,0.10271958838662257,-2.7692804116133773,-3.3431434276881884,-2.2079668539818558,-4.769280411613377,False
market,15,8,long,24,8,37,12227,4926,36,1804,50.111111111111114,0.36622005684125053,0.2490272373540856,448,1351,5,0.0005543237250554324,-2.8714456762749445,-3.4941520240203467,-2.251013118244031,-4.871445676274944,False
market,15,8,long,32,10,37,11936,4750,36,1761,48.916666666666664,0.37073684210526314,0.23935558112773303,416,1322,23,0.2120954003407155,-2.6599045996592845,-3.3534888274552164,-1.9990201623980122,-4.659904599659284,False
market,15,8,short,24,8,37,12080,4661,36,1728,48.0,0.3707358935850676,0.266433973240256,458,1261,9,0.5607638888888888,-2.311236111111111,-2.9625313037495697,-1.7144948086204963,-4.311236111111111,False
market,15,8,short,32,10,37,11837,4531,36,1682,46.72222222222222,0.3712204811299934,0.25255562236921225,420,1243,19,0.7024375743162902,-2.1695624256837096,-3.169843788297587,-1.289585291826848,-4.16956242568371,False
market,15,16,long,24,8,37,8158,6489,36,3200,88.88888888888889,0.49314224071505625,0.2469521725539231,790,2409,1,-0.09203125,-2.9640312499999997,-3.438675486397835,-2.4803252703056375,-4.96403125,False
market,15,16,long,32,10,37,7929,6288,36,3098,86.05555555555556,0.49268447837150126,0.23438005827128522,724,2365,9,-0.10167850225952227,-2.973678502259522,-3.5460005524222895,-2.3472404814018972,-4.9736785022595225,False
market,15,16,short,24,8,37,8082,6355,36,3090,85.83333333333333,0.48623131392604246,0.24441566850113305,755,2334,1,-0.17378640776699028,-3.04578640776699,-3.466625271095949,-2.6198325747055033,-5.0457864077669905,False
market,15,16,short,32,10,37,7854,6159,36,2995,83.19444444444444,0.4862802402987498,0.2394648829431438,716,2274,5,0.07412353923205342,-2.7978764607679465,-3.3369389081492344,-2.2871617582079287,-4.797876460767946,False
passive,30,12,long,24,8,37,2440,1718,36,1358,37.72222222222222,0.7904540162980209,0.19970304380103934,269,1078,11,-1.497569955817355,-3.3695699558173553,-4.088865808386999,-2.621515247058628,-4.369569955817354,False
passive,30,12,long,32,10,37,2410,1689,36,1340,37.22222222222222,0.7933688573120189,0.18631178707224336,245,1070,25,-1.9011194029850202,-3.7731194029850204,-4.657109505139818,-2.783939760079084,-4.77311940298502,False
passive,30,12,short,24,8,37,2294,1508,36,1219,33.861111111111114,0.8083554376657824,0.1986863711001642,242,976,1,-1.6347005742411789,-3.506700574241179,-4.395882140496648,-2.7076790795999637,-4.5067005742411785,False
