session,t0,te,dir,outcome,gross
s20250814,56826,56836,1,2,-8.0
s20250814,57172,57182,1,2,-8.0
s20250814,57573,57583,1,2,-8.0
s20250814,57636,57646,1,2,-8.0
s20250814,58066,58076,-1,2,-8.0
s20250814,58412,58422,1,2,-8.0
s20250814,58811,58821,1,2,-8.0
s20250814,58960,58970,1,2,-8.0
s20250814,59095,59105,1,2,-8.0
s20250814,59290,59300,1,2,-8.0
s20250814,59453,59463,1,2,-8.0
s20250814,60288,60298,1,2,-8.0
s20250814,60570,60580,1,2,-8.0
s20250814,61065,61075,-1,1,24.0
s20250814,62329,62339,1,2,-8.0
s20250814,63262,63272,-1,2,-8.0
s20250814,63462,63472,-1,2,-8.0
s20250814,63870,63880,1,2,-8.0
s20250814,64104,64114,-1,2,-8.0
s20250814,64303,64313,-1,1,24.0
s20250814,64390,64400,1,1,24.0
s20250814,64581,64591,1,2,-8.0
s20250814,64977,64987,1,2,-8.0
s20250814,65047,65057,-1,2,-8.0
s20250814,65514,65524,-1,1,24.0
s20250814,66098,66108,1,2,-8.0
s20250814,66172,66182,1,2,-8.0
s20250814,66925,66935,1,2,-8.0
s20250814,67150,67160,1,2,-8.0
s20250814,68449,68459,1,2,-8.0
s20250814,69293,69303,1,2,-8.0
s20250814,69609,69619,-1,2,-8.0
s20250814,70833,70843,-1,2,-8.0
s20250814,71217,71227,-1,1,24.0
s20250814,72158,72168,-1,2,-8.0
s20250814,72370,72380,1,2,-8.0
s20250814,72637,72647,-1,1,24.0
s20250814,73036,73046,1,1,24.0
s20250814,73393,73403,1,2,-8.0
s20250814,73645,73655,-1,2,-8.0
s20250814,74327,74337,1,2,-8.0
s20250814,74914,74924,1,2,-8.0
s20250814,75028,75038,1,2,-8.0
s20250814,75282,75292,-1,2,-8.0
s20250814,77022,77032,-1,2,-8.0
s20250814,77551,77561,-1,2,-8.0
s20250814,78079,78089,1,2,-8.0
s20250814,78262,78272,1,2,-8.0
s20250814,78748,78758,1,2,-8.0
s20250814,78865,78875,-1,2,-8.0
s20250814,79120,79130,-1,2,-8.0
s20250820,56681,56691,-1,1,24.0
s20250820,57605,57615,1,2,-8.0
s20250820,57725,57735,1,2,-8.0
s20250820,58825,58835,1,2,-8.0
s20250820,58889,58899,1,2,-8.0
s20250820,59090,59100,-1,2,-8.0
s20250820,60269,60279,1,2,-8.0
s20250820,61015,61025,-1,2,-8.0
s20250820,61543,61553,1,2,-8.0
s20250820,61863,61873,1,2,-8.0
s20250820,62814,62824,1,2,-8.0
s20250820,62882,62892,1,2,-8.0
s20250820,63144,63154,1,2,-8.0
s20250820,63284,63294,-1,2,-8.0
s20250820,63741,63751,1,2,-8.0
s20250820,64085,64095,-1,2,-8.0
s20250820,64442,64452,1,2,-8.0
s20250820,64508,64518,1,2,-8.0
s20250820,64705,64715,1,2,-8.0
s20250820,65263,65273,1,2,-8.0
s20250820,65328,65338,1,2,-8.0
s20250820,65710,65720,1,2,-8.0
s20250820,66019,66029,1,1,24.0
s20250820,66128,66138,1,2,-8.0
s20250820,66328,66338,1,2,-8.0
s20250820,66397,66407,1,1,24.0
s20250820,66787,66797,1,2,-8.0
s20250820,66914,66924,-1,2,-8.0
s20250820,67321,67331,-1,2,-8.0
s20250820,67450,67460,1,1,24.0
s20250820,67834,67844,1,2,-8.0
s20250820,67960,67970,-1,1,24.0
s20250820,68117,68127,-1,2,-8.0
s20250820,68462,68472,1,2,-8.0
s20250820,69446,69456,-1,2,-8.0
s20250820,70105,70115,1,2,-8.0
s20250820,70424,70434,1,2,-8.0
s20250820,70549,70559,1,2,-8.0
s20250820,71050,71060,1,2,-8.0
s20250820,71189,71199,-1,2,-8.0
s20250820,71417,71427,-1,1,24.0
s20250820,71540,71550,-1,2,-8.0
s20250820,73933,73943,1,2,-8.0
s20250820,74001,74011,1,1,24.0
s20250820,74298,74308,-1,2,-8.0
s20250820,75188,75198,1,2,-8.0
s20250820,75411,75421,-1,2,-8.0
s20250820,75820,75830,1,2,-8.0
s20250820,75931,75941,-1,2,-8.0
s20250820,76423,76433,-1,2,-8.0
s20250820,76713,76723,1,2,-8.0
s20250820,76852,76862,1,2,-8.0
s20250820,76991,77001,1,1,24.0
s20250820,77195,77205,-1,2,-8.0
s20250820,77316,77326,1,2,-8.0
s20250820,77822,77832,-1,2,-8.0
s20250820,77923,77933,1,2,-8.0
s20250820,78584,78594,1,2,-8.0
s20250820,78832,78842,1,2,-8.0
s20250820,78952,78962,-1,2,-8.0
s20250901,55878,55888,-1,2,-8.0
s20250901,58850,58860,1,2,-8.0
s20250901,61938,61948,1,2,-8.0
s20250905,56359,56369,1,2,-8.0
s20250905,56863,56873,-1,2,-8.0
s20250905,57176,57186,-1,2,-8.0
s20250905,57300,57310,-1,2,-8.0
s20250905,57366,57376,1,2,-8.0
s20250905,58360,58370,-1,2,-8.0
s20250905,59890,59900,-1,2,-8.0
s20250905,60867,60877,1,2,-8.0
s20250905,61060,61070,-1,2,-8.0
s20250905,61253,61263,-1,1,24.0
s20250905,63900,63910,-1,2,-8.0
s20250905,64146,64156,1,2,-8.0
s20250905,64645,64655,-1,1,24.0
s20250905,64955,64965,-1,2,-8.0
s20250905,65579,65589,-1,2,-8.0
s20250905,65915,65925,-1,1,24.0
s20250905,68114,68124,1,2,-8.0
s20250905,68587,68597,1,2,-8.0
