date,momo_pnl_usd,net_v1,net_v2,signal,rod_ret_pts,hold_pts
2022-01-03,335.64,641.1,756.1,1,99.0,17.5
2022-01-04,545.64,3978.9,3989.4,-1,-224.5,-28.0
2022-01-05,1375.64,4482.8,4258.8,-1,-365.75,-69.5
2022-01-06,-324.36,-2296.8,-2453.5,1,112.5,-15.5
2022-01-07,705.64,-1303.9,-1356.4,-1,-144.25,-36.0
2022-01-10,2860.64,4399.5,4439.5,1,98.25,143.75
2022-01-11,155.64,-2770.4,-2770.4,1,254.0,8.5
2022-01-12,-594.36,-1303.9,-1350.4,-1,-65.25,29.0
2022-01-13,1725.64,2807.1,2859.6,-1,-368.0,-87.0
2022-01-14,1015.64,962.3,822.3,1,174.5,51.5
2022-01-18,190.64,-49.6,113.9,-1,-101.75,-10.25
2022-01-19,2205.64,-525.0,-491.0,-1,-132.75,-111.0
2022-01-20,5915.64,-249.0,-243.2,-1,-198.0,-296.5
2022-01-21,725.64,-5172.5,-5185.0,-1,-282.0,-37.0
2022-01-24,4260.64,7641.4,7261.4,1,72.75,213.75
2022-01-25,5010.64,2167.1,1177.1,-1,-2.0,-251.25
2022-01-26,805.64,1903.2,1690.2,-1,-310.75,-41.0
2022-01-27,-1924.36,-510.4,-415.4,-1,-334.25,95.5
2022-01-28,3505.64,3145.7,3173.7,1,185.75,176.0
2022-01-31,1800.64,-716.2,-716.2,1,281.0,90.75
2022-02-01,3300.64,-838.1,-838.1,1,1.25,165.75
2022-02-02,4730.64,407.6,357.6,-1,-59.25,-237.25
2022-02-03,-3769.36,219.4,-75.6,-1,-107.5,187.75
2022-02-04,-2604.36,390.5,376.5,1,257.75,-129.5
2022-02-07,785.64,-2384.8,-2353.3,-1,-67.75,-40.0
2022-02-08,830.64,-576.3,-627.3,1,183.5,42.25
2022-02-09,1010.64,-487.1,-487.1,1,86.75,51.25
2022-02-10,935.64,1906.2,2158.2,-1,-19.5,-47.5
2022-02-11,-184.36,-1992.7,-1951.7,-1,-441.0,8.5
2022-02-14,200.64,-1045.4,-1063.4,1,35.0,10.75
2022-02-15,40.64,1054.2,1146.2,1,110.25,2.75
2022-02-16,-934.36,-961.5,-979.5,1,122.75,-46.0
2022-02-17,735.64,4370.2,4258.2,-1,-264.75,-37.5
2022-02-18,-24.36,-3887.0,-3697.0,-1,-189.75,0.5
