date,p0930,p1530,p1645,rod_ret_pts,signal,hold_pts,gross_usd,momo_pnl_usd
2022-01-03,19747.25,19846.25,19863.75,99.0,1,17.5,350.0,335.64
2022-01-04,19875.0,19650.5,19622.5,-224.5,-1,-28.0,560.0,545.64
2022-01-05,19564.25,19198.5,19129.0,-365.75,-1,-69.5,1390.0,1375.64
2022-01-06,19055.25,19167.75,19152.25,112.5,1,-15.5,-310.0,-324.36
2022-01-07,19122.25,18978.0,18942.0,-144.25,-1,-36.0,720.0,705.64
2022-01-10,18741.0,18839.25,18983.0,98.25,1,143.75,2875.0,2860.64
2022-01-11,18929.5,19183.5,19192.0,254.0,1,8.5,170.0,155.64
2022-01-12,19303.25,19238.0,19267.0,-65.25,-1,29.0,-580.0,-594.36
2022-01-13,19314.75,18946.75,18859.75,-368.0,-1,-87.0,1740.0,1725.64
2022-01-14,18752.75,18927.25,18978.75,174.5,1,51.5,1030.0,1015.64
2022-01-18,18711.75,18610.0,18599.75,-101.75,-1,-10.25,205.0,190.64
2022-01-19,18631.75,18499.0,18388.0,-132.75,-1,-111.0,2220.0,2205.64
2022-01-20,18533.25,18335.25,18038.75,-198.0,-1,-296.5,5930.0,5915.64
2022-01-21,18110.25,17828.25,17791.25,-282.0,-1,-37.0,740.0,725.64
2022-01-24,17554.75,17627.5,17841.25,72.75,1,213.75,4275.0,4260.64
2022-01-25,17585.0,17583.0,17331.75,-2.0,-1,-251.25,5025.0,5010.64
2022-01-26,17840.0,17529.25,17488.25,-310.75,-1,-41.0,820.0,805.64
2022-01-27,17697.5,17363.25,17458.75,-334.25,-1,95.5,-1910.0,-1924.36
2022-01-28,17432.25,17618.0,17794.0,185.75,1,176.0,3520.0,3505.64
2022-01-31,17852.0,18133.0,18223.75,281.0,1,90.75,1815.0,1800.64
2022-02-01,18308.25,18309.5,18475.25,1.25,1,165.75,3315.0,3300.64
2022-02-02,18531.75,18472.5,18235.25,-59.25,-1,-237.25,4745.0,4730.64
2022-02-03,18069.5,17962.0,18149.75,-107.5,-1,187.75,-3755.0,-3769.36
2022-02-04,17883.75,18141.5,18012.0,257.75,1,-129.5,-2590.0,-2604.36
2022-02-07,18072.25,18004.5,17964.5,-67.75,-1,-40.0,800.0,785.64
2022-02-08,17880.5,18064.0,18106.25,183.5,1,42.25,845.0,830.64
2022-02-09,18283.75,18370.5,18421.75,86.75,1,51.25,1025.0,1010.64
2022-02-10,18106.5,18087.0,18039.5,-19.5,-1,-47.5,950.0,935.64
2022-02-11,18065.25,17624.25,17632.75,-441.0,-1,8.5,-170.0,-184.36
2022-02-14,17573.5,17608.5,17619.25,35.0,1,10.75,215.0,200.64
2022-02-15,17836.75,17947.0,17949.75,110.25,1,2.75,55.0,40.64
2022-02-16,17877.75,18000.5,17954.5,122.75,1,-46.0,-920.0,-934.36
2022-02-17,17826.75,17562.0,17524.5,-264.75,-1,-37.5,750.0,735.64
2022-02-18,17568.5,17378.75,17379.25,-189.75,-1,0.5,-10.0,-24.36
2022-02-22,17245.75,17326.5,17310.75,80.75,1,-15.75,-315.0,-329.36
2022-02-23,17359.0,16943.5,16851.0,-415.5,-1,-92.5,1850.0,1835.64
2022-02-24,16438.5,17177.0,17262.25,738.5,1,85.25,1705.0,1690.64
2022-02-25,17359.25,17498.75,17551.25,139.5,1,52.5,1050.0,1035.64
2022-02-28,17406.75,17471.0,17585.5,64.25,1,114.5,2290.0,2275.64
2022-03-01,17539.5,17345.25,17386.5,-194.25,-1,41.25,-825.0,-839.36
2022-03-02,17431.5,17628.0,17544.25,196.5,1,-83.75,-1675.0,-1689.36
2022-03-03,17714.75,17408.75,17410.0,-306.0,-1,1.25,-25.0,-39.36
2022-03-04,17299.0,17153.5,17171.75,-145.5,-1,18.25,-365.0,-379.36
2022-03-07,17196.25,16778.75,16650.25,-417.5,-1,-128.5,2570.0,2555.64
2022-03-08,16651.0,16714.0,16552.0,63.0,1,-162.0,-3240.0,-3254.36
2022-03-09,16967.75,17135.25,17173.5,167.5,1,38.25,765.0,750.64
2022-03-10,16930.0,16945.0,16940.75,15.0,1,-4.25,-85.0,-99.36
2022-03-11,17075.75,16736.0,16685.5,-339.75,-1,-50.5,1010.0,995.64
2022-03-14,16614.5,16441.5,16442.5,-173.0,-1,1.0,-20.0,-34.36
2022-03-15,16523.5,16804.75,16818.75,281.25,1,14.0,280.0,265.64
2022-03-16,16986.5,17216.25,17391.25,229.75,1,175.0,3500.0,3485.64
2022-03-17,17241.0,17421.5,17420.0,180.5,1,-1.5,-30.0,-44.36
2022-03-18,17413.0,17759.25,17801.0,346.25,1,41.75,835.0,820.64
2022-03-21,17740.0,17687.25,17762.25,-52.75,-1,75.0,-1500.0,-1514.36
2022-03-22,17758.75,18009.75,18029.75,251.0,1,20.0,400.0,385.64
2022-03-23,17900.0,17869.5,17829.25,-30.5,-1,-40.25,805.0,790.64
2022-03-24,17892.25,18093.75,18133.25,201.5,1,39.5,790.0,775.64
2022-03-25,18131.5,18014.25,18123.0,-117.25,-1,108.75,-2175.0,-2189.36
2022-03-28,18121.75,18315.0,18348.5,193.25,1,33.5,670.0,655.64
2022-03-29,18516.75,18625.5,18596.0,108.75,1,-29.5,-590.0,-604.36
2022-03-30,18534.0,18403.75,18475.5,-130.25,-1,71.75,-1435.0,-1449.36
