K,acc,dir,A,B,sessions,n_trig,n_brk,n_acc,n_dead,n_nox,unique_days,episodes,epi_per_day,p_tgt,n_tgt,n_adv,n_cap,gross_per_trade,net_c1,ci_lo_c1,ci_hi_c1,net_c2,ci_lo_c2,ci_hi_c2,passes
15,1,long,24,8,37,2598,1459,1058,1,241,36,816,22.666666666666668,0.23551171393341552,191,620,5,-0.44485294117647056,-3.3168529411764704,-4.028844308696709,-2.5553563680529376,-5.316852941176471,-6.028844308696709,-4.555356368052937,False
15,1,long,32,10,37,2598,1431,1037,1,234,36,802,22.27777777777778,0.21563682219419925,171,622,9,-0.8728179551122195,-3.7448179551122194,-4.948884274993273,-2.710216513037033,-5.74481795511222,-6.948884274993273,-4.710216513037032,False
15,1,short,24,8,37,2285,1339,918,3,236,36,679,18.86111111111111,0.22566371681415928,153,525,1,-0.7835051546391752,-3.655505154639175,-4.436798116523168,-2.8397226260848982,-5.655505154639175,-6.436798116523168,-4.839722626084898,False
15,1,short,32,10,37,2285,1326,907,3,235,36,669,18.583333333333332,0.21621621621621623,144,522,3,-0.8527653213751868,-3.7247653213751866,-4.826147873493159,-2.611850201259366,-5.724765321375187,-6.826147873493159,-4.611850201259366,False
15,2,long,24,8,37,2598,1420,864,1,248,36,615,17.083333333333332,0.26221498371335505,161,453,1,0.41544715447154473,-2.456552845528455,-3.552015502571744,-1.306615326962446,-4.4565528455284555,-5.552015502571744,-3.3066153269624463,False
15,2,long,32,10,37,2598,1403,853,1,244,36,608,16.88888888888889,0.2292358803986711,138,464,6,-0.28207236842105265,-3.1540723684210525,-4.358642631307266,-1.9020819078249804,-5.154072368421053,-6.358642631307266,-3.9020819078249804,False
15,2,short,24,8,37,2285,1333,737,1,231,36,505,14.027777777777779,0.23214285714285715,117,387,1,-0.5792079207920792,-3.451207920792079,-4.566714656290531,-2.4475444255876666,-5.451207920792079,-6.566714656290531,-4.447544425587667,False
15,2,short,32,10,37,2285,1322,733,1,229,36,503,13.972222222222221,0.20080321285140562,100,398,5,-1.408548707753479,-4.2805487077534785,-5.468635314089554,-3.1194128963592185,-6.2805487077534785,-7.468635314089554,-5.1194128963592185,False
30,1,long,24,8,37,1406,864,617,0,179,36,438,12.166666666666666,0.25057471264367814,109,326,3,0.09474885844748858,-2.777251141552511,-3.841615467316514,-1.631308880767577,-4.777251141552512,-5.8416154673165135,-3.631308880767577,False
30,1,long,32,10,37,1406,850,610,0,175,36,435,12.083333333333334,0.2296983758700696,99,332,4,-0.27241379310344827,-3.144413793103448,-4.482876116071428,-1.548745854591837,-5.144413793103448,-6.482876116071428,-3.5487458545918367,False
30,1,short,24,8,37,1209,782,524,1,176,36,347,9.63888888888889,0.22608695652173913,78,267,2,-0.7550432276657061,-3.627043227665706,-4.919425506242787,-2.3143532493056354,-5.627043227665706,-6.919425506242787,-4.314353249305635,False
30,1,short,32,10,37,1209,779,523,1,176,36,346,9.61111111111111,0.21220930232558138,73,271,2,-1.0751445086705202,-3.94714450867052,-5.671086084905659,-2.3477833672086716,-5.947144508670521,-7.671086084905659,-4.347783367208672,False
30,2,long,24,8,37,1406,828,497,0,183,36,314,8.722222222222221,0.2540192926045016,79,232,3,0.18949044585987262,-2.682509554140127,-4.125363415258577,-1.136824712383368,-4.682509554140127,-6.125363415258577,-3.136824712383368,False
30,2,long,32,10,37,1406,821,493,0,179,36,314,8.722222222222221,0.23548387096774193,73,237,4,-0.04617834394904458,-2.9181783439490445,-4.611143332910119,-1.3219594395280232,-4.9181783439490445,-6.611143332910119,-3.3219594395280234,False
30,2,short,24,8,37,1209,751,412,0,158,36,254,7.055555555555555,0.23622047244094488,60,194,0,-0.4409448818897638,-3.3129448818897638,-4.946074074074075,-1.5049985652797713,-5.312944881889764,-6.946074074074075,-3.504998565279771,False
30,2,short,32,10,37,1209,750,411,0,158,36,253,7.027777777777778,0.2261904761904762,57,195,1,-0.5039525691699605,-3.3759525691699603,-5.753744842596681,-0.7619148418491489,-5.375952569169961,-7.753744842596681,-2.761914841849149,False
