session,family,A,B,dir,n_trig,n,n_tgt,n_adv,n_cap,gross_sum
s20250814,FSS6,24,8,long,0,0,0,0,0,0.0
s20250814,FSS6,24,8,short,0,0,0,0,0,0.0
s20250814,FSS6,32,10,long,0,0,0,0,0,0.0
s20250814,FSS6,32,10,short,0,0,0,0,0,0.0
s20250814,FSS7,24,8,long,3188,119,25,94,0,-152.0
s20250814,FSS7,24,8,short,3050,135,34,101,0,8.0
s20250814,FSS7,32,10,long,3188,100,28,71,1,193.5
s20250814,FSS7,32,10,short,3050,127,27,99,1,-114.0
s20250820,FSS6,24,8,long,0,0,0,0,0,0.0
s20250820,FSS6,24,8,short,0,0,0,0,0,0.0
s20250820,FSS6,32,10,long,0,0,0,0,0,0.0
s20250820,FSS6,32,10,short,0,0,0,0,0,0.0
s20250820,FSS7,24,8,long,4491,160,52,108,0,384.0
s20250820,FSS7,24,8,short,4579,155,37,118,0,-56.0
s20250820,FSS7,32,10,long,4491,143,41,102,0,292.0
s20250820,FSS7,32,10,short,4579,153,35,118,0,-60.0
s20250901,FSS6,24,8,long,2,2,0,1,1,-4.5
s20250901,FSS6,24,8,short,3,3,0,1,2,-4.5
s20250901,FSS6,32,10,long,2,2,0,1,1,-6.5
s20250901,FSS6,32,10,short,3,3,0,1,2,-6.5
s20250901,FSS7,24,8,long,218,20,1,16,3,-48.0
s20250901,FSS7,24,8,short,158,15,1,14,0,-88.0
s20250901,FSS7,32,10,long,218,18,3,9,6,80.0
s20250901,FSS7,32,10,short,158,10,2,8,0,-16.0
s20250902,FSS6,24,8,long,0,0,0,0,0,0.0
s20250902,FSS6,24,8,short,0,0,0,0,0,0.0
s20250902,FSS6,32,10,long,0,0,0,0,0,0.0
s20250902,FSS6,32,10,short,0,0,0,0,0,0.0
s20250902,FSS7,24,8,long,0,0,0,0,0,0.0
s20250902,FSS7,24,8,short,0,0,0,0,0,0.0
s20250902,FSS7,32,10,long,0,0,0,0,0,0.0
s20250902,FSS7,32,10,short,0,0,0,0,0,0.0
s20250905,FSS6,24,8,long,0,0,0,0,0,0.0
s20250905,FSS6,24,8,short,0,0,0,0,0,0.0
s20250905,FSS6,32,10,long,0,0,0,0,0,0.0
s20250905,FSS6,32,10,short,0,0,0,0,0,0.0
s20250905,FSS7,24,8,long,4242,150,31,119,0,-208.0
s20250905,FSS7,24,8,short,4083,160,39,121,0,-32.0
s20250905,FSS7,32,10,long,4242,138,40,98,0,300.0
s20250905,FSS7,32,10,short,4083,144,34,110,0,-12.0
s20250910,FSS6,24,8,long,0,0,0,0,0,0.0
s20250910,FSS6,24,8,short,0,0,0,0,0,0.0
s20250910,FSS6,32,10,long,0,0,0,0,0,0.0
s20250910,FSS6,32,10,short,0,0,0,0,0,0.0
s20250910,FSS7,24,8,long,3419,125,24,101,0,-232.0
s20250910,FSS7,24,8,short,3458,134,31,103,0,-80.0
s20250910,FSS7,32,10,long,3419,111,27,82,2,67.0
s20250910,FSS7,32,10,short,3458,119,22,97,0,-266.0
s20250911,FSS6,24,8,long,0,0,0,0,0,0.0
s20250911,FSS6,24,8,short,0,0,0,0,0,0.0
s20250911,FSS6,32,10,long,0,0,0,0,0,0.0
s20250911,FSS6,32,10,short,0,0,0,0,0,0.0
s20250911,FSS7,24,8,long,2391,100,29,70,1,150.0
s20250911,FSS7,24,8,short,2209,99,26,73,0,40.0
s20250911,FSS7,32,10,long,2391,90,19,69,2,-68.0
s20250911,FSS7,32,10,short,2209,84,24,59,1,180.5
s20250922,FSS6,24,8,long,0,0,0,0,0,0.0
s20250922,FSS6,24,8,short,0,0,0,0,0,0.0
s20250922,FSS6,32,10,long,0,0,0,0,0,0.0
s20250922,FSS6,32,10,short,0,0,0,0,0,0.0
s20250922,FSS7,24,8,long,2325,101,27,73,1,78.0
s20250922,FSS7,24,8,short,1918,78,18,60,0,-48.0
s20250922,FSS7,32,10,long,2325,87,13,67,7,-152.5
s20250922,FSS7,32,10,short,1918,66,12,52,2,-116.5
s20251002,FSS6,24,8,long,0,0,0,0,0,0.0
s20251002,FSS6,24,8,short,0,0,0,0,0,0.0
s20251002,FSS6,32,10,long,0,0,0,0,0,0.0
s20251002,FSS6,32,10,short,0,0,0,0,0,0.0
s20251002,FSS7,24,8,long,2864,121,26,95,0,-136.0
s20251002,FSS7,24,8,short,2989,113,27,85,1,-30.0
s20251002,FSS7,32,10,long,2864,104,21,82,1,-129.0
s20251002,FSS7,32,10,short,2989,104,25,78,1,22.0
s20251009,FSS6,24,8,long,0,0,0,0,0,0.0
s20251009,FSS6,24,8,short,0,0,0,0,0,0.0
s20251009,FSS6,32,10,long,0,0,0,0,0,0.0
s20251009,FSS6,32,10,short,0,0,0,0,0,0.0
s20251009,FSS7,24,8,long,3568,129,28,101,0,-136.0
s20251009,FSS7,24,8,short,3300,137,29,108,0,-168.0
s20251009,FSS7,32,10,long,3568,114,36,78,0,372.0
s20251009,FSS7,32,10,short,3300,115,31,84,0,152.0
s20251027,FSS6,24,8,long,0,0,0,0,0,0.0
s20251027,FSS6,24,8,short,0,0,0,0,0,0.0
s20251027,FSS6,32,10,long,0,0,0,0,0,0.0
s20251027,FSS6,32,10,short,0,0,0,0,0,0.0
s20251027,FSS7,24,8,long,1768,84,16,68,0,-160.0
s20251027,FSS7,24,8,short,1516,80,10,67,3,-274.0
s20251027,FSS7,32,10,long,1768,66,11,47,8,-53.5
s20251027,FSS7,32,10,short,1516,68,13,51,4,-57.0
s20251029,FSS6,24,8,long,0,0,0,0,0,0.0
s20251029,FSS6,24,8,short,0,0,0,0,0,0.0
s20251029,FSS6,32,10,long,0,0,0,0,0,0.0
s20251029,FSS6,32,10,short,0,0,0,0,0,0.0
s20251029,FSS7,24,8,long,3676,151,47,104,0,296.0
s20251029,FSS7,24,8,short,3645,134,22,112,0,-368.0
s20251029,FSS7,32,10,long,3676,132,37,94,1,261.0
s20251029,FSS7,32,10,short,3645,124,28,96,0,-64.0
s20251110,FSS6,24,8,long,0,0,0,0,0,0.0
s20251110,FSS6,24,8,short,0,0,0,0,0,0.0
s20251110,FSS6,32,10,long,0,0,0,0,0,0.0
s20251110,FSS6,32,10,short,0,0,0,0,0,0.0
s20251110,FSS7,24,8,long,4216,153,44,109,0,184.0
s20251110,FSS7,24,8,short,3343,125,36,89,0,152.0
s20251110,FSS7,32,10,long,4216,131,37,94,0,244.0
s20251110,FSS7,32,10,short,3343,118,29,89,0,38.0
s20251117,FSS6,24,8,long,0,0,0,0,0,0.0
s20251117,FSS6,24,8,short,0,0,0,0,0,0.0
s20251117,FSS6,32,10,long,0,0,0,0,0,0.0
s20251117,FSS6,32,10,short,0,0,0,0,0,0.0
s20251117,FSS7,24,8,long,4318,142,47,95,0,368.0
s20251117,FSS7,24,8,short,4974,161,46,115,0,184.0
s20251117,FSS7,32,10,long,4318,148,31,117,0,-178.0
s20251117,FSS7,32,10,short,4974,145,49,96,0,608.0
s20251124,FSS6,24,8,long,0,0,0,0,0,0.0
s20251124,FSS6,24,8,short,0,0,0,0,0,0.0
s20251124,FSS6,32,10,long,0,0,0,0,0,0.0
s20251124,FSS6,32,10,short,0,0,0,0,0,0.0
s20251124,FSS7,24,8,long,4606,161,34,127,0,-200.0
s20251124,FSS7,24,8,short,3975,139,24,115,0,-344.0
s20251124,FSS7,32,10,long,4606,161,32,129,0,-266.0
s20251124,FSS7,32,10,short,3975,116,17,99,0,-446.0
s20251128,FSS6,24,8,long,0,0,0,0,0,0.0
s20251128,FSS6,24,8,short,0,0,0,0,0,0.0
s20251128,FSS6,32,10,long,0,0,0,0,0,0.0
s20251128,FSS6,32,10,short,0,0,0,0,0,0.0
s20251128,FSS7,24,8,long,2537,94,24,70,0,16.0
s20251128,FSS7,24,8,short,2152,70,21,49,0,112.0
s20251128,FSS7,32,10,long,2537,77,22,55,0,154.0
s20251128,FSS7,32,10,short,2152,65,14,51,0,-62.0
s20251209,FSS6,24,8,long,0,0,0,0,0,0.0
s20251209,FSS6,24,8,short,0,0,0,0,0,0.0
s20251209,FSS6,32,10,long,0,0,0,0,0,0.0
s20251209,FSS6,32,10,short,0,0,0,0,0,0.0
s20251209,FSS7,24,8,long,2864,113,29,84,0,24.0
s20251209,FSS7,24,8,short,2604,124,28,96,0,-96.0
s20251209,FSS7,32,10,long,2864,96,23,73,0,6.0
s20251209,FSS7,32,10,short,2604,107,25,81,1,10.0
s20251222,FSS6,24,8,long,0,0,0,0,0,0.0
s20251222,FSS6,24,8,short,0,0,0,0,0,0.0
s20251222,FSS6,32,10,long,0,0,0,0,0,0.0
s20251222,FSS6,32,10,short,0,0,0,0,0,0.0
s20251222,FSS7,24,8,long,2054,104,19,85,0,-224.0
s20251222,FSS7,24,8,short,2035,101,21,79,1,-118.0
s20251222,FSS7,32,10,long,2054,83,9,72,2,-394.0
s20251222,FSS7,32,10,short,2035,95,11,82,2,-442.5
s20260123,FSS6,24,8,long,0,0,0,0,0,0.0
s20260123,FSS6,24,8,short,0,0,0,0,0,0.0
s20260123,FSS6,32,10,long,0,0,0,0,0,0.0
s20260123,FSS6,32,10,short,0,0,0,0,0,0.0
s20260123,FSS7,24,8,long,4054,146,32,114,0,-144.0
s20260123,FSS7,24,8,short,3762,149,36,113,0,-40.0
s20260123,FSS7,32,10,long,4054,140,31,109,0,-98.0
s20260123,FSS7,32,10,short,3762,128,27,101,0,-146.0
s20260206,FSS6,24,8,long,0,0,0,0,0,0.0
s20260206,FSS6,24,8,short,0,0,0,0,0,0.0
s20260206,FSS6,32,10,long,0,0,0,0,0,0.0
s20260206,FSS6,32,10,short,0,0,0,0,0,0.0
s20260206,FSS7,24,8,long,4362,157,45,112,0,184.0
s20260206,FSS7,24,8,short,3887,147,33,114,0,-120.0
s20260206,FSS7,32,10,long,4362,150,36,114,0,12.0
s20260206,FSS7,32,10,short,3887,128,32,96,0,64.0
s20260211,FSS6,24,8,long,0,0,0,0,0,0.0
s20260211,FSS6,24,8,short,0,0,0,0,0,0.0
s20260211,FSS6,32,10,long,0,0,0,0,0,0.0
s20260211,FSS6,32,10,short,0,0,0,0,0,0.0
s20260211,FSS7,24,8,long,4696,157,39,118,0,-8.0
s20260211,FSS7,24,8,short,4618,169,38,131,0,-136.0
s20260211,FSS7,32,10,long,4696,149,38,111,0,106.0
s20260211,FSS7,32,10,short,4618,156,39,117,0,78.0
s20260218,FSS6,24,8,long,0,0,0,0,0,0.0
s20260218,FSS6,24,8,short,0,0,0,0,0,0.0
s20260218,FSS6,32,10,long,0,0,0,0,0,0.0
s20260218,FSS6,32,10,short,0,0,0,0,0,0.0
s20260218,FSS7,24,8,long,4225,140,41,99,0,192.0
s20260218,FSS7,24,8,short,4141,165,40,125,0,-40.0
s20260218,FSS7,32,10,long,4225,136,34,102,0,68.0
s20260218,FSS7,32,10,short,4141,146,33,113,0,-74.0
s20260220,FSS6,24,8,long,0,0,0,0,0,0.0
s20260220,FSS6,24,8,short,0,0,0,0,0,0.0
s20260220,FSS6,32,10,long,0,0,0,0,0,0.0
s20260220,FSS6,32,10,short,0,0,0,0,0,0.0
s20260220,FSS7,24,8,long,5145,160,45,115,0,160.0
s20260220,FSS7,24,8,short,5079,171,47,124,0,136.0
s20260220,FSS7,32,10,long,5145,160,40,120,0,80.0
s20260220,FSS7,32,10,short,5079,158,42,116,0,184.0
s20260223,FSS6,24,8,long,0,0,0,0,0,0.0
s20260223,FSS6,24,8,short,0,0,0,0,0,0.0
s20260223,FSS6,32,10,long,0,0,0,0,0,0.0
s20260223,FSS6,32,10,short,0,0,0,0,0,0.0
s20260223,FSS7,24,8,long,4108,137,26,111,0,-264.0
s20260223,FSS7,24,8,short,4764,178,48,130,0,112.0
s20260223,FSS7,32,10,long,4108,141,30,111,0,-150.0
s20260223,FSS7,32,10,short,4764,159,39,120,0,48.0
s20260303,FSS6,24,8,long,0,0,0,0,0,0.0
s20260303,FSS6,24,8,short,0,0,0,0,0,0.0
s20260303,FSS6,32,10,long,0,0,0,0,0,0.0
s20260303,FSS6,32,10,short,0,0,0,0,0,0.0
s20260303,FSS7,24,8,long,4709,169,55,114,0,408.0
s20260303,FSS7,24,8,short,4954,179,47,132,0,72.0
s20260303,FSS7,32,10,long,4709,178,45,133,0,110.0
s20260303,FSS7,32,10,short,4954,158,43,115,0,226.0
s20260312,FSS6,24,8,long,0,0,0,0,0,0.0
s20260312,FSS6,24,8,short,0,0,0,0,0,0.0
s20260312,FSS6,32,10,long,0,0,0,0,0,0.0
s20260312,FSS6,32,10,short,0,0,0,0,0,0.0
s20260312,FSS7,24,8,long,4361,164,37,127,0,-128.0
s20260312,FSS7,24,8,short,5237,166,42,124,0,16.0
s20260312,FSS7,32,10,long,4361,149,28,121,0,-314.0
s20260312,FSS7,32,10,short,5237,169,38,131,0,-94.0
s20260317,FSS6,24,8,long,0,0,0,0,0,0.0
s20260317,FSS6,24,8,short,0,0,0,0,0,0.0
s20260317,FSS6,32,10,long,0,0,0,0,0,0.0
s20260317,FSS6,32,10,short,0,0,0,0,0,0.0
s20260317,FSS7,24,8,long,3677,135,35,100,0,40.0
s20260317,FSS7,24,8,short,3620,143,34,109,0,-56.0
s20260317,FSS7,32,10,long,3677,118,29,89,0,38.0
s20260317,FSS7,32,10,short,3620,137,34,103,0,58.0
s20260320,FSS6,24,8,long,0,0,0,0,0,0.0
s20260320,FSS6,24,8,short,0,0,0,0,0,0.0
s20260320,FSS6,32,10,long,0,0,0,0,0,0.0
s20260320,FSS6,32,10,short,0,0,0,0,0,0.0
s20260320,FSS7,24,8,long,4321,166,28,138,0,-432.0
s20260320,FSS7,24,8,short,5216,163,43,120,0,72.0
s20260320,FSS7,32,10,long,4321,147,36,111,0,42.0
s20260320,FSS7,32,10,short,5216,159,49,110,0,468.0
s20260406,FSS6,24,8,long,0,0,0,0,0,0.0
s20260406,FSS6,24,8,short,0,0,0,0,0,0.0
s20260406,FSS6,32,10,long,0,0,0,0,0,0.0
s20260406,FSS6,32,10,short,0,0,0,0,0,0.0
s20260406,FSS7,24,8,long,4255,158,47,111,0,240.0
s20260406,FSS7,24,8,short,3977,138,29,109,0,-176.0
s20260406,FSS7,32,10,long,4255,139,39,100,0,248.0
s20260406,FSS7,32,10,short,3977,131,28,103,0,-134.0
s20260409,FSS6,24,8,long,0,0,0,0,0,0.0
s20260409,FSS6,24,8,short,0,0,0,0,0,0.0
s20260409,FSS6,32,10,long,0,0,0,0,0,0.0
s20260409,FSS6,32,10,short,0,0,0,0,0,0.0
s20260409,FSS7,24,8,long,4389,153,37,116,0,-40.0
s20260409,FSS7,24,8,short,4089,149,27,122,0,-328.0
s20260409,FSS7,32,10,long,4389,150,31,119,0,-198.0
s20260409,FSS7,32,10,short,4089,115,23,92,0,-184.0
s20260417,FSS6,24,8,long,0,0,0,0,0,0.0
s20260417,FSS6,24,8,short,0,0,0,0,0,0.0
s20260417,FSS6,32,10,long,0,0,0,0,0,0.0
s20260417,FSS6,32,10,short,0,0,0,0,0,0.0
s20260417,FSS7,24,8,long,4404,143,42,101,0,200.0
s20260417,FSS7,24,8,short,4092,155,38,117,0,-24.0
s20260417,FSS7,32,10,long,4404,138,31,107,0,-78.0
