session,n_st30,n_valid,CONFIRM_long,CONFIRM_short,NONCONF_long,NONCONF_short,NQ_LED_long,NQ_LED_short,ES_LED_long,ES_LED_short
s20250814,780,780,373,336,336,373,249,249,160,112
s20250820,780,780,380,354,354,380,259,259,104,120
s20250901,420,416,154,137,137,154,158,158,61,56
s20250905,780,780,368,374,374,368,244,244,143,81
s20250910,780,780,342,371,371,342,299,299,166,114
s20250911,780,780,369,322,322,369,264,264,180,129
s20250922,780,780,380,287,287,380,305,305,165,118
s20251002,780,780,372,330,330,372,307,307,139,111
s20251009,780,780,359,376,376,359,325,325,128,109
s20251027,780,780,356,294,294,356,309,309,154,109
s20251029,780,780,352,376,376,352,284,284,128,107
s20251110,780,780,395,321,321,395,262,262,135,97
s20251117,689,689,318,341,341,318,215,215,90,69
s20251124,780,779,375,351,351,375,282,282,167,60
s20251128,450,450,231,195,195,231,167,167,99,59
s20251209,780,780,336,374,374,336,321,321,137,110
s20251222,780,780,329,350,350,329,257,257,151,145
s20260123,780,780,373,344,344,373,271,271,144,90
s20260206,780,780,383,337,337,383,248,248,145,111
s20260211,780,713,326,345,345,326,238,238,106,86
s20260218,780,780,353,373,373,353,263,263,137,111
s20260220,780,775,362,365,365,362,194,194,121,86
s20260223,780,780,322,401,401,322,263,263,105,112
s20260303,780,404,186,191,191,186,93,93,58,41
s20260312,780,659,292,342,342,292,189,189,97,96
s20260317,780,780,355,388,388,355,247,247,97,109
s20260320,780,780,347,390,390,347,224,224,100,121
s20260406,780,780,373,353,353,373,212,212,122,104
s20260409,780,780,364,357,357,364,245,245,105,122
s20260417,780,780,367,341,341,367,257,257,132,118
s20260423,780,780,370,359,359,370,250,250,107,136
s20260428,780,780,366,346,346,366,295,295,133,116
s20260506,780,780,401,308,308,401,319,319,191,96
s20260511,780,780,377,328,328,377,324,324,165,119
s20260519,780,627,307,278,278,307,222,222,136,95
s20260520,780,780,390,345,345,390,282,282,171,105
