session,level,side,ovar,mode,dir,pierce,A,B,n_sweep,n,n_tgt,n_adv,n_cap,gross_sum
s20250814,VWAP,low,none,reclaim,long,1.0,24,8,144,30,9,21,0,48.0
s20250814,VWAP,low,none,reclaim,long,1.0,32,10,141,28,9,19,0,98.0
s20250814,VWAP,low,none,reclaim,long,2.0,24,8,141,27,6,21,0,-24.0
s20250814,VWAP,low,none,reclaim,long,2.0,32,10,139,26,6,20,0,-8.0
s20250814,VWAP,low,none,reclaim,long,4.0,24,8,138,26,6,20,0,-16.0
s20250814,VWAP,low,none,reclaim,long,4.0,32,10,137,24,5,19,0,-30.0
s20250814,VWAP,low,none,cont,short,1.0,24,8,110,52,13,39,0,0.0
s20250814,VWAP,low,none,cont,short,1.0,32,10,106,49,9,40,0,-112.0
s20250814,VWAP,low,none,cont,short,2.0,24,8,105,53,14,39,0,24.0
s20250814,VWAP,low,none,cont,short,2.0,32,10,100,48,9,39,0,-102.0
s20250814,VWAP,low,none,cont,short,4.0,24,8,97,52,13,39,0,0.0
s20250814,VWAP,low,none,cont,short,4.0,32,10,93,49,9,40,0,-112.0
s20250814,VWAP,high,none,reclaim,short,1.0,24,8,235,31,4,27,0,-120.0
s20250814,VWAP,high,none,reclaim,short,1.0,32,10,230,28,2,26,0,-196.0
s20250814,VWAP,high,none,reclaim,short,2.0,24,8,235,31,4,27,0,-120.0
s20250814,VWAP,high,none,reclaim,short,2.0,32,10,230,28,2,26,0,-196.0
s20250814,VWAP,high,none,reclaim,short,4.0,24,8,231,27,4,23,0,-88.0
s20250814,VWAP,high,none,reclaim,short,4.0,32,10,228,25,2,23,0,-166.0
s20250814,VWAP,high,none,cont,long,1.0,24,8,130,94,26,68,0,80.0
s20250814,VWAP,high,none,cont,long,1.0,32,10,119,86,12,73,1,-343.0
s20250814,VWAP,high,none,cont,long,2.0,24,8,128,94,26,68,0,80.0
s20250814,VWAP,high,none,cont,long,2.0,32,10,117,86,12,73,1,-343.0
s20250814,VWAP,high,none,cont,long,4.0,24,8,122,93,27,66,0,120.0
s20250814,VWAP,high,none,cont,long,4.0,32,10,110,87,14,72,1,-269.0
s20250814,PDH,high,pre0930,reclaim,short,1.0,24,8,0,0,0,0,0,0.0
