sess,side,entry_time,exit_time,entry_px,exit_px,exit_reason,pts,gross_ticks,net_c1_ticks,net_c2_ticks
2022-01-18,-1,2022-01-18 09:36:00,2022-01-18 10:12:00,18651.5,18795.25,flip,-143.75,-575.0,-577.872,-579.872
2022-01-18,1,2022-01-18 10:12:00,2022-01-18 15:57:00,18795.25,18555.0,closeout,-240.25,-961.0,-963.872,-965.872
2022-01-19,1,2022-01-19 09:39:00,2022-01-19 10:48:00,18694.75,18534.5,flip,-160.25,-641.0,-643.872,-645.872
2022-01-19,-1,2022-01-19 10:48:00,2022-01-19 15:57:00,18534.5,18415.0,closeout,119.5,478.0,475.128,473.128
2022-01-20,1,2022-01-20 09:42:00,2022-01-20 15:24:00,18584.25,18349.25,flip,-235.0,-940.0,-942.872,-944.872
2022-01-20,-1,2022-01-20 15:24:00,2022-01-20 15:57:00,18349.25,18192.5,closeout,156.75,627.0,624.128,622.128
2022-01-21,1,2022-01-21 09:36:00,2022-01-21 09:45:00,18150.25,18035.75,flip,-114.5,-458.0,-460.872,-462.872
2022-01-21,-1,2022-01-21 09:45:00,2022-01-21 11:24:00,18035.75,18218.5,flip,-182.75,-731.0,-733.872,-735.872
2022-01-21,1,2022-01-21 11:24:00,2022-01-21 12:51:00,18218.5,17984.25,flip,-234.25,-937.0,-939.872,-941.872
2022-01-21,-1,2022-01-21 12:51:00,2022-01-21 15:57:00,17984.25,17795.0,closeout,189.25,757.0,754.128,752.128
2022-01-24,1,2022-01-24 09:39:00,2022-01-24 09:45:00,17608.5,17501.5,flip,-107.0,-428.0,-430.872,-432.872
2022-01-24,-1,2022-01-24 09:45:00,2022-01-24 15:36:00,17501.5,17749.75,flip,-248.25,-993.0,-995.872,-997.872
2022-01-24,1,2022-01-24 15:36:00,2022-01-24 15:57:00,17749.75,17836.5,closeout,86.75,347.0,344.128,342.128
2022-01-25,1,2022-01-25 09:39:00,2022-01-25 09:48:00,17624.25,17491.0,flip,-133.25,-533.0,-535.872,-537.872
2022-01-25,-1,2022-01-25 09:48:00,2022-01-25 14:54:00,17491.0,17730.25,flip,-239.25,-957.0,-959.872,-961.872
2022-01-25,1,2022-01-25 14:54:00,2022-01-25 15:57:00,17730.25,17523.5,closeout,-206.75,-827.0,-829.872,-831.872
2022-01-26,-1,2022-01-26 09:36:00,2022-01-26 14:03:00,17760.5,17982.25,flip,-221.75,-887.0,-889.872,-891.872
2022-01-26,1,2022-01-26 14:03:00,2022-01-26 14:48:00,17982.25,17607.75,flip,-374.5,-1498.0,-1500.872,-1502.872
2022-01-26,-1,2022-01-26 14:48:00,2022-01-26 15:57:00,17607.75,17478.5,closeout,129.25,517.0,514.128,512.128
2022-01-27,-1,2022-01-27 09:36:00,2022-01-27 15:57:00,17636.75,17369.25,closeout,267.5,1070.0,1067.128,1065.128
2022-01-28,-1,2022-01-28 09:36:00,2022-01-28 11:00:00,17295.5,17509.0,flip,-213.5,-854.0,-856.872,-858.872
2022-01-28,1,2022-01-28 11:00:00,2022-01-28 15:57:00,17509.0,17773.5,closeout,264.5,1058.0,1055.128,1053.128
2022-01-31,1,2022-01-31 09:42:00,2022-01-31 15:57:00,17936.25,18265.75,closeout,329.5,1318.0,1315.128,1313.128
2022-02-01,-1,2022-02-01 09:39:00,2022-02-01 15:57:00,18245.0,18379.25,closeout,-134.25,-537.0,-539.872,-541.872
2022-02-02,-1,2022-02-02 09:45:00,2022-02-02 15:57:00,18450.0,18493.25,closeout,-43.25,-173.0,-175.872,-177.872
2022-02-03,1,2022-02-03 09:36:00,2022-02-03 15:57:00,18122.75,17870.0,closeout,-252.75,-1011.0,-1013.872,-1015.872
2022-02-04,-1,2022-02-04 09:36:00,2022-02-04 10:18:00,17812.25,18015.5,flip,-203.25,-813.0,-815.872,-817.872
2022-02-04,1,2022-02-04 10:18:00,2022-02-04 15:57:00,18015.5,18063.75,closeout,48.25,193.0,190.128,188.128
2022-02-07,1,2022-02-07 09:42:00,2022-02-07 11:45:00,18135.0,17942.0,flip,-193.0,-772.0,-774.872,-776.872
2022-02-07,-1,2022-02-07 11:45:00,2022-02-07 15:57:00,17942.0,17889.25,closeout,52.75,211.0,208.128,206.128
2022-02-08,1,2022-02-08 10:54:00,2022-02-08 15:57:00,17985.0,18121.0,closeout,136.0,544.0,541.128,539.128
2022-02-10,1,2022-02-10 09:36:00,2022-02-10 15:57:00,18167.0,18070.0,closeout,-97.0,-388.0,-390.872,-392.872
2022-02-11,-1,2022-02-11 11:12:00,2022-02-11 15:57:00,17955.5,17651.0,closeout,304.5,1218.0,1215.128,1213.128
2022-02-14,1,2022-02-14 09:39:00,2022-02-14 15:57:00,17637.5,17617.75,closeout,-19.75,-79.0,-81.872,-83.872
2022-02-15,1,2022-02-15 15:06:00,2022-02-15 15:57:00,17952.5,17958.5,closeout,6.0,24.0,21.128,19.128
2022-02-16,-1,2022-02-16 09:36:00,2022-02-16 15:57:00,17837.5,17970.0,closeout,-132.5,-530.0,-532.872,-534.872
2022-02-17,-1,2022-02-17 09:54:00,2022-02-17 15:57:00,17750.0,17524.25,closeout,225.75,903.0,900.128,898.128
2022-02-18,-1,2022-02-18 09:36:00,2022-02-18 15:57:00,17494.25,17351.25,closeout,143.0,572.0,569.128,567.128
2022-02-22,1,2022-02-22 09:42:00,2022-02-22 14:06:00,17297.0,17103.25,flip,-193.75,-775.0,-777.872,-779.872
2022-02-22,-1,2022-02-22 14:06:00,2022-02-22 15:57:00,17103.25,17214.0,closeout,-110.75,-443.0,-445.872,-447.872
2022-02-23,-1,2022-02-23 09:36:00,2022-02-23 15:57:00,17328.25,16869.5,closeout,458.75,1835.0,1832.128,1830.128
2022-02-24,1,2022-02-24 09:36:00,2022-02-24 15:57:00,16570.5,17331.25,closeout,760.75,3043.0,3040.128,3038.128
2022-02-25,-1,2022-02-25 09:39:00,2022-02-25 11:57:00,17304.5,17519.5,flip,-215.0,-860.0,-862.872,-864.872
2022-02-25,1,2022-02-25 11:57:00,2022-02-25 15:57:00,17519.5,17536.75,closeout,17.25,69.0,66.128,64.128
2022-02-28,1,2022-02-28 09:36:00,2022-02-28 15:57:00,17458.5,17568.0,closeout,109.5,438.0,435.128,433.128
2022-03-01,1,2022-03-01 09:39:00,2022-03-01 12:09:00,17603.0,17370.75,flip,-232.25,-929.0,-931.872,-933.872
2022-03-01,-1,2022-03-01 12:09:00,2022-03-01 15:57:00,17370.75,17355.75,closeout,15.0,60.0,57.128,55.128
2022-03-02,-1,2022-03-02 09:36:00,2022-03-02 11:33:00,17382.5,17583.75,flip,-201.25,-805.0,-807.872,-809.872
2022-03-02,1,2022-03-02 11:33:00,2022-03-02 15:57:00,17583.75,17618.75,closeout,35.0,140.0,137.128,135.128
2022-03-03,-1,2022-03-03 09:36:00,2022-03-03 15:57:00,17664.25,17392.75,closeout,271.5,1086.0,1083.128,1081.128
2022-03-04,1,2022-03-04 09:36:00,2022-03-04 09:48:00,17345.75,17216.25,flip,-129.5,-518.0,-520.872,-522.872
2022-03-04,-1,2022-03-04 09:48:00,2022-03-04 15:57:00,17216.25,17196.75,closeout,19.5,78.0,75.128,73.128
2022-03-07,-1,2022-03-07 09:45:00,2022-03-07 15:57:00,17122.5,16697.0,closeout,425.5,1702.0,1699.128,1697.128
2022-03-08,1,2022-03-08 09:36:00,2022-03-08 10:03:00,16717.5,16554.25,flip,-163.25,-653.0,-655.872,-657.872
2022-03-08,-1,2022-03-08 10:03:00,2022-03-08 12:15:00,16554.25,16822.75,flip,-268.5,-1074.0,-1076.872,-1078.872
2022-03-08,1,2022-03-08 12:15:00,2022-03-08 15:57:00,16822.75,16635.25,closeout,-187.5,-750.0,-752.872,-754.872
2022-03-09,-1,2022-03-09 09:36:00,2022-03-09 15:57:00,16917.0,17077.0,closeout,-160.0,-640.0,-642.872,-644.872
2022-03-10,-1,2022-03-10 09:39:00,2022-03-10 15:57:00,16864.75,16968.5,closeout,-103.75,-415.0,-417.872,-419.872
2022-03-11,-1,2022-03-11 09:39:00,2022-03-11 15:57:00,17010.25,16684.25,closeout,326.0,1304.0,1301.128,1299.128
2022-03-14,1,2022-03-14 09:45:00,2022-03-14 13:00:00,16682.5,16445.5,flip,-237.0,-948.0,-950.872,-952.872
2022-03-14,-1,2022-03-14 13:00:00,2022-03-14 15:57:00,16445.5,16427.25,closeout,18.25,73.0,70.128,68.128
2022-03-15,-1,2022-03-15 09:42:00,2022-03-15 10:33:00,16488.5,16655.0,flip,-166.5,-666.0,-668.872,-670.872
2022-03-15,1,2022-03-15 10:33:00,2022-03-15 15:57:00,16655.0,16824.0,closeout,169.0,676.0,673.128,671.128
2022-03-16,1,2022-03-16 09:39:00,2022-03-16 15:57:00,17052.5,17278.75,closeout,226.25,905.0,902.128,900.128
2022-03-17,1,2022-03-17 09:57:00,2022-03-17 15:57:00,17320.75,17457.0,closeout,136.25,545.0,542.128,540.128
2022-03-18,1,2022-03-18 09:51:00,2022-03-18 15:57:00,17489.0,17782.5,closeout,293.5,1174.0,1171.128,1169.128
2022-03-21,1,2022-03-21 09:36:00,2022-03-21 10:21:00,17775.0,17617.0,flip,-158.0,-632.0,-634.872,-636.872
2022-03-21,-1,2022-03-21 10:21:00,2022-03-21 15:57:00,17617.0,17730.75,closeout,-113.75,-455.0,-457.872,-459.872
2022-03-22,1,2022-03-22 09:36:00,2022-03-22 15:57:00,17809.75,18001.5,closeout,191.75,767.0,764.128,762.128
2022-03-23,-1,2022-03-23 09:39:00,2022-03-23 12:03:00,17850.5,18044.75,flip,-194.25,-777.0,-779.872,-781.872
2022-03-23,1,2022-03-23 12:03:00,2022-03-23 15:57:00,18044.75,17832.0,closeout,-212.75,-851.0,-853.872,-855.872
2022-03-24,-1,2022-03-24 09:36:00,2022-03-24 14:06:00,17848.75,18050.5,flip,-201.75,-807.0,-809.872,-811.872
2022-03-24,1,2022-03-24 14:06:00,2022-03-24 15:57:00,18050.5,18117.75,closeout,67.25,269.0,266.128,264.128
2022-03-25,-1,2022-03-25 11:15:00,2022-03-25 15:57:00,18007.75,18102.75,closeout,-95.0,-380.0,-382.872,-384.872
2022-03-28,1,2022-03-28 09:36:00,2022-03-28 15:57:00,18191.75,18333.75,closeout,142.0,568.0,565.128,563.128
2022-03-29,-1,2022-03-29 10:15:00,2022-03-29 15:57:00,18418.5,18589.25,closeout,-170.75,-683.0,-685.872,-687.872
2022-03-31,-1,2022-03-31 09:36:00,2022-03-31 15:57:00,18388.0,18255.25,closeout,132.75,531.0,528.128,526.128
2022-04-01,-1,2022-04-01 09:54:00,2022-04-01 15:57:00,18176.75,18232.25,closeout,-55.5,-222.0,-224.872,-226.872
2022-04-04,1,2022-04-04 09:39:00,2022-04-04 15:57:00,18328.5,18513.25,closeout,184.75,739.0,736.128,734.128
2022-04-05,-1,2022-04-05 10:06:00,2022-04-05 15:57:00,18391.0,18191.25,closeout,199.75,799.0,796.128,794.128
2022-04-06,-1,2022-04-06 09:45:00,2022-04-06 15:57:00,17903.5,17890.25,closeout,13.25,53.0,50.128,48.128
2022-04-07,1,2022-04-07 09:36:00,2022-04-07 11:54:00,17896.5,17736.5,flip,-160.0,-640.0,-642.872,-644.872
2022-04-07,-1,2022-04-07 11:54:00,2022-04-07 15:03:00,17736.5,17965.25,flip,-228.75,-915.0,-917.872,-919.872
2022-04-07,1,2022-04-07 15:03:00,2022-04-07 15:57:00,17965.25,17909.0,closeout,-56.25,-225.0,-227.872,-229.872
2022-04-08,-1,2022-04-08 09:36:00,2022-04-08 15:57:00,17771.75,17691.25,closeout,80.5,322.0,319.128,317.128
2022-04-11,-1,2022-04-11 10:42:00,2022-04-11 15:57:00,17426.75,17363.5,closeout,63.25,253.0,250.128,248.128
2022-04-12,-1,2022-04-12 09:36:00,2022-04-12 15:57:00,17517.0,17314.75,closeout,202.25,809.0,806.128,804.128
2022-04-13,1,2022-04-13 09:42:00,2022-04-13 15:57:00,17376.5,17597.0,closeout,220.5,882.0,879.128,877.128
2022-04-14,-1,2022-04-14 09:42:00,2022-04-14 15:57:00,17530.75,17262.75,closeout,268.0,1072.0,1069.128,1067.128
2022-04-18,1,2022-04-18 09:39:00,2022-04-18 15:57:00,17283.25,17256.75,closeout,-26.5,-106.0,-108.872,-110.872
2022-04-19,1,2022-04-19 09:48:00,2022-04-19 15:57:00,17309.75,17562.25,closeout,252.5,1010.0,1007.128,1005.128
2022-04-20,-1,2022-04-20 09:36:00,2022-04-20 15:57:00,17568.0,17360.75,closeout,207.25,829.0,826.128,824.128
2022-04-21,1,2022-04-21 09:36:00,2022-04-21 11:39:00,17638.75,17412.5,flip,-226.25,-905.0,-907.872,-909.872
2022-04-21,-1,2022-04-21 11:39:00,2022-04-21 15:57:00,17412.5,17094.75,closeout,317.75,1271.0,1268.128,1266.128
2022-04-22,-1,2022-04-22 09:42:00,2022-04-22 15:57:00,17030.0,16744.0,closeout,286.0,1144.0,1141.128,1139.128
2022-04-25,1,2022-04-25 09:39:00,2022-04-25 15:57:00,16709.5,16889.25,closeout,179.75,719.0,716.128,714.128
2022-04-26,-1,2022-04-26 09:36:00,2022-04-26 15:57:00,16727.75,16394.25,closeout,333.5,1334.0,1331.128,1329.128
2022-04-27,1,2022-04-27 09:36:00,2022-04-27 15:57:00,16489.75,16381.25,closeout,-108.5,-434.0,-436.872,-438.872
2022-04-28,-1,2022-04-28 09:45:00,2022-04-28 13:15:00,16490.0,16787.25,flip,-297.25,-1189.0,-1191.872,-1193.872
2022-04-28,1,2022-04-28 13:15:00,2022-04-28 15:57:00,16787.25,16802.5,closeout,15.25,61.0,58.128,56.128
2022-04-29,1,2022-04-29 09:36:00,2022-04-29 12:06:00,16706.0,16492.75,flip,-213.25,-853.0,-855.872,-857.872
2022-04-29,-1,2022-04-29 12:06:00,2022-04-29 15:57:00,16492.75,16213.25,closeout,279.5,1118.0,1115.128,1113.128
2022-05-02,-1,2022-05-02 09:39:00,2022-05-02 09:57:00,16148.0,16316.0,flip,-168.0,-672.0,-674.872,-676.872
2022-05-02,1,2022-05-02 09:57:00,2022-05-02 15:57:00,16316.0,16439.5,closeout,123.5,494.0,491.128,489.128
2022-05-03,-1,2022-05-03 09:39:00,2022-05-03 15:57:00,16380.25,16450.75,closeout,-70.5,-282.0,-284.872,-286.872
2022-05-04,-1,2022-05-04 10:06:00,2022-05-04 14:54:00,16352.0,16699.75,flip,-347.75,-1391.0,-1393.872,-1395.872
2022-05-04,1,2022-05-04 14:54:00,2022-05-04 15:57:00,16699.75,16890.5,closeout,190.75,763.0,760.128,758.128
2022-05-05,-1,2022-05-05 09:39:00,2022-05-05 15:57:00,16651.75,16192.0,closeout,459.75,1839.0,1836.128,1834.128
2022-05-06,-1,2022-05-06 09:36:00,2022-05-06 11:24:00,16011.5,16290.25,flip,-278.75,-1115.0,-1117.872,-1119.872
2022-05-06,1,2022-05-06 11:24:00,2022-05-06 15:57:00,16290.25,16057.5,closeout,-232.75,-931.0,-933.872,-935.872
2022-05-09,1,2022-05-09 09:39:00,2022-05-09 11:00:00,15900.5,15671.75,flip,-228.75,-915.0,-917.872,-919.872
2022-05-09,-1,2022-05-09 11:00:00,2022-05-09 15:57:00,15671.75,15576.5,closeout,95.25,381.0,378.128,376.128
2022-05-10,-1,2022-05-10 09:42:00,2022-05-10 15:57:00,15801.5,15708.5,closeout,93.0,372.0,369.128,367.128
2022-05-11,1,2022-05-11 09:45:00,2022-05-11 13:09:00,15705.5,15468.5,flip,-237.0,-948.0,-950.872,-952.872
2022-05-11,-1,2022-05-11 13:09:00,2022-05-11 15:57:00,15468.5,15320.75,closeout,147.75,591.0,588.128,586.128
2022-05-12,-1,2022-05-12 09:39:00,2022-05-12 10:12:00,15085.0,15325.75,flip,-240.75,-963.0,-965.872,-967.872
2022-05-12,1,2022-05-12 10:12:00,2022-05-12 15:57:00,15325.75,15296.75,closeout,-29.0,-116.0,-118.872,-120.872
2022-05-13,-1,2022-05-13 09:36:00,2022-05-13 09:51:00,15452.75,15590.5,flip,-137.75,-551.0,-553.872,-555.872
2022-05-13,1,2022-05-13 09:51:00,2022-05-13 15:57:00,15590.5,15729.0,closeout,138.5,554.0,551.128,549.128
2022-05-16,-1,2022-05-16 09:36:00,2022-05-16 15:57:00,15621.75,15585.5,closeout,36.25,145.0,142.128,140.128
2022-05-17,-1,2022-05-17 10:48:00,2022-05-17 15:57:00,15720.25,15926.0,closeout,-205.75,-823.0,-825.872,-827.872
2022-05-18,-1,2022-05-18 11:24:00,2022-05-18 15:57:00,15550.25,15285.5,closeout,264.75,1059.0,1056.128,1054.128
2022-05-19,1,2022-05-19 09:36:00,2022-05-19 15:57:00,15296.5,15244.5,closeout,-52.0,-208.0,-210.872,-212.872
2022-05-20,-1,2022-05-20 09:36:00,2022-05-20 15:57:00,15341.75,15194.75,closeout,147.0,588.0,585.128,583.128
2022-05-23,-1,2022-05-23 09:39:00,2022-05-23 09:48:00,15205.75,15326.25,flip,-120.5,-482.0,-484.872,-486.872
2022-05-23,1,2022-05-23 09:48:00,2022-05-23 10:03:00,15326.25,15161.25,flip,-165.0,-660.0,-662.872,-664.872
2022-05-23,-1,2022-05-23 10:03:00,2022-05-23 12:09:00,15161.25,15414.5,flip,-253.25,-1013.0,-1015.872,-1017.872
2022-05-23,1,2022-05-23 12:09:00,2022-05-23 15:57:00,15414.5,15395.0,closeout,-19.5,-78.0,-80.872,-82.872
2022-05-24,-1,2022-05-24 09:39:00,2022-05-24 15:57:00,15130.5,15125.75,closeout,4.75,19.0,16.128,14.128
2022-05-25,1,2022-05-25 09:36:00,2022-05-25 15:57:00,15167.25,15308.75,closeout,141.5,566.0,563.128,561.128
2022-05-26,1,2022-05-26 09:36:00,2022-05-26 15:57:00,15372.25,15652.0,closeout,279.75,1119.0,1116.128,1114.128
2022-05-27,1,2022-05-27 09:39:00,2022-05-27 15:57:00,15864.0,16033.5,closeout,169.5,678.0,675.128,673.128
2022-05-31,-1,2022-05-31 09:36:00,2022-05-31 15:57:00,15959.0,16015.25,closeout,-56.25,-225.0,-227.872,-229.872
2022-06-01,1,2022-06-01 09:57:00,2022-06-01 10:27:00,16181.75,15978.75,flip,-203.0,-812.0,-814.872,-816.872
2022-06-01,-1,2022-06-01 10:27:00,2022-06-01 15:57:00,15978.75,15930.75,closeout,48.0,192.0,189.128,187.128
2022-06-02,1,2022-06-02 10:15:00,2022-06-02 15:57:00,15987.25,16262.0,closeout,274.75,1099.0,1096.128,1094.128
2022-06-03,-1,2022-06-03 11:06:00,2022-06-03 15:57:00,15900.75,15925.25,closeout,-24.5,-98.0,-100.872,-102.872
2022-06-06,-1,2022-06-06 12:09:00,2022-06-06 15:57:00,15953.0,15975.5,closeout,-22.5,-90.0,-92.872,-94.872
2022-06-07,1,2022-06-07 09:51:00,2022-06-07 15:57:00,15910.5,16091.25,closeout,180.75,723.0,720.128,718.128
2022-06-08,1,2022-06-08 09:51:00,2022-06-08 15:57:00,16121.25,15982.25,closeout,-139.0,-556.0,-558.872,-560.872
2022-06-09,1,2022-06-09 09:36:00,2022-06-09 15:42:00,15946.25,15706.5,flip,-239.75,-959.0,-961.872,-963.872
2022-06-09,-1,2022-06-09 15:42:00,2022-06-09 15:57:00,15706.5,15654.75,closeout,51.75,207.0,204.128,202.128
2022-06-10,-1,2022-06-10 09:36:00,2022-06-10 15:57:00,15354.75,15217.0,closeout,137.75,551.0,548.128,546.128
2022-06-13,1,2022-06-13 09:39:00,2022-06-13 10:24:00,14912.0,14756.0,flip,-156.0,-624.0,-626.872,-628.872
2022-06-13,-1,2022-06-13 10:24:00,2022-06-13 15:57:00,14756.0,14662.0,closeout,94.0,376.0,373.128,371.128
2022-06-14,-1,2022-06-14 09:36:00,2022-06-14 15:57:00,14712.0,14674.25,closeout,37.75,151.0,148.128,146.128
2022-06-15,1,2022-06-15 09:42:00,2022-06-15 15:57:00,14866.25,14968.0,closeout,101.75,407.0,404.128,402.128
2022-06-16,-1,2022-06-16 09:39:00,2022-06-16 15:57:00,14605.75,14475.0,closeout,130.75,523.0,520.128,518.128
2022-06-17,1,2022-06-17 09:36:00,2022-06-17 15:57:00,14612.75,14665.25,closeout,52.5,210.0,207.128,205.128
2022-06-21,1,2022-06-21 09:36:00,2022-06-21 15:57:00,14893.0,14909.0,closeout,16.0,64.0,61.128,59.128
2022-06-22,1,2022-06-22 09:48:00,2022-06-22 15:57:00,14877.0,14923.75,closeout,46.75,187.0,184.128,182.128
2022-06-23,-1,2022-06-23 09:36:00,2022-06-23 15:57:00,14923.75,15064.75,closeout,-141.0,-564.0,-566.872,-568.872
2022-06-24,1,2022-06-24 09:36:00,2022-06-24 15:57:00,15240.0,15443.5,closeout,203.5,814.0,811.128,809.128
2022-06-27,-1,2022-06-27 09:36:00,2022-06-27 15:57:00,15438.0,15358.25,closeout,79.75,319.0,316.128,314.128
2022-06-28,1,2022-06-28 09:36:00,2022-06-28 10:33:00,15478.0,15298.25,flip,-179.75,-719.0,-721.872,-723.872
2022-06-28,-1,2022-06-28 10:33:00,2022-06-28 15:57:00,15298.25,15008.25,closeout,290.0,1160.0,1157.128,1155.128
2022-06-29,-1,2022-06-29 09:36:00,2022-06-29 15:57:00,14942.75,15022.25,closeout,-79.5,-318.0,-320.872,-322.872
2022-06-30,-1,2022-06-30 09:39:00,2022-06-30 15:57:00,14813.25,14844.75,closeout,-31.5,-126.0,-128.872,-130.872
2022-07-01,1,2022-07-01 09:57:00,2022-07-01 15:57:00,14916.5,14932.5,closeout,16.0,64.0,61.128,59.128
2022-07-05,1,2022-07-05 10:39:00,2022-07-05 15:57:00,14924.75,15131.75,closeout,207.0,828.0,825.128,823.128
2022-07-07,1,2022-07-07 09:36:00,2022-07-07 15:57:00,15327.25,15477.75,closeout,150.5,602.0,599.128,597.128
2022-07-08,1,2022-07-08 09:42:00,2022-07-08 15:57:00,15420.75,15502.25,closeout,81.5,326.0,323.128,321.128
2022-07-11,-1,2022-07-11 09:36:00,2022-07-11 15:57:00,15313.5,15203.75,closeout,109.75,439.0,436.128,434.128
2022-07-12,1,2022-07-12 09:36:00,2022-07-12 10:00:00,15320.25,15190.0,flip,-130.25,-521.0,-523.872,-525.872
2022-07-12,-1,2022-07-12 10:00:00,2022-07-12 15:57:00,15190.0,15111.5,closeout,78.5,314.0,311.128,309.128
2022-07-13,1,2022-07-13 09:39:00,2022-07-13 15:57:00,14939.5,15115.5,closeout,176.0,704.0,701.128,699.128
2022-07-14,-1,2022-07-14 09:36:00,2022-07-14 14:18:00,14923.25,15096.5,flip,-173.25,-693.0,-695.872,-697.872
2022-07-14,1,2022-07-14 14:18:00,2022-07-14 15:57:00,15096.5,15137.25,closeout,40.75,163.0,160.128,158.128
2022-07-15,1,2022-07-15 09:36:00,2022-07-15 15:57:00,15315.5,15326.75,closeout,11.25,45.0,42.128,40.128
2022-07-18,-1,2022-07-18 13:57:00,2022-07-18 15:57:00,15325.75,15244.75,closeout,81.0,324.0,321.128,319.128
2022-07-19,1,2022-07-19 10:54:00,2022-07-19 15:57:00,15477.75,15617.75,closeout,140.0,560.0,557.128,555.128
2022-07-20,1,2022-07-20 10:24:00,2022-07-20 15:57:00,15688.5,15797.5,closeout,109.0,436.0,433.128,431.128
2022-07-21,-1,2022-07-21 09:36:00,2022-07-21 12:30:00,15749.25,15939.75,flip,-190.5,-762.0,-764.872,-766.872
2022-07-21,1,2022-07-21 12:30:00,2022-07-21 15:57:00,15939.75,15970.25,closeout,30.5,122.0,119.128,117.128
2022-07-22,1,2022-07-22 09:51:00,2022-07-22 11:24:00,16016.75,15841.25,flip,-175.5,-702.0,-704.872,-706.872
2022-07-22,-1,2022-07-22 11:24:00,2022-07-22 15:57:00,15841.25,15745.75,closeout,95.5,382.0,379.128,377.128
2022-07-25,-1,2022-07-25 09:36:00,2022-07-25 15:57:00,15716.75,15678.75,closeout,38.0,152.0,149.128,147.128
2022-07-26,-1,2022-07-26 09:36:00,2022-07-26 15:57:00,15569.75,15459.0,closeout,110.75,443.0,440.128,438.128
2022-07-27,1,2022-07-27 09:42:00,2022-07-27 15:57:00,15691.0,15968.25,closeout,277.25,1109.0,1106.128,1104.128
2022-07-28,-1,2022-07-28 09:45:00,2022-07-28 13:57:00,15853.0,16067.5,flip,-214.5,-858.0,-860.872,-862.872
2022-07-28,1,2022-07-28 13:57:00,2022-07-28 15:57:00,16067.5,16058.75,closeout,-8.75,-35.0,-37.872,-39.872
2022-07-29,-1,2022-07-29 09:36:00,2022-07-29 09:42:00,16087.25,16184.5,flip,-97.25,-389.0,-391.872,-393.872
2022-07-29,1,2022-07-29 09:42:00,2022-07-29 15:57:00,16184.5,16302.5,closeout,118.0,472.0,469.128,467.128
2022-08-01,1,2022-08-01 09:42:00,2022-08-01 15:57:00,16281.0,16283.5,closeout,2.5,10.0,7.128,5.128
2022-08-02,1,2022-08-02 09:39:00,2022-08-02 15:57:00,16233.25,16260.0,closeout,26.75,107.0,104.128,102.128
2022-08-03,1,2022-08-03 09:36:00,2022-08-03 15:57:00,16374.0,16619.25,closeout,245.25,981.0,978.128,976.128
2022-08-04,1,2022-08-04 09:45:00,2022-08-04 15:57:00,16659.0,16651.5,closeout,-7.5,-30.0,-32.872,-34.872
2022-08-05,1,2022-08-05 09:36:00,2022-08-05 15:57:00,16507.0,16561.25,closeout,54.25,217.0,214.128,212.128
2022-08-08,1,2022-08-08 09:36:00,2022-08-08 14:06:00,16637.0,16477.5,flip,-159.5,-638.0,-640.872,-642.872
2022-08-08,-1,2022-08-08 14:06:00,2022-08-08 15:57:00,16477.5,16508.5,closeout,-31.0,-124.0,-126.872,-128.872
2022-08-09,-1,2022-08-09 09:39:00,2022-08-09 15:57:00,16375.5,16361.75,closeout,13.75,55.0,52.128,50.128
2022-08-10,-1,2022-08-10 09:36:00,2022-08-10 15:57:00,16620.0,16734.25,closeout,-114.25,-457.0,-459.872,-461.872
2022-08-11,-1,2022-08-11 11:09:00,2022-08-11 15:57:00,16746.25,16643.0,closeout,103.25,413.0,410.128,408.128
2022-08-12,-1,2022-08-12 09:36:00,2022-08-12 11:18:00,16699.0,16811.5,flip,-112.5,-450.0,-452.872,-454.872
2022-08-12,1,2022-08-12 11:18:00,2022-08-12 15:57:00,16811.5,16904.5,closeout,93.0,372.0,369.128,367.128
2022-08-15,1,2022-08-15 09:36:00,2022-08-15 15:57:00,16929.0,17017.0,closeout,88.0,352.0,349.128,347.128
2022-08-16,-1,2022-08-16 10:27:00,2022-08-16 15:57:00,16900.75,16987.5,closeout,-86.75,-347.0,-349.872,-351.872
2022-08-17,1,2022-08-17 09:36:00,2022-08-17 10:39:00,16898.75,16770.5,flip,-128.25,-513.0,-515.872,-517.872
2022-08-17,-1,2022-08-17 10:39:00,2022-08-17 15:57:00,16770.5,16825.75,closeout,-55.25,-221.0,-223.872,-225.872
2022-08-18,-1,2022-08-18 09:36:00,2022-08-18 11:18:00,16785.0,16874.0,flip,-89.0,-356.0,-358.872,-360.872
2022-08-18,1,2022-08-18 11:18:00,2022-08-18 15:57:00,16874.0,16847.5,closeout,-26.5,-106.0,-108.872,-110.872
2022-08-19,-1,2022-08-19 09:42:00,2022-08-19 15:57:00,16690.5,16602.0,closeout,88.5,354.0,351.128,349.128
2022-08-22,-1,2022-08-22 09:36:00,2022-08-22 15:57:00,16370.5,16235.5,closeout,135.0,540.0,537.128,535.128
2022-08-23,1,2022-08-23 09:36:00,2022-08-23 09:45:00,16282.75,16201.0,flip,-81.75,-327.0,-329.872,-331.872
