sess,n_trades,net_c1_ticks,net_c1_usd,net_c2_usd,net_v1,net_v2
2022-01-21,1,960.128,4800.64,4790.64,-5172.5,-5185.0
2022-01-24,3,-1310.616,-6553.08,-6583.08,7641.4,7261.4
2022-01-25,2,-1913.744,-9568.72,-9588.72,2167.1,1177.1
2022-01-26,3,-1876.616,-9383.08,-9413.08,1903.2,1690.2
2022-01-27,1,1067.128,5335.639999999999,5325.639999999999,-510.4,-415.4
2022-01-28,2,-185.744,-928.72,-948.72,3145.7,3173.7
2022-01-31,1,1315.128,6575.639999999999,6565.639999999999,-716.2,-716.2
2022-02-01,1,-539.872,-2699.3599999999997,-2709.3599999999997,-838.1,-838.1
2022-02-02,1,-75.872,-379.36,-389.36,407.6,357.6
2022-02-03,1,-1013.872,-5069.36,-5079.36,219.4,-75.6
2022-02-04,2,-315.744,-1578.7200000000003,-1598.7200000000003,390.5,376.5
2022-02-07,2,-348.744,-1743.7200000000003,-1763.7200000000003,-2384.8,-2353.3
2022-02-08,1,731.128,3655.6400000000003,3645.6400000000003,-576.3,-627.3
2022-02-09,0,0.0,0.0,0.0,-487.1,-487.1
2022-02-10,1,-390.872,-1954.3600000000001,-1964.3600000000001,1906.2,2158.2
2022-02-11,1,1279.128,6395.639999999999,6385.639999999999,-1992.7,-1951.7
2022-02-14,1,-81.872,-409.36,-419.36,-1045.4,-1063.4
2022-02-15,0,0.0,0.0,0.0,1054.2,1146.2
2022-02-16,1,-588.872,-2944.3599999999997,-2954.3599999999997,-961.5,-979.5
2022-02-17,1,900.128,4500.64,4490.64,4370.2,4258.2
2022-02-18,1,569.128,2845.6400000000003,2835.6400000000003,-3887.0,-3697.0
2022-02-21,1,9.128,45.64,35.64,929.8,929.8
2022-02-22,2,-1023.744,-5118.72,-5138.719999999999,1356.2,1599.2
2022-02-23,1,1832.128,9160.64,9150.64,2426.1,2339.1
2022-02-24,1,3040.128,15200.640000000001,15190.640000000001,10765.5,10405.5
2022-02-25,2,-592.744,-2963.7200000000003,-2983.7200000000003,-3388.0,-3388.0
2022-02-28,1,435.128,2175.64,2165.64,-6811.0,-6816.5
2022-03-01,2,-643.744,-3218.7200000000003,-3238.7200000000003,-53.5,69.5
2022-03-02,2,-670.744,-3353.7200000000003,-3373.7200000000003,-1868.3,-2042.3
2022-03-03,1,1083.128,5415.639999999999,5405.639999999999,420.4,595.4
2022-03-04,2,-445.744,-2228.7200000000003,-2248.7200000000003,-2246.0,-2255.0
2022-03-07,1,1699.128,8495.64,8485.64,-985.6,-1035.6
