feature,q,lo_edge,hi_edge,n,mean_pnl_t,ci_lo,ci_hi,win_rate,mean_maxpos_nq
spread60,1,1.5990000000000002,2.363,36,-8.784999999999998,-29.14343367346939,19.004472972972952,0.19444444444444445,0.2694444444444445
spread60,2,2.363,2.903,36,5.000555555555561,-33.69833870967743,49.90632758620689,0.3055555555555556,0.3194444444444445
spread60,3,2.903,3.473,36,5.361666666666668,-41.691452347083924,67.7393357142857,0.2222222222222222,0.25833333333333336
spread60,4,3.473,4.59,36,-59.57777777777777,-122.13439102564102,4.891380952380938,0.16666666666666666,0.3388888888888889
spread60,5,4.59,13.917,36,36.70333333333333,-61.1633064516129,226.39649261083738,0.3055555555555556,0.33611111111111114
spread60,Q5-Q1,,,180,45.48833333333333,-65.15962764207725,225.1983120997536,,
spread60,spearman,,,180,-0.21619014633241562,-0.3325589478295785,-0.08897683318478122,,
sflow60,1,-196.001,-27.2,36,-3.065555555555554,-32.98353641456583,41.039732919254625,0.2777777777777778,0.36944444444444446
sflow60,2,-27.2,-7.0,39,-36.68205128205128,-78.94804411764704,8.685211509146328,0.1282051282051282,0.28717948717948716
sflow60,3,-7.0,4.0,34,32.58058823529411,-70.51332428571429,215.69050612745096,0.17647058823529413,0.3176470588235294
sflow60,4,4.0,18.0,38,0.03263157894737315,-61.41967013888888,66.67043030303026,0.39473684210526316,0.28157894736842104
sflow60,5,18.0,195.0,33,-10.143030303030308,-60.749398148148146,43.54485057471265,0.21212121212121213,0.26666666666666666
sflow60,Q5-Q1,,,180,-7.077474747474755,-78.9075997789264,61.46358863636363,,
sflow60,spearman,,,180,0.00812294530496301,-0.14795867521534362,0.15007608405229897,,
upd60,1,198.999,1582.0,36,-0.8761111111111107,-60.680113636363636,68.10417012987011,0.3055555555555556,0.3194444444444445
upd60,2,1582.0,3368.2,36,-2.4366666666666643,-57.93328095238096,76.61232384615381,0.2777777777777778,0.28888888888888886
upd60,3,3368.2,10384.0,36,24.007777777777783,-72.52338842592593,196.2047136627907,0.16666666666666666,0.275
upd60,4,10384.0,21920.0,36,-22.936666666666667,-41.11717117647059,0.873621212121209,0.2222222222222222,0.25833333333333336
upd60,5,21920.0,67953.0,36,-19.055555555555554,-59.799608851674634,33.15017921146953,0.2222222222222222,0.38055555555555554
upd60,Q5-Q1,,,180,-18.179444444444442,-102.39642442452282,67.53700891380808,,
upd60,spearman,,,180,-0.1468342787543864,-0.28982016817713113,-0.009338873291086918,,
rv60,1,0.707,2.176,36,4.4994444444444435,-28.12087209302326,50.63050000000001,0.25,0.2694444444444445
rv60,2,2.176,3.27,36,-19.726111111111113,-98.25895758928571,57.00193408134639,0.19444444444444445,0.275
rv60,3,3.27,5.031,36,8.653888888888888,-27.838695906432743,59.54305626598463,0.3888888888888889,0.28888888888888886
rv60,4,5.031,6.972,36,44.15944444444445,-59.05210540540542,216.69939210526312,0.19444444444444445,0.38055555555555554
rv60,5,6.972,21.703,36,-58.88388888888888,-79.89656896551723,-33.15453425559947,0.16666666666666666,0.30833333333333335
rv60,Q5-Q1,,,180,-63.383333333333326,-113.77697882410384,-27.79766081871345,,
rv60,spearman,,,180,-0.25518266319014915,-0.364591973339847,-0.1293463381952378,,
eff60,1,-0.001,0.0477,36,-2.895000000000001,-42.035965277777784,34.36321999999999,0.3055555555555556,0.30833333333333335
eff60,2,0.0477,0.0968,36,22.58222222222221,-64.19188652073733,169.61166061827956,0.2777777777777778,0.29166666666666663
eff60,3,0.0968,0.139,36,-39.893333333333324,-102.32578333333335,16.58194519704432,0.16666666666666666,0.3388888888888889
eff60,4,0.139,0.203,36,3.1588888888888915,-53.35932500000001,75.71738203266789,0.16666666666666666,0.30277777777777776
eff60,5,0.203,0.459,36,-4.249999999999998,-40.13698571428571,37.315924916943516,0.2777777777777778,0.28055555555555556
eff60,Q5-Q1,,,180,-1.3549999999999973,-47.29961024450265,50.55579625374623,,
eff60,spearman,,,180,-0.018037181399136366,-0.14248752934457382,0.10304010049175384,,
dist_hi,1,0.999,94.0,36,-21.04444444444444,-79.15408214793742,21.829699999999992,0.4444444444444444,0.2638888888888889
dist_hi,2,94.0,225.0,37,-3.660000000000001,-32.69830842607314,31.619650649350636,0.24324324324324326,0.2810810810810811
dist_hi,3,225.0,384.5,36,83.70055555555554,-25.268979586426305,276.28691428571403,0.2222222222222222,0.35833333333333334
dist_hi,4,384.5,611.3,35,-34.51828571428572,-80.65791738066096,36.097884724857686,0.14285714285714285,0.31142857142857144
dist_hi,5,611.3,1421.0,36,-46.632222222222225,-88.31925,-6.910436764705881,0.1388888888888889,0.30833333333333335
dist_hi,Q5-Q1,,,180,-25.587777777777784,-74.31218866889539,41.56970112781954,,
dist_hi,spearman,,,180,-0.26437155304703724,-0.38048398349090556,-0.13347172371355093,,
dist_lo,1,4.499,110.3,36,17.644999999999996,-58.358265476190475,100.28165714285714,0.3055555555555556,0.3888888888888889
dist_lo,2,110.3,321.7,36,-35.038888888888884,-89.54037500000001,19.714064285714283,0.16666666666666666,0.2611111111111111
dist_lo,3,321.7,552.4,36,-21.118888888888883,-53.61677083333332,8.549219858156025,0.2777777777777778,0.3416666666666667
dist_lo,4,552.4,922.6,36,50.28666666666667,-33.303638888888884,210.29138478260867,0.25,0.2833333333333333
dist_lo,5,922.6,1873.5,36,-33.07111111111111,-51.16565974025974,-7.113423245614048,0.19444444444444445,0.24722222222222223
dist_lo,Q5-Q1,,,180,-50.716111111111104,-137.17175884173298,36.31104847386905,,
dist_lo,spearman,,,180,-0.0020623266069008266,-0.13581971712656243,0.14134228593381903,,
mins_open,1,5.999,138.0,37,41.92918918918918,-66.37018589743589,195.97248529411763,0.35135135135135137,0.3405405405405405
mins_open,2,138.0,649.2,35,9.944571428571432,-53.701883940620775,102.46830857142857,0.2,0.32285714285714284
mins_open,3,649.2,951.0,38,-41.47631578947368,-73.37238779956428,-11.936763870967743,0.21052631578947367,0.2973684210526316
mins_open,4,951.0,1092.0,35,-10.426285714285711,-48.35912499999999,45.63322222222223,0.22857142857142856,0.32285714285714284
mins_open,5,1092.0,1356.0,35,-20.717714285714283,-44.9425731707317,16.597598571428563,0.2,0.23714285714285716
mins_open,Q5-Q1,,,180,-62.64690347490347,-208.8210195652174,54.24656881427707,,
mins_open,spearman,,,180,0.029475546354411054,-0.1278068079665015,0.17585132120366853,,
