session,theta,n_cycles,cyc_per_day,r,gross_pc,net_c1_pc
s20250814,5,14976,14976.02170437928,2.1079,0.539,-2.333
s20250814,10,4342,4342.006292762742,2.0423,0.423,-2.449
s20250814,20,1143,1143.0016565241397,2.0357,0.713,-2.159
s20250814,40,295,295.0004275368515,2.003,0.119,-2.753
s20250814,80,69,69.00010000014491,2.0805,6.442,3.57
s20250814,160,14,14.000020289884477,2.344,55.036,52.164
s20250820,5,24311,24311.279520991597,2.1378,0.689,-2.183
s20250820,10,7054,7054.081104893864,2.087,0.87,-2.002
s20250820,20,1907,1907.0219261458178,2.0765,1.529,-1.343
s20250820,40,523,523.0060133058536,2.0263,1.052,-1.82
s20250820,80,130,130.00149470317584,2.0874,6.988,4.116
s20250820,160,32,32.00036792693559,2.1963,31.406,28.534
s20250901,5,4795,5804.484206959673,2.1657,0.828,-2.044
s20250901,10,1415,1712.8978420955032,2.122,1.22,-1.652
s20250901,20,399,483.0008756156224,2.0668,1.336,-1.536
s20250901,40,109,131.94760762431793,2.0584,2.335,-0.537
s20250901,80,21,25.42109871661171,2.4455,35.643,32.771
s20250901,160,5,6.052642551574216,2.2756,44.1,41.228
s20250902,5,1272,4876.191435663771,2.2047,1.024,-1.848
s20250902,10,408,1564.061403892153,2.0419,0.419,-2.453
s20250902,20,113,433.18367313679727,1.9998,-0.004,-2.876
s20250902,40,27,103.50406349286307,1.9968,-0.13,-3.002
s20250902,80,5,19.167419165345013,2.4638,37.1,34.228
s20250905,5,28125,28125.044837028003,2.1219,0.609,-2.263
s20250905,10,8202,8202.01307567302,2.0484,0.484,-2.388
s20250905,20,2191,2191.0034929041194,2.0261,0.522,-2.35
s20250905,40,600,600.000956523264,1.9691,-1.235,-4.107
s20250905,80,168,168.00026782651392,1.8032,-15.741,-18.613
s20250905,160,29,29.00004623195776,1.9473,-8.431,-11.303
s20250910,5,13556,13556.05239054064,2.117,0.585,-2.287
s20250910,10,3918,3918.015142087506,2.0572,0.572,-2.3
s20250910,20,1107,1107.004278277404,1.9676,-0.649,-3.521
s20250910,40,260,260.00100483480134,1.9913,-0.346,-3.218
s20250910,80,62,62.00023961445262,2.0634,5.073,2.201
s20250910,160,15,15.000057971238537,1.8608,-22.267,-25.139
s20250911,5,11868,11868.06822705889,2.0924,0.462,-2.41
s20250911,10,3324,3324.0191090953613,2.0671,0.671,-2.201
s20250911,20,934,934.0053694028481,1.9936,-0.128,-3.0
s20250911,40,232,232.00133372747408,2.0187,0.748,-2.124
s20250911,80,58,58.00033343186852,1.9761,-1.914,-4.786
s20250911,160,16,16.00009198120511,1.8854,-18.344,-21.216
s20250922,5,7596,7596.055410838988,2.0795,0.397,-2.475
s20250922,10,2121,2121.01547214185,2.0655,0.655,-2.217
s20250922,20,602,602.0043914330004,1.9855,-0.291,-3.163
s20250922,40,145,145.00105773718445,2.0079,0.317,-2.555
s20250922,80,33,33.000240726393706,2.1248,9.985,7.113
s20250922,160,8,8.000058357913625,2.1773,28.375,25.503
s20251002,5,12340,12340.032191388327,2.101,0.505,-2.367
s20251002,10,3488,3488.009099154172,2.0647,0.647,-2.225
s20251002,20,996,996.0025982676477,1.9626,-0.748,-3.62
s20251002,40,237,237.00061826248245,1.9588,-1.648,-4.52
s20251002,80,52,52.000135652527796,2.0444,3.548,0.676
s20251002,160,11,11.000028695727034,1.8315,-26.955,-29.827
s20251009,5,13519,13519.156090739407,2.0992,0.496,-2.376
s20251009,10,3837,3837.0443021057104,2.0637,0.637,-2.235
s20251009,20,1089,1089.0125736234347,1.9601,-0.797,-3.669
s20251009,40,261,261.0030135130546,1.9831,-0.674,-3.546
s20251009,80,72,72.0008313139461,1.8485,-12.118,-14.99
s20251009,160,15,15.000173190405436,1.7567,-38.933,-41.805
s20251027,5,10821,10821.034501849135,2.1191,0.595,-2.277
s20251027,10,3238,3238.0103240908884,2.0072,0.072,-2.8
s20251027,20,818,818.0026081242578,2.0086,0.171,-2.701
s20251027,40,227,227.0007237704236,1.8497,-6.011,-8.883
s20251027,80,47,47.00014985555026,1.9586,-3.309,-6.181
s20251027,160,15,15.000047826239445,1.4758,-83.867,-86.739
s20251029,5,35708,35708.163878046784,2.2366,1.183,-1.689
s20251029,10,11288,11288.051805068671,2.125,1.25,-1.622
s20251029,20,3184,3184.0146126274494,2.086,1.72,-1.152
s20251029,40,878,878.0040294870919,2.0382,1.528,-1.344
s20251029,80,250,250.00114734826082,1.9013,-7.896,-10.768
s20251029,160,60,60.000275363582595,1.8512,-23.8,-26.672
s20251110,5,23577,23577.089980198478,2.1396,0.698,-2.174
s20251110,10,6858,6858.026173143367,2.086,0.86,-2.012
s20251110,20,1868,1868.0071291093334,2.0745,1.49,-1.382
s20251110,40,518,518.0019769157574,1.9776,-0.896,-3.768
s20251110,80,124,124.00047323852107,1.9473,-4.214,-7.086
s20251110,160,20,20.00007632879372,2.42,67.2,64.328
s20251117,5,41110,47579.99694048436,2.1744,0.872,-2.0
s20251117,10,12394,14344.59941815527,2.0914,0.914,-1.958
s20251117,20,3360,3888.8053933356227,2.0784,1.568,-1.304
s20251117,40,896,1037.0147715561661,2.0517,2.066,-0.806
s20251117,80,232,268.5127533493644,2.0305,2.444,-0.428
s20251117,160,50,57.869127877018194,2.2767,44.28,41.408
s20251124,5,41432,44215.621128392246,2.2135,1.068,-1.804
s20251124,10,12940,13809.37771291262,2.1084,1.084,-1.788
s20251124,20,3671,3917.6372167003265,2.0349,0.699,-2.173
s20251124,40,985,1051.17751524103,1.9754,-0.985,-3.857
s20251124,80,244,260.3932118972704,1.9389,-4.891,-7.763
s20251124,160,57,60.829561795673825,1.9673,-5.228,-8.1
s20251128,5,7435,8883.397133384435,2.7949,3.975,1.103
s20251128,10,3301,3944.061054109216,2.332,3.32,0.448
s20251128,20,1467,1752.783267609276,1.7036,-5.929,-8.801
s20251128,40,263,314.23449173908625,2.117,4.679,1.807
s20251128,80,114,136.2081066853834,1.5443,-36.456,-39.328
s20251128,160,11,13.142887487186119,1.5423,-73.227,-76.099
s20251209,5,15486,15486.017206685785,2.1247,0.624,-2.248
s20251209,10,4554,4554.005060005622,2.0495,0.495,-2.377
s20251209,20,1270,1270.001411112679,1.9771,-0.457,-3.329
s20251209,40,310,310.00034444482714,1.9713,-1.148,-4.02
s20251209,80,90,90.00010000011112,1.7935,-16.522,-19.394
s20251209,160,24,24.000026666696296,1.5383,-73.875,-76.747
s20251222,5,12629,12629.123850828102,2.0448,0.224,-2.648
s20251222,10,3477,3477.0340984503373,2.0062,0.062,-2.81
s20251222,20,965,965.0094636193775,1.9334,-1.331,-4.203
s20251222,40,220,220.0021575090809,1.9838,-0.648,-3.52
s20251222,80,61,61.00059821842697,1.8306,-13.549,-16.421
s20251222,160,8,8.000078454875668,1.8762,-19.812,-22.684
s20260123,5,23297,23297.039391129405,2.1316,0.658,-2.214
s20260123,10,6767,6767.011441806785,2.08,0.8,-2.072
s20260123,20,1864,1864.00315169615,2.0356,0.713,-2.159
s20260123,40,466,466.0007879240375,2.0813,3.252,0.38
s20260123,80,127,127.00021473466259,1.9924,-0.61,-3.482
s20260123,160,30,30.000050724723447,1.9841,-2.55,-5.422
s20260206,5,55203,65181.441023424886,2.2757,1.378,-1.494
