date,event,time_et,source
2005-01-07,NFP,08:30,bls.gov (archive.org)
2005-01-19,CPI,08:30,bls.gov (archive.org)
2005-02-04,NFP,08:30,bls.gov (archive.org)
2005-02-23,CPI,08:30,bls.gov (archive.org)
2005-03-04,NFP,08:30,bls.gov (archive.org)
2005-03-23,CPI,08:30,bls.gov (archive.org)
2005-04-01,NFP,08:30,bls.gov (archive.org)
2005-04-20,CPI,08:30,bls.gov (archive.org)
2005-05-06,NFP,08:30,bls.gov (archive.org)
2005-05-18,CPI,08:30,bls.gov (archive.org)
2005-06-03,NFP,08:30,bls.gov (archive.org)
2005-06-15,CPI,08:30,bls.gov (archive.org)
2005-07-08,NFP,08:30,bls.gov (archive.org)
2005-07-14,CPI,08:30,bls.gov (archive.org)
2005-08-05,NFP,08:30,bls.gov (archive.org)
2005-08-16,CPI,08:30,bls.gov (archive.org)
2005-09-02,NFP,08:30,bls.gov (archive.org)
2005-09-15,CPI,08:30,bls.gov (archive.org)
2005-10-07,NFP,08:30,bls.gov (archive.org)
2005-10-14,CPI,08:30,bls.gov (archive.org)
2005-11-04,NFP,08:30,bls.gov (archive.org)
2005-11-16,CPI,08:30,bls.gov (archive.org)
2005-12-02,NFP,08:30,bls.gov (archive.org)
2005-12-15,CPI,08:30,bls.gov (archive.org)
2006-01-06,NFP,08:30,bls.gov (archive.org)
2006-01-18,CPI,08:30,bls.gov (archive.org)
2006-02-03,NFP,08:30,bls.gov (archive.org)
2006-02-22,CPI,08:30,bls.gov (archive.org)
2006-03-10,NFP,08:30,bls.gov (archive.org)
2006-03-16,CPI,08:30,bls.gov (archive.org)
2006-04-07,NFP,08:30,bls.gov (archive.org)
2006-04-19,CPI,08:30,bls.gov (archive.org)
2006-05-05,NFP,08:30,bls.gov (archive.org)
2006-05-17,CPI,08:30,bls.gov (archive.org)
2006-06-02,NFP,08:30,bls.gov (archive.org)
2006-06-14,CPI,08:30,bls.gov (archive.org)
2006-07-07,NFP,08:30,bls.gov (archive.org)
2006-07-19,CPI,08:30,bls.gov (archive.org)
2006-08-04,NFP,08:30,bls.gov (archive.org)
2006-08-16,CPI,08:30,bls.gov (archive.org)
2006-09-01,NFP,08:30,bls.gov (archive.org)
2006-09-15,CPI,08:30,bls.gov (archive.org)
2006-10-06,NFP,08:30,bls.gov (archive.org)
2006-10-18,CPI,08:30,bls.gov (archive.org)
2006-11-03,NFP,08:30,bls.gov (archive.org)
2006-11-16,CPI,08:30,bls.gov (archive.org)
2006-12-08,NFP,08:30,bls.gov (archive.org)
2006-12-15,CPI,08:30,bls.gov (archive.org)
2007-01-05,NFP,08:30,bls.gov (archive.org)
2007-01-18,CPI,08:30,bls.gov (archive.org)
2007-02-02,NFP,08:30,bls.gov (archive.org)
2007-02-21,CPI,08:30,bls.gov (archive.org)
2007-03-09,NFP,08:30,bls.gov (archive.org)
2007-03-16,CPI,08:30,bls.gov (archive.org)
2007-04-06,NFP,08:30,bls.gov (archive.org)
2007-04-17,CPI,08:30,bls.gov (archive.org)
2007-05-04,NFP,08:30,bls.gov (archive.org)
2007-05-15,CPI,08:30,bls.gov (archive.org)
2007-06-01,NFP,08:30,bls.gov (archive.org)
2007-06-15,CPI,08:30,bls.gov (archive.org)
2007-07-06,NFP,08:30,bls.gov (archive.org)
2007-07-18,CPI,08:30,bls.gov (archive.org)
2007-08-03,NFP,08:30,bls.gov (archive.org)
2007-08-15,CPI,08:30,bls.gov (archive.org)
2007-09-07,NFP,08:30,bls.gov (archive.org)
2007-09-19,CPI,08:30,bls.gov (archive.org)
2007-10-05,NFP,08:30,bls.gov (archive.org)
