day,kind,pnl,dir,mom_dir
2006-01-20,opex,-54.36,-1,-1.0
2006-01-31,month_end,-14.36,-1,-1.0
2006-02-17,opex,-14.36,-1,-1.0
2006-02-28,month_end,-74.36,1,-1.0
2006-03-17,opex+quad_witch,5.640000000000001,1,
2006-03-31,month_end+quarter_end,-34.36,-1,-1.0
2006-05-31,month_end,-39.36,1,1.0
2006-06-16,opex+quad_witch,0.6400000000000006,-1,-1.0
2006-06-30,month_end+quarter_end,-4.36,-1,-1.0
2006-07-21,opex,-24.36,1,-1.0
2006-07-31,month_end,-29.36,-1,-1.0
2006-08-18,opex,0.6400000000000006,-1,1.0
2006-08-31,month_end,35.64,-1,-1.0
2006-09-15,opex+quad_witch,-14.36,-1,-1.0
2006-09-29,month_end+quarter_end,-4.36,-1,-1.0
2006-10-31,month_end,-59.36,1,1.0
2006-11-17,opex,-4.36,1,1.0
2006-11-30,month_end,65.64,-1,1.0
2006-12-15,opex+quad_witch+ndx_recon,-39.36,-1,-1.0
2006-12-29,month_end+quarter_end,-54.36,1,-1.0
2007-01-19,opex,-39.36,-1,1.0
2007-01-31,month_end,50.64,-1,
2007-02-28,month_end,20.64,-1,1.0
2007-03-30,month_end+quarter_end,-44.36,1,1.0
2007-04-27,opex,-74.36,-1,1.0
2007-04-30,month_end,45.64,-1,-1.0
2007-05-18,opex,20.64,1,1.0
2007-05-31,month_end,45.64,1,1.0
2007-06-15,opex+quad_witch,-9.36,1,-1.0
2007-06-29,month_end+quarter_end,-14.36,1,-1.0
2007-07-20,opex,-69.36,-1,-1.0
2007-07-31,month_end,95.64,-1,-1.0
2007-08-17,opex,0.6400000000000006,1,1.0
2007-08-31,month_end,-124.36,1,1.0
2007-09-21,opex+quad_witch,30.64,-1,1.0
2007-09-28,month_end+quarter_end,-4.36,1,-1.0
2007-10-19,opex,-39.36,-1,-1.0
2007-10-31,month_end,105.64,1,1.0
2007-11-16,opex,15.64,1,1.0
2007-11-30,month_end,-184.36,-1,-1.0
2007-12-21,opex+quad_witch+ndx_recon,-169.36,-1,1.0
2007-12-31,month_end+quarter_end,125.63999999999999,-1,-1.0
2008-01-18,opex,-34.36,1,-1.0
2008-01-31,month_end,-329.36,1,1.0
2008-02-15,opex,-19.36,1,-1.0
2008-02-29,month_end,-84.36,-1,-1.0
2008-03-28,opex+quad_witch,-34.36,-1,-1.0
2008-03-31,month_end+quarter_end,-89.36,1,1.0
2008-04-18,opex,-89.36,-1,1.0
2008-04-30,month_end,-94.36,1,-1.0
2008-05-30,month_end,-104.36,1,1.0
2008-06-20,opex+quad_witch,-29.36,1,-1.0
2008-06-30,month_end+quarter_end,135.64,-1,-1.0
2008-07-25,opex,-4.36,1,1.0
2008-07-31,month_end,45.64,-1,1.0
2008-08-15,opex,-69.36,-1,-1.0
2008-08-29,month_end,-79.36,1,-1.0
2008-09-19,opex+quad_witch,90.64,1,-1.0
2008-09-30,month_end+quarter_end,-129.36,1,1.0
2008-10-17,opex,0.6400000000000006,-1,1.0
2008-10-31,month_end,-234.36,-1,1.0
2008-11-21,opex,145.64,1,1.0
2008-12-19,opex+quad_witch+ndx_recon,-89.36,-1,-1.0
2008-12-31,month_end+quarter_end,-24.36,-1,1.0
2009-01-16,opex,0.6400000000000006,1,-1.0
2009-01-30,month_end,-44.36,1,-1.0
2009-02-20,opex,35.64,1,1.0
2009-02-27,month_end,-129.36,1,1.0
2009-03-20,opex+quad_witch,-4.36,-1,-1.0
2009-03-31,month_end+quarter_end,-49.36,-1,-1.0
2009-04-30,month_end,-64.36,1,1.0
2009-05-15,opex,-84.36,1,1.0
2009-05-29,month_end,140.64,1,1.0
2009-06-26,opex+quad_witch,-64.36,1,1.0
2009-06-30,month_end+quarter_end,-59.36,1,-1.0
2009-07-24,opex,20.64,1,1.0
2009-07-31,month_end,35.64,-1,-1.0
2009-08-21,opex,-4.36,-1,1.0
2009-08-31,month_end,5.640000000000001,1,-1.0
2009-09-18,opex+quad_witch,10.64,-1,-1.0
2009-09-30,month_end+quarter_end,-34.36,1,-1.0
2009-10-16,opex,70.64,-1,-1.0
2009-10-30,month_end,-179.36,1,-1.0
2009-11-20,opex,0.6400000000000006,-1,1.0
2009-11-30,month_end,-4.36,1,1.0
2009-12-18,opex+quad_witch+ndx_recon,25.64,1,1.0
2009-12-31,month_end+quarter_end,15.64,-1,-1.0
2010-01-22,opex,-39.36,-1,-1.0
2010-01-29,month_end,-19.36,1,-1.0
2010-02-19,opex,-49.36,1,1.0
2010-02-26,month_end,-59.36,-1,1.0
2010-03-19,opex+quad_witch,0.6400000000000006,1,-1.0
2010-03-31,month_end+quarter_end,-59.36,-1,-1.0
2010-04-23,opex,30.64,1,1.0
2010-04-30,month_end,5.640000000000001,-1,-1.0
2010-05-21,opex,205.64,1,1.0
2010-05-28,month_end,155.64,-1,-1.0
2010-06-30,month_end+quarter_end,-9.36,-1,-1.0
2010-07-16,opex,-44.36,-1,-1.0
2010-07-30,month_end,45.64,-1,1.0
2010-08-20,opex,-14.36,1,1.0
2010-08-31,month_end,-49.36,1,1.0
2010-09-17,opex+quad_witch,5.640000000000001,1,-1.0
2010-09-30,month_end+quarter_end,40.64,-1,-1.0
2010-10-15,opex,30.64,1,1.0
2010-10-29,month_end,15.64,-1,0.0
2010-11-19,opex,-4.36,1,1.0
2010-11-30,month_end,-59.36,-1,-1.0
2010-12-17,opex+quad_witch+ndx_recon,-29.36,-1,-1.0
2010-12-31,month_end+quarter_end,-104.36,-1,-1.0
2011-01-21,opex,-9.36,-1,-1.0
2011-01-31,month_end,15.64,1,1.0
2011-02-18,opex,80.64,1,-1.0
2011-02-28,month_end,-89.36,-1,-1.0
2011-03-18,opex+quad_witch,-44.36,-1,-1.0
2011-04-15,opex,-84.36,-1,-1.0
2011-04-29,month_end,-134.36,1,1.0
2011-05-20,opex,10.64,-1,-1.0
2011-05-31,month_end,25.64,1,1.0
2011-06-17,opex+quad_witch,-59.36,1,-1.0
2011-06-30,month_end+quarter_end,-29.36,1,1.0
2011-07-15,opex,-54.36,1,1.0
2011-07-29,month_end,-59.36,-1,1.0
2011-08-19,opex,150.64,-1,-1.0
2011-08-31,month_end,-144.36,1,-1.0
2011-09-16,opex+quad_witch,0.6400000000000006,1,1.0
2011-09-30,month_end+quarter_end,105.64,-1,-1.0
2011-10-21,opex,-139.36,-1,-1.0
2011-10-31,month_end,-104.36,1,-1.0
2011-11-18,opex,45.64,-1,-1.0
2011-11-30,month_end,165.64,1,1.0
2011-12-16,opex+quad_witch+ndx_recon,-34.36,1,-1.0
2011-12-30,month_end+quarter_end,30.64,-1,1.0
2012-01-20,opex,-19.36,1,1.0
2012-01-31,month_end,-29.36,-1,-1.0
2012-02-17,opex,10.64,-1,-1.0
2012-02-29,month_end,-4.36,-1,-1.0
2012-03-16,opex+quad_witch,-19.36,1,-1.0
2012-03-30,month_end+quarter_end,-39.36,-1,-1.0
2012-04-27,opex,-14.36,-1,1.0
2012-04-30,month_end,-19.36,1,-1.0
2012-05-18,opex,-64.36,-1,-1.0
2012-05-31,month_end,45.64,-1,-1.0
2012-06-15,opex+quad_witch,15.64,1,1.0
2012-06-29,month_end+quarter_end,-4.36,1,1.0
2012-07-20,opex,70.64,-1,-1.0
2012-07-31,month_end,-59.36,-1,-1.0
2012-08-17,opex,20.64,1,1.0
2012-08-31,month_end,110.64,1,-1.0
2012-09-21,opex+quad_witch,20.64,-1,-1.0
2012-09-28,month_end+quarter_end,-109.36,1,-1.0
2012-10-19,opex,-64.36,1,-1.0
2012-10-31,month_end,20.64,-1,-1.0
2012-11-16,opex,50.64,1,1.0
2012-11-30,month_end,50.64,1,-1.0
2012-12-21,opex+quad_witch+ndx_recon,-119.36,-1,1.0
2012-12-31,month_end+quarter_end,-109.36,1,1.0
2013-01-18,opex,-24.36,1,1.0
2013-01-31,month_end,-49.36,-1,-1.0
2013-02-15,opex,-14.36,1,-1.0
2013-02-28,month_end,80.64,-1,1.0
2013-03-15,opex+quad_witch,5.640000000000001,1,-1.0
2013-03-28,month_end+quarter_end,-89.36,-1,1.0
2013-04-19,opex,-34.36,1,1.0
2013-04-30,month_end,10.64,1,1.0
2013-05-17,opex,15.64,1,1.0
2013-05-31,month_end,140.64,-1,-1.0
2013-06-21,opex+quad_witch,15.64,-1,-1.0
2013-06-28,month_end+quarter_end,70.64,-1,1.0
2013-07-26,opex,0.6400000000000006,1,1.0
2013-07-31,month_end,-9.36,-1,-1.0
2013-08-16,opex,30.64,-1,1.0
2013-08-30,month_end,-89.36,-1,-1.0
2013-09-20,opex+quad_witch,-29.36,1,-1.0
2013-09-30,month_end+quarter_end,-74.36,-1,1.0
2013-10-18,opex,35.64,1,1.0
2013-10-31,month_end,-79.36,1,1.0
2013-11-15,opex,-49.36,-1,1.0
2013-12-20,opex+quad_witch+ndx_recon,10.64,-1,1.0
2013-12-31,month_end+quarter_end,-44.36,1,1.0
2014-01-17,opex,25.64,1,-1.0
2014-01-24,month_end,-9.36,-1,-1.0
2014-02-21,opex,60.64,-1,-1.0
2014-02-28,month_end,120.63999999999999,1,-1.0
2014-03-21,opex+quad_witch,-89.36,-1,-1.0
2014-03-31,month_end+quarter_end,-24.36,-1,-1.0
2014-04-25,opex,-119.36,1,-1.0
2014-04-30,month_end,-24.36,1,1.0
2014-05-16,opex,10.64,1,1.0
2014-05-30,month_end,15.64,1,-1.0
2014-06-20,opex+quad_witch,25.64,1,-1.0
2014-06-30,month_end+quarter_end,0.6400000000000006,-1,1.0
2014-07-25,opex,5.640000000000001,1,0.0
2014-07-31,month_end,-74.36,1,-1.0
2014-08-15,opex,30.64,1,-1.0
2014-08-29,month_end,65.64,1,-1.0
2014-09-19,opex+quad_witch,-129.36,1,-1.0
2014-09-30,month_end+quarter_end,-64.36,1,-1.0
2014-10-17,opex,-144.36,1,1.0
2014-10-31,month_end,55.64,1,-1.0
2014-11-21,opex,-34.36,-1,-1.0
2014-12-19,opex+quad_witch+ndx_recon,205.64,-1,1.0
2014-12-31,month_end+quarter_end,15.64,-1,-1.0
2015-01-16,opex,70.64,1,1.0
2015-01-30,month_end,165.64,-1,-1.0
2015-02-20,opex,-69.36,-1,1.0
2015-02-27,month_end,-59.36,-1,-1.0
2015-03-20,opex+quad_witch,-119.36,1,1.0
2015-03-31,month_end+quarter_end,-44.36,1,-1.0
2015-04-24,opex,-44.36,1,1.0
2015-04-30,month_end,95.64,1,-1.0
2015-05-15,opex,50.64,1,-1.0
2015-05-29,month_end,20.64,-1,-1.0
2015-06-19,opex+quad_witch,-134.36,1,-1.0
2015-06-30,month_end+quarter_end,-124.36,1,-1.0
2015-07-17,opex,-29.36,1,1.0
2015-07-31,month_end,15.64,1,-1.0
2015-08-21,opex,-434.36,1,-1.0
2015-08-31,month_end,-74.36,1,-1.0
2015-09-18,opex+quad_witch,-49.36,-1,-1.0
2015-09-30,month_end+quarter_end,100.64,1,1.0
2015-10-16,opex,95.64,1,1.0
2015-10-30,month_end,-254.36,1,-1.0
2015-11-20,opex,-4.36,1,1.0
2015-11-30,month_end,-14.36,1,-1.0
2015-12-18,opex+quad_witch+ndx_recon,-324.36,1,-1.0
2015-12-31,month_end+quarter_end,-144.36,1,-1.0
2016-01-22,opex,25.64,1,1.0
2016-01-29,month_end,35.64,1,1.0
2016-02-19,opex,-64.36,1,1.0
2016-02-29,month_end,225.64,-1,-1.0
2016-03-18,opex+quad_witch,20.64,-1,-1.0
2016-03-31,month_end+quarter_end,-134.36,1,1.0
2016-04-15,opex,-4.36,-1,-1.0
2016-04-29,month_end,-14.36,1,-1.0
2016-05-20,opex,45.64,1,1.0
2016-05-31,month_end,135.64,1,-1.0
2016-06-17,opex+quad_witch,-84.36,-1,-1.0
2016-06-30,month_end+quarter_end,-94.36,-1,1.0
2016-07-15,opex,-49.36,-1,-1.0
2016-07-29,month_end,-44.36,1,1.0
2016-08-19,opex,-44.36,-1,1.0
2016-08-31,month_end,-24.36,-1,1.0
2016-09-16,opex+quad_witch,-119.36,1,1.0
2016-09-30,month_end+quarter_end,105.64,-1,1.0
2016-10-21,opex,5.640000000000001,1,1.0
2016-10-31,month_end,-19.36,-1,-1.0
2016-11-18,opex,130.64,-1,-1.0
2016-11-30,month_end,160.64,-1,-1.0
2016-12-16,opex+quad_witch+ndx_recon,10.64,1,-1.0
2016-12-30,month_end+quarter_end,-124.36,-1,-1.0
2017-01-20,opex,40.64,1,-1.0
2017-01-31,month_end,5.640000000000001,1,1.0
2017-02-17,opex,-139.36,-1,1.0
2017-02-28,month_end,-39.36,-1,-1.0
2017-03-17,opex+quad_witch,10.64,-1,-1.0
2017-03-31,month_end+quarter_end,30.64,-1,1.0
2017-04-28,month_end+opex,20.64,1,-1.0
2017-05-19,opex,-64.36,-1,1.0
2017-05-31,month_end,40.64,1,-1.0
2017-06-16,opex+quad_witch,-69.36,-1,-1.0
2017-06-30,month_end+quarter_end,-319.36,1,-1.0
2017-07-21,opex,20.64,1,1.0
2017-07-31,month_end,-234.36,1,-1.0
2017-08-18,opex,260.64,-1,1.0
2017-08-31,month_end,-164.36,1,1.0
