sdate,n_bars,n_rth,eth_open,eth_close,eth_high,eth_low,vol,rth_open,rth_close,rth_high,rth_low,rth_ret,rth_range,or15_hi,or15_lo,or15_range,or30_hi,or30_lo,or30_range,or60_hi,or60_lo,or60_range,rth_er,rth_pathlen,rth_disp,up_exc,dn_exc,rth_rv
2022-01-03,1376,390,41499.0,41622.0,41667.0,41315.0,157546,41518.0,41652.0,41667.0,41315.0,134.0,352.0,41578.0,41464.0,114.0,41578.0,41315.0,263.0,41578.0,41315.0,263.0,0.04080389768574909,3284.0,134.0,149.0,203.0,246.60089213139517
2022-01-04,1379,390,41627.0,41860.0,41999.0,41604.0,175338,41816.0,41863.0,41999.0,41796.0,47.0,203.0,41882.0,41803.0,79.0,41934.0,41803.0,131.0,41983.0,41803.0,180.0,0.01733038348082596,2712.0,47.0,183.0,20.0,185.0837648201484
2022-01-05,1378,390,41851.0,41511.0,42027.0,41474.0,242021,41847.0,41485.0,42027.0,41474.0,-362.0,553.0,41925.0,41847.0,78.0,41925.0,41834.0,91.0,41974.0,41834.0,140.0,0.10495795882864599,3449.0,362.0,180.0,373.0,238.43447737271555
2022-01-06,1380,390,41504.0,41359.0,41613.0,41269.0,265018,41488.0,41313.0,41542.0,41269.0,-175.0,273.0,41542.0,41382.0,160.0,41542.0,41306.0,236.0,41542.0,41276.0,266.0,0.040229885057471264,4350.0,175.0,54.0,219.0,296.36801446849825
2022-01-07,1377,390,41368.0,41310.0,41460.0,41183.0,217596,41261.0,41303.0,41460.0,41183.0,42.0,277.0,41319.0,41209.0,110.0,41333.0,41209.0,124.0,41333.0,41209.0,124.0,0.012851897184822521,3268.0,42.0,199.0,78.0,222.70608433538587
2022-01-10,1380,390,41316.0,41137.0,41366.0,40716.0,268367,41181.0,41144.0,41199.0,40716.0,-37.0,483.0,41199.0,41044.0,155.0,41199.0,40910.0,289.0,41199.0,40764.0,435.0,0.007292077256602286,5074.0,37.0,18.0,465.0,329.55424439688227
2022-01-11,1379,390,41143.0,41319.0,41348.0,40836.0,218078,41136.0,41325.0,41345.0,40836.0,189.0,509.0,41157.0,40862.0,295.0,41157.0,40836.0,321.0,41157.0,40836.0,321.0,0.04884983199793228,3869.0,189.0,209.0,300.0,270.3090823483369
2022-01-12,1376,390,41326.0,41374.0,41527.0,41235.0,174182,41438.0,41370.0,41527.0,41235.0,-68.0,292.0,41527.0,41392.0,135.0,41527.0,41392.0,135.0,41527.0,41392.0,135.0,0.0182648401826484,3723.0,68.0,89.0,203.0,253.44230112591703
2022-01-13,1374,390,41374.0,41196.0,41585.0,41116.0,215522,41496.0,41194.0,41585.0,41116.0,-302.0,469.0,41555.0,41440.0,115.0,41555.0,41440.0,115.0,41555.0,41440.0,115.0,0.07801601653319555,3871.0,302.0,89.0,380.0,267.6060537431842
2022-01-14,1378,390,41197.0,41044.0,41309.0,40710.0,255137,40894.0,40986.0,41050.0,40710.0,92.0,340.0,40947.0,40774.0,173.0,41036.0,40774.0,262.0,41050.0,40774.0,276.0,0.01900041305245766,4842.0,92.0,156.0,184.0,330.9531688925187
