# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=1 volperiod=460 volmult=12 smin=40 smax=1200 exitmult=0 EST=1 TF=True end=164000 slip=1 instrument=NQU6 period=3 execs=6148
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-02T20:03:00,39,Long,Buy,Long,19781.25,1,2.18,1,1
1,2022-01-03T09:03:00,299,L-SolarExit,Sell,Short,19751.25,1,2.18,-1,-1
2,2022-01-03T09:36:00,310,Long,Buy,Long,19794.75,1,2.18,1,1
3,2022-01-03T09:51:00,315,L-SolarExit,Sell,Short,19743.5,1,2.18,-1,-1
4,2022-01-03T10:06:00,320,Long,Buy,Long,19720.75,1,2.18,1,1
5,2022-01-03T11:24:00,346,L-SolarExit,Sell,Short,19758,1,2.18,-1,-1
6,2022-01-03T13:24:00,386,Long,Buy,Long,19794.5,1,2.18,1,1
7,2022-01-03T16:45:00,453,L-TimeExit,Sell,Short,19864.75,1,2.18,3,0
8,2022-01-04T03:48:00,654,Short,SellShort,Short,19851,1,2.18,-1,-1
9,2022-01-04T05:24:00,686,S-SolarExit,BuyToCover,Long,19904.25,1,2.18,1,1
10,2022-01-04T07:33:00,729,Short,SellShort,Short,19861.5,1,2.18,-1,-1
11,2022-01-04T11:42:00,812,S-SolarExit,BuyToCover,Long,19588.75,1,2.18,1,1
12,2022-01-04T12:09:00,821,Short,SellShort,Short,19547,1,2.18,-1,-1
13,2022-01-04T14:36:00,870,S-SolarExit,BuyToCover,Long,19570.75,1,2.18,1,1
14,2022-01-04T16:15:00,903,Short,SellShort,Short,19619.5,1,2.18,-1,-1
15,2022-01-04T16:45:00,913,S-TimeExit,BuyToCover,Long,19624.5,1,2.18,-1,0
16,2022-01-05T04:24:00,1126,Long,Buy,Long,19605,1,2.18,1,1
17,2022-01-05T09:36:00,1230,L-SolarExit,Sell,Short,19490.25,1,2.18,-1,-1
18,2022-01-05T09:57:00,1237,Long,Buy,Long,19566.75,1,2.18,1,1
19,2022-01-05T10:39:00,1251,L-SolarExit,Sell,Short,19524.5,1,2.18,-1,-1
20,2022-01-05T19:18:00,1404,Long,Buy,Long,19161,1,2.18,1,1
