# SolarWaveOneContractNQ_v5 2026-08-09 execs=164
n,time,name,instrument,order_action,market_position,price,qty,commission,target
0,2026-05-31T23:57:00,S,NQU6,SellShort,Short,30825,1,2.18,-1
1,2026-06-01T11:21:00,XS,NQU6,BuyToCover,Long,30746.75,1,2.18,0
2,2026-06-01T16:12:00,S,NQU6,SellShort,Short,30833.5,1,2.18,-1
3,2026-06-01T16:42:00,XS,NQU6,BuyToCover,Long,30836.75,1,2.18,0
4,2026-06-02T03:03:00,L,NQU6,Buy,Long,30796.5,1,2.18,1
5,2026-06-02T16:42:00,XL,NQU6,Sell,Short,31026,1,2.18,0
6,2026-06-02T19:27:00,S,NQU6,SellShort,Short,30879.5,1,2.18,-1
7,2026-06-03T00:18:00,XS,NQU6,BuyToCover,Long,31005.75,1,2.18,0
8,2026-06-03T09:48:00,S,NQU6,SellShort,Short,30906.5,1,2.18,-1
9,2026-06-03T16:42:00,XS,NQU6,BuyToCover,Long,30809.5,1,2.18,0
10,2026-06-04T03:09:00,L,NQU6,Buy,Long,30820.5,1,2.18,1
11,2026-06-04T04:27:00,XL,NQU6,Sell,Short,30646.75,1,2.18,0
12,2026-06-04T11:06:00,L,NQU6,Buy,Long,30649.25,1,2.18,1
13,2026-06-04T16:42:00,XL,NQU6,Sell,Short,30690.75,1,2.18,0
14,2026-06-04T19:42:00,S,NQU6,SellShort,Short,30568,1,2.18,-1
15,2026-06-05T16:42:00,XS,NQU6,BuyToCover,Long,29098.25,1,2.18,0
16,2026-06-07T19:48:00,L,NQU6,Buy,Long,29305.75,1,2.18,1
17,2026-06-08T15:18:00,XL,NQU6,Sell,Short,29711,1,2.18,0
18,2026-06-09T00:15:00,L,NQU6,Buy,Long,29890.25,1,2.18,1
19,2026-06-09T10:18:00,XL,NQU6,Sell,Short,29774,1,2.18,0
20,2026-06-09T13:06:00,L,NQU6,Buy,Long,28848,1,2.18,1
21,2026-06-09T16:42:00,XL,NQU6,Sell,Short,29414.75,1,2.18,0
22,2026-06-10T00:48:00,S,NQU6,SellShort,Short,29159.75,1,2.18,-1
23,2026-06-10T08:42:00,XS,NQU6,BuyToCover,Long,29222.5,1,2.18,0
24,2026-06-10T11:03:00,S,NQU6,SellShort,Short,29183.5,1,2.18,-1
25,2026-06-10T16:42:00,XS,NQU6,BuyToCover,Long,28768.5,1,2.18,0
26,2026-06-10T21:06:00,L,NQU6,Buy,Long,28879.75,1,2.18,1
27,2026-06-11T11:00:00,XL,NQU6,Sell,Short,28959.75,1,2.18,0
28,2026-06-11T12:15:00,L,NQU6,Buy,Long,29222.75,1,2.18,1
29,2026-06-11T16:42:00,XL,NQU6,Sell,Short,29722.75,1,2.18,0
30,2026-06-12T03:06:00,S,NQU6,SellShort,Short,29625,1,2.18,-1
31,2026-06-12T05:21:00,XS,NQU6,BuyToCover,Long,29852,1,2.18,0
32,2026-06-12T09:45:00,S,NQU6,SellShort,Short,29625,1,2.18,-1
33,2026-06-12T10:21:00,XS,NQU6,BuyToCover,Long,29906.75,1,2.18,0
34,2026-06-12T12:03:00,S,NQU6,SellShort,Short,29732,1,2.18,-1
