period,match,py_idx,nt_idx,py_time,nt_time,side,py_qty,nt_qty,py_price_legacy,py_price_genuine,nt_price,py_kind,nt_leg_kinds,n_legs_combined,diff_total,bucket__genuine_mnq_vs_proxy_price_basis,bucket__one_tick_convention
P1,exact,0,0,2022-04-24 18:18:00,2022-04-24 18:18:00,1,1,1,16718.75,16730.25,16730.0,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,1,1,2022-04-24 18:45:00,2022-04-24 18:45:00,-1,1,1,16670.25,16681.5,16681.75,adjust,exit,1,23.0,22.5,0.5
P1,exact,2,2,2022-04-24 19:33:00,2022-04-24 19:33:00,1,1,1,16721.25,16733.0,16732.75,adjust,entry,1,-23.0,-23.5,0.5
P1,exact,3,3,2022-04-24 20:09:00,2022-04-24 20:09:00,-1,1,1,16671.0,16683.0,16683.25,adjust,exit,1,24.5,24.0,0.5
P1,exact,4,4,2022-04-24 20:42:00,2022-04-24 20:42:00,1,1,1,16684.75,16695.5,16695.25,adjust,entry,1,-21.0,-21.5,0.5
P1,exact,5,5,2022-04-24 21:18:00,2022-04-24 21:18:00,-1,1,1,16633.25,16645.5,16645.75,adjust,exit,1,25.0,24.5,0.5
P1,exact,6,6,2022-04-24 23:24:00,2022-04-24 23:24:00,1,1,1,16660.75,16672.75,16672.5,adjust,entry,1,-23.5,-24.0,0.5
P1,exact,7,7,2022-04-25 02:15:00,2022-04-25 02:15:00,-1,1,1,16609.25,16620.5,16620.75,adjust,exit,1,23.0,22.5,0.5
P1,exact,8,8,2022-04-25 03:21:00,2022-04-25 03:21:00,1,1,1,16658.75,16669.75,16669.5,adjust,entry,1,-21.5,-22.0,0.5
P1,exact,9,9,2022-04-25 03:30:00,2022-04-25 03:30:00,1,2,2,16698.75,16710.25,16710.0,adjust,entry,1,-45.0,-46.0,1.0
P1,exact,10,10,2022-04-25 03:54:00,2022-04-25 03:54:00,-1,1,1,16632.75,16644.25,16644.5,adjust,exit,1,23.5,23.0,0.5
P1,exact,11,11,2022-04-25 04:03:00,2022-04-25 04:03:00,-1,1,1,16626.75,16638.0,16638.25,adjust,exit,1,23.0,22.5,0.5
P1,exact,12,12,2022-04-25 07:21:00,2022-04-25 07:21:00,-1,1,1,16567.0,16578.0,16578.25,adjust,exit,1,22.5,22.0,0.5
P1,exact,13,13,2022-04-25 07:39:00,2022-04-25 07:39:00,1,1,1,16626.25,16639.0,16638.75,adjust,entry,1,-25.0,-25.5,0.5
P1,exact,14,14,2022-04-25 08:54:00,2022-04-25 08:54:00,1,1,1,16671.75,16683.25,16683.25,adjust,entry,1,-23.0,-23.0,0.0
P1,exact,15,15,2022-04-25 09:39:00,2022-04-25 09:39:00,1,5,5,16695.75,16708.75,16708.5,adjust,entry,1,-127.5,-130.0,2.5
P1,exact,16,16,2022-04-25 09:48:00,2022-04-25 09:48:00,-1,1,1,16634.0,16645.25,16645.5,adjust,exit,1,23.0,22.5,0.5
P1,exact,17,17,2022-04-25 09:51:00,2022-04-25 09:51:00,-1,1,1,16627.25,16638.25,16638.5,adjust,exit,1,22.5,22.0,0.5
P1,exact,18,18,2022-04-25 09:54:00,2022-04-25 09:54:00,1,2,2,16711.75,16723.25,16723.0,adjust,entry,1,-45.0,-46.0,1.0
P1,exact,19,19,2022-04-25 10:03:00,2022-04-25 10:03:00,-1,1,1,16617.5,16630.0,16630.25,adjust,exit,1,25.5,25.0,0.5
P1,exact,20,20,2022-04-25 10:12:00,2022-04-25 10:12:00,1,1,1,16679.25,16690.5,16690.25,adjust,entry,1,-22.0,-22.5,0.5
P1,exact,21,21,2022-04-25 10:30:00,2022-04-25 10:30:00,1,2,2,16753.0,16765.0,16764.75,adjust,entry,1,-47.0,-48.0,1.0
P1,exact,22,22,2022-04-25 10:57:00,2022-04-25 10:57:00,-1,1,1,16722.25,16734.0,16734.25,adjust,exit,1,24.0,23.5,0.5
P1,exact,23,23,2022-04-25 11:09:00,2022-04-25 11:09:00,-1,1,1,16672.0,16684.25,16684.5,adjust,exit,1,25.0,24.5,0.5
P1,exact,24,24,2022-04-25 12:42:00,2022-04-25 12:42:00,1,1,1,16753.75,16765.75,16765.75,adjust,entry,1,-24.0,-24.0,0.0
P1,exact,25,25,2022-04-25 13:06:00,2022-04-25 13:06:00,-1,1,1,16685.5,16698.0,16698.25,adjust,exit,1,25.5,25.0,0.5
P1,exact,26,26,2022-04-25 13:18:00,2022-04-25 13:18:00,1,1,1,16750.0,16761.25,16761.0,adjust,entry,1,-22.0,-22.5,0.5
P1,exact,27,27,2022-04-25 14:27:00,2022-04-25 14:27:00,1,1,1,16802.25,16813.75,16813.5,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,28,28,2022-04-25 15:09:00,2022-04-25 15:09:00,-1,1,1,16744.5,16755.0,16755.25,adjust,exit,1,21.5,21.0,0.5
P1,exact,29,29,2022-04-25 15:27:00,2022-04-25 15:27:00,1,1,1,16836.75,16848.25,16848.0,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,30,30,2022-04-25 16:00:00,2022-04-25 16:00:00,-1,2,2,16888.75,16899.75,16900.0,adjust,exit,1,45.0,44.0,1.0
P1,exact,31,31,2022-04-25 16:42:00,2022-04-25 16:42:00,-1,7,7,16893.5,16904.25,16904.5,adjust,exit,1,154.0,150.5,3.5
P1,exact,32,32,2022-04-26 02:51:00,2022-04-26 02:51:00,-1,1,1,16880.75,16891.75,16892.0,adjust,entry,1,22.5,22.0,0.5
P1,exact,33,33,2022-04-26 03:21:00,2022-04-26 03:21:00,-1,1,1,16819.75,16831.75,16832.0,adjust,entry,1,24.5,24.0,0.5
P1,exact,34,34,2022-04-26 04:21:00,2022-04-26 04:21:00,1,1,1,16868.25,16879.5,16879.25,adjust,exit,1,-22.0,-22.5,0.5
P1,exact,35,35,2022-04-26 08:45:00,2022-04-26 08:45:00,-1,1,1,16819.0,16830.75,16831.0,adjust,entry,1,24.0,23.5,0.5
P1,exact,36,36,2022-04-26 09:36:00,2022-04-26 09:36:00,-1,2,2,16756.5,16768.25,16768.5,adjust,entry,1,48.0,47.0,1.0
P1,exact,37,37,2022-04-26 09:39:00,2022-04-26 09:39:00,-1,5,5,16727.0,16738.5,16738.75,adjust,entry,1,117.5,115.0,2.5
P1,exact,38,38,2022-04-26 09:54:00,2022-04-26 09:54:00,-1,1,1,16670.75,16682.25,16682.5,adjust,entry,1,23.5,23.0,0.5
P1,exact,39,39,2022-04-26 10:00:00,2022-04-26 10:00:00,-1,1,1,16644.5,16656.0,16656.25,adjust,entry,1,23.5,23.0,0.5
P1,exact,40,40,2022-04-26 12:18:00,2022-04-26 12:18:00,1,1,1,16524.5,16536.0,16535.75,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,41,41,2022-04-26 12:24:00,2022-04-26 12:24:00,1,1,1,16540.0,16551.5,16551.25,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,42,42,2022-04-26 13:18:00,2022-04-26 13:18:00,-1,2,2,16494.75,16505.75,16506.0,adjust,entry,1,45.0,44.0,1.0
P1,exact,43,43,2022-04-26 14:27:00,2022-04-26 14:27:00,1,2,2,16545.5,16556.5,16556.25,adjust,exit,1,-43.0,-44.0,1.0
P1,exact,44,44,2022-04-26 15:18:00,2022-04-26 15:18:00,-1,2,2,16477.5,16488.75,16489.0,adjust,entry,1,46.0,45.0,1.0
P1,exact,45,45,2022-04-26 16:00:00,2022-04-26 16:00:00,1,3,3,16395.75,16406.25,16406.0,adjust,exit,1,-61.5,-63.0,1.5
P1,exact,46,46,2022-04-26 16:18:00,2022-04-26 16:18:00,1,1,1,16261.5,16273.0,16272.75,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,47,47,2022-04-26 16:42:00,2022-04-26 16:42:00,1,7,7,16221.25,16232.25,16232.0,adjust,exit,1,-150.5,-154.0,3.5
P1,exact,48,48,2022-04-26 18:06:00,2022-04-26 18:06:00,1,2,2,16266.0,16277.25,16277.0,adjust,entry,1,-44.0,-45.0,1.0
P1,exact,49,49,2022-04-26 18:09:00,2022-04-26 18:09:00,1,1,1,16300.5,16312.0,16311.75,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,50,50,2022-04-26 18:12:00,2022-04-26 18:12:00,1,1,1,16334.0,16345.0,16344.75,adjust,entry,1,-21.5,-22.0,0.5
P1,exact,51,51,2022-04-26 18:33:00,2022-04-26 18:33:00,1,1,1,16396.25,16408.25,16408.0,adjust,entry,1,-23.5,-24.0,0.5
P1,exact,52,52,2022-04-26 18:48:00,2022-04-26 18:48:00,-1,1,1,16331.5,16342.75,16343.0,adjust,exit,1,23.0,22.5,0.5
P1,exact,53,53,2022-04-26 21:27:00,2022-04-26 21:27:00,1,1,1,16384.25,16395.75,16395.5,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,54,54,2022-04-26 21:45:00,2022-04-26 21:45:00,1,1,1,16421.0,16432.25,16432.0,adjust,entry,1,-22.0,-22.5,0.5
P1,exact,55,55,2022-04-26 22:12:00,2022-04-26 22:12:00,-1,1,1,16365.25,16377.0,16377.25,adjust,exit,1,24.0,23.5,0.5
P1,exact,56,56,2022-04-26 22:57:00,2022-04-26 22:57:00,1,1,1,16424.5,16436.75,16436.5,adjust,entry,1,-24.0,-24.5,0.5
P1,exact,57,57,2022-04-26 23:00:00,2022-04-26 23:00:00,1,1,1,16428.5,16440.25,16440.0,adjust,entry,1,-23.0,-23.5,0.5
P1,exact,58,58,2022-04-27 03:24:00,2022-04-27 03:24:00,-1,1,1,16416.0,16427.5,16427.75,adjust,exit,1,23.5,23.0,0.5
P1,exact,59,59,2022-04-27 03:27:00,2022-04-27 03:27:00,-1,1,1,16406.0,16417.0,16417.25,adjust,exit,1,22.5,22.0,0.5
P1,exact,60,60,2022-04-27 03:33:00,2022-04-27 03:33:00,-1,1,1,16355.75,16366.75,16367.0,adjust,exit,1,22.5,22.0,0.5
P1,exact,61,61,2022-04-27 03:51:00,2022-04-27 03:51:00,1,1,1,16446.5,16458.0,16457.75,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,62,62,2022-04-27 04:00:00,2022-04-27 04:00:00,1,2,2,16500.75,16513.0,16512.75,adjust,entry,1,-48.0,-49.0,1.0
P1,exact,63,63,2022-04-27 04:51:00,2022-04-27 04:51:00,-1,1,1,16489.0,16501.0,16501.25,adjust,exit,1,24.5,24.0,0.5
P1,exact,64,64,2022-04-27 07:09:00,2022-04-27 07:09:00,-1,1,1,16470.5,16482.25,16482.5,adjust,exit,1,24.0,23.5,0.5
P1,exact,65,65,2022-04-27 07:27:00,2022-04-27 07:27:00,-1,1,1,16429.75,16441.0,16441.25,adjust,exit,1,23.0,22.5,0.5
P1,exact,66,66,2022-04-27 09:09:00,2022-04-27 09:09:00,-1,1,1,16367.5,16380.0,16380.25,adjust,exit,1,25.5,25.0,0.5
P1,exact,67,67,2022-04-27 09:18:00,2022-04-27 09:18:00,-1,1,1,16363.0,16374.0,16374.25,adjust,exit,1,22.5,22.0,0.5
P1,exact,68,68,2022-04-27 09:36:00,2022-04-27 09:36:00,1,2,2,16456.25,16468.25,16468.0,adjust,entry,1,-47.0,-48.0,1.0
P1,exact,69,69,2022-04-27 09:39:00,2022-04-27 09:39:00,1,3,3,16490.75,16502.0,16501.75,adjust,entry,1,-66.0,-67.5,1.5
P1,exact,70,70,2022-04-27 09:48:00,2022-04-27 09:48:00,1,1,1,16572.25,16584.5,16584.25,adjust,entry,1,-24.0,-24.5,0.5
P1,exact,71,71,2022-04-27 09:51:00,2022-04-27 09:51:00,1,1,1,16580.75,16592.5,16592.25,adjust,entry,1,-23.0,-23.5,0.5
P1,exact,72,72,2022-04-27 10:06:00,2022-04-27 10:06:00,-1,1,1,16501.0,16512.25,16512.5,adjust,exit,1,23.0,22.5,0.5
P1,exact,73,73,2022-04-27 10:09:00,2022-04-27 10:09:00,-1,1,1,16465.25,16477.0,16477.25,adjust,exit,1,24.0,23.5,0.5
P1,exact,74,74,2022-04-27 10:15:00,2022-04-27 10:15:00,-1,1,1,16409.5,16421.0,16421.25,adjust,exit,1,23.5,23.0,0.5
P1,exact,75,75,2022-04-27 10:18:00,2022-04-27 10:18:00,-1,2,2,16374.0,16385.25,16385.5,adjust,exit,1,46.0,45.0,1.0
P1,exact,76,76,2022-04-27 10:21:00,2022-04-27 10:21:00,-1,1,1,16318.5,16329.75,16330.0,adjust,exit,1,23.0,22.5,0.5
P1,exact,77,77,2022-04-27 10:27:00,2022-04-27 10:27:00,1,1,1,16386.75,16398.25,16398.0,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,78,78,2022-04-27 10:36:00,2022-04-27 10:36:00,-1,1,1,16318.5,16329.75,16330.0,adjust,exit,1,23.0,22.5,0.5
P1,exact,79,79,2022-04-27 10:42:00,2022-04-27 10:42:00,1,1,1,16409.75,16422.0,16421.75,adjust,entry,1,-24.0,-24.5,0.5
P1,exact,80,80,2022-04-27 10:51:00,2022-04-27 10:51:00,1,2,2,16476.25,16487.75,16487.5,adjust,entry,1,-45.0,-46.0,1.0
P1,exact,81,81,2022-04-27 11:06:00,2022-04-27 11:06:00,1,1,1,16501.0,16512.75,16512.5,adjust,entry,1,-23.0,-23.5,0.5
P1,exact,82,82,2022-04-27 11:15:00,2022-04-27 11:15:00,-1,1,1,16424.5,16436.0,16436.25,adjust,exit,1,23.5,23.0,0.5
P1,exact,83,83,2022-04-27 11:36:00,2022-04-27 11:36:00,1,1,1,16518.0,16529.5,16529.25,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,84,84,2022-04-27 15:00:00,2022-04-27 15:00:00,-1,1,1,16428.25,16440.25,16440.5,adjust,exit,1,24.5,24.0,0.5
P1,exact,85,85,2022-04-27 15:03:00,2022-04-27 15:03:00,-1,1,1,16417.0,16428.5,16428.75,adjust,exit,1,23.5,23.0,0.5
P1,exact,86,86,2022-04-27 15:12:00,2022-04-27 15:12:00,-1,1,1,16390.25,16401.75,16402.0,adjust,exit,1,23.5,23.0,0.5
P1,exact,87,87,2022-04-27 16:00:00,2022-04-27 16:00:00,-1,3,3,16379.0,16390.5,16390.75,adjust,exit,1,70.5,69.0,1.5
P1,exact,88,88,2022-04-27 16:09:00,2022-04-27 16:09:00,1,1,1,16455.25,16468.0,16467.75,adjust,entry,1,-25.0,-25.5,0.5
P1,exact,89,89,2022-04-27 16:15:00,2022-04-27 16:15:00,1,1,1,16481.25,16492.75,16492.5,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,90,90,2022-04-27 16:42:00,2022-04-27 16:42:00,-1,3,3,16516.75,16528.5,16528.75,adjust,exit,1,72.0,70.5,1.5
P1,exact,91,91,2022-04-27 18:06:00,2022-04-27 18:06:00,1,1,1,16551.5,16562.75,16562.5,adjust,entry,1,-22.0,-22.5,0.5
P1,exact,92,92,2022-04-28 02:51:00,2022-04-28 02:51:00,1,1,1,16606.25,16617.5,16617.25,adjust,entry,1,-22.0,-22.5,0.5
P1,exact,93,93,2022-04-28 03:18:00,2022-04-28 03:18:00,1,2,2,16626.5,16638.25,16638.0,adjust,entry,1,-46.0,-47.0,1.0
P1,exact,94,94,2022-04-28 06:21:00,2022-04-28 06:21:00,-1,1,1,16632.5,16644.0,16644.25,adjust,exit,1,23.5,23.0,0.5
P1,exact,95,95,2022-04-28 08:15:00,2022-04-28 08:15:00,-1,1,1,16606.25,16617.75,16618.0,adjust,exit,1,23.5,23.0,0.5
P1,exact,96,96,2022-04-28 08:39:00,2022-04-28 08:39:00,-1,1,1,16580.0,16591.25,16591.5,adjust,exit,1,23.0,22.5,0.5
P1,exact,97,97,2022-04-28 09:48:00,2022-04-28 09:48:00,-1,5,5,16489.75,16500.75,16501.0,adjust,entry+exit,2,112.5,110.0,2.5
P1,exact,98,98,2022-04-28 10:33:00,2022-04-28 10:33:00,-1,1,1,16433.25,16445.0,16445.25,adjust,entry,1,24.0,23.5,0.5
P1,exact,99,99,2022-04-28 10:39:00,2022-04-28 10:39:00,-1,2,2,16426.25,16438.0,16438.25,adjust,entry,1,48.0,47.0,1.0
P1,exact,100,100,2022-04-28 11:03:00,2022-04-28 11:03:00,1,2,2,16474.25,16485.5,16485.25,adjust,exit,1,-44.0,-45.0,1.0
P1,exact,101,101,2022-04-28 11:09:00,2022-04-28 11:09:00,1,1,1,16497.25,16508.25,16508.0,adjust,exit,1,-21.5,-22.0,0.5
P1,exact,102,102,2022-04-28 11:15:00,2022-04-28 11:15:00,1,1,1,16557.75,16569.0,16568.75,adjust,exit,1,-22.0,-22.5,0.5
P1,exact,103,103,2022-04-28 11:48:00,2022-04-28 11:48:00,-1,1,1,16497.5,16509.25,16509.5,adjust,entry,1,24.0,23.5,0.5
P1,exact,104,104,2022-04-28 12:21:00,2022-04-28 12:21:00,1,1,1,16570.25,16581.75,16581.5,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,105,105,2022-04-28 12:24:00,2022-04-28 12:24:00,1,1,1,16583.75,16595.0,16594.75,adjust,exit,1,-22.0,-22.5,0.5
P1,exact,106,106,2022-04-28 12:27:00,2022-04-28 12:27:00,1,1,1,16595.75,16607.25,16607.0,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,107,107,2022-04-28 12:39:00,2022-04-28 12:39:00,1,1,1,16654.75,16666.25,16666.0,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,108,108,2022-04-28 12:45:00,2022-04-28 12:45:00,1,1,1,16672.25,16682.5,16682.25,adjust,entry,1,-20.0,-20.5,0.5
P1,exact,109,109,2022-04-28 13:06:00,2022-04-28 13:06:00,1,6,6,16743.25,16755.25,16755.0,adjust,entry,1,-141.0,-144.0,3.0
P1,exact,110,110,2022-04-28 15:39:00,2022-04-28 15:39:00,-1,1,1,16843.5,16854.5,16854.75,adjust,exit,1,22.5,22.0,0.5
P1,exact,111,111,2022-04-28 15:48:00,2022-04-28 15:48:00,-1,1,1,16830.25,16842.0,16842.25,adjust,exit,1,24.0,23.5,0.5
P1,exact,112,112,2022-04-28 15:51:00,2022-04-28 15:51:00,-1,1,1,16814.5,16826.0,16826.25,adjust,exit,1,23.5,23.0,0.5
P1,exact,113,113,2022-04-28 16:00:00,2022-04-28 16:00:00,-1,3,3,16802.25,16813.75,16814.0,adjust,exit,1,70.5,69.0,1.5
P1,exact,114,114,2022-04-28 16:06:00,2022-04-28 16:06:00,-1,5,5,16679.25,16690.25,16690.5,adjust,entry+exit,2,112.5,110.0,2.5
P1,exact,115,115,2022-04-28 16:27:00,2022-04-28 16:27:00,1,2,2,16703.75,16714.75,16714.75,adjust,exit,1,-44.0,-44.0,0.0
P1,exact,116,116,2022-04-28 16:36:00,2022-04-28 16:36:00,1,1,1,16749.75,16761.5,16761.25,adjust,exit,1,-23.0,-23.5,0.5
P1,exact,117,117,2022-04-28 16:39:00,2022-04-28 16:39:00,1,1,1,16781.0,16792.75,16792.5,adjust,exit,1,-23.0,-23.5,0.5
P1,exact,118,118,2022-04-28 18:06:00,2022-04-28 18:06:00,-1,2,2,16588.25,16600.0,16600.25,adjust,entry,1,48.0,47.0,1.0
P1,exact,119,119,2022-04-28 18:24:00,2022-04-28 18:24:00,1,1,1,16644.25,16655.0,16654.75,adjust,exit,1,-21.0,-21.5,0.5
P1,exact,120,120,2022-04-28 21:36:00,2022-04-28 21:36:00,1,1,1,16697.75,16709.75,16709.5,adjust,exit,1,-23.5,-24.0,0.5
P1,exact,121,121,2022-04-28 23:15:00,2022-04-28 23:15:00,-1,1,1,16652.75,16663.75,16664.0,adjust,entry,1,22.5,22.0,0.5
P1,exact,122,122,2022-04-29 00:57:00,2022-04-29 00:57:00,1,1,1,16710.25,16721.75,16721.5,adjust,exit,1,-22.5,-23.0,0.5
P1,exact,123,123,2022-04-29 01:03:00,2022-04-29 01:03:00,1,1,1,16716.75,16728.5,16728.25,adjust,entry,1,-23.0,-23.5,0.5
P1,exact,124,124,2022-04-29 01:09:00,2022-04-29 01:09:00,1,1,1,16758.5,16770.75,16770.5,adjust,entry,1,-24.0,-24.5,0.5
P1,exact,125,125,2022-04-29 02:39:00,2022-04-29 02:39:00,1,1,1,16776.75,16788.25,16788.0,adjust,entry,1,-22.5,-23.0,0.5
P1,exact,126,126,2022-04-29 03:09:00,2022-04-29 03:09:00,-1,1,1,16709.75,16722.5,16722.75,adjust,exit,1,26.0,25.5,0.5
P1,exact,127,127,2022-04-29 03:12:00,2022-04-29 03:12:00,-1,1,1,16704.75,16717.25,16717.5,adjust,exit,1,25.5,25.0,0.5
P1,exact,128,128,2022-04-29 07:42:00,2022-04-29 07:42:00,-1,1,1,16639.75,16652.0,16652.25,adjust,exit,1,25.0,24.5,0.5
P1,exact,129,129,2022-04-29 08:27:00,2022-04-29 08:27:00,1,1,1,16692.25,16702.25,16702.0,adjust,entry,1,-19.5,-20.0,0.5
P1,exact,130,130,2022-04-29 09:12:00,2022-04-29 09:12:00,-1,1,1,16633.0,16645.0,16645.25,adjust,exit,1,24.5,24.0,0.5
P1,exact,131,131,2022-04-29 09:18:00,2022-04-29 09:18:00,-1,1,1,16613.0,16624.5,16624.75,adjust,entry,1,23.5,23.0,0.5
