session,date,era,last_h,last_frac,last_rth,last_mb,bid_h,bid_frac,bid_rth,bid_mb,ask_h,ask_frac,ask_rth,ask_mb,quote_frac,quote_rth,trade_bearing,last_usable,bbo_any,bbo_rth_complete,bbo_full
s20250810,2025-08-10,PRE_BURN,0,0.0,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,False,False,False,False,False
s20250811,2025-08-11,PRE_BURN,23,1.0,7,1.99,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,True,True,False,False,False
s20250812,2025-08-12,PRE_BURN,23,1.0,7,4.03,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,True,True,False,False,False
s20250813,2025-08-13,PRE_BURN,23,1.0,7,4.08,17,0.739,7,10.25,17,0.739,7,10.38,0.739,7,True,True,True,True,False
s20250814,2025-08-14,PRE_BURN,23,1.0,7,4.11,23,1.0,7,22.07,23,1.0,7,22.4,1.0,7,True,True,True,True,True
s20250815,2025-08-15,PRE_BURN,23,1.0,7,4.0,6,0.261,0,11.86,6,0.261,0,12.07,0.261,0,True,True,True,False,False
s20250817,2025-08-17,PRE_BURN,0,0.0,0,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,False,False,False,False,False
s20250818,2025-08-18,PRE_BURN,23,1.0,7,1.83,17,0.739,7,8.92,17,0.739,7,9.05,0.739,7,True,True,True,True,False
s20250819,2025-08-19,PRE_BURN,23,1.0,7,4.24,23,1.0,7,20.97,23,1.0,7,21.28,1.0,7,True,True,True,True,True
s20250820,2025-08-20,PRE_BURN,23,1.0,7,5.57,23,1.0,7,27.87,23,1.0,7,28.08,1.0,7,True,True,True,True,True
s20250821,2025-08-21,PRE_BURN,23,1.0,7,5.44,6,0.261,0,15.88,6,0.261,0,15.91,0.261,0,True,True,True,False,False
s20250822,2025-08-22,PRE_BURN,23,1.0,7,4.47,0,0.0,0,0.06,0,0.0,0,0.06,0.0,0,True,True,False,False,False
