week_monday,iso_year,iso_week,n_trades,net_pnl,cum_net_pnl
2022-06-27,2022,26,8,-2524.76,-2524.76
2022-07-04,2022,27,6,6216.52,3691.76
2022-07-11,2022,28,8,-262.2,3429.56
2022-07-18,2022,29,7,-758.48,2671.08
2022-07-25,2022,30,3,-1636.16,1034.92
2022-08-01,2022,31,13,7981.76,9016.68
2022-08-08,2022,32,9,1434.2,10450.88
2022-08-15,2022,33,3,-636.16,9814.72
2022-08-22,2022,34,10,-1542.08,8272.64
2022-08-29,2022,35,11,330.36,8603.0
2022-09-05,2022,36,13,1891.64,10494.64
2022-09-12,2022,37,6,853.96,11348.6
2022-09-19,2022,38,13,-383.36,10965.24
2022-09-26,2022,39,2,4167.56,15132.8
2022-10-03,2022,40,17,-1056.96,14075.84
2022-10-10,2022,41,4,6635.12,20710.96
2022-10-17,2022,42,11,11001.64,31712.6
2022-10-24,2022,43,6,45.24,31757.84
2022-10-31,2022,44,14,-176.84,31581.0
2022-11-07,2022,45,5,3518.96,35099.96
2022-11-14,2022,46,4,9751.4,44851.36
2022-11-21,2022,47,4,-898.6,43952.76
2022-11-28,2022,48,20,-3364.28,40588.48
2022-12-05,2022,49,9,-2283.48,38305.0
2022-12-12,2022,50,3,-744.88,37560.12
2022-12-19,2022,51,6,-2644.64,34915.48
2022-12-26,2022,52,10,-2557.08,32358.4
2023-01-02,2023,1,6,3140.24,35498.64
2023-01-09,2023,2,14,-3204.52,32294.12
2023-01-16,2023,3,11,2585.36,34879.48
2023-01-23,2023,4,10,979.08,35858.56
2023-01-30,2023,5,12,-3924.64,31933.92
2023-02-06,2023,6,12,6870.48,38804.4
2023-02-13,2023,7,16,-5256.84,33547.56
2023-02-20,2023,8,11,-2669.64,30877.92
2023-02-27,2023,9,22,1130.84,32008.76
2023-03-06,2023,10,10,-3753.36,28255.4
2023-03-13,2023,11,3,6343.84,34599.24
2023-03-20,2023,12,8,3580.36,38179.6
2023-03-27,2023,13,11,-969.52,37210.08
2023-04-03,2023,14,4,121.4,37331.48
2023-04-10,2023,15,18,5379.44,42710.92
2023-04-17,2023,16,8,770.24,43481.16
2023-04-24,2023,17,4,767.68,44248.84
2023-05-01,2023,18,20,421.88,44670.72
2023-05-08,2023,19,10,1762.8,46433.52
2023-05-15,2023,20,10,2019.2,48452.72
2023-05-22,2023,21,20,3796.88,52249.6
2023-05-29,2023,22,13,1763.04,54012.64
2023-06-05,2023,23,16,2585.48,56598.12
2023-06-12,2023,24,9,3232.8,59830.92
2023-06-19,2023,25,5,4081.4,63912.32
2023-06-26,2023,26,18,-36.84,63875.48
2023-07-03,2023,27,9,1692.8,65568.28
2023-07-10,2023,28,12,275.36,65843.64
2023-07-17,2023,29,16,1049.32,66892.96
2023-07-24,2023,30,16,863.16,67756.12
2023-07-31,2023,31,23,-4354.28,63401.84
2023-08-07,2023,32,14,1061.76,64463.6
2023-08-14,2023,33,14,2320.48,66784.08
2023-08-21,2023,34,16,576.76,67360.84
2023-08-28,2023,35,7,-528.48,66832.36
2023-09-04,2023,36,6,-1592.32,65240.04
2023-09-11,2023,37,5,282.68,65522.72
2023-09-18,2023,38,8,-1119.64,64403.08
2023-09-25,2023,39,10,-1407.2,62995.88
2023-10-02,2023,40,15,-4510.68,58485.2
2023-10-09,2023,41,3,986.4,59471.6
2023-10-16,2023,42,10,-728.36,58743.24
2023-10-23,2023,43,24,-5801.72,52941.52
2023-10-30,2023,44,12,1066.64,54008.16
2023-11-06,2023,45,5,7028.96,61037.12
2023-11-13,2023,46,8,875.36,61912.48
2023-11-20,2023,47,17,5324.44,67236.92
2023-11-27,2023,48,10,-1737.2,65499.72
2023-12-04,2023,49,7,3123.96,68623.68
2023-12-11,2023,50,0,0.0,68623.68
2023-12-18,2023,51,13,1149.32,69773.0
2023-12-25,2023,52,1,-78.72,69694.28
2024-01-01,2024,1,11,-219.64,69474.64
2024-01-08,2024,2,24,7063.4,76538.04
2024-01-15,2024,3,9,-1959.64,74578.4
2024-01-22,2024,4,13,-260.8,74317.6
2024-01-29,2024,5,15,9283.04,83600.64
2024-02-05,2024,6,4,272.68,83873.32
2024-02-12,2024,7,13,-1035.8,82837.52
2024-02-19,2024,8,5,-2931.04,79906.48
2024-02-26,2024,9,25,3334.56,83241.04
2024-03-04,2024,10,12,3435.36,86676.4
2024-03-11,2024,11,27,-956.48,85719.92
2024-03-18,2024,12,21,4671.88,90391.8
2024-03-25,2024,13,12,-335.8,90056.0
2024-04-01,2024,14,11,4089.2,94145.2
2024-04-08,2024,15,8,2131.52,96276.72
2024-04-15,2024,16,19,-5154.4,91122.32
2024-04-22,2024,17,20,10591.88,101714.2
2024-04-29,2024,18,11,-142.08,101572.12
2024-05-06,2024,19,6,-441.04,101131.08
2024-05-13,2024,20,17,5246.88,106377.96
2024-05-20,2024,21,6,3004.08,109382.04
