sess,i,d,mae_bar,mae_tick,mfe_bar,mfe_tick,epx_off
20250820,1716,1,10.75,10.75,12.75,12.75,985.0
20250820,1717,1,7.5,7.5,29.5,29.5,985.0
20250820,1718,1,21.0,21.0,7.0,7.0,985.0
20250820,1719,1,22.25,22.25,7.0,7.0,985.0
20250820,1720,1,27.75,27.75,7.0,7.0,985.0
20250922,1758,1,19.75,19.75,96.5,96.5,747.5
20251027,1796,1,25.0,25.0,276.0,276.0,747.5
20251029,1797,1,24.0,24.0,95.75,95.75,747.5
20251117,1813,1,64.5,64.5,9.75,9.75,747.5
20251117,1814,1,0.5,0.5,14.25,14.25,747.5
20251117,1815,1,0.25,0.25,220.25,220.25,747.5
20251124,1835,1,47.75,47.75,21.75,21.75,747.5
20251124,1836,1,10.0,10.0,10.75,10.75,747.5
20251124,1837,1,8.25,8.25,7.25,7.25,747.5
20251124,1838,1,23.5,23.5,4.0,4.0,747.5
20251124,1839,1,5.5,5.5,5.75,5.75,747.5
20251124,1840,1,14.75,14.75,5.75,5.75,747.5
20260122,1911,1,22.25,22.25,9.75,9.75,491.0
20260122,1912,1,17.5,17.5,9.5,9.5,491.0
20260122,1913,1,11.5,11.5,31.5,31.5,491.0
20260122,1914,1,0.0,0.0,176.75,176.75,491.0
20260123,1915,1,14.0,14.0,58.75,58.75,491.0
20260123,1916,1,1.25,1.25,50.75,50.75,491.0
20260123,1917,1,33.25,33.25,34.0,34.0,491.0
20260123,1918,1,45.0,45.0,95.25,95.25,491.0
20260206,1926,1,34.75,34.75,762.0,762.0,491.0
20260211,1929,1,7.25,7.25,5.25,5.25,491.0
20260211,1930,1,45.0,45.0,26.0,26.0,491.0
20260211,1931,1,6.0,6.0,32.5,32.5,491.0
20260211,1932,1,3.0,3.0,36.0,36.0,491.0
20260211,1933,1,9.0,9.0,13.0,13.0,491.0
20260211,1934,1,18.0,18.0,30.25,30.25,491.0
20260211,1935,1,13.0,13.0,168.25,168.25,491.0
20260217,1938,1,49.0,49.0,114.5,114.5,491.0
20260218,1939,1,10.0,10.0,76.5,76.5,491.0
20260218,1940,1,28.0,28.0,17.25,17.25,491.0
20260218,1941,1,49.25,49.25,1.25,1.25,491.0
20260218,1942,1,50.5,50.5,37.25,37.25,491.0
20260218,1943,1,3.5,3.5,241.25,241.25,491.0
20260220,1944,1,8.5,8.5,175.5,175.5,491.0
20260223,1945,1,93.5,93.5,18.0,18.0,491.0
20260302,1957,1,19.5,19.5,245.25,245.25,491.0
20260303,1958,1,150.75,150.75,20.0,20.0,491.0
20260317,1983,1,17.25,17.25,183.75,183.75,282.25
20260317,1984,1,43.75,43.75,9.5,9.5,282.25
20260317,1985,1,21.75,21.75,12.0,12.0,282.25
20260317,1986,1,3.75,3.75,82.0,82.0,282.25
20260406,2006,1,13.75,13.75,5.75,5.75,282.25
20260406,2007,1,16.75,16.75,17.5,17.5,282.25
20260406,2008,1,40.5,40.5,9.25,9.25,282.25
20260406,2009,1,14.0,14.0,170.5,170.5,282.25
20260409,2010,1,60.75,60.75,0.0,0.0,282.25
20260417,2011,1,34.25,34.25,19.5,19.5,282.25
20260417,2012,1,47.0,47.0,23.0,23.0,282.25
20260417,2013,1,63.5,63.5,5.25,5.25,282.25
20260422,2017,1,51.0,51.0,0.25,0.25,282.25
20260422,2018,1,34.0,34.0,22.5,22.5,282.25
20260422,2019,1,14.0,14.0,42.25,42.25,282.25
20260422,2020,1,35.0,35.0,28.0,28.0,282.25
20260423,2021,1,29.25,29.25,29.0,29.0,282.25
20260428,2024,1,18.0,18.0,46.75,46.75,282.25
20260506,2029,1,0.0,0.0,10.5,10.5,282.25
20260506,2030,1,0.75,0.75,131.25,131.25,282.25
20260518,2046,1,98.25,98.25,22.75,22.75,282.25
20260520,2047,1,85.5,85.5,32.5,32.5,282.25
20260520,2048,1,46.0,46.0,1.5,1.5,282.25
20260714,2109,1,41.25,41.25,47.75,47.75,0.0
20260714,2110,1,2.75,2.75,187.25,187.25,0.0
20260715,2111,1,45.0,45.0,35.5,35.5,0.0
20260715,2112,1,40.0,40.0,25.25,25.25,0.0
