iso_week,n_sessions,n_trades,net_usd
2022-W01,5,5,-13285.050000000001
2022-W02,5,5,8249.949999999999
2022-W03,5,5,-14415.050000000001
2022-W04,5,5,-31775.050000000003
2022-W05,5,5,-2705.050000000001
2022-W06,5,5,-24705.050000000003
2022-W07,5,5,-5860.050000000001
2022-W08,5,5,14189.949999999999
2022-W09,5,5,5819.949999999999
2022-W10,5,5,8204.949999999999
2022-W11,5,5,1484.949999999999
2022-W12,5,5,-2775.050000000001
2022-W13,5,5,-955.0500000000004
2022-W14,5,5,8829.949999999999
2022-W15,4,4,-70.04000000000087
2022-W16,5,5,20834.949999999997
2022-W17,5,5,-21040.050000000003
2022-W18,5,5,-3050.050000000001
2022-W19,5,5,2209.949999999999
2022-W20,5,5,7074.949999999999
2022-W21,5,5,11009.949999999999
2022-W22,5,5,1369.9499999999991
2022-W23,5,5,-645.0500000000011
2022-W24,5,5,5694.95
2022-W25,5,5,-1850.0500000000002
2022-W26,5,5,5064.949999999999
2022-W27,5,5,3129.949999999999
2022-W28,5,5,-1385.0500000000009
2022-W29,5,5,-10205.050000000001
2022-W30,5,5,4994.949999999999
2022-W31,5,5,3074.95
2022-W32,5,5,-7600.050000000001
2022-W33,5,5,1964.95
2022-W34,5,5,7684.949999999999
2022-W35,5,5,-1770.050000000001
2022-W36,5,5,7684.95
2022-W37,5,5,554.9499999999989
2022-W38,5,5,-3080.0500000000006
2022-W39,5,5,559.9499999999989
2022-W40,5,5,5414.949999999999
2022-W41,5,5,17219.949999999997
2022-W42,5,5,5579.949999999999
2022-W43,5,5,9704.949999999999
2022-W44,5,5,9314.949999999999
2022-W45,5,5,454.9499999999989
2022-W46,5,5,5199.95
2022-W47,5,5,619.9499999999996
2022-W48,5,5,-16645.050000000003
2022-W49,5,5,414.94999999999914
2022-W50,5,5,-6275.050000000001
2022-W51,5,5,-130.05000000000018
2022-W52,4,4,909.96
2023-W01,4,4,-4915.040000000001
2023-W02,5,5,-5935.050000000001
2023-W03,5,5,309.9499999999989
2023-W04,5,5,-185.0500000000011
2023-W05,5,5,4959.949999999999
2023-W06,5,5,9994.949999999999
2023-W07,5,5,3864.95
2023-W08,5,5,-5820.05
2023-W09,5,5,5209.95
2023-W10,5,5,-9135.050000000001
2023-W11,5,5,4059.949999999999
2023-W12,5,5,-10930.050000000001
2023-W13,5,5,169.94999999999936
2023-W14,4,4,-1895.04
2023-W15,5,5,1719.9499999999991
2023-W16,5,5,-3555.05
2023-W17,5,5,-205.05000000000086
2023-W18,5,5,1664.9499999999996
2023-W19,5,5,-2620.05
2023-W20,5,5,1824.9499999999996
2023-W21,5,5,-1385.050000000001
2023-W22,5,5,1539.95
2023-W23,5,5,5019.949999999999
2023-W24,5,5,2269.95
2023-W25,5,5,4334.95
2023-W26,5,5,-1370.0500000000004
2023-W27,5,5,-3620.05
2023-W28,5,5,-3665.0500000000006
2023-W29,5,5,-10310.050000000001
2023-W30,5,5,-5100.05
2023-W31,5,5,4944.95
2023-W32,5,5,-4695.050000000001
2023-W33,5,5,6029.949999999999
2023-W34,5,5,13094.949999999999
2023-W35,5,5,5004.95
2023-W36,5,5,-5705.05
2023-W37,5,5,-5785.050000000001
2023-W38,5,5,-6625.050000000001
2023-W39,5,5,1859.9499999999998
2023-W40,5,5,-1900.050000000001
2023-W41,5,5,4344.949999999999
2023-W42,5,5,-1865.0500000000006
2023-W43,5,5,3794.95
2023-W44,5,5,-450.05000000000064
2023-W45,5,5,1294.9499999999998
2023-W46,5,5,1119.95
2023-W47,5,5,1709.95
2023-W48,5,5,1339.9499999999998
2023-W49,5,5,1564.9499999999996
2023-W50,5,5,-1585.0500000000009
2023-W51,5,5,-5735.05
2023-W52,4,4,-1345.04
2024-W01,4,4,-2940.04
2024-W02,5,5,3519.9499999999994
2024-W03,5,5,-3220.050000000001
2024-W04,5,5,774.95
2024-W05,5,5,104.94999999999936
2024-W06,5,5,694.9499999999996
2024-W07,5,5,654.9499999999998
2024-W08,5,5,2014.95
2024-W09,5,5,1759.9499999999998
2024-W10,5,5,-5905.050000000001
2024-W11,5,5,-3525.05
2024-W12,5,5,-4670.050000000001
2024-W13,4,4,-3260.0400000000004
2024-W14,5,5,8534.949999999999
2024-W15,5,5,-11420.05
2024-W16,5,5,2304.949999999999
2024-W17,5,5,5909.949999999999
2024-W18,5,5,-9325.050000000001
2024-W19,5,5,-70.04999999999995
2024-W20,5,5,-2900.0500000000006
2024-W21,5,5,7589.95
2024-W22,5,5,-990.05
2024-W23,5,5,-115.05000000000065
2024-W24,5,5,-565.0500000000004
2024-W25,5,5,-10575.050000000001
2024-W26,5,5,1924.9499999999994
2024-W27,5,5,-280.0500000000011
2024-W28,5,5,12669.949999999999
2024-W29,5,5,10699.949999999999
2024-W30,5,5,4979.949999999999
2024-W31,5,5,-7945.050000000001
2024-W32,5,5,-23745.050000000003
2024-W33,5,5,5644.949999999999
2024-W34,5,5,13149.949999999999
2024-W35,5,5,-910.0500000000009
2024-W36,5,5,11779.949999999999
2024-W37,5,5,-16055.050000000001
2024-W38,5,5,1819.95
2024-W39,5,5,1174.95
2024-W40,5,5,-3135.05
2024-W41,5,5,9749.949999999999
2024-W42,5,5,3949.9499999999994
2024-W43,5,5,2599.95
2024-W44,5,5,4814.949999999999
2024-W45,5,5,-2505.05
2024-W46,5,5,3859.95
2024-W47,5,5,-4725.050000000001
2024-W48,5,5,4444.95
2024-W49,5,5,8194.95
2024-W50,5,5,-6170.050000000001
2024-W51,5,5,-16535.050000000003
2024-W52,4,4,-990.0400000000004
2025-W01,4,4,-2205.040000000001
2025-W02,4,4,4184.959999999999
2025-W03,5,5,8809.949999999999
2025-W04,5,5,-1965.0500000000006
2025-W05,5,5,-15620.050000000001
2025-W06,5,5,8724.949999999999
2025-W07,5,5,8079.95
2025-W08,5,5,6289.95
2025-W09,5,5,23089.949999999997
2025-W10,5,5,-3745.050000000001
2025-W11,5,5,12309.949999999999
2025-W12,5,5,3659.949999999999
2025-W13,5,5,11214.949999999999
2025-W14,5,5,11989.949999999999
2025-W15,5,5,34679.95
2025-W16,4,4,2689.959999999999
2025-W17,5,5,1709.949999999999
2025-W18,5,5,-14150.050000000001
2025-W19,5,5,-1860.0500000000004
2025-W20,5,5,-6000.050000000001
2025-W21,5,5,-1455.0500000000006
2025-W22,5,5,5044.949999999999
2025-W23,5,5,-1255.0500000000009
2025-W24,5,5,944.9499999999998
2025-W25,5,5,5529.95
2025-W26,5,5,2954.95
2025-W27,5,5,-945.0500000000006
2025-W28,5,5,-4125.05
2025-W29,5,5,-1000.0500000000004
2025-W30,5,5,-1750.0500000000002
2025-W31,5,5,8029.949999999999
2025-W32,5,5,5184.949999999999
2025-W33,5,5,-4630.05
2025-W34,5,5,7524.949999999999
2025-W35,5,5,-5800.050000000001
2025-W36,5,5,-245.0500000000011
2025-W37,5,5,-3230.05
2025-W38,5,5,2214.95
2025-W39,5,5,8139.95
2025-W40,5,5,-15710.050000000001
2025-W41,5,5,-22375.05
2025-W42,5,5,-7025.050000000001
2025-W43,5,5,-1850.0500000000009
2025-W44,5,5,-4330.050000000001
2025-W45,5,5,1769.949999999999
2025-W46,5,5,10369.95
2025-W47,5,5,-31655.049999999996
2025-W48,5,5,-1450.0500000000004
2025-W49,5,5,-5500.05
2025-W50,5,5,9689.949999999999
2025-W51,5,5,6709.949999999999
2025-W52,4,4,364.96000000000004
2026-W01,4,4,-5880.040000000001
2026-W02,5,5,-7300.05
2026-W03,5,5,-910.0500000000002
2026-W04,5,5,-1630.0500000000006
2026-W05,5,5,809.9499999999998
2026-W06,5,5,11564.949999999999
2026-W07,5,5,16929.95
2026-W08,5,5,-195.0500000000011
2026-W09,5,5,11629.949999999999
2026-W10,5,5,-10610.050000000001
2026-W11,5,5,-16245.050000000001
2026-W12,5,5,-895.0500000000011
2026-W13,5,5,-6795.050000000001
2026-W14,4,4,21309.96
2026-W15,5,5,134.94999999999914
2026-W16,5,5,2639.949999999999
2026-W17,5,5,-17620.050000000003
2026-W18,5,5,-7360.05
2026-W19,5,5,10694.949999999999
2026-W20,5,5,-11445.050000000001
2026-W21,5,5,7759.949999999999
2026-W22,5,5,-8050.050000000001
2026-W23,5,5,16054.95
2026-W24,5,5,-18385.050000000003
2026-W25,5,5,-16825.05
2026-W26,5,5,-2350.0500000000006
2026-W27,5,5,-5120.050000000001
2026-W28,5,5,7594.95
2026-W29,5,5,5844.949999999999
2026-W30,5,5,-7545.050000000001
2026-W31,5,5,14344.949999999999
