session_id,era,D_pts,trailing_q10_pts,entry_ts,entry_open,entry_case,exit_ts,exit_close,gross_pts,net35_pts,net40_pts
2007-02-27,2006-2015,-12.0,-3.25,2007-02-27 16:01:00,5258.0,late_tape_1601,2007-02-28 09:30:00,5254.75,-3.25,-5.0,-5.25
2007-03-02,2006-2015,-6.75,-3.25,2007-03-02 16:01:00,5226.25,late_tape_1601,2007-03-05 09:30:00,5213.5,-12.75,-14.5,-14.75
2007-03-05,2006-2015,-4.75,-3.4749999999999996,2007-03-05 16:01:00,5213.5,late_tape_1601,2007-03-06 09:30:00,5228.5,15.0,13.25,13.0
2007-03-13,2006-2015,-7.5,-3.5,2007-03-13 16:01:00,5219.75,late_tape_1601,2007-03-14 09:30:00,5222.25,2.5,0.75,0.5
2007-03-23,2006-2015,-3.75,-3.5,2007-03-23 16:01:00,5290.25,late_tape_1601,2007-03-26 09:20:00,5292.25,2.0,0.25,0.0
2007-03-27,2006-2015,-3.75,-3.5,2007-03-27 16:01:00,5284.75,late_tape_1601,2007-03-28 09:30:00,5276.75,-8.0,-9.75,-10.0
2007-03-28,2006-2015,-6.25,-3.5,2007-03-28 16:01:00,5264.0,late_tape_1601,2007-03-29 09:30:00,5277.25,13.25,11.5,11.25
2007-04-09,2006-2015,-5.5,-3.5,2007-04-09 16:01:00,5300.25,late_tape_1601,2007-04-10 09:30:00,5300.5,0.25,-1.5,-1.75
2007-04-18,2006-2015,-4.5,-3.5,2007-04-18 16:01:00,5321.25,late_tape_1601,2007-04-19 09:30:00,5312.5,-8.75,-10.5,-10.75
2007-04-26,2006-2015,-4.75,-3.7249999999999996,2007-04-26 16:01:00,5377.25,late_tape_1601,2007-04-27 09:30:00,5375.25,-2.0,-3.75,-4.0
2007-07-19,2006-2015,-4.75,-3.2249999999999996,2007-07-19 16:01:00,5520.5,late_tape_1601,2007-07-20 09:30:00,5515.25,-5.25,-7.0,-7.25
2007-07-27,2006-2015,-8.75,-3.2249999999999996,2007-07-27 16:01:00,5422.0,late_tape_1601,2007-07-30 09:30:00,5427.0,5.0,3.25,3.0
2007-07-31,2006-2015,-9.0,-3.25,2007-07-31 16:01:00,5396.75,late_tape_1601,2007-08-01 09:30:00,5393.25,-3.5,-5.25,-5.5
2007-08-03,2006-2015,-15.75,-3.2249999999999996,2007-08-03 16:01:00,5382.25,late_tape_1601,2007-08-06 09:30:00,5394.25,12.0,10.25,10.0
2007-08-07,2006-2015,-4.75,-3.25,2007-08-07 16:01:00,5422.25,late_tape_1601,2007-08-08 09:30:00,5436.25,14.0,12.25,12.0
2007-08-09,2006-2015,-12.25,-3.25,2007-08-09 16:01:00,5403.25,late_tape_1601,2007-08-10 09:30:00,5383.25,-20.0,-21.75,-22.0
2007-08-14,2006-2015,-8.5,-3.25,2007-08-14 16:01:00,5363.5,late_tape_1601,2007-08-15 09:30:00,5360.25,-3.25,-5.0,-5.25
2007-08-15,2006-2015,-9.75,-3.25,2007-08-15 16:01:00,5327.5,late_tape_1601,2007-08-16 09:30:00,5313.0,-14.5,-16.25,-16.5
2007-08-27,2006-2015,-7.25,-3.4749999999999996,2007-08-27 16:01:00,5406.0,late_tape_1601,2007-08-28 09:30:00,5394.25,-11.75,-13.5,-13.75
2007-08-31,2006-2015,-5.0,-3.5,2007-08-31 16:01:00,5445.0,late_tape_1601,2007-09-04 09:30:00,5447.0,2.0,0.25,0.0
2007-09-05,2006-2015,-4.25,-3.7249999999999996,2007-09-05 16:01:00,5452.5,late_tape_1601,2007-09-06 09:30:00,5458.75,6.25,4.5,4.25
2007-09-10,2006-2015,-8.0,-3.75,2007-09-10 16:01:00,5416.0,late_tape_1601,2007-09-11 09:30:00,5428.0,12.0,10.25,10.0
2007-09-20,2006-2015,-4.25,-3.75,2007-09-20 16:01:00,5485.0,late_tape_1601,2007-09-21 09:30:00,5499.0,14.0,12.25,12.0
2007-10-25,2006-2015,-4.5,-3.75,2007-10-25 16:01:00,5604.0,late_tape_1601,2007-10-26 09:30:00,5645.0,41.0,39.25,39.0
2007-11-01,2006-2015,-6.25,-3.75,2007-11-01 16:01:00,5638.75,late_tape_1601,2007-11-02 09:30:00,5655.5,16.75,15.0,14.75
2007-11-07,2006-2015,-7.5,-3.75,2007-11-07 16:01:00,5609.5,late_tape_1601,2007-11-08 09:30:00,5602.25,-7.25,-9.0,-9.25
2007-11-08,2006-2015,-12.5,-4.199999999999999,2007-11-08 16:01:00,5546.25,late_tape_1601,2007-11-09 09:30:00,5503.0,-43.25,-45.0,-45.25
2007-11-09,2006-2015,-13.5,-4.25,2007-11-09 16:01:00,5472.25,late_tape_1601,2007-11-12 09:30:00,5469.0,-3.25,-5.0,-5.25
2007-11-14,2006-2015,-5.75,-4.25,2007-11-14 16:01:00,5474.0,late_tape_1601,2007-11-15 09:30:00,5471.0,-3.0,-4.75,-5.0
2007-11-21,2006-2015,-12.0,-4.475,2007-11-21 16:01:00,5440.75,late_tape_1601,2007-11-26 09:30:00,5466.5,25.75,24.0,23.75
2007-11-26,2006-2015,-12.5,-4.5,2007-11-26 16:01:00,5425.25,late_tape_1601,2007-11-27 09:30:00,5442.75,17.5,15.75,15.5
2007-12-31,2006-2015,-7.25,-4.725,2007-12-31 16:01:00,5511.25,late_tape_1601,2008-01-02 09:30:00,5512.5,1.25,-0.5,-0.75
2008-01-08,2006-2015,-11.0,-4.75,2008-01-08 16:01:00,5333.0,late_tape_1601,2008-01-09 09:30:00,5338.0,5.0,3.25,3.0
2008-01-11,2006-2015,-6.5,-4.75,2008-01-11 16:01:00,5334.75,late_tape_1601,2008-01-14 09:30:00,5359.5,24.75,23.0,22.75
2008-01-15,2006-2015,-11.5,-4.75,2008-01-15 16:01:00,5313.75,late_tape_1601,2008-01-16 09:30:00,5297.0,-16.75,-18.5,-18.75
2008-01-16,2006-2015,-6.75,-4.75,2008-01-16 16:01:00,5291.0,late_tape_1601,2008-01-17 09:30:00,5298.75,7.75,6.0,5.75
2008-01-22,2006-2015,-16.75,-4.975,2008-01-22 16:01:00,5212.75,late_tape_1601,2008-01-23 09:30:00,5143.25,-69.5,-71.25,-71.5
2008-01-30,2006-2015,-11.0,-5.475,2008-01-30 16:01:00,5220.0,late_tape_1601,2008-01-31 09:30:00,5197.5,-22.5,-24.25,-24.5
2008-01-31,2006-2015,-17.5,-5.725,2008-01-31 16:01:00,5248.25,late_tape_1601,2008-02-01 09:30:00,5264.5,16.25,14.5,14.25
2008-03-06,2006-2015,-7.25,-5.725,2008-03-06 16:01:00,5123.0,late_tape_1601,2008-03-07 09:30:00,5112.25,-10.75,-12.5,-12.75
2008-03-17,2006-2015,-15.0,-5.725,2008-03-17 16:01:00,5091.75,late_tape_1601,2008-03-18 09:30:00,5122.5,30.75,29.0,28.75
2008-03-19,2006-2015,-11.5,-6.199999999999999,2008-03-19 16:01:00,5122.75,late_tape_1601,2008-03-20 09:30:00,5128.5,5.75,4.0,3.75
2008-06-30,2006-2015,-7.75,-5.725,2008-06-30 16:01:00,5234.5,late_tape_1601,2008-07-01 09:30:00,5219.5,-15.0,-16.75,-17.0
2008-07-07,2006-2015,-8.5,-6.199999999999999,2008-07-07 16:01:00,5221.75,late_tape_1601,2008-07-08 09:30:00,5224.25,2.5,0.75,0.5
2008-07-14,2006-2015,-8.5,-6.475,2008-07-14 16:01:00,5195.0,late_tape_1601,2008-07-15 09:30:00,5184.25,-10.75,-12.5,-12.75
2008-08-21,2006-2015,-5.5,-5.25,2008-08-21 16:01:00,5297.75,late_tape_1601,2008-08-22 09:30:00,5307.5,9.75,8.0,7.75
2008-09-04,2006-2015,-7.25,-5.25,2008-09-04 16:01:00,5166.5,late_tape_1601,2008-09-05 09:30:00,5151.25,-15.25,-17.0,-17.25
2008-09-05,2006-2015,-6.0,-5.475,2008-09-05 16:01:00,5159.25,late_tape_1601,2008-09-08 09:30:00,5180.0,20.75,19.0,18.75
2008-09-15,2006-2015,-8.5,-5.5,2008-09-15 16:01:00,5100.25,late_tape_1601,2008-09-16 09:30:00,5077.0,-23.25,-25.0,-25.25
2008-09-17,2006-2015,-22.5,-5.5,2008-09-17 16:01:00,5026.25,late_tape_1601,2008-09-18 09:30:00,5061.0,34.75,33.0,32.75
2008-09-18,2006-2015,-12.25,-5.725,2008-09-18 16:01:00,5081.5,late_tape_1601,2008-09-19 09:30:00,5172.25,90.75,89.0,88.75
2008-09-22,2006-2015,-8.0,-5.975,2008-09-22 16:01:00,5051.25,late_tape_1601,2008-09-23 09:30:00,5063.5,12.25,10.5,10.25
2008-09-29,2006-2015,-28.0,-6.0,2008-09-29 16:01:00,4913.25,late_tape_1601,2008-09-30 09:30:00,4919.75,6.5,4.75,4.5
2008-10-07,2006-2015,-6.25,-6.225,2008-10-07 16:01:00,4722.0,late_tape_1601,2008-10-08 09:30:00,4691.0,-31.0,-32.75,-33.0
2008-10-08,2006-2015,-14.5,-6.25,2008-10-08 16:01:00,4716.5,late_tape_1601,2008-10-09 09:30:00,4737.0,20.5,18.75,18.5
2008-10-10,2006-2015,-8.75,-6.475,2008-10-10 16:01:00,4665.75,late_tape_1601,2008-10-13 09:30:00,4724.0,58.25,56.5,56.25
2008-10-14,2006-2015,-18.0,-6.725,2008-10-14 16:01:00,4753.75,late_tape_1601,2008-10-15 09:30:00,4742.25,-11.5,-13.25,-13.5
2008-10-15,2006-2015,-21.25,-7.199999999999999,2008-10-15 16:01:00,4628.5,late_tape_1601,2008-10-16 09:30:00,4640.0,11.5,9.75,9.5
2008-10-24,2006-2015,-15.0,-7.25,2008-10-24 16:01:00,4583.0,late_tape_1601,2008-10-27 09:30:00,4568.0,-15.0,-16.75,-17.0
2008-10-27,2006-2015,-31.0,-7.25,2008-10-27 16:01:00,4550.5,late_tape_1601,2008-10-28 09:30:00,4592.0,41.5,39.75,39.5
2008-10-29,2006-2015,-46.0,-7.475,2008-10-29 16:01:00,4679.0,late_tape_1601,2008-10-30 09:30:00,4714.25,35.25,33.5,33.25
2008-11-05,2006-2015,-13.0,-7.725,2008-11-05 16:01:00,4685.25,late_tape_1601,2008-11-06 09:30:00,4665.5,-19.75,-21.5,-21.75
2008-11-14,2006-2015,-24.75,-7.25,2008-11-14 16:01:00,4562.25,late_tape_1601,2008-11-17 09:30:00,4541.75,-20.5,-22.25,-22.5
2008-11-19,2006-2015,-9.25,-7.699999999999999,2008-11-19 16:01:00,4474.25,late_tape_1601,2008-11-20 09:30:00,4462.0,-12.25,-14.0,-14.25
2008-11-20,2006-2015,-10.75,-7.975,2008-11-20 16:01:00,4423.0,late_tape_1601,2008-11-21 09:30:00,4439.5,16.5,14.75,14.5
2008-12-01,2006-2015,-10.75,-7.699999999999999,2008-12-01 16:01:00,4477.75,late_tape_1601,2008-12-02 09:30:00,4493.0,15.25,13.5,13.25
2008-12-17,2006-2015,-13.25,-7.975,2008-12-17 16:01:00,4606.75,late_tape_1601,2008-12-18 09:30:00,4607.0,0.25,-1.5,-1.75
2009-01-20,2006-2015,-9.0,-7.975,2009-01-20 16:01:00,4515.0,late_tape_1601,2009-01-21 09:30:00,4533.25,18.25,16.5,16.25
2009-02-13,2006-2015,-9.5,-7.25,2009-02-13 16:01:00,4613.75,late_tape_1601,2009-02-17 09:30:00,4575.5,-38.25,-40.0,-40.25
2009-02-25,2006-2015,-10.5,-7.25,2009-02-25 16:01:00,4540.25,late_tape_1601,2009-02-26 09:30:00,4547.0,6.75,5.0,4.75
2009-02-26,2006-2015,-8.25,-7.699999999999999,2009-02-26 16:01:00,4508.5,late_tape_1601,2009-02-27 09:30:00,4496.0,-12.5,-14.25,-14.5
2009-02-27,2006-2015,-9.0,-7.975,2009-02-27 16:01:00,4497.0,late_tape_1601,2009-03-02 09:30:00,4479.25,-17.75,-19.5,-19.75
2009-04-22,2006-2015,-8.0,-7.699999999999999,2009-04-22 16:01:00,4714.25,late_tape_1601,2009-04-23 09:30:00,4722.0,7.75,6.0,5.75
2009-09-23,2006-2015,-7.0,-6.25,2009-09-23 16:01:00,5109.25,late_tape_1601,2009-09-24 09:30:00,5117.5,8.25,6.5,6.25
2009-10-01,2006-2015,-9.75,-6.225,2009-10-01 16:01:00,5051.75,late_tape_1601,2009-10-02 09:30:00,5040.0,-11.75,-13.5,-13.75
2009-10-30,2006-2015,-9.75,-5.5,2009-10-30 16:01:00,5049.75,late_tape_1601,2009-11-02 09:30:00,5052.0,2.25,0.5,0.25
2009-12-01,2006-2015,-5.75,-5.0,2009-12-01 16:01:00,5174.25,late_tape_1601,2009-12-02 09:30:00,5180.0,5.75,4.0,3.75
2009-12-03,2006-2015,-5.25,-5.0,2009-12-03 16:01:00,5168.75,late_tape_1601,2009-12-04 09:30:00,5191.0,22.25,20.5,20.25
2010-02-08,2006-2015,-4.75,-4.25,2010-02-08 16:01:00,5122.25,late_tape_1601,2010-02-09 09:30:00,5142.0,19.75,18.0,17.75
2010-05-06,2006-2015,-20.5,-3.25,2010-05-06 16:01:00,5283.0,late_tape_1601,2010-05-07 09:30:00,5268.75,-14.25,-16.0,-16.25
2010-05-11,2006-2015,-6.0,-3.4749999999999996,2010-05-11 16:01:00,5330.25,late_tape_1601,2010-05-12 09:30:00,5340.5,10.25,8.5,8.25
2010-05-13,2006-2015,-4.25,-3.5,2010-05-13 16:01:00,5334.75,late_tape_1601,2010-05-14 09:30:00,5321.0,-13.75,-15.5,-15.75
2010-05-19,2006-2015,-4.0,-3.4749999999999996,2010-05-19 16:01:00,5262.25,late_tape_1601,2010-05-20 09:30:00,5226.75,-35.5,-37.25,-37.5
2010-05-20,2006-2015,-14.0,-3.4749999999999996,2010-05-20 16:01:00,5191.5,late_tape_1601,2010-05-21 09:30:00,5164.25,-27.25,-29.0,-29.25
2010-05-24,2006-2015,-11.5,-3.4749999999999996,2010-05-24 16:01:00,5205.0,late_tape_1601,2010-05-25 09:30:00,5165.5,-39.5,-41.25,-41.5
2010-05-28,2006-2015,-9.0,-3.25,2010-05-28 16:01:00,5244.5,late_tape_1601,2010-06-01 09:30:00,5237.5,-7.0,-8.75,-9.0
2010-06-01,2006-2015,-8.5,-3.4749999999999996,2010-06-01 16:01:00,5226.25,late_tape_1601,2010-06-02 09:30:00,5237.25,11.0,9.25,9.0
2010-06-23,2006-2015,-4.5,-3.2249999999999996,2010-06-23 16:01:00,5265.5,late_tape_1601,2010-06-24 09:30:00,5256.75,-8.75,-10.5,-10.75
2010-06-25,2006-2015,-3.25,-3.2249999999999996,2010-06-25 16:01:00,5233.0,late_tape_1601,2010-06-28 09:30:00,5234.0,1.0,-0.75,-1.0
