et,xt,d,u,pnl,year,week
2025-04-09T12:37:00,2025-04-09T13:30:00,1,2,36501.28,2025,2025-W15
2025-08-04T01:33:00,2025-08-04T16:41:00,1,2,14381.28,2025,2025-W32
2026-06-29T10:55:00,2026-06-29T16:41:00,1,2,13831.28,2026,2026-W27
2026-02-05T20:44:00,2026-02-06T16:41:00,1,1,12885.64,2026,2026-W06
2024-01-08T09:17:00,2024-01-08T16:41:00,1,2,11631.28,2024,2024-W02
2025-06-15T18:46:00,2025-06-16T16:41:00,1,2,11431.28,2025,2025-W25
2024-12-16T04:38:00,2024-12-16T15:58:00,1,2,10851.28,2024,2024-W51
2026-02-25T09:32:00,2026-02-25T16:41:00,1,2,10811.28,2026,2026-W09
2022-10-17T05:06:00,2022-10-17T16:41:00,1,2,10761.28,2022,2022-W42
2025-01-17T07:14:00,2025-01-17T09:32:00,1,2,10541.28,2025,2025-W03
2022-10-13T09:51:00,2022-10-13T16:41:00,1,1,9810.64,2022,2022-W41
2022-11-15T00:12:00,2022-11-15T08:46:00,1,2,9491.28,2022,2022-W46
2026-03-15T18:46:00,2026-03-16T12:27:00,1,2,9391.28,2026,2026-W12
2024-09-18T22:28:00,2024-09-19T09:51:00,1,2,9311.28,2024,2024-W38
2025-02-09T18:52:00,2025-02-10T16:41:00,1,2,8811.28,2025,2025-W07
2025-06-05T19:05:00,2025-06-06T16:02:00,1,2,8501.28,2025,2025-W23
2024-02-01T12:09:00,2024-02-01T16:41:00,1,2,8471.28,2024,2024-W05
2024-03-01T09:33:00,2024-03-01T15:58:00,1,2,8251.28,2024,2024-W09
2024-04-25T10:15:00,2024-04-25T16:41:00,1,1,7740.64,2024,2024-W17
2026-01-15T03:10:00,2026-01-15T09:32:00,1,2,7731.28,2026,2026-W03
2025-05-11T19:25:00,2025-05-12T03:43:00,1,1,7605.64,2025,2025-W20
2024-11-05T09:32:00,2024-11-05T16:41:00,1,2,7571.28,2024,2024-W45
2024-12-20T08:34:00,2024-12-20T15:58:00,1,1,6985.64,2024,2024-W51
2023-04-13T09:31:00,2023-04-13T16:41:00,1,2,6811.28,2023,2023-W15
2024-06-17T12:27:00,2024-06-17T14:16:00,1,2,6491.28,2024,2024-W25
2023-11-10T08:00:00,2023-11-10T16:41:00,1,1,6245.64,2023,2023-W45
2026-06-15T09:33:00,2026-06-15T15:58:00,1,2,5911.28,2026,2026-W25
2024-09-11T14:29:00,2024-09-11T16:41:00,1,2,5771.28,2024,2024-W37
2024-04-11T13:06:00,2024-04-11T16:41:00,1,2,5751.28,2024,2024-W15
2024-06-05T10:33:00,2024-06-05T16:05:00,1,2,5701.28,2024,2024-W23
2024-04-05T07:39:00,2024-04-05T16:41:00,1,2,5641.28,2024,2024-W14
2024-08-05T09:33:00,2024-08-05T10:12:00,1,1,5565.64,2024,2024-W32
2025-10-26T18:02:00,2025-10-27T16:41:00,1,1,5500.64,2025,2025-W44
2025-12-19T08:38:00,2025-12-19T16:41:00,1,1,5440.64,2025,2025-W51
2022-08-03T07:05:00,2022-08-03T16:10:00,1,1,5420.64,2022,2022-W31
2024-06-25T09:45:00,2024-06-25T16:41:00,1,2,5141.28,2024,2024-W26
2022-07-05T11:46:00,2022-07-05T16:41:00,1,1,5115.64,2022,2022-W27
2025-06-02T10:05:00,2025-06-02T16:41:00,1,1,5095.64,2025,2025-W23
2023-06-12T13:47:00,2023-06-12T16:41:00,1,2,5091.28,2023,2023-W24
2023-01-20T13:35:00,2023-01-20T16:41:00,1,2,5071.28,2023,2023-W03
2022-11-10T08:33:00,2022-11-10T09:39:00,1,2,5071.28,2022,2022-W45
2024-05-15T10:38:00,2024-05-15T16:04:00,1,2,4981.28,2024,2024-W20
2024-10-25T09:33:00,2024-10-25T10:48:00,1,2,4961.28,2024,2024-W43
2023-03-22T22:12:00,2023-03-23T16:41:00,1,2,4931.28,2023,2023-W12
2025-02-12T09:36:00,2025-02-12T16:41:00,1,1,4900.64,2025,2025-W07
2025-08-06T08:20:00,2025-08-06T16:41:00,1,1,4785.64,2025,2025-W32
2023-01-06T11:03:00,2023-01-06T15:58:00,1,2,4751.28,2023,2023-W01
2026-04-24T11:16:00,2026-04-24T15:58:00,1,2,4721.28,2026,2026-W17
2024-10-14T06:03:00,2024-10-14T16:02:00,1,2,4711.28,2024,2024-W42
2023-07-26T21:04:00,2023-07-27T10:29:00,1,2,4591.28,2023,2023-W30
2025-05-25T18:08:00,2025-05-26T12:41:00,1,1,4530.64,2025,2025-W22
2024-03-17T20:42:00,2024-03-18T11:18:00,1,1,4475.64,2024,2024-W12
2023-06-01T10:45:00,2023-06-01T15:58:00,1,2,4371.28,2023,2023-W22
2024-08-08T04:05:00,2024-08-08T09:39:00,1,1,4295.64,2024,2024-W32
2023-05-05T08:35:00,2023-05-05T16:41:00,1,1,4275.64,2023,2023-W18
2024-04-23T08:28:00,2024-04-23T15:58:00,1,1,4175.64,2024,2024-W17
2023-05-26T09:14:00,2023-05-26T11:08:00,1,1,4145.64,2023,2023-W21
2025-04-30T15:54:00,2025-04-30T16:41:00,1,1,4085.64,2025,2025-W18
2026-01-01T18:03:00,2026-01-02T09:21:00,1,1,4055.64,2026,2026-W01
2023-12-20T21:33:00,2023-12-21T09:21:00,1,2,3901.28,2023,2023-W51
2024-11-06T11:41:00,2024-11-06T15:58:00,1,2,3871.28,2024,2024-W45
2023-06-22T09:45:00,2023-06-22T16:41:00,1,1,3860.64,2023,2023-W25
2023-03-14T08:40:00,2023-03-14T16:41:00,1,1,3830.64,2023,2023-W11
2026-01-26T05:30:00,2026-01-26T15:58:00,1,1,3805.64,2026,2026-W05
