cell,market,k,split,n,mean_pts,mean_usd_gross,mean_usd_opt,mean_usd_cons
EVENT_pooled_k1,POOLED,1,ALL,2543,0.20410243806527661,29.533031852143093,11.111883602044774,-2.94926464805353
CONTROL_pooled_k1,POOLED,1,ALL,6795,-1.8633318616629868,-82.2626931567328,-100.20676232523907,-113.79083149374533
EVENT_lit_pooled_k1,POOLED,1,SPEC-LITERAL comp[t],1360,0.8860992647058802,33.04595588235276,14.935036764705686,1.1841176470586239
EVENT_ES_k1,ES,1,ALL,565,-0.5,-25.0,-41.86,-54.36
CONTROL_ES_k1,ES,1,ALL,1573,-0.4532739987285442,-22.66369993642721,-39.523699936427235,-52.023699936427235
EVENT_ZB_k1,ZB,1,ALL,580,0.003556034482758621,3.5560344827586206,-32.05396551724139,-63.30396551724137
CONTROL_ZB_k1,ZB,1,ALL,1425,-0.05824561403508772,-58.24561403508772,-93.85561403508773,-125.10561403508773
EVENT_GC_k1,GC,1,ALL,557,1.0382405745062815,103.82405745062817,89.46405745062813,79.46405745062813
CONTROL_GC_k1,GC,1,ALL,1446,-1.4077455048409366,-140.77455048409365,-155.13455048409364,-165.13455048409364
EVENT_NQ_k1,NQ,1,ALL,682,0.2870234604105572,5.7404692082111435,-3.6195307917888675,-8.619530791788868
CONTROL_NQ_k1,NQ,1,ALL,1972,-4.9638691683569975,-99.27738336713996,-108.63738336714003,-113.63738336714003
EVENT_CL_k1,CL,1,ALL,159,0.15987421383647796,159.874213836478,145.51421383647795,135.51421383647795
CONTROL_CL_k1,CL,1,ALL,379,-0.10815303430079143,-108.15303430079145,-122.51303430079145,-132.51303430079145
EVENT_pooled_WITH_k1,POOLED,1,WITH,1412,0.7974504249291772,57.35481586402253,39.15983002832846,25.324844192634412
EVENT_pooled_AGAINST_k1,POOLED,1,AGAINST,1131,-0.5366644562334211,-5.2011494252873,-23.904650751547237,-38.24815207780719
EVENT_pooled_k2,POOLED,2,ALL,2534,-0.38359264009471256,10.371448303078072,-8.02860694554071,-22.06866219415949
CONTROL_pooled_k2,POOLED,2,ALL,6777,-2.223050944370664,-117.52416260882383,-135.46649992622093,-149.048837243618
EVENT_lit_pooled_k2,POOLED,2,SPEC-LITERAL comp[t],1355,0.21724169741697313,-6.605166051660598,-24.710553505535167,-38.45594095940971
EVENT_ES_k2,ES,2,ALL,563,-0.5772646536412078,-28.863232682060392,-45.72323268206042,-58.22323268206042
CONTROL_ES_k2,ES,2,ALL,1566,-1.1484674329501916,-57.423371647509576,-74.28337164750963,-86.78337164750963
EVENT_ZB_k2,ZB,2,ALL,576,0.007215711805555556,7.215711805555555,-28.394288194444435,-59.644288194444435
CONTROL_ZB_k2,ZB,2,ALL,1422,-0.07764152601969057,-77.64152601969057,-113.25152601969056,-144.50152601969057
EVENT_GC_k2,GC,2,ALL,554,0.8375451263537873,83.75451263537872,69.39451263537875,59.39451263537874
CONTROL_GC_k2,GC,2,ALL,1439,-1.9280055594162553,-192.80055594162548,-207.16055594162552,-217.16055594162552
EVENT_NQ_k2,NQ,2,ALL,682,-1.656524926686217,-33.13049853372434,-42.49049853372439,-47.49049853372439
CONTROL_NQ_k2,NQ,2,ALL,1971,-5.210045662100456,-104.20091324200914,-113.56091324200922,-118.56091324200922
EVENT_CL_k2,CL,2,ALL,159,0.0916352201257863,91.63522012578632,77.27522012578633,67.27522012578633
CONTROL_CL_k2,CL,2,ALL,379,-0.2989709762532981,-298.97097625329815,-313.3309762532981,-323.3309762532981
EVENT_pooled_WITH_k2,POOLED,2,WITH,1408,-1.609228515625003,18.688742897726964,0.5148224431814971,-13.299098011363952
EVENT_pooled_AGAINST_k2,POOLED,2,AGAINST,1126,1.1489964476021337,-0.028863232681829384,-18.71168738898734,-33.03451154529285
EVENT_pooled_k3,POOLED,3,ALL,2526,-1.983285332541569,-34.814429928741205,-53.20303246239126,-67.23163499604131
CONTROL_pooled_k3,POOLED,3,ALL,6758,-2.6423903151820043,-132.15318881325814,-150.09745930748727,-163.68172980171633
EVENT_lit_pooled_k3,POOLED,3,SPEC-LITERAL comp[t],1351,-2.2395845669874213,-87.80255366395306,-105.90330125832759,-119.64404885270213
EVENT_ES_k3,ES,3,ALL,562,-2.887455516014235,-144.37277580071174,-161.2327758007118,-173.7327758007118
CONTROL_ES_k3,ES,3,ALL,1559,-1.5322322001282873,-76.61161000641437,-93.4716100064144,-105.9716100064144
EVENT_ZB_k3,ZB,3,ALL,573,0.02535994764397906,25.35994764397906,-10.250052356020934,-41.50005235602094
CONTROL_ZB_k3,ZB,3,ALL,1420,-0.10904489436619719,-109.04489436619718,-144.65489436619717,-175.9048943661972
EVENT_GC_k3,GC,3,ALL,551,0.5415607985480886,54.15607985480885,39.79607985480885,29.796079854808863
CONTROL_GC_k3,GC,3,ALL,1430,-1.318671328671319,-131.86713286713186,-146.22713286713193,-156.22713286713193
EVENT_NQ_k3,NQ,3,ALL,681,-5.467327459618208,-109.34654919236417,-118.70654919236426,-123.70654919236426
CONTROL_NQ_k3,NQ,3,ALL,1970,-6.73248730964467,-134.6497461928934,-144.0097461928935,-149.0097461928935
EVENT_CL_k3,CL,3,ALL,159,0.14647798742138396,146.47798742138397,132.117987421384,122.11798742138399
CONTROL_CL_k3,CL,3,ALL,379,-0.4353034300791557,-435.30343007915565,-449.66343007915566,-459.66343007915566
EVENT_pooled_WITH_k3,POOLED,3,WITH,1403,-1.3647638987883104,28.99233784746971,10.84669992872414,-2.9389379900214045
EVENT_pooled_AGAINST_k3,POOLED,3,AGAINST,1123,-2.756024042742656,-114.5302760463048,-133.22242208370466,-147.55456812110447
