event_date,zb_ret_pts,zb_gross_usd,zb_aftercost_opt_usd,zb_aftercost_cons_usd,era,zn_event_date,zn_ret_pts,zn_gross_usd,zn_aftercost_cons_usd,zb_clean_daily
2009-03-31,0.734375,734.375,698.765,667.515,2009-15,2009-03-31,0.296875,296.875,261.265,True
2009-04-30,-0.265625,-265.625,-301.235,-332.485,2009-15,2009-04-30,-0.203125,-203.125,-238.735,True
2009-05-29,2.0,2000.0,1964.39,1933.14,2009-15,2009-05-29,1.125,1125.0,1089.39,True
2009-06-30,-0.375,-375.0,-410.61,-441.86,2009-15,2009-06-30,-0.203125,-203.125,-238.735,True
2009-07-31,3.9375,3937.5,3901.89,3870.64,2009-15,2009-07-31,1.125,1125.0,1089.39,True
2009-08-31,0.65625,656.25,620.64,589.39,2009-15,2009-08-31,0.53125,531.25,495.64,True
2009-09-30,-0.21875,-218.75,-254.36,-285.61,2009-15,2009-09-30,0.015625,15.625,-19.985,True
2009-10-30,1.5,1500.0,1464.39,1433.14,2009-15,2009-10-30,0.890625,890.625,855.015,True
2009-11-30,0.21875,218.75,183.14,151.89,2009-15,2009-11-30,0.078125,78.125,42.515,True
2009-12-31,-0.65625,-656.25,-691.86,-723.11,2009-15,2009-12-31,-0.609375,-609.375,-644.985,True
2010-01-29,0.6875,687.5,651.89,620.64,2009-15,2010-01-29,0.4375,437.5,401.89,True
2010-02-26,0.75,750.0,714.39,683.14,2009-15,2010-02-26,0.375,375.0,339.39,True
2010-03-31,0.53125,531.25,495.64,464.39,2009-15,2010-03-31,0.328125,328.125,292.515,True
2010-04-30,0.84375,843.75,808.14,776.89,2009-15,2010-04-30,0.46875,468.75,433.14,True
2010-05-31,0.03125,31.25,-4.359999999999999,-35.61,2009-15,2010-05-31,-0.03125,-31.25,-66.86,True
2010-06-30,0.40625,406.25,370.64,339.39,2009-15,2010-06-30,0.0,0.0,-35.61,True
2010-07-30,1.8125,1812.5,1776.89,1745.64,2009-15,2010-07-30,0.703125,703.125,667.515,True
2010-08-31,0.9375,937.5,901.89,870.64,2009-15,2010-08-31,0.40625,406.25,370.64,True
2010-09-30,0.0625,62.5,26.89,-4.359999999999999,2009-15,2010-09-30,-0.109375,-109.375,-144.985,True
2010-10-29,0.78125,781.25,745.64,714.39,2009-15,2010-10-29,0.453125,453.125,417.515,True
2010-11-30,0.5,500.0,464.39,433.14,2009-15,2010-11-30,0.15625,156.25,120.64,True
2010-12-31,1.1875,1187.5,1151.89,1120.64,2009-15,2010-12-31,0.375,375.0,339.39,True
