arm,tid,role,side,d,u,bar,instant,hour,mod,vol,pnl,win,mins,sdate,spr_dir,store
SHORT,1828,entry,sell,-1,1,1279339,2025-08-14 08:32:00,8,512,0.0004940710476967257,710.64,True,9.0,20250814,6.0,esnq
SHORT,1828,exit,buy,-1,1,1279348,2025-08-14 08:41:00,8,521,0.0005552323155780003,710.64,True,9.0,20250814,3.0,esnq
SHORT,1829,entry,sell,-1,1,1279361,2025-08-14 08:54:00,8,534,0.0005803037266103997,-309.36,False,36.0,20250814,3.0,esnq
SHORT,1829,exit,buy,-1,1,1279397,2025-08-14 09:30:00,9,570,0.0006210698469474083,-309.36,False,36.0,20250814,3.0,esnq
SHORT,1830,entry,sell,-1,1,1279515,2025-08-14 11:28:00,11,688,0.0002966180241437,-259.36,False,1.0,20250814,3.0,esnq
SHORT,1830,exit,buy,-1,1,1279516,2025-08-14 11:29:00,11,689,0.00029967705103992477,-259.36,False,1.0,20250814,2.0,esnq
SHORT,1831,entry,sell,-1,1,1279524,2025-08-14 11:37:00,11,697,0.00031280613777827376,50.64,True,1.0,20250814,2.0,esnq
SHORT,1831,exit,buy,-1,1,1279525,2025-08-14 11:38:00,11,698,0.00031194002336640633,50.64,True,1.0,20250814,2.0,esnq
SHORT,1832,entry,sell,-1,1,1279526,2025-08-14 11:39:00,11,699,0.000311946202329316,-144.36,False,6.0,20250814,3.0,esnq
SHORT,1832,exit,buy,-1,1,1279532,2025-08-14 11:45:00,11,705,0.00030661662188963084,-144.36,False,6.0,20250814,2.0,esnq
SHORT,1833,entry,sell,-1,1,1279794,2025-08-14 16:07:00,16,967,0.00024208946108324574,-69.36,False,2.0,20250814,3.0,esnq
SHORT,1833,exit,buy,-1,1,1279796,2025-08-14 16:09:00,16,969,0.00024019365312364678,-69.36,False,2.0,20250814,2.0,esnq
SHORT,1834,entry,sell,-1,1,1279797,2025-08-14 16:10:00,16,970,0.00023999141503386155,-79.36,False,30.0,20250814,2.0,esnq
SHORT,1834,exit,buy,-1,1,1279827,2025-08-14 16:40:00,16,1000,0.0002357975325237565,-79.36,False,30.0,20250814,2.0,esnq
SHORT,1838,entry,sell,-1,1,1282760,2025-08-18 20:33:00,20,1233,9.39378442103975e-05,160.64,True,389.0,20250819,3.0,esnq
SHORT,1838,exit,buy,-1,1,1283149,2025-08-19 03:02:00,3,182,7.454913681948901e-05,160.64,True,389.0,20250819,2.0,esnq
SHORT,1839,entry,sell,-1,1,1283183,2025-08-19 03:36:00,3,216,9.186987838400034e-05,-364.36,False,9.0,20250819,2.0,esnq
SHORT,1839,exit,buy,-1,1,1283192,2025-08-19 03:45:00,3,225,0.00010078501418186428,-364.36,False,9.0,20250819,3.0,esnq
SHORT,1840,entry,sell,-1,1,1283218,2025-08-19 04:11:00,4,251,0.00011130692907339513,-184.36,False,18.0,20250819,3.0,esnq
SHORT,1840,exit,buy,-1,1,1283236,2025-08-19 04:29:00,4,269,0.00012612599801272182,-184.36,False,18.0,20250819,3.0,esnq
