year,N,atr,f_pts,f_atr,f_st,f_min,f_retr,r_pts,r_atr,r_st,r_min,r_retr,o_pts,o_atr,o_min,f_adv,f_advA,r_adv,r_advA,f_retrU,r_retrU
2006,76,23.964285714285715,20.875,0.8200565221231122,434.5,231.5,0.43768491124260356,18.625,0.7720460246004122,47.0,146.0,0.4847847847847848,8.5,0.3588615350339757,155.0,20.5,0.7999848166325103,17.5,0.7168120377775958,0.3246963562753037,0.3763888888888889
2007,177,29.089285714285715,21.75,0.7537857543466068,504.0,194.0,0.5882352941176471,19.5,0.6678667866786678,46.0,130.0,0.5405405405405406,9.5,0.32587287376902413,149.0,24.5,0.8488324457189677,21.0,0.7577319587628866,0.3106796116504854,0.2911392405063291
2008,238,46.85714285714286,40.625,0.7640011351511156,531.0,293.5,0.4355855035512657,34.625,0.658883169180348,47.0,160.5,0.4353552532123961,18.0,0.361041752290014,202.5,34.375,0.706160991580213,31.25,0.5974406255399685,0.4482284141726866,0.41076254826254827
2009,243,33.32142857142857,23.5,0.6741003547896605,617.0,263.0,0.5107913669064749,20.25,0.5891354246365723,25.0,112.0,0.5063291139240507,12.75,0.3614697120158888,213.0,26.0,0.7813578826237054,21.25,0.6306898169873298,0.3119266055045872,0.35074626865671643
2010,247,32.892857142857146,22.25,0.7031390134529149,672.0,273.0,0.5026737967914439,18.75,0.572347266881029,29.0,99.0,0.5212765957446809,11.5,0.3587827015483182,236.0,24.5,0.7589605734767025,20.5,0.6032154340836013,0.3008849557522124,0.29838709677419356
2011,247,41.660714285714285,32.0,0.6823179791976226,624.0,295.0,0.5,24.25,0.5428240740740741,32.0,117.0,0.5490196078431373,17.0,0.3877430760164997,233.0,32.75,0.7373096446700508,24.5,0.5803328290468986,0.3381294964028777,0.26666666666666666
2012,241,35.80357142857143,25.5,0.7055251973284761,699.0,297.0,0.532258064516129,21.0,0.5874587458745875,30.0,118.0,0.5416666666666666,13.75,0.37791411042944784,264.0,26.5,0.7362593910636616,22.0,0.6240469208211143,0.3298429319371728,0.3472222222222222
2013,241,33.94642857142857,23.5,0.6929876252209782,768.0,243.0,0.5263157894736842,19.5,0.5732202139431944,30.0,101.0,0.5178571428571429,11.0,0.3287671232876712,237.0,26.5,0.774468085106383,21.0,0.6351219512195122,0.2857142857142857,0.32786885245901637
2014,243,44.982142857142854,29.75,0.670394966794827,766.0,231.0,0.6439393939393939,27.25,0.5981356809943035,30.0,108.0,0.5822784810126582,14.25,0.3251762754043965,219.0,33.5,0.7639593908629442,28.0,0.6441012159053565,0.2780487804878049,0.2631578947368421
2015,248,61.57142857142857,46.0,0.6777135224238722,645.5,323.0,0.5629093886462881,38.25,0.5753944116953882,28.5,123.0,0.5133333333333333,21.25,0.34508715253380484,258.0,46.75,0.7287949866098993,37.375,0.5792508354756751,0.27264065335753174,0.33294117647058824
2016,248,58.151785714285715,40.875,0.7086947187541937,624.5,342.5,0.487823585810163,30.75,0.5460254921238243,31.5,131.5,0.474255456899741,22.25,0.37427668224241323,290.5,41.875,0.7214567683439661,34.375,0.5616881073157177,0.28969766100930083,0.32548921849682166
2017,249,51.482142857142854,33.5,0.6136363636363636,837.0,249.0,0.6773049645390071,27.0,0.5189134298045189,18.0,82.0,0.6428571428571429,17.0,0.3244597557156279,271.0,38.75,0.7870646766169154,32.0,0.6128212369387179,0.19594594594594594,0.23170731707317074
2018,248,115.14285714285714,82.25,0.727269070981406,804.0,300.5,0.49448639578089415,69.75,0.5503550692924872,29.5,106.0,0.5212166405023548,44.0,0.35301070103794707,295.5,84.5,0.7514940239043825,70.0,0.6068207686127477,0.3146330369457405,0.34135490394337714
2019,249,108.98214285714286,69.75,0.6482260974143115,707.0,302.0,0.5833333333333334,55.5,0.4963365634601749,21.0,109.0,0.5625,41.5,0.370313986679353,292.0,77.75,0.7307537283353486,60.25,0.5456989247311828,0.24369747899159663,0.31564245810055863
2020,249,248.80357142857142,163.0,0.6425726802070888,591.0,304.0,0.6831831831831832,120.5,0.4928513622875641,38.0,97.0,0.5909849749582637,96.25,0.39237557359689373,272.0,186.5,0.7526629858903575,137.5,0.5730872283417684,0.2524377031419285,0.2602040816326531
2021,251,205.73214285714286,154.5,0.6722095198503429,767.0,329.0,0.5491071428571429,125.75,0.5342233735179834,20.0,90.0,0.6139534883720931,82.25,0.37690848315114284,297.0,173.75,0.7703609070584477,141.75,0.5917889072129155,0.23873873873873874,0.23679727427597955
