sess,date,year,bars,bars_rth,s_open,s_close,s_high,s_low,absmove,abs_rth,abs_on,ret,rng,short_pnl436,short_ntr,short_gross_pts,vix_prev,vix_prev_date
0,2006-01-05,2006,428,390.0,5288.0,5298.0,5300.5,5285.0,205.0,193.5,11.5,10.0,15.5,0.0,0.0,0.0,11.37,2006-01-04
1,2006-01-06,2006,580,389.0,5297.5,5324.0,5325.0,5295.5,279.5,211.5,68.0,26.5,29.5,0.0,0.0,0.0,11.31,2006-01-05
2,2006-01-09,2006,679,387.0,5322.5,5328.5,5333.5,5317.0,259.0,191.5,67.5,6.0,16.5,0.0,0.0,0.0,11.0,2006-01-06
3,2006-01-09,2006,128,0.0,5329.0,5324.5,5329.0,5323.0,24.5,0.0,24.5,-4.5,6.0,0.0,0.0,0.0,11.0,2006-01-06
4,2006-01-10,2006,731,390.0,5325.5,5334.5,5335.5,5318.0,274.0,192.5,81.5,9.0,17.5,-278.72,2.0,-13.5,11.13,2006-01-09
5,2006-01-11,2006,82,0.0,5334.0,5333.5,5334.0,5331.5,22.5,0.0,22.5,-0.5,2.5,0.0,0.0,0.0,10.86,2006-01-10
6,2006-01-11,2006,711,390.0,5334.0,5345.0,5349.0,5330.5,262.0,195.5,66.5,11.0,18.5,0.0,0.0,0.0,10.86,2006-01-10
7,2006-01-11,2006,76,0.0,5345.0,5344.5,5345.5,5344.5,10.0,0.0,10.0,-0.5,1.0,0.0,0.0,0.0,10.86,2006-01-10
8,2006-01-12,2006,675,390.0,5344.5,5338.5,5348.0,5329.5,251.0,189.0,62.0,-6.0,18.5,-4.36,1.0,0.0,10.94,2006-01-11
9,2006-01-12,2006,73,0.0,5339.0,5339.0,5340.0,5337.5,14.0,0.0,14.0,0.0,2.5,0.0,0.0,0.0,10.94,2006-01-11
10,2006-01-13,2006,685,390.0,5339.0,5334.0,5341.0,5324.5,253.0,182.5,70.5,-5.0,16.5,-74.36,1.0,-3.5,11.2,2006-01-12
11,2006-01-16,2006,1,0.0,5332.0,5332.0,5332.0,5332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,2006-01-13
12,2006-01-16,2006,193,69.0,5331.0,5338.5,5339.0,5331.0,44.5,12.0,32.5,7.5,8.0,0.0,0.0,0.0,11.23,2006-01-13
13,2006-01-16,2006,70,0.0,5338.5,5336.0,5338.5,5335.5,12.0,0.0,12.0,-2.5,3.0,0.0,0.0,0.0,11.23,2006-01-13
14,2006-01-17,2006,797,390.0,5334.0,5304.5,5334.0,5304.5,307.0,176.0,131.0,-29.5,29.5,55.64,1.0,3.0,11.23,2006-01-13
15,2006-01-17,2006,237,0.0,5303.5,5291.0,5304.5,5290.0,76.5,0.0,76.5,-12.5,14.5,0.0,0.0,0.0,11.23,2006-01-13
16,2006-01-18,2006,873,390.0,5295.0,5297.0,5312.5,5288.5,374.0,222.5,151.5,2.0,24.0,0.0,0.0,0.0,11.91,2006-01-17
