delay,n,mean_abs_tk,med_abs_tk,mean_abs_usd,n_mid,mean_abs_mid_tk,med_abs_mid_tk,mean_abs_mid_usd,p_moved,p90_abs_tk
+50ms,93,3.6989247311827955,3.0,18.494623655913976,87,3.9310344827586206,3.0,19.655172413793103,0.8172043010752689,8.0
+100ms,93,5.021505376344086,4.0,25.107526881720432,87,5.586206896551724,4.0,27.93103448275862,0.8817204301075269,12.0
+250ms,93,9.46236559139785,7.0,47.31182795698925,87,7.7701149425287355,4.5,38.85057471264368,0.946236559139785,22.0
+500ms,93,10.881720430107526,9.0,54.40860215053763,87,10.298850574712644,8.5,51.49425287356322,0.978494623655914,22.799999999999997
+1s,93,13.494623655913978,11.0,67.47311827956989,87,12.873563218390805,9.5,64.36781609195403,0.946236559139785,25.0
+2s,93,20.78494623655914,14.0,103.9247311827957,87,20.49425287356322,14.0,102.4712643678161,0.978494623655914,46.19999999999999
+5s,93,32.72043010752688,25.0,163.6021505376344,87,31.660919540229884,23.0,158.30459770114942,1.0,69.59999999999998
+10s,93,38.45161290322581,26.0,192.25806451612902,87,38.45977011494253,28.0,192.29885057471265,0.978494623655914,85.19999999999999
+30s,93,64.6236559139785,56.0,323.1182795698925,87,67.41954022988506,56.0,337.0977011494253,0.989247311827957,129.0
+60s,93,84.10752688172043,68.0,420.5376344086022,87,85.73563218390805,74.5,428.67816091954023,1.0,165.8
