rule,T,n,n_ctr,fill_rate_ctrw,mean_delta_usd,ci_bonf_lo,ci_bonf_hi,ci95_lo,ci95_hi,n_filled,mean_savings_filled,mean_chase_cost_unfilled
strict,5,127,145,0.7379310344827587,3.9655172413793105,-7.319608941527956,13.230870934213751,-4.900662251655629,11.859693744115491,94,24.345794392523363,53.421052631578945
strict,30,127,145,0.8758620689655172,4.655172413793103,-12.572351946913734,19.068769550210355,-9.21324372946759,16.918212070302395,111,25.590551181102363,143.05555555555554
strict,120,127,145,0.9103448275862069,-3.2758620689655173,-36.56729515716286,20.380426798378966,-29.733382352941177,17.53571987480437,115,25.53030303030303,295.7692307692308
stress,5,127,145,0.6758620689655173,0.4827586206896552,-10.033821524387562,9.24050324675328,-7.941322555512271,7.902180589680589,85,24.43877551020408,49.46808510638298
stress,30,127,145,0.8344827586206897,1.3448275862068966,-15.76936475409836,16.18611696522659,-12.5,13.641997354497354,106,25.90909090909091,122.5
stress,120,127,145,0.8827586206896552,-8.379310344827585,-42.82550635664911,16.707161203522524,-35.33148126185958,13.421331400535232,111,25.6640625,264.70588235294116
touch,5,127,145,0.8,8.10344827586207,-2.9121488551270396,16.833318312905583,-0.606431966726084,15.653846153846153,101,24.698275862068964,58.275862068965516
touch,30,127,145,0.9310344827586207,12.793103448275861,-0.07158844595231359,23.677935010482187,2.3720594652491274,22.06902709359606,117,25.59259259259259,160.0
touch,120,127,145,0.9379310344827586,3.9310344827586206,-22.60020374544824,23.2131238758993,-17.27287111622555,20.78952850877193,118,25.58823529411765,323.3333333333333
stress_lit,5,127,145,0.7172413793103448,3.3793103448275863,-7.792706568793525,12.66771313364059,-5.384933774834437,11.19074675324675,91,24.423076923076923,50.0
stress_lit,30,127,145,0.8620689655172413,3.0689655172413794,-13.981712660824165,17.522402013664156,-10.460310279383854,15.296351575456052,109,25.68,138.25
stress_lit,120,127,145,0.903448275862069,-4.068965517241379,-37.356661632020355,19.638962128475566,-30.423756508253017,16.60354001314392,114,25.53435114503817,281.07142857142856
