iso_week,B0_cash,B1a_always_long_held,B1b_always_long_RTH,B2_tsmom_63,B3_orb_0930_1000,B4_meanrev_lag1,B6_invvol_B1a_B2
2022-W01,0.00,-15724.40,-12739.00,0.00,-6224.00,-4907.60,-7862.20
2022-W02,0.00,930.00,3431.00,0.00,4021.00,5423.60,465.00
2022-W03,0.00,-24115.00,-19725.20,0.00,-16445.20,-21852.60,-12057.50
2022-W04,0.00,385.00,-1279.00,0.00,-36829.00,25009.80,192.50
2022-W05,0.00,4295.00,8076.00,0.00,-4929.00,-13062.60,2147.50
2022-W06,0.00,-7765.00,-6109.00,0.00,-2579.00,-5792.60,-3882.50
2022-W07,0.00,-5260.00,-4679.00,0.00,7661.00,-1137.60,-2630.00
2022-W08,0.00,3880.00,10969.80,0.00,8044.80,10063.60,1940.00
2022-W09,0.00,-7780.00,-5029.00,0.00,-3764.00,4063.60,-3890.00
2022-W10,0.00,-9835.00,-15624.00,0.00,13556.00,-1952.60,-4917.50
2022-W11,0.00,22645.00,19436.00,0.00,9671.00,-17053.80,11322.50
2022-W12,0.00,6345.00,7351.00,0.00,3171.00,15939.80,3172.50
2022-W13,0.00,1995.00,-579.00,1281.20,-9409.00,-3021.40,1638.10
2022-W14,0.00,-10485.00,-3904.00,10485.00,2681.00,9618.60,9897.61
2022-W15,0.00,-8715.00,-9620.20,8715.00,3049.80,4047.40,4990.47
2022-W16,0.00,-11535.00,-13724.00,11535.00,18026.00,-15791.40,5488.88
2022-W17,0.00,-8500.00,-8069.00,8500.00,8491.00,31063.60,3394.85
2022-W18,0.00,-4540.00,2176.00,4540.00,-4534.00,1573.60,1179.62
2022-W19,0.00,-5990.00,-5724.00,5990.00,10401.00,6882.40,1274.53
2022-W20,0.00,-10520.00,-12334.00,10520.00,4511.00,24136.00,1756.74
2022-W21,0.00,17590.00,18931.00,-17590.00,1296.00,-5645.20,-2345.65
2022-W22,0.00,-3360.00,1504.80,3360.00,3684.80,13062.40,329.19
2022-W23,0.00,-13920.00,-8149.00,13920.00,-6494.00,-14476.40,1064.44
2022-W24,0.00,-11610.00,-3409.00,11610.00,3476.00,-5357.60,619.15
2022-W25,0.00,16500.00,10744.80,-16500.00,1599.80,-10826.40,-326.75
2022-W26,0.00,-10445.00,-8879.00,10445.00,4676.00,-991.40,50.01
2022-W27,0.00,10995.00,15279.80,-10995.00,7044.80,-751.40,0.00
2022-W28,0.00,-2820.00,2506.00,2820.00,-2219.00,-947.60,0.00
2022-W29,0.00,8195.00,2491.00,-8195.00,15131.00,7917.40,0.00
2022-W30,0.00,10960.00,7311.00,-10960.00,2481.00,-4947.60,0.00
2022-W31,0.00,4790.00,10886.00,-6068.80,-1049.00,8282.40,-639.40
2022-W32,0.00,7270.00,-2339.00,7270.00,-9219.00,8583.60,7270.00
2022-W33,0.00,-6600.00,706.00,-6600.00,-1949.00,1603.60,-6600.00
2022-W34,0.00,-13820.00,-10029.00,-13820.00,11741.00,2022.40,-13820.00
2022-W35,0.00,-8575.00,-11949.00,8556.20,3231.00,-8593.80,6.84
2022-W36,0.00,9250.00,8389.80,3901.20,-1955.20,653.60,6574.55
2022-W37,0.00,-14170.00,-4834.00,-14170.00,-4.00,18543.60,-14170.00
2022-W38,0.00,-11455.00,-3799.00,-273.80,-4834.00,-7632.60,-5819.68
2022-W39,0.00,-6595.00,-4979.00,6595.00,-1099.00,-1822.60,53.13
2022-W40,0.00,760.00,2491.00,-760.00,3476.00,-12047.60,-3.23
2022-W41,0.00,-7000.00,-2079.00,7000.00,15064.80,5751.20,31.03
2022-W42,0.00,12635.00,3551.00,-12635.00,1861.00,11898.60,26.26
2022-W43,0.00,4950.00,8946.00,-4950.00,676.00,1062.40,-16.08
2022-W44,0.00,-15085.00,-16794.00,15085.00,6931.00,-8212.60,-0.15
2022-W45,0.00,19300.00,8031.00,-19300.00,3506.00,13943.60,112.82
2022-W46,0.00,-2505.00,-4269.00,2505.00,2536.00,5048.60,-2.12
2022-W47,0.00,1515.00,3603.60,-1515.00,3403.60,-403.80,1.50
2022-W48,0.00,3845.00,9716.00,-3845.00,-7279.00,5408.60,-0.35
2022-W49,0.00,-8520.00,-6179.00,8520.00,2231.00,-5168.80,13.10
2022-W50,0.00,-6885.00,-11454.00,6885.00,1221.00,-9911.40,-1.62
2022-W51,0.00,-5060.00,-1599.00,5060.00,96.00,852.40,-2.90
2022-W52,0.00,-505.00,-195.20,505.00,4244.80,5168.60,0.00
2023-W01,0.00,1340.00,-1970.20,-1340.00,1394.80,11173.60,0.00
2023-W02,0.00,9855.00,9721.00,6796.20,3001.00,-9873.80,8325.60
2023-W03,0.00,1525.00,-50.20,1525.00,-1530.20,8618.60,1525.00
2023-W04,0.00,10865.00,13711.00,10865.00,-5749.00,-3441.40,10865.00
2023-W05,0.00,7910.00,10616.00,7910.00,-13664.00,-2727.60,7910.00
2023-W06,0.00,-5490.00,-3499.00,-5490.00,-1409.00,1693.60,-5490.00
2023-W07,0.00,845.00,8186.00,845.00,-5654.00,3957.40,845.00
2023-W08,0.00,-7690.00,-4225.20,-7690.00,1854.80,-1038.80,-7690.00
2023-W09,0.00,6495.00,5446.00,-7093.80,4226.00,-2300.20,-330.93
2023-W10,0.00,-8640.00,-11324.00,-8658.80,-10194.00,593.60,-8649.44
2023-W11,0.00,12515.00,14771.00,12515.00,1061.00,-10523.80,12515.00
2023-W12,0.00,5485.00,1736.00,5485.00,-4709.00,3489.80,5485.00
2023-W13,0.00,7705.00,2541.00,7705.00,4806.00,-1902.60,7705.00
2023-W14,0.00,-2475.00,2893.60,-2475.00,1613.60,-1492.60,-2475.00
2023-W15,0.00,305.00,551.00,305.00,5011.00,237.40,305.00
2023-W16,0.00,-2470.00,1471.00,-2470.00,-2159.00,-1036.40,-2470.00
2023-W17,0.00,4995.00,501.00,4995.00,6521.00,-9633.80,4995.00
