transition,n,total_contracts_changed,mean_fwd20_pnl,mean_fwd20_pnl_per_contract
FLAT_EXIT_LONG,1728,3020,1.6802951388920653,-0.09374510857274736
FLAT_EXIT_SHORT,1755,2479,12.277948717953223,13.385998473752961
FRESH_LONG,1732,2087,3.839722863743763,-2.9544266193753588
FRESH_SHORT,1751,2053,5.465048543693848,6.950396712087863
REVERSAL_LONG_TO_SHORT,665,2268,8.585112781954248,3.1125336854042494
REVERSAL_SHORT_TO_LONG,661,1969,48.89236006051517,8.873522945578895
SCALE_IN_LONG,4401,6524,21.765303340152702,16.73154742969904
SCALE_IN_SHORT,3736,5417,21.52548179870173,11.722895779151028
SCALE_OUT_LONG,4016,5639,-2.807046812745678,-0.23586573349181003
SCALE_OUT_SHORT,3999,5338,-4.340572643167175,-0.8605724794358273
