block_id,net,state_pdh,state_pdl
2870,41337.82000000001,not_swept,rejected
3423,19717.820000000007,accepted,not_swept
2864,16267.820000000007,not_swept,not_swept
3335,15207.81999999989,not_swept,accepted
113,14287.820000000014,not_swept,accepted
3730,13257.820000000007,not_swept,rejected
2872,12232.820000000007,not_swept,not_swept
298,12192.820000000007,rejected,not_swept
2759,11977.81999999989,not_swept,not_swept
2790,11782.820000000007,not_swept,not_swept
2284,11597.820000000007,not_swept,rejected
2332,11557.81999999989,rejected,not_swept
3821,11492.820000000007,not_swept,rejected
2845,11367.81999999989,rejected,not_swept
3591,11217.820000000007,not_swept,rejected
2231,11212.81999999989,not_swept,accepted
558,10932.820000000007,rejected,not_swept
237,10717.820000000007,rejected,not_swept
258,10697.820000000007,not_swept,not_swept
