sess,net,contracts
2022-01-03,1044.1999999997206,102
2022-01-04,3170.0999999998776,76
2022-01-05,4053.800000000082,78
2022-01-06,-2132.800000000123,82
2022-01-07,-2046.7999999999197,72
2022-01-10,3604.3000000001707,68
2022-01-11,-1790.2000000001062,48
2022-01-12,-1275.599999999903,54
2022-01-13,1295.9000000002507,84
2022-01-14,-482.1999999999098,88
2022-01-17,-260.89999999993597,16
2022-01-18,101.70000000026721,102
2022-01-19,-109.49999999998818,60
2022-01-20,-21.599999999976717,44
2022-01-21,-4498.199999999808,88
2022-01-24,5564.999999999791,90
2022-01-25,2118.0999999993937,66
2022-01-26,1204.699999999657,82
2022-01-27,-3428.999999999799,70
2022-01-28,2604.599999999956,56
2022-01-31,-1218.600000000015,24
2022-02-01,-657.9999999999709,60
2022-02-02,428.69999999996344,72
2022-02-03,344.19999999995343,72
2022-02-04,975.9999999999063,70
2022-02-07,-1661.699999999918,58
2022-02-08,-7.299999999866486,72
2022-02-09,-309.79999999998927,42
2022-02-10,2638.9000000000888,114
2022-02-11,-183.49999999980173,80
2022-02-14,-881.1999999998143,58
2022-02-15,1082.700000000069,32
2022-02-16,-276.3999999998123,66
2022-02-17,3098.1000000001804,56
2022-02-18,-3321.2999999998647,92
2022-02-21,1339.1000000000731,36
2022-02-22,1891.3999999998723,94
2022-02-23,2910.400000000105,44
2022-02-24,7179.200000000239,92
2022-02-25,-3396.1999999998843,48
2022-02-28,-4819.399999999881,66
2022-03-01,-574.6999999998916,58
2022-03-02,-897.700000000139,68
2022-03-03,399.5000000000746,70
2022-03-04,-1639.5999999999476,84
2022-03-07,467.8000000001175,48
2022-03-08,-1702.9999999998345,90
2022-03-09,6631.899999999781,34
2022-03-10,-1040.3000000000138,52
2022-03-11,4572.6000000001295,56
2022-03-14,-3055.8999999998887,66
2022-03-15,4218.300000000054,58
2022-03-16,2534.7000000001026,52
2022-03-17,-1657.1999999998407,58
2022-03-18,-741.3000000000247,52
2022-03-21,-1157.3999999997068,96
2022-03-22,-1535.3999999999032,46
2022-03-23,222.4999999998363,80
2022-03-24,1761.8000000000466,68
2022-03-25,-679.1999999998006,78
2022-03-28,-1702.5,60
2022-03-29,-1492.1999999999534,58
2022-03-30,-318.30000000012296,72
2022-03-31,-782.2999999998956,72
2022-04-01,-728.9999999999818,70
2022-04-04,230.3999999999669,34
2022-04-05,1611.7000000002627,82
2022-04-06,2607.3000000002758,98
2022-04-07,-1510.4999999998654,80
2022-04-08,395.700000000179,72
2022-04-11,-1538.1000000000713,64
2022-04-12,3130.6000000001986,76
2022-04-13,919.4000000001361,54
2022-04-14,3511.7999999997664,58
2022-04-18,407.7000000001972,92
2022-04-19,-2079.199999999986,78
2022-04-20,-385.0999999999258,74
2022-04-21,2050.4000000002197,64
2022-04-22,-2161.699999999848,78
2022-04-25,-787.999999999749,100
2022-04-26,8229.899999999652,64
2022-04-27,-1457.6999999998734,108
2022-04-28,-1072.4999999998945,70
2022-04-29,-1686.8999999998632,56
2022-05-02,-1659.5999999998457,94
2022-05-03,-2105.5999999998276,64
