sid,date,bars,K_max,g_max,dL_max,prod_max,vote_max,M_max,armed_bars,short_armed_bars,range_pts,range_usd,path_pts,rv_pts,dc40,is_active,is_flat,cause
129,2022-07-03,1140,0,4,1,0,0.0,0.0,0,510,118.75,2375.0,2555.75,102.49908536177286,55,False,True,1_K0_no_member_ever_long
131,2022-07-05,1380,0,4,1,0,0.0,2.83,0,245,246.5,4930.0,6001.5,250.77754086042074,148,False,True,1_K0_no_member_ever_long
134,2022-07-10,1380,1,4,1,4,0.25,3.543,0,836,296.75,5935.0,4399.25,172.24492009925865,103,False,True,2_K1_max_vote_0.25
139,2022-07-17,1380,0,4,1,0,0.0,0.0,0,105,329.5,6590.0,3977.5,161.85487326614543,84,False,True,1_K0_no_member_ever_long
141,2022-07-19,1380,0,4,1,0,0.0,2.83,0,21,281.75,5635.0,4489.5,178.50980365234847,107,False,True,1_K0_no_member_ever_long
144,2022-07-24,1380,0,4,1,0,0.0,1.4172,0,43,232.0,4640.0,4368.25,174.30128370152642,98,False,True,1_K0_no_member_ever_long
145,2022-07-25,1380,3,4,1,6,0.375,4.9602,0,229,262.0,5240.0,3900.5,155.85129130039314,80,False,True,4_NEAR_product_never_reached_16
146,2022-07-26,1379,1,4,1,8,0.5,4.2472,0,36,498.25,9965.0,4325.0,201.11905677980891,100,False,True,2_K1_max_vote_0.25
148,2022-07-28,1380,3,4,1,6,0.375,4.2472,0,219,267.75,5355.0,3994.75,159.06543464876333,96,False,True,4_NEAR_product_never_reached_16
153,2022-08-04,1380,0,4,1,0,0.0,2.83,0,196,299.5,5990.0,4377.25,228.76885168221656,107,False,True,1_K0_no_member_ever_long
155,2022-08-08,1380,0,4,1,0,0.0,1.4172,0,542,270.5,5410.0,3938.25,161.41387022186166,84,False,True,1_K0_no_member_ever_long
156,2022-08-09,1380,0,4,1,0,0.0,1.4172,0,439,426.0,8520.0,4133.75,252.98530095639944,78,False,True,1_K0_no_member_ever_long
157,2022-08-10,1380,0,4,1,0,0.0,0.0,0,358,290.0,5800.0,4074.25,166.69039414435375,93,False,True,1_K0_no_member_ever_long
159,2022-08-14,1380,4,4,1,8,0.5,4.2472,0,0,210.75,4215.0,3238.5,133.05731847591096,70,False,True,4_NEAR_product_never_reached_16
160,2022-08-15,1379,3,4,1,6,0.375,4.9602,0,45,218.0,4360.0,3417.5,141.051409067758,63,False,True,4_NEAR_product_never_reached_16
163,2022-08-18,1380,3,4,1,12,0.75,6.3774,0,272,305.75,6115.0,3599.25,137.777674171108,65,False,True,4_NEAR_product_never_reached_16
164,2022-08-21,1380,3,4,0,12,0.75,4.9602,0,382,352.0,7040.0,3736.75,140.22593376405092,88,False,True,4_NEAR_product_never_reached_16
168,2022-08-25,1380,0,4,1,0,0.0,1.4172,0,489,662.5,13250.0,4833.0,258.62956134208633,115,False,True,1_K0_no_member_ever_long
171,2022-08-30,1380,0,4,1,0,0.0,1.4172,0,226,236.75,4735.0,5492.25,221.9474881587985,136,False,True,1_K0_no_member_ever_long
173,2022-09-01,1380,0,4,1,0,0.0,0.0,0,374,421.25,8425.0,5709.75,251.71896531648147,139,False,True,1_K0_no_member_ever_long
174,2022-09-04,1140,0,4,1,0,0.0,2.8344,0,0,113.5,2270.0,2858.0,113.1337703782562,61,False,True,1_K0_no_member_ever_long
178,2022-09-08,1326,0,4,1,0,0.0,2.83,0,0,286.25,5725.0,3666.75,143.2425827050043,75,False,True,1_K0_no_member_ever_long
180,2022-09-12,1380,0,4,1,0,0.0,2.83,0,482,904.75,18095.0,4859.0,350.02160647594314,110,False,True,1_K0_no_member_ever_long
182,2022-09-14,1380,1,4,1,3,0.1875,4.2472,0,449,331.25,6625.0,4929.5,199.38655922604212,111,False,True,2_K1_max_vote_0.25
183,2022-09-15,1380,4,4,1,8,0.5,4.9602,0,75,182.75,3655.0,4908.0,194.67440766572273,142,False,True,4_NEAR_product_never_reached_16
184,2022-09-18,1380,0,4,1,0,0.0,2.83,0,872,274.0,5480.0,4689.5,181.40458924735063,109,False,True,1_K0_no_member_ever_long
189,2022-09-25,1380,0,4,1,0,0.0,2.83,0,837,281.25,5625.0,6671.75,250.08511051240137,162,False,True,1_K0_no_member_ever_long
192,2022-09-28,1380,2,4,1,8,0.5,3.543,0,629,475.75,9515.0,5995.5,224.79435046281745,145,False,True,4_NEAR_product_never_reached_16
193,2022-09-29,1380,0,4,1,0,0.0,2.83,0,640,333.0,6660.0,6869.5,278.36060245659763,173,False,True,1_K0_no_member_ever_long
196,2022-10-04,1380,0,4,1,0,0.0,2.83,0,1115,344.5,6890.0,4939.75,187.02723732119875,128,False,True,1_K0_no_member_ever_long
199,2022-10-09,1380,0,4,1,0,0.0,2.8344,0,667,259.75,5195.0,5481.25,213.002494116853,132,False,True,1_K0_no_member_ever_long
201,2022-10-11,1380,1,4,1,8,0.5,6.373,0,108,171.25,3425.0,5633.25,237.466181802799,150,False,True,2_K1_max_vote_0.25
203,2022-10-13,1380,0,4,1,0,0.0,1.4172,0,563,526.75,10535.0,6924.25,287.67288280267223,170,False,True,1_K0_no_member_ever_long
205,2022-10-17,1380,0,4,1,0,0.0,0.7086,0,475,350.25,7005.0,6004.0,242.0593935380323,136,False,True,1_K0_no_member_ever_long
206,2022-10-18,1380,0,4,1,0,0.0,2.83,0,647,333.75,6675.0,6189.25,235.67681790961112,167,False,True,1_K0_no_member_ever_long
209,2022-10-23,1380,0,4,1,0,0.0,0.0,0,1060,322.5,6450.0,6740.0,270.6845488756239,154,False,True,1_K0_no_member_ever_long
213,2022-10-27,1380,0,4,1,0,0.0,2.83,0,114,564.0,11280.0,5274.5,217.8591861730875,119,False,True,1_K0_no_member_ever_long
214,2022-10-30,1380,0,4,1,0,0.0,0.7042000000000002,0,932,227.75,4555.0,4426.75,181.98162681985235,111,False,True,1_K0_no_member_ever_long
219,2022-11-06,60,0,4,1,0,0.0,0.0,0,39,66.5,1330.0,189.75,31.383713929361516,5,False,True,1_K0_no_member_ever_long
220,2022-11-07,687,3,1,1,6,0.375,6.3774,0,0,191.25,3825.0,3000.5,161.9471364365545,86,False,True,3_throttle_wall
224,2022-11-10,1380,0,4,1,0,0.0,2.83,0,130,307.5,6150.0,5194.5,206.34194920083507,126,False,True,1_K0_no_member_ever_long
225,2022-11-13,1380,4,4,1,8,0.5,7.0816,0,358,196.5,3930.0,4477.5,175.77364705779988,103,False,True,4_NEAR_product_never_reached_16
227,2022-11-15,1380,0,4,1,0,0.0,1.4172,0,444,256.5,5130.0,4634.75,181.34928315270508,108,False,True,1_K0_no_member_ever_long
229,2022-11-17,1380,0,4,1,0,0.0,2.1258,0,330,236.0,4720.0,4374.25,174.74785406407713,100,False,True,1_K0_no_member_ever_long
232,2022-11-22,1380,0,4,1,0,0.0,2.83,0,0,172.75,3455.0,3301.75,149.05347194882782,68,False,True,1_K0_no_member_ever_long
233,2022-11-23,1138,1,4,1,2,0.125,3.543,0,0,59.75,1195.0,1271.5,51.53396937942972,16,False,True,2_K1_max_vote_0.25
234,2022-11-24,1153,0,4,1,0,0.0,1.4172,0,66,157.75,3155.0,1979.75,87.41746107042917,34,False,True,1_K0_no_member_ever_long
236,2022-11-28,1380,1,4,1,6,0.375,3.543,0,318,239.5,4790.0,3307.0,138.1869205098659,78,False,True,2_K1_max_vote_0.25
238,2022-11-30,1380,0,4,1,0,0.0,2.83,0,259,201.75,4035.0,4239.0,178.13653471424664,99,False,True,1_K0_no_member_ever_long
240,2022-12-04,1380,4,4,1,8,0.5,6.373,0,183,270.25,5405.0,3627.75,143.15965737595212,86,False,True,4_NEAR_product_never_reached_16
241,2022-12-05,1380,0,4,1,0,0.0,2.1258,0,365,344.25,6885.0,3726.25,148.2681270536591,83,False,True,1_K0_no_member_ever_long
242,2022-12-06,1380,1,4,1,8,0.5,4.2472,0,136,173.75,3475.0,4296.5,186.31089608501162,84,False,True,2_K1_max_vote_0.25
246,2022-12-12,1378,1,4,1,4,0.25,3.543,0,391,541.75,10835.0,6264.5,419.3205814171301,130,False,True,2_K1_max_vote_0.25
248,2022-12-14,1380,0,4,1,0,0.0,0.0,0,855,494.0,9880.0,4539.25,178.01773085847375,109,False,True,1_K0_no_member_ever_long
249,2022-12-15,1380,4,4,1,12,0.75,6.373,0,364,216.0,4320.0,4488.0,179.39934503782337,99,False,True,4_NEAR_product_never_reached_16
251,2022-12-19,1380,1,4,1,6,0.375,5.6644000000000005,0,478,203.5,4070.0,4800.5,188.59182113760926,129,False,True,2_K1_max_vote_0.25
253,2022-12-21,1379,0,4,1,0,0.0,2.1258,0,518,514.25,10285.0,3799.25,161.46071503619697,82,False,True,1_K0_no_member_ever_long
254,2022-12-22,1380,0,4,1,0,0.0,2.8344,0,298,226.75,4535.0,4922.75,232.63316079183554,120,False,True,1_K0_no_member_ever_long
255,2022-12-26,1380,0,4,1,0,0.0,1.4172,0,493,287.75,5755.0,3336.5,142.70511553549858,65,False,True,1_K0_no_member_ever_long
259,2023-01-02,1380,0,4,1,0,0.0,2.83,0,800,337.25,6745.0,5078.0,211.3498284834885,122,False,True,1_K0_no_member_ever_long
260,2023-01-03,1380,0,4,1,0,0.0,2.8344,0,128,205.0,4100.0,4518.25,210.99244654726385,90,False,True,1_K0_no_member_ever_long
261,2023-01-04,1380,0,4,1,0,0.0,1.4172,0,573,241.75,4835.0,4067.25,168.8510808375238,93,False,True,1_K0_no_member_ever_long
265,2023-01-10,1380,0,4,1,0,0.0,2.83,0,27,239.75,4795.0,2988.75,121.14686335188378,58,False,True,1_K0_no_member_ever_long
266,2023-01-11,1380,0,4,1,0,0.0,0.0,0,458,288.75,5775.0,4715.5,265.06225683789836,87,False,True,1_K0_no_member_ever_long
268,2023-01-15,1139,0,4,1,0,0.0,1.4172,0,157,128.5,2570.0,1711.0,71.83749021228401,21,False,True,1_K0_no_member_ever_long
270,2023-01-17,1380,1,4,1,8,0.5,3.543,0,500,291.5,5830.0,3876.75,175.56960870264535,92,False,True,2_K1_max_vote_0.25
273,2023-01-22,1379,0,4,1,0,0.0,2.83,0,0,332.5,6650.0,3381.75,143.06488912378188,68,False,True,1_K0_no_member_ever_long
280,2023-01-31,1380,0,4,1,0,0.0,2.83,0,260,469.25,9385.0,4441.25,234.908359791643,87,False,True,1_K0_no_member_ever_long
281,2023-02-01,1380,1,4,1,8,0.5,4.2472,0,31,448.0,8960.0,5615.0,273.0004578750739,128,False,True,2_K1_max_vote_0.25
287,2023-02-09,1380,1,4,1,8,0.5,4.2472,0,558,208.25,4165.0,4736.0,195.8095375613762,116,False,True,2_K1_max_vote_0.25
293,2023-02-19,1140,3,4,1,12,0.75,4.9602,0,0,71.25,1425.0,1577.5,63.17040446284953,19,False,True,4_NEAR_product_never_reached_16
296,2023-02-22,1379,0,4,1,0,0.0,1.4172,0,323,232.5,4650.0,3665.0,149.60406077376376,85,False,True,1_K0_no_member_ever_long
303,2023-03-05,1380,0,4,1,0,0.0,2.83,0,866,210.0,4200.0,3335.0,130.90550026641355,74,False,True,1_K0_no_member_ever_long
306,2023-03-08,1380,1,4,1,8,0.5,4.2472,0,788,376.0,7520.0,3969.5,171.05627728908402,78,False,True,2_K1_max_vote_0.25
310,2023-03-14,1380,0,4,1,0,0.0,2.83,0,179,310.75,6215.0,6044.0,248.32463631303278,151,False,True,1_K0_no_member_ever_long
311,2023-03-15,1380,0,4,1,0,0.0,2.83,0,39,421.75,8435.0,4888.5,184.33902191342992,113,False,True,1_K0_no_member_ever_long
312,2023-03-16,1380,0,4,1,0,0.0,2.83,0,332,241.75,4835.0,4529.0,189.2286976121751,106,False,True,1_K0_no_member_ever_long
313,2023-03-19,1380,0,4,1,0,0.0,2.1258,0,638,224.75,4495.0,5381.75,206.15422018479273,134,False,True,1_K0_no_member_ever_long
317,2023-03-23,1380,0,4,1,0,0.0,1.4172,0,562,196.75,3935.0,4799.25,189.5443549673796,124,False,True,1_K0_no_member_ever_long
318,2023-03-26,1380,0,4,1,0,0.0,1.4172,0,459,219.0,4380.0,3731.0,141.59316720802596,83,False,True,1_K0_no_member_ever_long
319,2023-03-27,1380,4,4,1,8,0.5,5.6688,0,224,199.25,3985.0,2881.5,115.19277321082257,58,False,True,4_NEAR_product_never_reached_16
322,2023-03-30,1380,0,4,1,0,0.0,2.83,0,231,254.0,5080.0,2609.0,104.28266874222197,57,False,True,1_K0_no_member_ever_long
323,2023-04-02,1380,1,4,1,2,0.125,4.2472,0,797,124.75,2495.0,2989.0,114.64401423537123,49,False,True,2_K1_max_vote_0.25
325,2023-04-04,1203,1,4,1,2,0.125,3.543,0,249,241.25,4825.0,2405.5,104.4569289228819,55,False,True,2_K1_max_vote_0.25
327,2023-04-06,913,1,4,1,2,0.125,3.543,0,0,70.25,1405.0,891.0,49.88486744494767,15,False,True,2_K1_max_vote_0.25
329,2023-04-10,1380,1,4,1,4,0.25,3.543,0,200,155.25,3105.0,2722.0,108.6559938521571,55,False,True,2_K1_max_vote_0.25
