session,date,last_hours,last_frac,bid_hours,bid_frac,ask_hours,ask_frac,quote_frac,cls
s20250810,2025-08-10,0,0.0,0,0.0,0,0.0,0.0,NONE
s20250811,2025-08-11,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250812,2025-08-12,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250813,2025-08-13,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20250814,2025-08-14,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250815,2025-08-15,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20250817,2025-08-17,0,0.0,0,0.0,0,0.0,0.0,NONE
s20250818,2025-08-18,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20250819,2025-08-19,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250820,2025-08-20,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250821,2025-08-21,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20250822,2025-08-22,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250824,2025-08-24,2,0.087,0,0.0,0,0.0,0.0,NONE
s20250825,2025-08-25,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250826,2025-08-26,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250827,2025-08-27,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250828,2025-08-28,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250829,2025-08-29,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250831,2025-08-31,0,0.0,0,0.0,0,0.0,0.0,NONE
s20250901,2025-09-01,19,0.826,21,0.913,22,0.957,0.913,FULL
s20250902,2025-09-02,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20250903,2025-09-03,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250904,2025-09-04,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20250905,2025-09-05,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250907,2025-09-07,1,0.043,0,0.0,0,0.0,0.0,NONE
s20250908,2025-09-08,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250909,2025-09-09,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20250910,2025-09-10,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250911,2025-09-11,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250912,2025-09-12,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250914,2025-09-14,0,0.0,0,0.0,0,0.0,0.0,NONE
s20250915,2025-09-15,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250916,2025-09-16,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250917,2025-09-17,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250918,2025-09-18,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250919,2025-09-19,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250921,2025-09-21,0,0.0,0,0.0,0,0.0,0.0,NONE
s20250922,2025-09-22,23,1.0,23,1.0,23,1.0,1.0,FULL
s20250923,2025-09-23,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20250924,2025-09-24,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250925,2025-09-25,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250926,2025-09-26,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250928,2025-09-28,1,0.043,0,0.0,0,0.0,0.0,NONE
s20250929,2025-09-29,23,1.0,0,0.0,0,0.0,0.0,NONE
s20250930,2025-09-30,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251001,2025-10-01,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20251002,2025-10-02,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251003,2025-10-03,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251005,2025-10-05,1,0.043,0,0.0,0,0.0,0.0,NONE
s20251006,2025-10-06,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251007,2025-10-07,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251008,2025-10-08,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20251009,2025-10-09,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251010,2025-10-10,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251012,2025-10-12,0,0.0,0,0.0,0,0.0,0.0,NONE
s20251013,2025-10-13,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251014,2025-10-14,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20251015,2025-10-15,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251016,2025-10-16,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251017,2025-10-17,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251019,2025-10-19,1,0.043,0,0.0,0,0.0,0.0,NONE
s20251020,2025-10-20,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251021,2025-10-21,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251022,2025-10-22,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251023,2025-10-23,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251024,2025-10-24,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251026,2025-10-26,0,0.0,1,0.043,1,0.043,0.043,NONE
s20251027,2025-10-27,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251028,2025-10-28,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251029,2025-10-29,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251030,2025-10-30,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251031,2025-10-31,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251101,2025-11-01,1,0.043,0,0.0,0,0.0,0.0,NONE
s20251102,2025-11-02,1,0.043,0,0.0,0,0.0,0.0,NONE
s20251103,2025-11-03,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251104,2025-11-04,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251105,2025-11-05,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251106,2025-11-06,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251107,2025-11-07,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251109,2025-11-09,1,0.043,1,0.043,1,0.043,0.043,NONE
s20251110,2025-11-10,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251111,2025-11-11,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251112,2025-11-12,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251113,2025-11-13,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251114,2025-11-14,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251116,2025-11-16,1,0.043,1,0.043,1,0.043,0.043,NONE
s20251117,2025-11-17,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251118,2025-11-18,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251119,2025-11-19,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251120,2025-11-20,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251121,2025-11-21,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251123,2025-11-23,1,0.043,1,0.043,1,0.043,0.043,NONE
s20251124,2025-11-24,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251125,2025-11-25,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251126,2025-11-26,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251127,2025-11-27,19,0.826,16,0.696,17,0.739,0.696,PARTIAL
s20251128,2025-11-28,10,0.435,13,0.565,11,0.478,0.478,PARTIAL
s20251130,2025-11-30,0,0.0,0,0.0,0,0.0,0.0,NONE
s20251201,2025-12-01,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251202,2025-12-02,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251203,2025-12-03,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251204,2025-12-04,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251205,2025-12-05,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251206,2025-12-06,0,0.0,0,0.0,0,0.0,0.0,NONE
s20251207,2025-12-07,3,0.13,0,0.0,0,0.0,0.0,NONE
s20251208,2025-12-08,23,1.0,17,0.739,17,0.739,0.739,PARTIAL
s20251209,2025-12-09,23,1.0,23,1.0,23,1.0,1.0,FULL
s20251210,2025-12-10,23,1.0,6,0.261,6,0.261,0.261,PARTIAL
s20251211,2025-12-11,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251212,2025-12-12,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251214,2025-12-14,1,0.043,0,0.0,0,0.0,0.0,NONE
s20251215,2025-12-15,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251216,2025-12-16,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251217,2025-12-17,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251218,2025-12-18,23,1.0,0,0.0,0,0.0,0.0,NONE
s20251219,2025-12-19,23,1.0,0,0.0,0,0.0,0.0,NONE
