day,bar,time,dir,kind,decision,sess_cum,sess_high,drawdown_from_high,consec_same,trades_done,minute_of_day,minutes_from_open,bars_since_exit,prior_day_net,prior_sess_net,last_trade_pnl,last_trade_mae,last_trade_hold,session_losses,consec_any,bars_since_prev_flip
2023-01-02,217,2023-01-02T21:38:00,1,ENTRY,TAKE,0.0,0.0,0.0,0,0,1298,217,9999,0.0,0.0,0.0,0.0,0.0,0,0,9999
2023-01-03,762,2023-01-03T06:43:00,-1,REVERSAL,TAKE,0.0,0.0,0.0,0,0,403,762,9999,0.0,0.0,0.0,0.0,0.0,0,0,545
2023-01-03,820,2023-01-03T07:41:00,1,REVERSAL,TAKE,2270.82,2270.82,0.0,0,1,461,820,57,0.0,0.0,2270.82,45.0,545.0,0,0,58
2023-01-03,849,2023-01-03T08:10:00,-1,REVERSAL,TAKE,2486.64,2486.64,0.0,0,2,490,849,28,0.0,0.0,215.82,10.0,58.0,0,0,29
2023-01-03,862,2023-01-03T08:23:00,1,REVERSAL,TAKE,1727.46,2486.64,-759.18,1,3,503,862,12,0.0,0.0,-759.18,855.0,29.0,1,1,13
2023-01-03,931,2023-01-03T09:32:00,-1,REVERSAL,TAKE,803.28,2486.64,-1683.36,1,4,572,931,68,0.0,0.0,-924.18,1000.0,13.0,2,2,69
2023-01-03,939,2023-01-03T09:40:00,1,REVERSAL,TAKE,374.1,2486.64,-2112.54,2,5,580,939,7,0.0,0.0,-429.18,805.0,69.0,3,3,8
2023-01-03,945,2023-01-03T09:46:00,-1,REVERSAL,TAKE,-805.08,2486.64,-3291.72,2,6,586,945,5,0.0,0.0,-1179.18,1240.0,8.0,4,4,6
2023-01-03,1006,2023-01-03T10:47:00,1,REVERSAL,TAKE,-1544.26,2486.64,-4030.9,3,7,647,1006,60,0.0,0.0,-739.18,845.0,6.0,5,5,61
2023-01-03,1029,2023-01-03T11:10:00,-1,REVERSAL,TAKE,1506.56,2486.64,-980.08,0,8,670,1029,22,0.0,0.0,3050.82,340.0,61.0,5,0,23
2023-01-03,1115,2023-01-03T12:36:00,1,REVERSAL,DECLINE,697.38,2486.64,-1789.26,4,9,756,1115,85,0.0,0.0,-809.18,840.0,23.0,6,1,86
2023-01-03,1126,2023-01-03T12:47:00,-1,ENTRY,TAKE,1023.2,2486.64,-1463.44,0,10,767,1126,10,0.0,0.0,325.82,145.0,86.0,6,0,11
2023-01-03,1166,2023-01-03T13:27:00,1,REVERSAL,DECLINE,1023.2,2486.64,-1463.44,4,10,807,1166,50,0.0,0.0,325.82,145.0,86.0,6,0,40
2023-01-03,1322,2023-01-03T16:03:00,-1,ENTRY,TAKE,79.02,2486.64,-2407.62,1,11,963,1322,155,0.0,0.0,-944.18,1000.0,40.0,7,1,156
