frm,to,date_from,date_to,delta_rows,sigma,n_sigma,verdict,pane_height_changed
OTRIMG-0113,OTRIMG-0115,2026-01-30,2026-02-06,99.0,1.7,56.69,BUILD EVENT,True
OTRIMG-0115,OTRIMG-0117,2026-02-06,2026-02-13,35.1,2.9,11.93,BUILD EVENT,True
OTRIMG-0117,OTRIMG-0119,2026-02-13,2026-02-20,4.2,3.5,1.21,noise,True
OTRIMG-0119,OTRIMG-0121,2026-02-20,2026-02-27,8.3,3.7,2.26,marginal,True
OTRIMG-0121,OTRIMG-0123,2026-02-27,2026-03-06,-5.2,3.7,-1.39,noise,False
OTRIMG-0123,OTRIMG-0125,2026-03-06,2026-03-14,74.9,5.2,14.41,BUILD EVENT,True
OTRIMG-0125,OTRIMG-0127,2026-03-14,2026-03-21,13.2,6.7,1.96,noise,True
OTRIMG-0127,OTRIMG-0129,2026-03-21,2026-03-27,-4.0,6.9,-0.58,noise,True
OTRIMG-0129,OTRIMG-0132,2026-03-27,2026-04-02,4.7,6.9,0.68,noise,False
OTRIMG-0132,OTRIMG-0134,2026-04-02,2026-04-13,16.8,7.7,2.19,marginal,True
OTRIMG-0134,OTRIMG-0136,2026-04-13,2026-04-17,-18.6,7.3,-2.53,marginal,True
OTRIMG-0136,OTRIMG-0138,2026-04-17,2026-04-29,24.4,7.5,3.25,marginal,True
OTRIMG-0138,OTRIMG-0140,2026-04-29,2026-05-02,20.9,9.1,2.3,marginal,True
OTRIMG-0140,OTRIMG-0142,2026-05-02,2026-05-08,12.6,9.9,1.27,noise,True
OTRIMG-0142,OTRIMG-0146,2026-05-08,2026-05-23,35.7,11.4,3.14,marginal,True
OTRIMG-0146,OTRIMG-0148,2026-05-23,2026-05-29,-3.8,12.4,-0.31,noise,True
OTRIMG-0148,OTRIMG-0150,2026-05-29,2026-06-05,12.6,12.7,1.0,noise,True
OTRIMG-0150,OTRIMG-0156,2026-06-05,2026-06-26,9.3,13.3,0.7,noise,False
OTRIMG-0156,OTRIMG-0159,2026-06-26,2026-07-10,78.9,16.6,4.76,BUILD EVENT,False
OTRIMG-0159,OTRIMG-0162,2026-07-10,2026-07-31,46.8,20.6,2.27,marginal,True
OTRIMG-0162,OTRIMG-0164,2026-07-31,2026-08-14,-19.7,21.1,-0.93,noise,True
