feature,direction,threshold,kept,removed,distance,null_median,null_best,null_percentile
dist_fv_rails,keep_above,0.1559,1023,682,0.4293,0.4753,0.4368,0.0
atr14,keep_above,9.3571,854,851,0.4651,0.531,0.4682,0.0
dist_fv_rails,keep_above,0.1106,1193,512,0.4216,0.4527,0.3978,1.5
dist_fv_rails,keep_above,0.2229,853,852,0.4823,0.5171,0.468,2.5
tod_min,keep_above,667.0,853,852,0.4732,0.5093,0.4566,3.0
trend_age,keep_above,1.0,1533,172,0.4442,0.4602,0.4348,4.0
atr14,keep_above,4.65,1534,171,0.4309,0.4477,0.4201,4.5
trades_today,keep_above,6.0,1125,580,0.4443,0.4729,0.4196,5.0
dist_fv_rails,keep_above,0.0686,1364,341,0.4291,0.4498,0.4013,6.5
sig_idx_in_trend,keep_above,1.0,1533,172,0.4442,0.4616,0.4288,7.5
clock_hour,keep_above,8.0,1083,622,0.4457,0.4696,0.4223,7.5
atr14,keep_above,8.1429,1026,679,0.4562,0.4823,0.4298,8.5
bar_range,keep_above,3.75,1549,156,0.4403,0.4511,0.426,10.5
bar_range,keep_above,7.75,1049,656,0.4449,0.4694,0.4145,11.0
bar_range,keep_above,9.25,862,843,0.4881,0.5121,0.4565,11.0
consec_losses,keep_below,6.0,1558,147,0.4501,0.4619,0.4372,13.5
bar_range,keep_above,5.0,1386,319,0.4172,0.4306,0.3993,14.0
clock_hour,keep_below,10.0,900,805,0.4825,0.5037,0.442,14.5
trades_today,keep_above,3.0,1451,254,0.4447,0.4584,0.4211,16.0
bar_range,keep_above,6.25,1216,489,0.4213,0.4379,0.3962,16.5
trend_age,keep_below,1.0,1229,476,0.4444,0.4593,0.4139,16.5
cum_pnl_week,keep_below,-930.0,853,852,1.0127,1.0258,0.9936,16.5
tod_min,keep_above,549.0,1024,681,0.4569,0.477,0.4282,17.5
clock_hour,keep_below,15.0,1216,489,0.4396,0.4546,0.4108,19.0
clock_hour,keep_above,6.0,1241,464,0.4399,0.4494,0.4077,19.5
consec_losses,keep_below,4.0,1403,302,0.4421,0.4524,0.4136,19.5
clock_hour,keep_below,13.0,1081,624,0.4556,0.47,0.4057,19.5
dow,keep_below,3.0,1376,329,0.4405,0.4529,0.4156,20.0
tod_min,keep_above,416.6,1193,512,0.4405,0.4542,0.4009,23.5
dist_fv_rails,keep_above,0.0343,1534,171,0.4518,0.459,0.4339,23.5
trades_today,keep_above,5.0,1231,474,0.4462,0.4612,0.4217,24.0
cum_pnl_today,keep_below,823.0,1193,512,0.4607,0.4734,0.4158,24.0
consec_losses,keep_above,2.0,830,875,0.5233,0.5381,0.4719,24.0
dow,keep_above,1.0,1378,327,0.4438,0.4537,0.4198,25.0
cum_pnl_today,keep_below,167.0,1023,682,0.4893,0.5011,0.4491,26.0
atr14,keep_above,5.8214,1367,338,0.4232,0.4313,0.3932,27.5
clock_hour,keep_below,21.0,1547,158,0.4574,0.4633,0.4384,27.5
trades_today,keep_below,17.0,1535,170,0.4489,0.4549,0.4248,28.0
cum_pnl_today,keep_below,2039.0,1364,341,0.4536,0.4613,0.4227,28.0
clock_hour,keep_below,19.0,1419,286,0.4502,0.4561,0.4126,29.0
trades_today,keep_above,8.0,921,784,0.4961,0.5085,0.4673,29.5
clock_hour,keep_above,10.0,878,827,0.4969,0.5063,0.4548,30.5
trend_age,keep_below,3.0,1406,299,0.4513,0.4575,0.4168,32.0
atr14,keep_above,6.9107,1195,510,0.4322,0.444,0.3924,32.5
