image_id,window,max_session_range,largest_win,surviving_q,note
OTRIMG-0113,1/25/2026->1/30/2026,760.0,2970.0,1;2;4;5;8;10;13;20,
OTRIMG-0115,2/1/2026->2/6/2026,982.25,9070.0,1;2;4;5;8;10;13;20,
OTRIMG-0117,2/8/2026->2/13/2026,698.25,8490.0,1;2;4;5;8;10;13;20,
OTRIMG-0119,2/15/2026->2/20/2026,461.0,5890.0,1;2;4;5;8;10;13;20,
OTRIMG-0121,2/22/2026->2/27/2026,556.5,8595.0,1;2;4;5;8;10;13;20,
OTRIMG-0123,3/1/2026->3/6/2026,718.75,4360.0,1;2;4;5;8;10;13;20,
OTRIMG-0125,3/8/2026->3/13/2026,1058.0,11680.0,1;2;4;5;8;10;13;20,
OTRIMG-0127,3/15/2026->3/20/2026,689.25,8920.0,1;2;4;5;8;10;13;20,
OTRIMG-0129,3/22/2026->3/27/2026,990.5,2895.0,1;2;4;5;8;10;13;20,
OTRIMG-0132,3/29/2026->4/2/2026,1013.75,8370.0,1;2;4;5;8;10;13;20,
OTRIMG-0134,4/5/2026->4/10/2026,902.0,7750.0,1;2;4;5;8;10;13;20,
OTRIMG-0136,4/12/2026->4/17/2026,694.75,7390.0,1;2;4;5;8;10;13;20,
OTRIMG-0138,4/19/2026->4/24/2026,474.0,3710.0,1;2;4;5;8;10;13;20,
OTRIMG-0140,4/26/2026->5/1/2026,502.5,9050.0,1;2;4;5;8;10;13;20,
OTRIMG-0142,5/3/2026->5/8/2026,845.75,5930.0,1;2;4;5;8;10;13;20,
OTRIMG-0146,5/10/2026->5/22/2026,713.75,4225.0,1;2;4;5;8;10;13;20,
OTRIMG-0148,5/24/2026->5/29/2026,,6080.00,UNTESTABLE,bars not local / sealed
OTRIMG-0150,5/31/2026->6/5/2026,,8410.00,UNTESTABLE,bars not local / sealed
OTRIMG-0152,6/7/2026->6/12/2026,,6798.82,UNTESTABLE,bars not local / sealed
OTRIMG-0154,6/14/2026->6/18/2026,,5277.64,UNTESTABLE,bars not local / sealed
OTRIMG-0156,6/21/2026->6/26/2026,,22560.00,UNTESTABLE,bars not local / sealed
OTRIMG-0159,6/28/2026->7/10/2026,,15310.00,UNTESTABLE,bars not local / sealed
OTRIMG-0162,7/12/2026->7/31/2026,,18030.00,UNTESTABLE,bars not local / sealed
OTRIMG-0164,8/2/2026->8/14/2026,,13870.00,UNTESTABLE,bars not local / sealed
