t_idx,time,hm,close,position,T,Tp,HTF_tilt_state,B,M,n_bullish,n_bearish,vote_dispersion,fast_member,slow_member,run_pnl_dollars,MFE_dollars,MAE_dollars,giveback_dollars,giveback_ratio,age_bars,sigma460_atr_proxy_pts,range_over_atr
503675,2026-04-10 16:06:00,1606,25567.0,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-512.179999999993,637.820000000007,-812.179999999993,1150.0,1.8030165250383923,83,6.059782608695652,0.9901345291479821
503676,2026-04-10 16:09:00,1609,25575.0,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-672.179999999993,637.820000000007,-812.179999999993,1310.0,2.0538709980872123,84,6.0625,2.2268041237113403
503677,2026-04-10 16:12:00,1612,25576.75,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-707.179999999993,637.820000000007,-812.179999999993,1345.0,2.1087454140666413,85,6.053260869565217,1.775902316394326
503678,2026-04-10 16:15:00,1615,25577.75,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-727.179999999993,637.820000000007,-812.179999999993,1365.0,2.140102223197744,86,6.051086956521739,1.446021196335549
503679,2026-04-10 16:18:00,1618,25582.25,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-817.179999999993,637.820000000007,-817.179999999993,1455.0,2.281207864287705,87,6.057608695652174,1.238112327292302
503680,2026-04-10 16:21:00,1621,25581.75,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-807.179999999993,637.820000000007,-817.179999999993,1445.0,2.265529459722154,88,6.052173913043478,0.9500718390804598
503681,2026-04-10 16:24:00,1624,25583.0,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-832.179999999993,637.820000000007,-832.179999999993,1470.0,2.304725471136032,89,6.041847826086957,0.7448052532157956
503682,2026-04-10 16:27:00,1627,25586.25,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-897.179999999993,637.820000000007,-897.179999999993,1535.0,2.406635100812115,90,6.046739130434783,0.7028581700521301
503683,2026-04-10 16:30:00,1630,25587.5,-1,-3,-3.0,1.0,0.0,-2.1258,0,4,-4,0,0,-922.179999999993,637.820000000007,-922.179999999993,1560.0,2.445831112225993,91,6.0456521739130435,1.281912980942107
503684,2026-04-10 16:33:00,1633,25593.5,-1,-2,-2.0,1.0,0.0,-1.4172,0,3,-3,0,0,-1042.179999999993,637.820000000007,-1042.179999999993,1680.0,2.633971967012608,92,6.039130434782609,1.904247660187185
503685,2026-04-10 16:36:00,1636,25594.5,-1,-2,-2.0,1.0,0.0,-1.4172,0,3,-3,0,0,-1062.179999999993,637.820000000007,-1062.179999999993,1700.0,2.6653287761437103,93,6.03695652173913,1.4494058336334175
503686,2026-04-10 16:39:00,1639,25593.75,-1,-2,-2.0,1.0,0.0,-1.4172,0,3,-3,0,0,-1047.179999999993,637.820000000007,-1062.179999999993,1685.0,2.6418111692953836,94,6.0375,0.7039337474120083
503687,2026-04-10 16:42:00,1642,25598.25,0,-2,-2.0,1.0,0.0,-1.4172,0,3,-3,0,0,0.0,0.0,0.0,0.0,,0,6.046739130434783,1.3643717418658996
503688,2026-04-10 16:45:00,1645,25601.75,0,-2,-2.0,1.0,0.0,-1.4172,0,2,-2,0,0,0.0,0.0,0.0,0.0,,0,6.052173913043478,0.908764367816092
503689,2026-04-10 16:48:00,1648,25591.25,0,-2,-2.0,1.0,0.0,-1.4172,0,2,-2,0,0,0.0,0.0,0.0,0.0,,0,6.0722826086956525,2.0997046451266446
503690,2026-04-10 16:51:00,1651,25595.0,0,-2,-2.0,1.0,0.0,-1.4172,0,2,-2,0,0,0.0,0.0,0.0,0.0,,0,6.073913043478261,0.658554044380816
503691,2026-04-10 16:54:00,1654,25599.0,0,-2,-2.0,1.0,0.0,-1.4172,0,2,-2,0,0,0.0,0.0,0.0,0.0,,0,6.07554347826087,0.740674478933715
503692,2026-04-10 16:57:00,1657,25601.5,0,-2,-2.0,1.0,0.0,-1.4172,0,2,-2,0,0,0.0,0.0,0.0,0.0,,0,6.074456521739131,0.7408070144045809
503693,2026-04-10 17:00:00,1700,25615.25,0,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,6.103804347826087,3.235686937939631
503694,2026-04-12 18:03:00,1803,25258.25,0,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,0.0,0.0,0.0,0.0,,0,6.855978260869565,15.096313912009512
503695,2026-04-12 18:06:00,1806,25256.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,62.81999999989057,62.81999999989057,0.0,0.0,0.0,1,6.834239130434782,5.962624254473162
503696,2026-04-12 18:09:00,1809,25260.5,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,-22.18000000010943,62.81999999989057,-22.18000000010943,85.0,1.353072269980071,2,6.833152173913043,2.6342161775232644
503697,2026-04-12 18:12:00,1812,25275.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,-327.18000000010943,62.81999999989057,-327.18000000010943,390.0,6.208213944614444,3,6.846739130434782,4.016510557231307
503698,2026-04-12 18:15:00,1815,25283.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,-472.18000000010943,62.81999999989057,-472.18000000010943,535.0,8.516396052227506,4,6.857608695652174,4.155967665240133
503699,2026-04-12 18:18:00,1818,25273.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,-272.18000000010943,62.81999999989057,-472.18000000010943,335.0,5.332696593450868,5,6.876630434782609,2.835691140441002
503700,2026-04-12 18:21:00,1821,25255.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,72.81999999989057,72.81999999989057,-472.18000000010943,0.0,0.0,6,6.901086956521739,4.600724523547015
503701,2026-04-12 18:24:00,1824,25259.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,7.81999999989057,72.81999999989057,-472.18000000010943,65.0,0.8926119198035936,7,6.901086956521739,2.064892108993542
503702,2026-04-12 18:27:00,1827,25242.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,342.81999999989057,342.81999999989057,-472.18000000010943,0.0,0.0,8,6.931521739130435,3.5345773874862787
503703,2026-04-12 18:30:00,1830,25236.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,462.81999999989057,462.81999999989057,-472.18000000010943,0.0,0.0,9,6.880978260869565,3.4152120685569862
503704,2026-04-12 18:33:00,1833,25217.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,842.8199999998906,842.8199999998906,-472.18000000010943,0.0,0.0,10,6.913586956521739,3.9776747111076176
503705,2026-04-12 18:36:00,1836,25241.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,362.81999999989057,842.8199999998906,-472.18000000010943,480.0,0.569516622766501,11,6.9554347826086955,4.564775746210345
503706,2026-04-12 18:39:00,1839,25243.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,327.81999999989057,842.8199999998906,-472.18000000010943,515.0,0.6110438765098917,12,6.948369565217392,1.6190848650762613
503707,2026-04-12 18:42:00,1842,25227.5,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,637.8199999998906,842.8199999998906,-472.18000000010943,205.0,0.24323105763985978,13,6.980978260869565,3.6169715842740366
503708,2026-04-12 18:45:00,1845,25224.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,707.8199999998906,842.8199999998906,-472.18000000010943,135.0,0.16017655015307838,14,6.980434782608696,2.18467767050763
503709,2026-04-12 18:48:00,1848,25228.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,627.8199999998906,842.8199999998906,-472.18000000010943,215.0,0.25509598728082855,15,6.973369565217391,1.4340269659418596
503710,2026-04-12 18:51:00,1851,25223.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,722.8199999998906,842.8199999998906,-472.18000000010943,120.0,0.14237915569162524,16,6.979891304347826,0.8596122401308105
503711,2026-04-12 18:54:00,1854,25231.5,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,557.8199999998906,842.8199999998906,-472.18000000010943,285.0,0.33815049476760994,17,6.991304347826087,2.681902985074627
503712,2026-04-12 18:57:00,1857,25230.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,587.8199999998906,842.8199999998906,-472.18000000010943,255.0,0.30255570584470365,18,6.968478260869565,0.9686476368741226
503713,2026-04-12 19:00:00,1900,25238.5,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,417.81999999989057,842.8199999998906,-472.18000000010943,425.0,0.5042595097411727,19,6.983695652173913,2.4700389105058367
503714,2026-04-12 19:03:00,1903,25216.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,852.8199999998906,852.8199999998906,-472.18000000010943,0.0,0.0,20,7.007065217391304,3.7462188784611805
503715,2026-04-12 19:06:00,1906,25217.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,842.8199999998906,852.8199999998906,-472.18000000010943,10.0,0.011725803803852259,21,6.998913043478261,1.857431278148781
503716,2026-04-12 19:09:00,1909,25224.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,692.8199999998906,852.8199999998906,-472.18000000010943,160.0,0.18761286086163614,22,6.990760869565217,2.0384047267355982
503717,2026-04-12 19:12:00,1912,25230.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,587.8199999998906,852.8199999998906,-472.18000000010943,265.0,0.31073380080208485,23,6.994021739130435,1.358302898438107
503718,2026-04-12 19:15:00,1915,25228.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,627.8199999998906,852.8199999998906,-472.18000000010943,225.0,0.2638305855866758,24,6.9875,0.9302325581395349
503719,2026-04-12 19:18:00,1918,25221.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,762.8199999998906,852.8199999998906,-472.18000000010943,90.0,0.10553223423467033,25,6.997826086956522,2.4650512581547064
503720,2026-04-12 19:21:00,1921,25219.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,792.8199999998906,852.8199999998906,-472.18000000010943,60.0,0.07035482282311355,26,6.997282608695652,1.5363106796116504
503721,2026-04-12 19:24:00,1924,25221.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,767.8199999998906,852.8199999998906,-472.18000000010943,85.0,0.09966933233274419,27,6.995652173913044,1.072094468614046
503722,2026-04-12 19:27:00,1927,25226.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,662.8199999998906,852.8199999998906,-472.18000000010943,190.0,0.22279027227319292,28,7.003804347826087,1.1779312485450455
503723,2026-04-12 19:30:00,1930,25226.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,652.8199999998906,852.8199999998906,-472.18000000010943,200.0,0.23451607607704517,29,7.003804347826087,0.6782028400713898
503724,2026-04-12 19:33:00,1933,25219.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,807.8199999998906,852.8199999998906,-472.18000000010943,45.0,0.052766117117335164,30,7.015217391304348,1.639293461419275
503725,2026-04-12 19:36:00,1936,25214.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,907.8199999998906,907.8199999998906,-472.18000000010943,0.0,0.0,31,7.021739130434782,1.3529411764705883
503726,2026-04-12 19:39:00,1939,25213.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,912.8199999998906,912.8199999998906,-472.18000000010943,0.0,0.0,32,7.013586956521739,0.8554823711739635
503727,2026-04-12 19:42:00,1942,25216.0,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,867.8199999998906,912.8199999998906,-472.18000000010943,45.0,0.04929778050437698,33,7.0179347826086955,0.7837063424455974
503728,2026-04-12 19:45:00,1945,25218.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,822.8199999998906,912.8199999998906,-472.18000000010943,90.0,0.09859556100875395,34,7.01304347826087,1.1407315561066336
503729,2026-04-12 19:48:00,1948,25210.25,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,982.8199999998906,982.8199999998906,-472.18000000010943,0.0,0.0,35,6.997826086956522,1.5361913637775706
503730,2026-04-12 19:51:00,1951,25216.75,-1,-9,-8.0,1.0,0.0,-5.6688,0,12,-12,-1,-1,852.8199999998906,982.8199999998906,-472.18000000010943,130.0,0.1322724405282905,36,7.008695652173913,2.2115384615384612
503731,2026-04-12 19:54:00,1954,25252.5,-1,-8,-7.0,1.0,0.0,-4.9602,0,11,-11,0,-1,137.81999999989057,982.8199999998906,-472.18000000010943,845.0,0.8597708634338883,37,7.082065217391304,6.248177423068069
503732,2026-04-12 19:57:00,1957,25258.5,-1,-8,-7.0,1.0,0.0,-4.9602,0,11,-11,0,-1,17.81999999989057,982.8199999998906,-472.18000000010943,965.0,0.981868500844618,38,7.090760869565218,2.2917145703993254
503733,2026-04-12 20:00:00,2000,25266.25,-1,-8,-7.0,1.0,0.0,-4.9602,0,10,-10,0,-1,-137.18000000010943,982.8199999998906,-472.18000000010943,1120.0,1.1395779491668105,39,7.092391304347826,2.714176245210728
503734,2026-04-12 20:03:00,2003,25240.5,-1,-8,-7.0,1.0,0.0,-4.9602,0,10,-10,0,-1,377.81999999989057,982.8199999998906,-472.18000000010943,605.0,0.6155755886124289,40,7.134239130434783,5.326426449302963
503735,2026-04-12 20:06:00,2006,25253.25,-1,-8,-7.0,1.0,0.0,-4.9602,0,10,-10,0,-1,122.81999999989057,982.8199999998906,-472.18000000010943,860.0,0.8750330681102295,41,7.157065217391304,2.6896499354544763
503736,2026-04-12 20:09:00,2009,25258.0,-1,-8,-7.0,1.0,0.0,-4.9602,0,10,-10,0,-1,27.81999999989057,982.8199999998906,-472.18000000010943,955.0,0.9716936977270572,42,7.147282608695652,2.3785263478062504
503737,2026-04-12 20:12:00,2012,25272.0,-1,-8,-7.0,1.0,0.0,-4.9602,0,10,-10,0,-1,-252.18000000010943,982.8199999998906,-472.18000000010943,1235.0,1.25658818501876,43,7.176630434782608,2.717152593714502
503738,2026-04-12 20:15:00,2015,25288.25,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-577.1800000001094,982.8199999998906,-577.1800000001094,1560.0,1.5872692863394862,44,7.2043478260869565,3.0190102595051296
503739,2026-04-12 20:18:00,2018,25286.0,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-532.1800000001094,982.8199999998906,-577.1800000001094,1515.0,1.5414826723104624,45,7.204891304347826,1.4920419401071132
503740,2026-04-12 20:21:00,2021,25279.75,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-407.18000000010943,982.8199999998906,-577.1800000001094,1390.0,1.4142976333409523,46,7.1869565217391305,1.9827586206896552
503741,2026-04-12 20:24:00,2024,25277.25,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-357.18000000010943,982.8199999998906,-577.1800000001094,1340.0,1.3634236177531482,47,7.191304347826087,1.2167472793228538
503742,2026-04-12 20:27:00,2027,25282.75,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-467.18000000010943,982.8199999998906,-577.1800000001094,1450.0,1.475346452046317,48,7.196195652173913,1.4938448757646703
503743,2026-04-12 20:30:00,2030,25278.75,-1,-7,-6.0,1.0,0.0,-4.2516,0,9,-9,0,-1,-387.18000000010943,982.8199999998906,-577.1800000001094,1370.0,1.3939480271058307,49,7.189130434782609,1.634411853643786
503744,2026-04-12 20:33:00,2033,25293.0,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-672.1800000001094,982.8199999998906,-672.1800000001094,1655.0,1.6839299159563137,50,7.215760869565218,4.226858477065602
503745,2026-04-12 20:36:00,2036,25295.0,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-712.1800000001094,982.8199999998906,-712.1800000001094,1695.0,1.724629128426557,51,7.2054347826086955,1.5613214662845074
503746,2026-04-12 20:39:00,2039,25297.75,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-767.1800000001094,982.8199999998906,-767.1800000001094,1750.0,1.7805905455731414,52,7.202173913043478,0.9719287654693631
503747,2026-04-12 20:42:00,2042,25299.25,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-797.1800000001094,982.8199999998906,-797.1800000001094,1780.0,1.8111149549258239,53,7.202173913043478,1.8744340476909145
503748,2026-04-12 20:45:00,2045,25294.0,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-692.1800000001094,982.8199999998906,-797.1800000001094,1675.0,1.7042795221914353,54,7.2125,1.5944540727902945
503749,2026-04-12 20:48:00,2048,25302.0,-1,-6,-5.0,1.0,0.0,-3.543,0,8,-8,0,-1,-852.1800000001094,982.8199999998906,-852.1800000001094,1835.0,1.8670763720724084,55,7.225,1.384083044982699
503750,2026-04-12 20:51:00,2051,25310.25,-1,-5,-5.0,1.0,0.0,-3.543,0,7,-7,0,-1,-1017.1800000001094,982.8199999998906,-1017.1800000001094,2000.0,2.034960623512162,56,7.234782608695652,1.2439903846153846
503751,2026-04-12 20:54:00,2054,25329.25,-1,-5,-5.0,1.0,0.0,-3.543,0,6,-6,0,-1,-1397.1800000001094,982.8199999998906,-1397.1800000001094,2380.0,2.4216031419794724,57,7.271739130434782,3.0597907324364724
503752,2026-04-12 20:57:00,2057,25331.0,-1,-5,-5.0,1.0,0.0,-3.543,0,6,-6,0,-1,-1432.1800000001094,982.8199999998906,-1432.1800000001094,2415.0,2.457214952890935,58,7.271195652173913,1.719112041258689
503753,2026-04-12 21:00:00,2100,25337.25,-1,-4,-4.0,1.0,0.0,-2.8344,0,5,-5,0,-1,-1557.1800000001094,982.8199999998906,-1557.1800000001094,2540.0,2.5843999918604452,59,7.227173913043479,1.2798917130395548
503754,2026-04-12 21:03:00,2103,25342.5,-1,-3,-3.0,1.0,0.0,-2.1258,1,5,-4,0,-1,-1662.1800000001094,982.8199999998906,-1662.1800000001094,2645.0,2.691235424594834,60,7.223913043478261,1.6957568462232924
503755,2026-04-12 21:06:00,2106,25341.75,-1,-3,-3.0,1.0,0.0,-2.1258,1,5,-4,0,-1,-1647.1800000001094,982.8199999998906,-1662.1800000001094,2630.0,2.6759732199184927,61,7.225,1.7647058823529413
503756,2026-04-12 21:09:00,2109,25336.75,-1,-3,-3.0,1.0,0.0,-2.1258,1,5,-4,0,-1,-1547.1800000001094,982.8199999998906,-1662.1800000001094,2530.0,2.5742251887428846,62,7.233695652173913,1.0368144252441773
503757,2026-04-12 21:12:00,2112,25358.5,-1,-3,-3.0,1.0,0.0,-2.1258,1,5,-4,0,-1,-1982.1800000001094,982.8199999998906,-1982.1800000001094,2965.0,3.0168291243567795,63,7.269021739130435,3.9551401869158878
503758,2026-04-12 21:15:00,2115,25355.25,-1,-3,-3.0,1.0,0.0,-2.1258,1,5,-4,0,-1,-1917.1800000001094,982.8199999998906,-1982.1800000001094,2900.0,2.950692904092634,64,7.27554347826087,1.9586165683125418
