# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=1 volperiod=460 volmult=16 smin=20 smax=600 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=CLU6 period=3 execs=3876
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T12:09:00,361,Long,Buy,Long,36.19,1,2.3,1,1
1,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,35.86,1,2.3,1,0
2,2022-01-04T11:27:00,807,Short,SellShort,Short,36.52,1,2.3,-1,-1
3,2022-01-04T17:00:00,919,Exit on session close,BuyToCover,Long,37.08,1,2.3,-1,0
4,2022-01-05T08:12:00,1202,Long,Buy,Long,37.28,1,2.3,1,1
5,2022-01-05T14:36:00,1330,L-SolarExit,Sell,Short,37.53,1,2.3,-1,-1
6,2022-01-06T02:45:00,1553,Long,Buy,Long,37.38,1,2.3,1,1
7,2022-01-06T10:09:00,1701,L-SolarExit,Sell,Short,39.27,1,2.3,-1,-1
8,2022-01-06T20:36:00,1890,Long,Buy,Long,39.9,1,2.3,1,1
9,2022-01-07T09:21:00,2145,L-SolarExit,Sell,Short,39.39,1,2.3,-1,-1
10,2022-01-09T21:42:00,2372,Long,Buy,Long,38.96,1,2.3,1,1
11,2022-01-10T07:12:00,2562,L-SolarExit,Sell,Short,38.44,1,2.3,-1,-1
12,2022-01-10T10:36:00,2630,Long,Buy,Long,38.59,1,2.3,1,1
13,2022-01-10T17:00:00,2759,Exit on session close,Sell,Short,38.29,1,2.3,1,0
14,2022-01-11T09:45:00,3073,Short,SellShort,Short,38.81,1,2.3,-1,-1
15,2022-01-11T11:03:00,3099,S-SolarExit,BuyToCover,Long,39.79,1,2.3,1,1
16,2022-01-13T00:27:00,3807,Short,SellShort,Short,42.2,1,2.3,-1,-1
17,2022-01-13T09:36:00,3990,S-SolarExit,BuyToCover,Long,42.68,1,2.3,1,1
18,2022-01-13T10:54:00,4016,Short,SellShort,Short,41.82,1,2.3,-1,-1
19,2022-01-13T11:45:00,4033,S-SolarExit,BuyToCover,Long,42.49,1,2.3,1,1
20,2022-01-13T14:33:00,4089,Short,SellShort,Short,41.83,1,2.3,-1,-1
21,2022-01-13T17:00:00,4139,Exit on session close,BuyToCover,Long,41.57,1,2.3,-2,0
22,2022-01-14T01:54:00,4296,Long,Buy,Long,42.05,1,2.3,1,1
23,2022-01-14T07:45:00,4413,L-SolarExit,Sell,Short,42.36,1,2.3,-1,-1
24,2022-01-14T09:21:00,4445,Long,Buy,Long,42.51,1,2.3,1,1
25,2022-01-14T17:00:00,4599,Exit on session close,Sell,Short,44.13,1,2.3,5,0
26,2022-01-17T04:12:00,4802,Short,SellShort,Short,43.77,1,2.3,-1,-1
27,2022-01-17T12:42:00,4972,S-SolarExit,BuyToCover,Long,44.25,1,2.3,1,1
28,2022-01-18T03:57:00,5177,Short,SellShort,Short,44.97,1,2.3,-1,-1
29,2022-01-18T08:36:00,5270,S-SolarExit,BuyToCover,Long,45.48,1,2.3,1,1
30,2022-01-18T09:33:00,5289,Short,SellShort,Short,44.66,1,2.3,-1,-1
31,2022-01-18T10:33:00,5309,S-SolarExit,BuyToCover,Long,45.41,1,2.3,1,1
32,2022-01-18T11:39:00,5331,Short,SellShort,Short,44.54,1,2.3,-1,-1
33,2022-01-18T14:33:00,5389,S-SolarExit,BuyToCover,Long,45.4,1,2.3,1,1
34,2022-01-19T01:33:00,5589,Short,SellShort,Short,46,1,2.3,-1,-1
35,2022-01-19T05:39:00,5671,S-SolarExit,BuyToCover,Long,46.6,1,2.3,1,1
36,2022-01-19T13:18:00,5824,Short,SellShort,Short,46.15,1,2.3,-1,-1
37,2022-01-19T17:00:00,5899,Exit on session close,BuyToCover,Long,45.55,1,2.3,-3,0
38,2022-01-19T22:51:00,5995,Long,Buy,Long,46.4,1,2.3,1,1
39,2022-01-20T13:12:00,6282,L-SolarExit,Sell,Short,46.48,1,2.3,-1,-1
40,2022-01-20T21:18:00,6424,Long,Buy,Long,44.23,1,2.3,1,1
41,2022-01-21T10:00:00,6678,L-SolarExit,Sell,Short,44.77,1,2.3,-1,-1
42,2022-01-21T10:48:00,6694,Long,Buy,Long,45.61,1,2.3,1,1
43,2022-01-21T17:00:00,6819,Exit on session close,Sell,Short,45.33,1,2.3,2,0
44,2022-01-24T05:27:00,7047,Short,SellShort,Short,45.38,1,2.3,-1,-1
45,2022-01-24T10:39:00,7151,S-SolarExit,BuyToCover,Long,43.8,1,2.3,1,1
46,2022-01-24T11:18:00,7164,Short,SellShort,Short,42.88,1,2.3,-1,-1
47,2022-01-24T12:48:00,7194,S-SolarExit,BuyToCover,Long,43.52,1,2.3,1,1
48,2022-01-25T07:09:00,7541,Short,SellShort,Short,43.88,1,2.3,-1,-1
49,2022-01-25T10:18:00,7604,S-SolarExit,BuyToCover,Long,44.79,1,2.3,1,1
50,2022-01-26T15:09:00,8161,Short,SellShort,Short,47.17,1,2.3,-1,-1
51,2022-01-26T16:48:00,8194,S-SolarExit,BuyToCover,Long,47.73,1,2.3,1,1
52,2022-01-26T22:51:00,8295,Short,SellShort,Short,46.93,1,2.3,-1,-1
