# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=1 volperiod=460 volmult=24 smin=40 smax=1200 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=RTYU6 period=3 execs=2300
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T10:06:00,319,Long,Buy,Long,2560.3,1,2.18,1,1
1,2022-01-03T11:03:00,338,L-SolarExit,Sell,Short,2555,1,2.18,-1,-1
2,2022-01-03T21:30:00,527,Long,Buy,Long,2560.5,1,2.18,1,1
3,2022-01-04T10:42:00,791,L-SolarExit,Sell,Short,2555.8,1,2.18,-1,-1
4,2022-01-04T12:21:00,824,Long,Buy,Long,2561.2,1,2.18,1,1
5,2022-01-04T17:00:00,918,Exit on session close,Sell,Short,2556.4,1,2.18,1,0
6,2022-01-05T11:51:00,1273,Short,SellShort,Short,2545.2,1,2.18,-1,-1
7,2022-01-05T17:00:00,1377,Exit on session close,BuyToCover,Long,2478.4,1,2.18,-5,0
8,2022-01-06T05:27:00,1605,Long,Buy,Long,2483.3,1,2.18,1,1
9,2022-01-06T10:09:00,1699,L-SolarExit,Sell,Short,2469.3,1,2.18,-1,-1
10,2022-01-06T11:12:00,1720,Long,Buy,Long,2498.5,1,2.18,1,1
11,2022-01-06T17:00:00,1837,Exit on session close,Sell,Short,2495.8,1,2.18,3,0
12,2022-01-07T10:51:00,2173,Short,SellShort,Short,2474,1,2.18,-1,-1
13,2022-01-07T17:00:00,2297,Exit on session close,BuyToCover,Long,2464.3,1,2.18,-3,0
14,2022-01-10T14:12:00,2700,Long,Buy,Long,2442.9,1,2.18,1,1
15,2022-01-10T17:00:00,2757,Exit on session close,Sell,Short,2456,1,2.18,2,0
16,2022-01-11T09:45:00,3071,Short,SellShort,Short,2441,1,2.18,-1,-1
17,2022-01-11T11:42:00,3110,S-SolarExit,BuyToCover,Long,2465.9,1,2.18,1,1
18,2022-01-12T10:45:00,3550,Short,SellShort,Short,2465.3,1,2.18,-1,-1
19,2022-01-12T12:57:00,3594,S-SolarExit,BuyToCover,Long,2474.6,1,2.18,1,1
20,2022-01-13T10:54:00,4013,Short,SellShort,Short,2459.4,1,2.18,-1,-1
21,2022-01-13T11:48:00,4031,S-SolarExit,BuyToCover,Long,2480.9,1,2.18,1,1
22,2022-01-13T12:24:00,4043,Short,SellShort,Short,2458.1,1,2.18,-1,-1
23,2022-01-13T17:00:00,4136,Exit on session close,BuyToCover,Long,2445.7,1,2.18,-3,0
24,2022-01-14T04:36:00,4347,Long,Buy,Long,2451.8,1,2.18,1,1
25,2022-01-14T08:03:00,4416,L-SolarExit,Sell,Short,2425.2,1,2.18,-1,-1
26,2022-01-14T15:21:00,4562,Long,Buy,Long,2439.3,1,2.18,1,1
27,2022-01-14T17:00:00,4596,Exit on session close,Sell,Short,2451.5,1,2.18,2,3
28,2022-01-18T03:33:00,5165,Short,SellShort,Short,2424.7,1,2.18,-1,-1
29,2022-01-18T11:54:00,5332,S-SolarExit,BuyToCover,Long,2407.8,1,2.18,1,1
30,2022-01-18T15:48:00,5410,Short,SellShort,Short,2384.1,1,2.18,-1,-1
31,2022-01-18T17:00:00,5435,Exit on session close,BuyToCover,Long,2385.3,1,2.18,-1,0
32,2022-01-19T05:42:00,5668,Long,Buy,Long,2387.4,1,2.18,1,1
33,2022-01-19T10:36:00,5766,L-SolarExit,Sell,Short,2363.7,1,2.18,-1,-1
34,2022-01-20T10:36:00,6226,Long,Buy,Long,2379.8,1,2.18,1,1
35,2022-01-20T14:18:00,6300,L-SolarExit,Sell,Short,2362.1,1,2.18,-1,-1
36,2022-01-21T10:39:00,6687,Long,Buy,Long,2315.1,1,2.18,1,1
37,2022-01-21T14:39:00,6767,L-SolarExit,Sell,Short,2289,1,2.18,-1,-1
38,2022-01-24T13:54:00,7212,Long,Buy,Long,2270.1,1,2.18,1,1
39,2022-01-24T17:00:00,7275,Exit on session close,Sell,Short,2323.4,1,2.18,3,0
40,2022-01-25T09:36:00,7586,Short,SellShort,Short,2278.7,1,2.18,-1,-1
41,2022-01-25T14:48:00,7690,S-SolarExit,BuyToCover,Long,2310.7,1,2.18,1,1
42,2022-01-26T15:06:00,8156,Short,SellShort,Short,2270.9,1,2.18,-1,-1
43,2022-01-26T17:00:00,8195,Exit on session close,BuyToCover,Long,2258.4,1,2.18,-1,0
44,2022-01-27T07:15:00,8459,Long,Buy,Long,2261.8,1,2.18,1,1
45,2022-01-27T12:21:00,8561,L-SolarExit,Sell,Short,2242.6,1,2.18,-1,-1
46,2022-01-28T15:54:00,9092,Long,Buy,Long,2243.7,1,2.18,1,1
47,2022-01-28T17:00:00,9115,Exit on session close,Sell,Short,2246.5,1,2.18,1,0
48,2022-02-02T11:42:00,10387,Short,SellShort,Short,2296,1,2.18,-1,-1
49,2022-02-02T17:00:00,10494,Exit on session close,BuyToCover,Long,2315.2,1,2.18,-1,0
50,2022-02-04T13:09:00,11333,Long,Buy,Long,2281.7,1,2.18,1,1
51,2022-02-04T17:00:00,11411,Exit on session close,Sell,Short,2281.3,1,2.18,2,0
52,2022-02-10T09:06:00,13088,Short,SellShort,Short,2331.7,1,2.18,-1,-1
53,2022-02-10T09:42:00,13100,S-SolarExit,BuyToCover,Long,2347.2,1,2.18,1,1
54,2022-02-10T13:21:00,13173,Short,SellShort,Short,2363.2,1,2.18,-1,-1
55,2022-02-10T17:00:00,13247,Exit on session close,BuyToCover,Long,2334.6,1,2.18,-3,0
56,2022-02-11T07:33:00,13517,Long,Buy,Long,2337.5,1,2.18,1,1
57,2022-02-11T13:39:00,13639,L-SolarExit,Sell,Short,2324.8,1,2.18,-1,-1
58,2022-02-14T07:51:00,13981,Long,Buy,Long,2327.2,1,2.18,1,1
59,2022-02-14T17:00:00,14165,Exit on session close,Sell,Short,2306.9,1,2.18,2,0
60,2022-02-17T10:15:00,15406,Short,SellShort,Short,2333.4,1,2.18,-1,-1
61,2022-02-17T17:00:00,15542,Exit on session close,BuyToCover,Long,2317.6,1,2.18,-3,0
62,2022-02-21T01:42:00,16153,Long,Buy,Long,2309.2,1,2.18,1,1
63,2022-02-21T07:48:00,16275,L-SolarExit,Sell,Short,2281.8,1,2.18,-1,-1
64,2022-02-22T05:18:00,16605,Long,Buy,Long,2286.7,1,2.18,1,1
65,2022-02-22T13:06:00,16761,L-SolarExit,Sell,Short,2271.2,1,2.18,-1,-1
66,2022-02-22T15:09:00,16802,Long,Buy,Long,2295,1,2.18,1,1
67,2022-02-22T17:00:00,16840,Exit on session close,Sell,Short,2277.3,1,2.18,1,0
68,2022-02-23T11:09:00,17181,Short,SellShort,Short,2255.8,1,2.18,-1,-1
69,2022-02-23T17:00:00,17299,Exit on session close,BuyToCover,Long,2229.3,1,2.18,-4,0
70,2022-02-24T09:54:00,17616,Long,Buy,Long,2206,1,2.18,1,1
71,2022-02-24T17:00:00,17759,Exit on session close,Sell,Short,2272.1,1,2.18,4,0
72,2022-02-27T18:06:00,18220,Short,SellShort,Short,2267.6,1,2.18,-1,-1
73,2022-02-28T06:15:00,18463,S-SolarExit,BuyToCover,Long,2302.4,1,2.18,1,1
74,2022-03-01T10:48:00,19014,Short,SellShort,Short,2307.4,1,2.18,-1,-1
