# TM=90 SM=179 SS=5 WWS=10 anchor=0 thresh=1 volperiod=460 volmult=30 smin=40 smax=1200 exitmult=0 EST=1 TF=False end=163000 slip=1 instrument=YMU6 period=3 execs=1630
n,time,bar,name,order_action,market_position,price,qty,commission,wave,signal
0,2022-01-03T10:33:00,329,Long,Buy,Long,41539,1,2.18,1,1
1,2022-01-03T17:00:00,459,Exit on session close,Sell,Short,41621,1,2.18,4,0
2,2022-01-04T21:45:00,993,Short,SellShort,Short,41779,1,2.18,-1,-1
3,2022-01-05T10:33:00,1249,S-SolarExit,BuyToCover,Long,41966,1,2.18,1,1
4,2022-01-05T14:21:00,1325,Short,SellShort,Short,41793,1,2.18,-1,-1
5,2022-01-05T17:00:00,1379,Exit on session close,BuyToCover,Long,41512,1,2.18,-2,0
6,2022-01-06T05:36:00,1610,Long,Buy,Long,41570,1,2.18,1,1
7,2022-01-06T17:00:00,1839,Exit on session close,Sell,Short,41358,1,2.18,1,0
8,2022-01-07T08:42:00,2132,Short,SellShort,Short,41254,1,2.18,-1,-1
9,2022-01-07T17:00:00,2299,Exit on session close,BuyToCover,Long,41310,1,2.18,-3,0
10,2022-01-10T14:12:00,2702,Long,Buy,Long,41058,1,2.18,1,1
11,2022-01-10T17:00:00,2759,Exit on session close,Sell,Short,41136,1,2.18,3,0
12,2022-01-11T09:45:00,3073,Short,SellShort,Short,40907,1,2.18,-1,-1
13,2022-01-11T13:51:00,3155,S-SolarExit,BuyToCover,Long,41262,1,2.18,1,1
14,2022-01-13T15:42:00,4112,Short,SellShort,Short,41221,1,2.18,-1,-1
15,2022-01-13T17:00:00,4139,Exit on session close,BuyToCover,Long,41197,1,2.18,-1,0
16,2022-01-14T15:54:00,4576,Long,Buy,Long,40998,1,2.18,1,1
17,2022-01-14T17:00:00,4599,Exit on session close,Sell,Short,41043,1,2.18,1,0
18,2022-01-18T04:27:00,5187,Short,SellShort,Short,40665,1,2.18,-1,-1
19,2022-01-18T14:36:00,5390,S-SolarExit,BuyToCover,Long,40540,1,2.18,1,1
20,2022-01-19T00:27:00,5567,Short,SellShort,Short,40265,1,2.18,-1,-1
21,2022-01-19T09:42:00,5752,S-SolarExit,BuyToCover,Long,40603,1,2.18,1,1
22,2022-01-19T15:54:00,5876,Short,SellShort,Short,40187,1,2.18,-1,-1
23,2022-01-19T17:00:00,5899,Exit on session close,BuyToCover,Long,40133,1,2.18,-2,0
24,2022-01-20T10:00:00,6218,Long,Buy,Long,40439,1,2.18,1,1
25,2022-01-20T15:09:00,6321,L-SolarExit,Sell,Short,40191,1,2.18,-1,-1
26,2022-01-21T10:54:00,6696,Long,Buy,Long,39916,1,2.18,1,1
27,2022-01-21T15:12:00,6782,L-SolarExit,Sell,Short,39367,1,2.18,-1,-1
28,2022-01-24T14:06:00,7220,Long,Buy,Long,38955,1,2.18,1,1
29,2022-01-24T17:00:00,7279,Exit on session close,Sell,Short,39524,1,2.18,2,0
30,2022-01-25T09:51:00,7595,Short,SellShort,Short,38887,1,2.18,-1,-1
31,2022-01-25T14:24:00,7686,S-SolarExit,BuyToCover,Long,39493,1,2.18,1,1
32,2022-01-26T15:24:00,8166,Short,SellShort,Short,39018,1,2.18,-1,-1
33,2022-01-26T17:00:00,8199,Exit on session close,BuyToCover,Long,39238,1,2.18,-1,0
34,2022-01-27T08:30:00,8488,Long,Buy,Long,39378,1,2.18,1,1
35,2022-01-27T17:00:00,8659,Exit on session close,Sell,Short,39419,1,2.18,2,0
36,2022-01-28T05:42:00,8892,Short,SellShort,Short,39104,1,2.18,-1,-1
37,2022-01-28T15:39:00,9091,S-SolarExit,BuyToCover,Long,39564,1,2.18,1,1
38,2022-02-04T06:00:00,11197,Short,SellShort,Short,40080,1,2.18,-1,-1
39,2022-02-04T13:09:00,11340,S-SolarExit,BuyToCover,Long,40225,1,2.18,1,1
40,2022-02-10T13:27:00,13186,Short,SellShort,Short,40500,1,2.18,-1,-1
41,2022-02-10T17:00:00,13258,Exit on session close,BuyToCover,Long,40315,1,2.18,-4,0
42,2022-02-11T08:45:00,13552,Long,Buy,Long,40363,1,2.18,1,1
43,2022-02-11T13:42:00,13651,L-SolarExit,Sell,Short,40046,1,2.18,-1,-1
44,2022-02-14T07:51:00,13994,Long,Buy,Long,39912,1,2.18,1,1
45,2022-02-14T17:00:00,14178,Exit on session close,Sell,Short,39656,1,2.18,1,0
46,2022-02-17T09:57:00,15416,Short,SellShort,Short,39663,1,2.18,-1,-1
