block_id,incumbent_net_pnl,r2b_net_pnl_same_span
2870,41337.82000000001,40982.82000000001
3423,19717.820000000007,19342.820000000007
2864,16267.820000000009,15747.820000000007
3335,15207.81999999989,11757.81999999989
113,14287.820000000014,14227.820000000014
3730,13257.820000000009,14572.820000000007
2872,12232.820000000009,11892.820000000007
298,12192.820000000009,12627.820000000007
2759,11977.81999999989,10967.81999999989
2790,11782.820000000009,11312.820000000007
2284,11597.820000000009,11242.820000000007
2332,11557.81999999989,11557.81999999989
3821,11492.820000000009,11417.820000000007
2845,11367.81999999989,0.0
3591,11217.820000000009,10847.820000000007
2231,11212.81999999989,11117.820000000007
2586,10995.640000000014,10995.640000000014
558,10932.820000000009,10477.820000000007
237,10717.820000000009,10127.820000000014
258,10697.820000000009,10992.820000000007
