sess,net
2022-01-03,896.280000000021
2022-01-04,4310.640000000014
2022-01-05,6941.280000000028
2022-01-06,585.640000000014
2022-01-07,595.640000000014
2022-01-10,5260.640000000014
2022-01-11,-2814.359999999986
2022-01-12,-1084.359999999986
2022-01-13,4990.640000000014
2022-01-14,1121.280000000028
2022-01-17,0.0
2022-01-18,681.9200000000419
2022-01-19,-3998.719999999972
2022-01-20,-939.359999999986
2022-01-21,-2723.079999999958
2022-01-24,2406.920000000042
2022-01-25,386.28000000002794
2022-01-26,2150.640000000014
2022-01-27,3301.280000000028
2022-01-28,616.2800000000279
2022-01-31,0.0
2022-02-01,-3229.359999999986
2022-02-02,4395.640000000014
2022-02-03,-3983.719999999972
2022-02-04,1025.640000000014
2022-02-07,-3188.719999999972
2022-02-08,2655.640000000014
2022-02-09,0.0
2022-02-10,2561.280000000028
2022-02-11,2031.280000000028
2022-02-14,845.640000000014
2022-02-15,0.0
2022-02-16,-2964.359999999986
2022-02-17,7015.640000000014
2022-02-18,-4163.079999999958
2022-02-21,-318.0799999999581
2022-02-22,-453.71999999997206
2022-02-23,6985.640000000014
2022-02-24,14500.640000000014
2022-02-25,-3824.359999999986
2022-02-28,-5599.359999999986
2022-03-01,-2278.719999999972
2022-03-02,-79.35999999998603
2022-03-03,3985.640000000014
2022-03-04,-5113.079999999958
2022-03-07,5016.280000000028
2022-03-08,-7173.719999999972
2022-03-09,6410.640000000014
2022-03-10,-264.35999999998603
2022-03-11,5875.640000000014
2022-03-14,-4524.359999999986
2022-03-15,5670.640000000014
2022-03-16,-929.359999999986
2022-03-17,-2608.719999999972
2022-03-18,6710.640000000014
2022-03-21,-3428.719999999972
2022-03-22,3115.640000000014
2022-03-23,1625.640000000014
2022-03-24,1786.280000000028
2022-03-25,-699.359999999986
2022-03-28,-83.71999999997206
2022-03-29,-2909.359999999986
2022-03-30,995.640000000014
2022-03-31,-68.71999999997206
2022-04-01,-508.71999999997206
2022-04-04,4155.640000000014
2022-04-05,4815.640000000014
2022-04-06,-3958.079999999958
2022-04-07,-6773.079999999958
2022-04-08,1400.640000000014
2022-04-11,-1339.359999999986
2022-04-12,2830.640000000014
2022-04-13,3590.640000000014
2022-04-14,4940.640000000014
2022-04-18,2915.640000000014
2022-04-19,1101.920000000042
2022-04-20,241.9200000000419
2022-04-21,4906.280000000035
2022-04-22,-1324.3599999999933
2022-04-25,3655.6400000000212
2022-04-26,10110.640000000014
2022-04-27,3570.640000000014
2022-04-28,-8432.439999999944
2022-04-29,1671.280000000028
2022-05-02,3305.640000000014
2022-05-03,-2589.359999999986
2022-05-04,-2483.719999999972
2022-05-05,10785.640000000014
2022-05-06,-3353.079999999958
