session_date,delta_action_value
2022-07-01,2100.64
2022-07-05,4365.64
2022-07-06,-2894.36
2022-07-07,1320.64
2022-07-08,-104.36
2022-07-11,145.64
2022-07-12,2955.64
2022-07-13,935.64
2022-07-14,2045.64
2022-07-15,-54.36
2022-07-18,-5334.36
2022-07-19,2130.64
2022-07-20,190.64
2022-07-21,1675.64
2022-07-22,1020.64
2022-07-25,1645.64
2022-07-26,765.64
2022-07-27,4635.64
2022-07-28,1270.64
2022-07-29,2730.64
2022-08-01,-2614.36
2022-08-02,-479.36
2022-08-03,1565.64
2022-08-04,-899.36
2022-08-05,-1409.36
2022-08-08,-804.36
2022-08-09,165.64
2022-08-10,445.64
2022-08-11,2000.64
2022-08-12,1800.64
2022-08-15,950.64
2022-08-16,130.64
2022-08-17,-1889.36
2022-08-18,-249.36
2022-08-19,380.64
2022-08-22,1670.64
2022-08-23,-229.36
2022-08-24,-479.36
2022-08-25,1455.64
2022-08-26,3515.64
2022-08-29,-1804.36
2022-08-30,-614.36
2022-08-31,285.64
2022-09-01,-3509.36
2022-09-02,-7474.36
2022-09-06,1360.64
2022-09-07,2635.64
2022-09-08,-1379.36
2022-09-09,890.64
2022-09-12,485.64
2022-09-13,3620.64
2022-09-14,-1699.36
2022-09-15,1335.64
2022-09-16,-1964.36
2022-09-19,2370.64
2022-09-20,-239.36
2022-09-21,-3784.36
2022-09-22,-1109.36
2022-09-23,-489.36
2022-09-26,-814.36
2022-09-27,1535.64
2022-09-28,2905.64
2022-09-29,965.64
2022-09-30,-3154.36
2022-10-03,2780.64
2022-10-04,-249.36
2022-10-05,-4704.36
2022-10-06,-1534.36
2022-10-07,1680.64
2022-10-10,-724.36
2022-10-11,3185.64
2022-10-12,-279.36
2022-10-13,1645.64
2022-10-14,1280.64
2022-10-17,290.64
2022-10-18,-1199.36
2022-10-19,-1654.36
2022-10-20,-3994.36
2022-10-21,3605.64
2022-10-24,2500.64
2022-10-25,500.64
2022-10-26,-3819.36
2022-10-27,870.64
2022-10-28,1910.64
2022-10-31,-89.36
2022-11-01,50.64
2022-11-02,4575.64
2022-11-03,155.64
2022-11-04,-2024.36
2022-11-07,2685.64
2022-11-08,-1369.36
2022-11-09,3380.64
2022-11-10,2360.64
2022-11-11,3440.64
2022-11-14,375.64
2022-11-15,1950.64
2022-11-16,790.64
2022-11-17,255.64
2022-11-18,-1204.36
2022-11-21,295.64
2022-11-22,2120.64
2022-11-23,340.64
2022-11-28,2165.64
2022-11-29,-414.36
2022-11-30,8180.64
2022-12-01,-1024.36
2022-12-02,380.64
2022-12-05,2065.64
2022-12-06,1665.64
2022-12-07,-9.36
2022-12-08,145.64
2022-12-09,-1954.36
2022-12-12,1695.64
2022-12-13,1660.64
2022-12-14,-3774.36
2022-12-15,795.64
2022-12-16,-1299.36
2022-12-19,1390.64
2022-12-20,-1229.36
2022-12-21,-169.36
2022-12-22,-924.36
2022-12-23,520.64
2022-12-27,705.64
2022-12-28,645.64
2022-12-29,115.64
2022-12-30,-659.36
2023-01-03,-1404.36
2023-01-04,2775.64
2023-01-05,940.64
2023-01-06,2875.64
2023-01-09,-2964.36
2023-01-10,1105.64
2023-01-11,1295.64
2023-01-12,-824.36
2023-01-13,2865.64
2023-01-17,-259.36
2023-01-18,805.64
2023-01-19,-1489.36
2023-01-20,2550.64
2023-01-23,-554.36
2023-01-24,-1079.36
2023-01-25,2540.64
2023-01-26,-2209.36
2023-01-27,1710.64
2023-01-30,1095.64
2023-01-31,435.64
2023-02-01,-6889.36
2023-02-02,-294.36
2023-02-03,-4429.36
2023-02-06,-1299.36
2023-02-07,3260.64
2023-02-08,-334.36
2023-02-09,3410.64
2023-02-10,-449.36
2023-02-13,-154.36
2023-02-15,575.64
2023-02-16,-3099.36
2023-02-17,-999.36
2023-02-21,1250.64
2023-02-22,630.64
2023-02-23,-3559.36
2023-02-24,495.64
2023-02-27,440.64
2023-02-28,320.64
2023-03-01,675.64
2023-03-02,3760.64
2023-03-03,2055.64
2023-03-06,-2414.36
2023-03-07,1400.64
2023-03-08,-9.36
2023-03-09,-5324.36
2023-03-10,-3724.36
2023-03-13,-494.36
2023-03-14,-1834.36
2023-03-15,565.64
2023-03-16,2215.64
2023-03-17,-1099.36
2023-03-20,495.64
2023-03-21,-3374.36
2023-03-22,-1074.36
2023-03-23,-2994.36
2023-03-24,-1394.36
2023-03-27,-34.36
2023-03-28,35.64
2023-03-29,1255.64
2023-03-30,135.64
2023-03-31,1515.64
2023-04-03,-1544.36
2023-04-04,1255.64
2023-04-06,1025.64
2023-04-10,1345.64
2023-04-11,-544.36
2023-04-12,1720.64
2023-04-13,1700.64
2023-04-14,-894.36
2023-04-17,-1499.36
2023-04-18,-304.36
2023-04-19,725.64
2023-04-20,-1924.36
2023-04-21,60.64
2023-04-24,-1354.36
2023-04-25,2040.64
2023-04-26,-2134.36
2023-04-27,1970.64
2023-04-28,-1019.36
2023-05-01,-439.36
2023-05-02,-649.36
2023-05-03,1605.64
2023-05-04,-54.36
2023-05-05,1375.64
2023-05-08,-854.36
2023-05-09,415.64
2023-05-11,90.64
2023-05-12,65.64
2023-05-15,590.64
2023-05-16,125.64
2023-05-17,1770.64
2023-05-18,495.64
2023-05-19,390.64
2023-05-22,140.64
2023-05-23,-2319.36
2023-05-24,-1274.36
2023-05-25,1440.64
2023-05-26,1085.64
2023-05-30,1175.64
2023-05-31,-1189.36
2023-06-01,930.64
2023-06-02,45.64
2023-06-05,-1474.36
2023-06-06,-249.36
2023-06-07,3150.64
2023-06-08,285.64
2023-06-09,-64.36
2023-06-12,2520.64
2023-06-13,-39.36
2023-06-14,-759.36
2023-06-15,2000.64
2023-06-16,645.64
2023-06-20,-1624.36
2023-06-21,-34.36
2023-06-22,215.64
2023-06-23,-229.36
2023-06-26,1815.64
2023-06-27,2500.64
2023-06-28,-1384.36
2023-06-29,-929.36
2023-06-30,1390.64
2023-07-05,10.64
2023-07-06,-1334.36
2023-07-07,-669.36
2023-07-10,-914.36
2023-07-11,-1049.36
2023-07-12,1480.64
2023-07-13,2355.64
2023-07-14,-2494.36
2023-07-17,1215.64
2023-07-18,-2779.36
2023-07-19,-1349.36
2023-07-20,3080.64
2023-07-21,1360.64
2023-07-24,35.64
2023-07-25,290.64
2023-07-26,-794.36
2023-07-27,5230.64
2023-07-28,-774.36
2023-07-31,725.64
2023-08-01,135.64
2023-08-02,800.64
2023-08-03,-344.36
2023-08-04,-4574.36
2023-08-07,-1744.36
2023-08-08,-2364.36
2023-08-09,-1204.36
2023-08-10,1275.64
2023-08-11,-1149.36
2023-08-14,270.64
2023-08-15,1675.64
2023-08-16,-1959.36
2023-08-17,2220.64
2023-08-18,1610.64
2023-08-21,4130.64
2023-08-22,1355.64
2023-08-23,925.64
2023-08-24,1340.64
2023-08-25,-2874.36
2023-08-28,-1364.36
2023-08-29,1030.64
2023-08-30,40.64
2023-08-31,375.64
2023-09-01,-684.36
2023-09-05,965.64
